model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
timbrewm,8,121,0,0,pgr,1,1,1,7,0.7000,0.058525,4.5331,0.9983,27.60
timbrewm,8,121,1,1,pgr,1,1,0,9,0.9000,0.000000,4.5368,0.9987,27.20
timbrewm,8,121,2,2,pgr,1,1,1,8,0.8000,0.081938,4.5841,0.9993,28.59
timbrewm,8,121,3,3,pgr,1,1,1,7,0.7000,0.069422,4.5552,0.9981,27.48
timbrewm,8,121,4,4,pgr,1,1,1,9,0.9000,0.069201,4.5482,0.9989,27.12
timbrewm,8,121,5,5,pgr,1,1,1,8,0.8000,0.048047,4.5563,0.9990,29.26
timbrewm,8,121,6,6,pgr,1,1,1,7,0.7000,0.000230,4.4461,0.9980,25.87
timbrewm,8,121,7,7,pgr,1,1,1,7,0.7000,0.041662,4.5473,0.9987,26.08
timbrewm,8,237,0,8,pgr,1,1,1,7,0.7000,0.044593,4.5471,0.9993,34.36
timbrewm,8,237,1,9,pgr,1,1,1,7,0.7000,0.078373,4.4611,0.9992,34.40
timbrewm,8,237,2,10,pgr,1,1,1,7,0.7000,0.168160,4.5178,0.9992,35.00
timbrewm,8,237,3,11,pgr,1,1,1,8,0.8000,0.119110,4.5638,0.9992,36.28
timbrewm,8,237,4,12,pgr,1,1,1,8,0.8000,0.090753,4.5501,0.9990,34.35
timbrewm,8,237,5,13,pgr,1,1,1,7,0.7000,0.036410,4.5208,0.9988,33.34
timbrewm,8,237,6,14,pgr,1,1,1,8,0.8000,0.229192,4.5828,0.9994,36.18
timbrewm,8,237,7,15,pgr,1,1,1,7,0.7000,0.062171,4.4740,0.9992,34.32
timbrewm,8,260,0,16,pgr,1,1,1,7,0.7000,0.130065,4.5091,0.9985,32.05
timbrewm,8,260,1,17,pgr,1,1,1,6,0.6000,0.043293,4.5695,0.9981,31.51
timbrewm,8,260,2,18,pgr,1,1,1,7,0.7000,0.045589,4.5777,0.9982,31.76
timbrewm,8,260,3,19,pgr,1,1,1,7,0.7000,0.072905,4.5740,0.9990,33.40
timbrewm,8,260,4,20,pgr,1,1,1,8,0.8000,0.096366,4.5725,0.9983,31.69
timbrewm,8,260,5,21,pgr,1,1,1,8,0.8000,0.055594,4.5619,0.9981,31.17
timbrewm,8,260,6,22,pgr,1,1,1,8,0.8000,0.075563,4.5789,0.9981,32.00
timbrewm,8,260,7,23,pgr,1,1,1,8,0.8000,0.100388,4.5638,0.9983,32.24
timbrewm,8,672,0,24,pgr,1,1,1,7,0.7000,0.062628,4.5639,0.9963,30.24
timbrewm,8,672,1,25,pgr,1,1,1,8,0.8000,0.000000,4.5738,0.9980,31.28
timbrewm,8,672,2,26,pgr,1,1,1,8,0.8000,0.128432,4.5673,0.9964,29.64
timbrewm,8,672,3,27,pgr,1,1,1,8,0.8000,0.117545,4.5245,0.9960,29.67
timbrewm,8,672,4,28,pgr,1,1,1,7,0.7000,0.093397,4.6107,0.9984,31.01
timbrewm,8,672,5,29,pgr,1,1,1,8,0.8000,0.000371,4.4798,0.9968,30.24
timbrewm,8,672,6,30,pgr,1,1,1,7,0.7000,0.000100,4.4859,0.9953,27.67
timbrewm,8,672,7,31,pgr,1,1,1,7,0.7000,0.041436,4.5239,0.9962,28.79
timbrewm,8,908,0,32,pgr,1,1,1,8,0.8000,0.001248,4.5484,0.9964,31.59
timbrewm,8,908,1,33,pgr,1,1,1,7,0.7000,0.103448,4.5492,0.9976,31.83
timbrewm,8,908,2,34,pgr,1,1,1,7,0.7000,0.178141,4.5947,0.9975,32.90
timbrewm,8,908,3,35,pgr,1,1,1,7,0.7000,0.059790,4.5845,0.9973,31.98
timbrewm,8,908,4,36,pgr,1,1,1,7,0.7000,0.043178,4.5821,0.9967,32.14
timbrewm,8,908,5,37,pgr,1,1,1,8,0.8000,0.032708,4.5283,0.9965,31.18
timbrewm,8,908,6,38,pgr,1,1,1,7,0.7000,0.060157,4.5876,0.9975,32.28
timbrewm,8,908,7,39,pgr,1,1,1,6,0.6000,0.013324,4.5751,0.9971,31.64
timbrewm,8,1089,0,40,pgr,1,1,1,8,0.8000,0.099507,4.5151,0.9980,30.76
timbrewm,8,1089,1,41,pgr,1,1,1,7,0.7000,0.083319,4.5390,0.9984,31.33
timbrewm,8,1089,2,42,pgr,1,1,1,7,0.7000,0.034965,4.5413,0.9976,30.94
timbrewm,8,1089,3,43,pgr,1,1,1,7,0.7000,0.068396,4.5306,0.9971,30.22
timbrewm,8,1089,4,44,pgr,1,1,1,7,0.7000,0.074853,4.5669,0.9982,32.16
timbrewm,8,1089,5,45,pgr,1,1,1,7,0.7000,0.054736,4.5659,0.9987,32.09
timbrewm,8,1089,6,46,pgr,1,1,1,8,0.8000,0.062790,4.5672,0.9977,30.42
timbrewm,8,1089,7,47,pgr,1,1,1,7,0.7000,0.063772,4.5700,0.9977,30.83
timbrewm,8,1188,0,48,pgr,1,1,1,7,0.7000,0.092782,4.5245,0.9921,31.62
timbrewm,8,1188,1,49,pgr,1,1,1,7,0.7000,0.061515,4.5791,0.9932,32.22
timbrewm,8,1188,2,50,pgr,1,1,1,7,0.7000,0.029535,4.5529,0.9913,30.78
timbrewm,8,1188,3,51,pgr,1,1,1,7,0.7000,0.091584,4.5705,0.9932,32.04
timbrewm,8,1188,4,52,pgr,1,1,1,8,0.8000,0.139934,4.5765,0.9942,33.30
timbrewm,8,1188,5,53,pgr,1,1,1,8,0.8000,0.074379,4.5051,0.9941,31.47
timbrewm,8,1188,6,54,pgr,1,1,1,7,0.7000,0.025011,4.5637,0.9937,32.37
timbrewm,8,1188,7,55,pgr,1,1,1,8,0.8000,0.000000,4.5849,0.9949,33.56
timbrewm,8,1221,0,56,pgr,1,1,1,8,0.8000,0.149294,4.5384,0.9988,31.91
timbrewm,8,1221,1,57,pgr,1,1,1,9,0.9000,0.124631,4.5813,0.9984,32.04
timbrewm,8,1221,2,58,pgr,1,1,1,7,0.7000,0.055150,4.5919,0.9987,31.24
timbrewm,8,1221,3,59,pgr,1,1,1,7,0.7000,0.065076,4.5824,0.9980,30.53
timbrewm,8,1221,4,60,pgr,1,1,1,7,0.7000,0.053296,4.5794,0.9984,30.39
timbrewm,8,1221,5,61,pgr,1,0,0,9,0.9000,0.029587,4.5087,0.9975,28.35
timbrewm,8,1221,6,62,pgr,1,0,0,9,0.9000,0.143945,4.4781,0.9977,29.94
timbrewm,8,1221,7,63,pgr,1,1,1,9,0.9000,0.068011,4.5561,0.9979,29.81
timbrewm,8,1284,0,64,pgr,1,1,1,8,0.8000,0.061033,4.5784,0.9984,34.53
timbrewm,8,1284,1,65,pgr,1,1,1,7,0.7000,0.033014,4.5328,0.9984,33.76
timbrewm,8,1284,2,66,pgr,1,1,1,8,0.8000,0.053430,4.4604,0.9973,31.52
timbrewm,8,1284,3,67,pgr,1,1,1,8,0.8000,0.105625,4.5514,0.9979,34.09
timbrewm,8,1284,4,68,pgr,1,1,1,7,0.7000,0.090368,4.5218,0.9981,32.85
timbrewm,8,1284,5,69,pgr,1,1,1,8,0.8000,0.045272,4.5872,0.9982,34.56
timbrewm,8,1284,6,70,pgr,1,1,1,8,0.8000,0.101736,4.6064,0.9988,35.09
timbrewm,8,1284,7,71,pgr,1,1,1,9,0.9000,0.036793,4.5850,0.9981,33.38
timbrewm,8,1320,0,72,pgr,1,1,1,8,0.8000,0.108595,4.5879,0.9987,34.55
timbrewm,8,1320,1,73,pgr,1,1,1,7,0.7000,0.043193,4.6029,0.9994,35.00
timbrewm,8,1320,2,74,pgr,1,1,1,7,0.7000,0.026300,4.5927,0.9986,34.48
timbrewm,8,1320,3,75,pgr,1,1,1,8,0.8000,0.017692,4.5568,0.9986,34.03
timbrewm,8,1320,4,76,pgr,1,1,1,7,0.7000,0.063663,4.5777,0.9989,34.94
timbrewm,8,1320,5,77,pgr,1,1,1,8,0.8000,0.101254,4.5092,0.9974,32.72
timbrewm,8,1320,6,78,pgr,1,1,1,9,0.9000,0.073414,4.5842,0.9990,35.23
timbrewm,8,1320,7,79,pgr,1,1,1,8,0.8000,0.123797,4.5840,0.9987,34.01
timbrewm,8,1580,0,80,pgr,1,1,1,8,0.8000,0.081355,4.5136,0.9946,23.82
timbrewm,8,1580,1,81,pgr,1,1,1,7,0.7000,0.066935,4.4910,0.9951,24.23
timbrewm,8,1580,2,82,pgr,1,1,1,8,0.8000,0.069945,4.5042,0.9961,24.26
timbrewm,8,1580,3,83,pgr,1,1,1,7,0.7000,0.032115,4.4460,0.9928,23.05
timbrewm,8,1580,4,84,pgr,1,1,1,7,0.7000,0.024759,4.4077,0.9903,21.65
timbrewm,8,1580,5,85,pgr,1,1,1,9,0.9000,0.026886,4.5615,0.9954,24.08
timbrewm,8,1580,6,86,pgr,1,1,1,8,0.8000,0.055262,4.4463,0.9914,22.04
timbrewm,8,1580,7,87,pgr,1,1,1,8,0.8000,0.072129,4.5094,0.9944,24.14
timbrewm,8,1995,0,88,pgr,1,1,1,6,0.6000,0.039870,4.5457,0.9959,35.61
timbrewm,8,1995,1,89,pgr,1,1,1,8,0.8000,0.118320,4.6073,0.9953,35.11
timbrewm,8,1995,2,90,pgr,1,1,1,7,0.7000,0.048726,4.5585,0.9944,34.05
timbrewm,8,1995,3,91,pgr,1,1,1,7,0.7000,0.134005,4.5729,0.9975,35.25
timbrewm,8,1995,4,92,pgr,1,1,1,7,0.7000,0.165903,4.5516,0.9939,34.35
timbrewm,8,1995,5,93,pgr,1,1,1,7,0.7000,0.059656,4.5914,0.9966,35.76
timbrewm,8,1995,6,94,pgr,1,1,1,8,0.8000,0.041681,4.5522,0.9949,34.75
timbrewm,8,1995,7,95,pgr,1,1,1,7,0.7000,0.052990,4.5283,0.9948,34.03
timbrewm,8,2300,0,96,pgr,1,1,1,7,0.7000,0.063369,4.5753,0.9981,34.92
timbrewm,8,2300,1,97,pgr,1,1,1,8,0.8000,0.093426,4.5597,0.9981,34.68
timbrewm,8,2300,2,98,pgr,1,1,1,7,0.7000,0.009850,4.5778,0.9987,35.55
timbrewm,8,2300,3,99,pgr,1,1,1,8,0.8000,0.109723,4.5824,0.9988,36.29
timbrewm,8,2300,4,100,pgr,1,1,1,7,0.7000,0.047132,4.5341,0.9986,35.16
timbrewm,8,2300,5,101,pgr,1,1,1,7,0.7000,0.078643,4.5749,0.9987,35.29
timbrewm,8,2300,6,102,pgr,1,1,1,8,0.8000,0.067631,4.5404,0.9984,34.66
timbrewm,8,2300,7,103,pgr,1,1,1,7,0.7000,0.035981,4.5841,0.9979,34.03
timbrewm,8,2830,0,104,pgr,1,1,1,7,0.7000,0.017850,4.5514,0.9978,32.35
timbrewm,8,2830,1,105,pgr,1,1,1,7,0.7000,0.125617,4.5865,0.9986,34.14
timbrewm,8,2830,2,106,pgr,1,1,1,8,0.8000,0.108631,4.5773,0.9981,32.50
timbrewm,8,2830,3,107,pgr,1,1,1,7,0.7000,0.024775,4.5239,0.9988,32.67
timbrewm,8,2830,4,108,pgr,1,1,1,8,0.8000,0.151184,4.5482,0.9989,32.96
timbrewm,8,2830,5,109,pgr,1,1,1,8,0.8000,0.070516,4.5466,0.9983,33.30
timbrewm,8,2830,6,110,pgr,1,1,1,7,0.7000,0.078379,4.5371,0.9970,31.76
timbrewm,8,2830,7,111,pgr,1,1,1,7,0.7000,0.134742,4.5894,0.9982,32.24
timbrewm,8,2961,0,112,pgr,1,1,1,7,0.7000,0.057687,4.5517,0.9980,32.68
timbrewm,8,2961,1,113,pgr,1,1,1,7,0.7000,0.040838,4.5727,0.9978,31.76
timbrewm,8,2961,2,114,pgr,1,1,1,8,0.8000,0.060872,4.5883,0.9985,32.82
timbrewm,8,2961,3,115,pgr,1,1,1,8,0.8000,0.013338,4.5420,0.9979,32.09
timbrewm,8,2961,4,116,pgr,1,1,1,7,0.7000,0.119894,4.5856,0.9981,32.79
timbrewm,8,2961,5,117,pgr,1,1,1,7,0.7000,0.028101,4.5918,0.9985,33.13
timbrewm,8,2961,6,118,pgr,1,1,1,8,0.8000,0.064245,4.5522,0.9980,32.23
timbrewm,8,2961,7,119,pgr,1,1,1,8,0.8000,0.039034,4.5451,0.9978,32.58
timbrewm,8,3570,0,120,pgr,1,1,1,8,0.8000,0.060263,4.4771,0.9987,33.69
timbrewm,8,3570,1,121,pgr,1,1,1,7,0.7000,0.070624,4.5601,0.9979,34.22
timbrewm,8,3570,2,122,pgr,1,1,1,7,0.7000,0.078337,4.5032,0.9977,33.28
timbrewm,8,3570,3,123,pgr,1,1,1,9,0.9000,0.054628,4.5220,0.9978,33.14
timbrewm,8,3570,4,124,pgr,1,1,1,8,0.8000,0.016809,4.5233,0.9975,33.66
timbrewm,8,3570,5,125,pgr,1,1,1,8,0.8000,0.073840,4.5023,0.9987,34.39
timbrewm,8,3570,6,126,pgr,1,1,1,8,0.8000,0.061411,4.5284,0.9984,34.09
timbrewm,8,3570,7,127,pgr,1,1,1,7,0.7000,0.087432,4.5368,0.9989,34.62
timbrewm,8,3575,0,128,pgr,1,1,1,7,0.7000,0.069392,4.5018,0.9980,32.36
timbrewm,8,3575,1,129,pgr,1,1,1,7,0.7000,0.088992,4.5703,0.9988,34.23
timbrewm,8,3575,2,130,pgr,1,1,1,6,0.6000,0.020181,4.5623,0.9989,33.79
timbrewm,8,3575,3,131,pgr,1,1,1,8,0.8000,0.078830,4.5356,0.9976,32.58
timbrewm,8,3575,4,132,pgr,1,1,1,7,0.7000,0.088827,4.5746,0.9983,33.98
timbrewm,8,3575,5,133,pgr,1,1,1,8,0.8000,0.068093,4.5503,0.9977,33.10
timbrewm,8,3575,6,134,pgr,1,1,1,8,0.8000,0.031973,4.5623,0.9984,33.47
timbrewm,8,3575,7,135,pgr,1,1,1,6,0.6000,0.057393,4.5101,0.9975,31.63
timbrewm,8,3729,0,136,pgr,1,1,1,8,0.8000,0.064507,4.6072,0.9964,26.85
timbrewm,8,3729,1,137,pgr,1,1,1,7,0.7000,0.045008,4.5942,0.9981,27.33
timbrewm,8,3729,2,138,pgr,1,1,1,8,0.8000,0.107409,4.5991,0.9976,25.76
timbrewm,8,3729,3,139,pgr,1,1,1,8,0.8000,0.096161,4.5597,0.9970,24.76
timbrewm,8,3729,4,140,pgr,1,1,1,8,0.8000,0.039541,4.5991,0.9976,26.62
timbrewm,8,3729,5,141,pgr,1,1,1,7,0.7000,0.055162,4.5489,0.9964,25.64
timbrewm,8,3729,6,142,pgr,1,1,1,8,0.8000,0.170339,4.5133,0.9975,25.90
timbrewm,8,3729,7,143,pgr,1,1,1,8,0.8000,0.050727,4.5780,0.9974,26.06
timbrewm,8,4077,0,144,pgr,1,1,1,7,0.7000,0.039604,4.4779,0.9970,31.79
timbrewm,8,4077,1,145,pgr,1,1,1,7,0.7000,0.042630,4.5189,0.9980,32.02
timbrewm,8,4077,2,146,pgr,1,1,1,8,0.8000,0.089863,4.5254,0.9985,33.22
timbrewm,8,4077,3,147,pgr,1,1,1,9,0.9000,0.046240,4.5115,0.9979,33.23
timbrewm,8,4077,4,148,pgr,1,1,1,7,0.7000,0.094697,4.5119,0.9984,33.52
timbrewm,8,4077,5,149,pgr,1,1,1,8,0.8000,0.151504,4.5649,0.9977,32.32
timbrewm,8,4077,6,150,pgr,1,1,1,8,0.8000,0.152234,4.5558,0.9989,33.14
timbrewm,8,4077,7,151,pgr,1,1,1,8,0.8000,0.087530,4.5506,0.9982,31.61
timbrewm,8,4446,0,152,pgr,1,1,1,7,0.7000,0.073619,4.4657,0.9993,29.27
timbrewm,8,4446,1,153,pgr,1,1,1,8,0.8000,0.069024,4.5266,0.9993,29.30
timbrewm,8,4446,2,154,pgr,1,1,1,7,0.7000,0.051716,4.4936,0.9992,29.30
timbrewm,8,4446,3,155,pgr,1,1,1,8,0.8000,0.125687,4.4744,0.9992,30.06
timbrewm,8,4446,4,156,pgr,1,1,1,6,0.6000,0.000000,4.3968,0.9988,28.23
timbrewm,8,4446,5,157,pgr,1,1,1,8,0.8000,0.015039,4.4917,0.9992,29.04
timbrewm,8,4446,6,158,pgr,1,1,1,7,0.7000,0.081465,4.5474,0.9994,30.52
timbrewm,8,4446,7,159,pgr,1,1,1,8,0.8000,0.072441,4.5189,0.9994,29.87
timbrewm,8,4507,0,160,pgr,1,1,1,7,0.7000,0.027692,4.5375,0.9968,33.83
timbrewm,8,4507,1,161,pgr,1,1,1,7,0.7000,0.039568,4.5645,0.9967,34.44
timbrewm,8,4507,2,162,pgr,1,1,1,7,0.7000,0.078256,4.5671,0.9960,34.23
timbrewm,8,4507,3,163,pgr,1,1,1,7,0.7000,0.084253,4.4865,0.9979,34.71
timbrewm,8,4507,4,164,pgr,1,1,1,7,0.7000,0.062544,4.5585,0.9963,34.04
timbrewm,8,4507,5,165,pgr,1,1,1,8,0.8000,0.101202,4.5591,0.9973,34.32
