model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
voicemark,5,121,0,0,pgr,1,1,1,10,0.6250,0.116309,4.2349,0.9784,10.75
voicemark,5,121,1,1,pgr,1,1,1,15,0.9375,0.105268,3.8947,0.9707,10.23
voicemark,5,121,2,2,pgr,1,1,1,9,0.5625,0.089432,3.9952,0.9696,9.27
voicemark,5,121,3,3,pgr,1,1,1,13,0.8125,0.295999,4.1496,0.9839,12.63
voicemark,5,121,4,4,pgr,1,1,1,13,0.8125,0.222134,4.1106,0.9763,11.50
voicemark,5,121,5,5,pgr,1,1,1,13,0.8125,0.085888,3.5968,0.9767,11.62
voicemark,5,121,6,6,pgr,1,1,1,10,0.6250,0.097036,3.7367,0.9694,8.79
voicemark,5,121,7,7,pgr,1,1,1,12,0.7500,0.175805,4.1486,0.9822,10.62
voicemark,5,237,0,8,pgr,1,1,1,9,0.5625,0.270772,4.3131,0.9865,16.39
voicemark,5,237,1,9,pgr,1,1,1,10,0.6250,0.099343,4.0540,0.9859,14.43
voicemark,5,237,2,10,pgr,1,1,1,14,0.8750,0.179187,4.2357,0.9874,15.11
voicemark,5,237,3,11,pgr,1,1,1,11,0.6875,0.155090,4.1609,0.9882,16.13
voicemark,5,237,4,12,pgr,1,1,1,11,0.6875,0.107150,3.4709,0.9798,11.32
voicemark,5,237,5,13,pgr,1,1,1,13,0.8125,0.306631,4.3660,0.9918,18.38
voicemark,5,237,6,14,pgr,1,1,1,13,0.8125,0.177321,4.2992,0.9895,14.50
voicemark,5,237,7,15,pgr,1,1,1,13,0.8125,0.202831,4.3498,0.9897,15.57
voicemark,5,260,0,16,pgr,1,1,1,11,0.6875,0.143391,4.3249,0.9835,16.07
voicemark,5,260,1,17,pgr,1,1,1,12,0.7500,0.127903,4.1774,0.9798,15.74
voicemark,5,260,2,18,pgr,1,1,1,10,0.6250,0.188376,4.3382,0.9836,15.30
voicemark,5,260,3,19,pgr,1,1,1,12,0.7500,0.220176,4.4578,0.9874,16.83
voicemark,5,260,4,20,pgr,1,1,1,10,0.6250,0.130585,4.3358,0.9849,15.81
voicemark,5,260,5,21,pgr,1,1,1,12,0.7500,0.096908,4.3217,0.9821,17.11
voicemark,5,260,6,22,pgr,1,1,1,11,0.6875,0.106042,4.2069,0.9692,13.05
voicemark,5,260,7,23,pgr,1,1,1,10,0.6250,0.251329,4.3406,0.9840,15.96
voicemark,5,672,0,24,pgr,1,1,1,12,0.7500,0.123306,4.1494,0.9694,11.80
voicemark,5,672,1,25,pgr,1,1,1,13,0.8125,0.247250,4.3664,0.9849,12.70
voicemark,5,672,2,26,pgr,1,1,1,11,0.6875,0.128915,3.9374,0.9734,12.98
voicemark,5,672,3,27,pgr,1,1,1,10,0.6250,0.194170,3.4871,0.9600,9.70
voicemark,5,672,4,28,pgr,1,1,1,13,0.8125,0.230176,3.8473,0.9746,11.88
voicemark,5,672,5,29,pgr,1,1,1,10,0.6250,0.265521,4.3106,0.9626,14.49
voicemark,5,672,6,30,pgr,1,1,1,11,0.6875,0.178672,4.2591,0.9800,10.36
voicemark,5,672,7,31,pgr,1,1,1,10,0.6250,0.172933,3.9903,0.9560,12.28
voicemark,5,908,0,32,pgr,1,1,1,13,0.8125,0.130337,3.7245,0.9644,15.52
voicemark,5,908,1,33,pgr,1,1,1,12,0.7500,0.151148,3.8345,0.9691,14.09
voicemark,5,908,2,34,pgr,1,0,0,14,0.8750,0.185020,3.4756,0.9606,12.06
voicemark,5,908,3,35,pgr,1,1,1,13,0.8125,0.156930,4.4289,0.9860,15.81
voicemark,5,908,4,36,pgr,1,1,1,13,0.8125,0.405196,4.2288,0.9681,16.02
voicemark,5,908,5,37,pgr,1,1,1,14,0.8750,0.100604,4.1645,0.9697,13.25
voicemark,5,908,6,38,pgr,1,1,1,12,0.7500,0.111861,3.9804,0.9641,11.60
voicemark,5,908,7,39,pgr,1,1,1,10,0.6250,0.089276,3.7820,0.9679,13.16
voicemark,5,1089,0,40,pgr,1,1,1,10,0.6250,0.139680,4.1975,0.9830,18.23
voicemark,5,1089,1,41,pgr,1,1,1,11,0.6875,0.135352,4.2832,0.9833,15.53
voicemark,5,1089,2,42,pgr,1,1,1,11,0.6875,0.072990,4.2431,0.9793,17.46
voicemark,5,1089,3,43,pgr,1,1,1,13,0.8125,0.079428,4.1906,0.9840,17.32
voicemark,5,1089,4,44,pgr,1,1,1,13,0.8125,0.138697,4.4289,0.9885,16.30
voicemark,5,1089,5,45,pgr,1,1,1,13,0.8125,0.199101,4.4176,0.9882,16.66
voicemark,5,1089,6,46,pgr,1,1,1,13,0.8125,0.131331,3.9458,0.9780,17.49
voicemark,5,1089,7,47,pgr,1,1,1,13,0.8125,0.119759,4.2560,0.9876,16.98
voicemark,5,1188,0,48,pgr,1,1,1,12,0.7500,0.234422,4.1056,0.9668,16.29
voicemark,5,1188,1,49,pgr,1,1,1,15,0.9375,0.163185,4.2033,0.9671,15.05
voicemark,5,1188,2,50,pgr,1,1,1,13,0.8125,0.195396,3.7495,0.9669,16.38
voicemark,5,1188,3,51,pgr,1,1,1,11,0.6875,0.186100,3.9639,0.9703,17.11
voicemark,5,1188,4,52,pgr,1,1,1,12,0.7500,0.249833,3.9706,0.9750,15.71
voicemark,5,1188,5,53,pgr,1,1,1,11,0.6875,0.152402,4.0176,0.9596,14.72
voicemark,5,1188,6,54,pgr,1,1,1,12,0.7500,0.357620,4.1058,0.9523,15.34
voicemark,5,1188,7,55,pgr,1,1,1,11,0.6875,0.109913,4.1550,0.9644,17.09
voicemark,5,1221,0,56,pgr,1,1,1,11,0.6875,0.174844,4.2581,0.9821,11.47
voicemark,5,1221,1,57,pgr,1,1,1,14,0.8750,0.066923,3.9726,0.9865,11.05
voicemark,5,1221,2,58,pgr,1,1,1,10,0.6250,0.095467,4.0696,0.9805,10.94
voicemark,5,1221,3,59,pgr,1,1,1,13,0.8125,0.133250,4.2922,0.9868,12.45
voicemark,5,1221,4,60,pgr,1,1,1,14,0.8750,0.268756,4.2752,0.9767,11.36
voicemark,5,1221,5,61,pgr,1,1,1,11,0.6875,0.259169,4.2365,0.9748,13.14
voicemark,5,1221,6,62,pgr,1,1,1,11,0.6875,0.106072,4.1512,0.9825,7.29
voicemark,5,1221,7,63,pgr,1,1,1,12,0.7500,0.239054,4.0597,0.9736,10.05
voicemark,5,1284,0,64,pgr,1,1,1,10,0.6250,0.238714,4.0176,0.9792,18.49
voicemark,5,1284,1,65,pgr,1,1,1,12,0.7500,0.177896,4.0390,0.9715,16.09
voicemark,5,1284,2,66,pgr,1,1,1,13,0.8125,0.269714,4.4215,0.9854,17.75
voicemark,5,1284,3,67,pgr,1,1,1,11,0.6875,0.092013,4.2336,0.9794,17.77
voicemark,5,1284,4,68,pgr,1,1,1,13,0.8125,0.209001,4.1585,0.9769,17.00
voicemark,5,1284,5,69,pgr,1,1,1,12,0.7500,0.255636,4.2673,0.9812,18.48
voicemark,5,1284,6,70,pgr,1,1,1,12,0.7500,0.178014,4.3925,0.9815,16.99
voicemark,5,1284,7,71,pgr,1,1,1,13,0.8125,0.211116,4.3315,0.9828,17.91
voicemark,5,1320,0,72,pgr,1,1,1,10,0.6250,0.168715,4.4158,0.9839,18.61
voicemark,5,1320,1,73,pgr,1,1,1,12,0.7500,0.250873,4.1812,0.9835,17.80
voicemark,5,1320,2,74,pgr,1,1,1,11,0.6875,0.138333,4.3707,0.9842,17.93
voicemark,5,1320,3,75,pgr,1,1,1,12,0.7500,0.134024,4.1106,0.9759,18.01
voicemark,5,1320,4,76,pgr,1,1,1,9,0.5625,0.163993,4.1748,0.9825,18.02
voicemark,5,1320,5,77,pgr,1,1,1,10,0.6250,0.251430,4.1230,0.9808,19.50
voicemark,5,1320,6,78,pgr,1,1,1,12,0.7500,0.254087,4.5005,0.9903,19.41
voicemark,5,1320,7,79,pgr,1,1,1,12,0.7500,0.178809,4.1423,0.9738,15.16
voicemark,5,1580,0,80,pgr,1,1,1,10,0.6250,0.263179,4.1075,0.9699,6.81
voicemark,5,1580,1,81,pgr,1,1,1,10,0.6250,0.155255,4.2736,0.9862,9.18
voicemark,5,1580,2,82,pgr,1,1,1,9,0.5625,0.204725,3.4907,0.9503,7.60
voicemark,5,1580,3,83,pgr,0,0,0,16,1.0000,0.153269,4.0118,0.9730,7.62
voicemark,5,1580,4,84,pgr,1,1,0,11,0.6875,0.214846,3.7257,0.9679,7.27
voicemark,5,1580,5,85,pgr,1,1,1,10,0.6250,0.241955,3.8653,0.9715,7.97
voicemark,5,1580,6,86,pgr,1,1,1,11,0.6875,0.168853,3.7218,0.9641,3.20
voicemark,5,1580,7,87,pgr,1,1,1,10,0.6250,0.211659,3.9881,0.9636,5.95
