model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wavmark,3,121,0,0,pgr,1,1,1,11,0.6875,0.200564,4.4815,1.0000,41.11
wavmark,3,121,1,1,pgr,1,1,1,15,0.9375,0.353594,4.4961,1.0000,40.73
wavmark,3,121,2,2,pgr,1,1,1,12,0.7500,0.272962,4.5295,1.0000,41.62
wavmark,3,121,3,3,pgr,1,1,1,13,0.8125,0.420840,4.5638,1.0000,42.02
wavmark,3,121,4,4,pgr,1,1,1,12,0.7500,0.271043,4.4850,1.0000,41.63
wavmark,3,121,5,5,pgr,1,1,1,11,0.6875,0.159823,4.4609,1.0000,40.92
wavmark,3,121,6,6,pgr,1,1,1,12,0.7500,0.325172,4.5028,1.0000,42.06
wavmark,3,121,7,7,pgr,1,1,1,12,0.7500,0.221187,4.5343,1.0000,41.70
wavmark,3,237,0,8,pgr,1,1,1,14,0.8750,0.379124,4.5968,0.9999,44.49
wavmark,3,237,1,9,pgr,1,1,1,12,0.7500,0.200564,4.5969,0.9999,43.38
wavmark,3,237,2,10,pgr,1,1,1,11,0.6875,0.319153,4.6141,0.9999,44.88
wavmark,3,237,3,11,pgr,1,0,0,15,0.9375,0.562500,4.6246,1.0000,46.49
wavmark,3,237,4,12,pgr,1,1,1,13,0.8125,0.436002,4.6169,1.0000,45.55
wavmark,3,237,5,13,pgr,1,1,1,12,0.7500,0.163921,4.5785,0.9999,43.86
wavmark,3,237,6,14,pgr,1,1,1,13,0.8125,0.320532,4.5911,1.0000,45.21
wavmark,3,237,7,15,pgr,1,1,1,10,0.6250,0.187500,4.5878,0.9999,42.93
wavmark,3,260,0,16,pgr,1,1,1,13,0.8125,0.329933,4.5935,0.9996,44.98
wavmark,3,260,1,17,pgr,1,1,1,13,0.8125,0.443232,4.6102,0.9994,45.20
wavmark,3,260,2,18,pgr,1,1,1,13,0.8125,0.272962,4.5992,0.9997,43.75
wavmark,3,260,3,19,pgr,1,1,1,12,0.7500,0.276810,4.6154,0.9997,44.67
wavmark,3,260,4,20,pgr,1,1,1,12,0.7500,0.214606,4.6143,0.9996,44.58
wavmark,3,260,5,21,pgr,1,1,1,11,0.6875,0.163921,4.6042,0.9996,44.06
wavmark,3,260,6,22,pgr,1,1,1,12,0.7500,0.163921,4.6063,0.9992,43.60
wavmark,3,260,7,23,pgr,1,1,1,12,0.7500,0.211324,4.6002,0.9994,44.18
wavmark,3,672,0,24,pgr,1,1,1,13,0.8125,0.320532,4.6013,0.9980,42.85
wavmark,3,672,1,25,pgr,1,1,1,12,0.7500,0.218815,4.6116,0.9984,43.21
wavmark,3,672,2,26,pgr,1,1,1,12,0.7500,0.320532,4.6174,0.9988,43.74
wavmark,3,672,3,27,pgr,1,1,1,13,0.8125,0.362531,4.6219,0.9989,43.87
wavmark,3,672,4,28,pgr,1,1,1,11,0.6875,0.271043,4.6028,0.9982,43.00
wavmark,3,672,5,29,pgr,1,1,1,14,0.8750,0.495587,4.6032,0.9988,44.23
wavmark,3,672,6,30,pgr,1,1,1,13,0.8125,0.276810,4.6018,0.9985,43.83
wavmark,3,672,7,31,pgr,1,1,1,11,0.6875,0.200564,4.6100,0.9986,42.60
wavmark,3,908,0,32,pgr,1,1,1,11,0.6875,0.178323,4.5880,0.9994,43.18
wavmark,3,908,1,33,pgr,1,1,1,12,0.7500,0.276810,4.5936,0.9995,43.47
wavmark,3,908,2,34,pgr,1,1,1,15,0.9375,0.500000,4.6003,0.9996,44.69
wavmark,3,908,3,35,pgr,1,1,1,11,0.6875,0.163921,4.5814,0.9993,42.47
wavmark,3,908,4,36,pgr,1,1,1,12,0.7500,0.329933,4.5910,0.9994,43.65
wavmark,3,908,5,37,pgr,1,1,1,10,0.6250,0.238446,4.5920,0.9994,43.58
wavmark,3,908,6,38,pgr,1,1,1,12,0.7500,0.301474,4.5904,0.9995,44.03
wavmark,3,908,7,39,pgr,1,1,1,13,0.8125,0.258568,4.5780,0.9994,42.90
wavmark,3,1089,0,40,pgr,1,1,1,13,0.8125,0.387574,4.6200,0.9998,45.14
wavmark,3,1089,1,41,pgr,1,1,1,12,0.7500,0.271043,4.6079,0.9998,44.48
wavmark,3,1089,2,42,pgr,1,1,1,14,0.8750,0.539213,4.6065,0.9998,45.38
wavmark,3,1089,3,43,pgr,1,1,1,15,0.9375,0.495587,4.6241,0.9998,45.91
wavmark,3,1089,4,44,pgr,1,1,1,12,0.7500,0.329933,4.6132,0.9998,44.48
wavmark,3,1089,5,45,pgr,1,1,1,13,0.8125,0.543074,4.6030,0.9998,44.76
wavmark,3,1089,6,46,pgr,1,1,1,12,0.7500,0.325172,4.6104,0.9998,44.32
wavmark,3,1089,7,47,pgr,1,1,1,13,0.8125,0.301474,4.6132,0.9998,44.17
wavmark,3,1188,0,48,pgr,1,1,1,12,0.7500,0.272962,4.5915,0.9954,43.37
wavmark,3,1188,1,49,pgr,1,1,1,12,0.7500,0.384735,4.5976,0.9950,43.92
wavmark,3,1188,2,50,pgr,1,1,1,14,0.8750,0.422946,4.5939,0.9946,44.21
