model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wmcodec,5,chinese:SSB0005,0,0,pgr,1,1,1,11,0.6875,0.221515,4.2293,0.9816,15.84
wmcodec,5,chinese:SSB0005,1,1,pgr,1,1,1,11,0.6875,0.063820,4.4245,0.9883,18.74
wmcodec,5,chinese:SSB0005,2,2,pgr,1,1,1,9,0.5625,0.172632,4.4957,0.9885,18.94
wmcodec,5,chinese:SSB0009,0,3,pgr,1,1,1,13,0.8125,0.107346,4.2995,0.9867,14.80
wmcodec,5,chinese:SSB0009,1,4,pgr,1,1,1,10,0.6250,0.254939,4.3491,0.9879,15.26
wmcodec,5,chinese:SSB0009,2,5,pgr,1,1,1,11,0.6875,0.269863,4.3608,0.9883,15.26
wmcodec,5,chinese:SSB0011,0,6,pgr,1,1,1,11,0.6875,0.153644,4.3780,0.9867,17.15
wmcodec,5,chinese:SSB0011,1,7,pgr,1,1,1,14,0.8750,0.113031,4.1760,0.9848,17.54
wmcodec,5,chinese:SSB0011,2,8,pgr,1,1,1,11,0.6875,0.251214,4.0379,0.9773,15.23
wmcodec,5,chinese:SSB0012,0,9,pgr,1,1,1,9,0.5625,0.305167,4.2016,0.9814,12.86
wmcodec,5,chinese:SSB0012,1,10,pgr,1,1,1,11,0.6875,0.139661,4.3947,0.9876,15.61
wmcodec,5,chinese:SSB0012,2,11,pgr,1,1,1,11,0.6875,0.182364,4.3676,0.9849,13.32
wmcodec,5,chinese:SSB0016,0,12,pgr,1,1,1,10,0.6250,0.175730,4.3785,0.9876,17.13
wmcodec,5,chinese:SSB0016,1,13,pgr,1,1,1,12,0.7500,0.067036,4.3146,0.9874,17.09
wmcodec,5,chinese:SSB0016,2,14,pgr,1,1,1,12,0.7500,0.093928,4.1811,0.9853,16.53
wmcodec,5,chinese:SSB0018,0,15,pgr,1,1,1,10,0.6250,0.165086,4.3562,0.9870,15.31
wmcodec,5,chinese:SSB0018,1,16,pgr,1,1,1,12,0.7500,0.042266,4.3731,0.9897,16.00
wmcodec,5,chinese:SSB0018,2,17,pgr,1,1,1,10,0.6250,0.121901,4.3699,0.9890,15.39
wmcodec,5,chinese:SSB0033,0,18,pgr,1,1,1,12,0.7500,0.190368,4.2590,0.9855,17.85
wmcodec,5,chinese:SSB0033,1,19,pgr,1,1,1,11,0.6875,0.243114,4.2863,0.9856,19.48
wmcodec,5,chinese:SSB0033,2,20,pgr,1,1,1,10,0.6250,0.115496,4.2628,0.9849,18.91
wmcodec,5,chinese:SSB0038,0,21,pgr,1,1,1,10,0.6250,0.083460,4.2536,0.9864,15.07
wmcodec,5,chinese:SSB0038,1,22,pgr,1,1,1,12,0.7500,0.104982,4.3624,0.9875,16.23
wmcodec,5,chinese:SSB0038,2,23,pgr,1,1,1,11,0.6875,0.181089,4.4247,0.9897,16.73
wmcodec,5,chinese:SSB0043,0,24,pgr,1,1,1,11,0.6875,0.070026,3.8619,0.9716,14.45
wmcodec,5,chinese:SSB0043,1,25,pgr,1,1,1,10,0.6250,0.173592,3.9215,0.9756,14.95
wmcodec,5,chinese:SSB0043,2,26,pgr,1,1,1,11,0.6875,0.180604,3.9422,0.9769,14.66
wmcodec,5,chinese:SSB0057,0,27,pgr,1,1,1,15,0.9375,0.232345,4.5034,0.9893,18.18
wmcodec,5,chinese:SSB0057,1,28,pgr,1,1,1,11,0.6875,0.128908,4.3539,0.9855,14.83
wmcodec,5,chinese:SSB0057,2,29,pgr,1,1,1,9,0.5625,0.142157,4.3065,0.9828,15.09
wmcodec,5,chinese:SSB0073,0,30,pgr,1,1,1,10,0.6250,0.268959,4.1263,0.9768,13.44
wmcodec,5,chinese:SSB0073,1,31,pgr,1,1,1,10,0.6250,0.173324,4.4290,0.9885,17.06
wmcodec,5,chinese:SSB0073,2,32,pgr,1,1,1,10,0.6250,0.142668,4.3192,0.9839,15.45
wmcodec,5,chinese:SSB0080,0,33,pgr,1,1,1,11,0.6875,0.221291,4.3947,0.9869,16.87
wmcodec,5,chinese:SSB0080,1,34,pgr,1,1,1,12,0.7500,0.139613,4.3176,0.9866,17.42
wmcodec,5,chinese:SSB0080,2,35,pgr,1,1,1,12,0.7500,0.139017,4.1696,0.9756,13.96
wmcodec,5,chinese:SSB0112,0,36,pgr,1,1,1,10,0.6250,0.137316,4.4053,0.9861,13.43
wmcodec,5,chinese:SSB0112,1,37,pgr,1,1,1,12,0.7500,0.155684,4.4427,0.9871,14.42
wmcodec,5,chinese:SSB0112,2,38,pgr,0,0,0,16,1.0000,0.198410,4.4421,0.9918,16.59
wmcodec,5,chinese:SSB0122,0,39,pgr,1,1,1,15,0.9375,0.148024,4.4829,0.9916,17.52
wmcodec,5,chinese:SSB0122,1,40,pgr,1,1,1,11,0.6875,0.101792,4.4435,0.9892,16.56
wmcodec,5,chinese:SSB0122,2,41,pgr,1,1,1,12,0.7500,0.281407,4.4262,0.9927,17.72
wmcodec,5,chinese:SSB0133,0,42,pgr,1,1,1,12,0.7500,0.100382,4.2587,0.9846,16.80
wmcodec,5,chinese:SSB0133,1,43,pgr,1,1,1,11,0.6875,0.079125,4.0012,0.9795,14.64
wmcodec,5,chinese:SSB0133,2,44,pgr,1,1,1,11,0.6875,0.130671,3.8909,0.9866,16.46
wmcodec,5,chinese:SSB0139,0,45,pgr,1,1,1,11,0.6875,0.141569,4.3855,0.9922,15.73
wmcodec,5,chinese:SSB0139,1,46,pgr,1,1,1,13,0.8125,0.177848,4.4067,0.9931,16.97
wmcodec,5,chinese:SSB0139,2,47,pgr,1,1,1,9,0.5625,0.200750,4.4694,0.9940,17.66
wmcodec,5,chinese:SSB0145,0,48,pgr,1,1,1,14,0.8750,0.000000,4.0306,0.9796,11.96
wmcodec,5,chinese:SSB0145,1,49,pgr,1,1,1,11,0.6875,0.126736,4.4125,0.9889,16.69
wmcodec,5,chinese:SSB0145,2,50,pgr,1,1,1,15,0.9375,0.180081,4.3370,0.9872,16.04
wmcodec,5,chinese:SSB0149,0,51,pgr,1,1,1,13,0.8125,0.096521,4.4290,0.9920,14.87
wmcodec,5,chinese:SSB0149,1,52,pgr,1,1,1,12,0.7500,0.253854,4.3441,0.9876,12.57
wmcodec,5,chinese:SSB0149,2,53,pgr,1,1,1,9,0.5625,0.124659,4.3343,0.9875,13.07
wmcodec,5,chinese:SSB0193,0,54,pgr,1,1,1,11,0.6875,0.200781,4.4091,0.9875,15.11
wmcodec,5,chinese:SSB0193,1,55,pgr,1,1,1,9,0.5625,0.113114,4.2285,0.9804,11.99
wmcodec,5,chinese:SSB0193,2,56,pgr,1,1,1,12,0.7500,0.193921,4.4249,0.9876,14.91
wmcodec,5,chinese:SSB0197,0,57,pgr,1,1,1,9,0.5625,0.265389,4.3948,0.9895,17.06
wmcodec,5,chinese:SSB0197,1,58,pgr,1,1,1,11,0.6875,0.285571,4.4376,0.9878,16.67
wmcodec,5,chinese:SSB0197,2,59,pgr,1,1,1,10,0.6250,0.221040,4.4446,0.9860,16.32
wmcodec,5,chinese:SSB0200,0,60,pgr,1,1,1,14,0.8750,0.064647,4.1014,0.9795,14.09
wmcodec,5,chinese:SSB0200,1,61,pgr,1,0,0,13,0.8125,0.160356,4.1463,0.9774,13.54
wmcodec,5,chinese:SSB0200,2,62,pgr,1,1,1,15,0.9375,0.182170,4.3344,0.9825,15.09
wmcodec,5,chinese:SSB0241,0,63,pgr,1,1,1,10,0.6250,0.102093,4.3813,0.9901,16.79
wmcodec,5,chinese:SSB0241,1,64,pgr,1,1,1,13,0.8125,0.285577,4.3475,0.9884,14.81
wmcodec,5,chinese:SSB0241,2,65,pgr,1,1,1,10,0.6250,0.142934,4.3406,0.9896,15.24
wmcodec,5,chinese:SSB0246,0,66,pgr,1,1,1,13,0.8125,0.142353,4.0059,0.9836,15.53
wmcodec,5,chinese:SSB0246,1,67,pgr,1,1,1,12,0.7500,0.174705,4.1809,0.9832,15.50
wmcodec,5,chinese:SSB0246,2,68,pgr,1,1,1,10,0.6250,0.192551,4.2505,0.9870,17.00
wmcodec,5,chinese:SSB0261,0,69,pgr,1,1,1,11,0.6875,0.135015,4.3973,0.9873,16.47
wmcodec,5,chinese:SSB0261,1,70,pgr,1,1,1,11,0.6875,0.183115,4.4051,0.9873,16.64
wmcodec,5,chinese:SSB0261,2,71,pgr,1,1,1,11,0.6875,0.147519,4.3401,0.9838,14.41
wmcodec,5,chinese:SSB0267,0,72,pgr,1,1,1,13,0.8125,0.088452,4.0229,0.9793,16.23
wmcodec,5,chinese:SSB0267,1,73,pgr,1,1,1,9,0.5625,0.133973,3.9894,0.9802,16.96
wmcodec,5,chinese:SSB0267,2,74,pgr,1,1,1,12,0.7500,0.083401,4.1655,0.9791,17.12
wmcodec,5,chinese:SSB0273,0,75,pgr,1,1,1,12,0.7500,0.105916,4.1986,0.9830,14.78
wmcodec,5,chinese:SSB0273,1,76,pgr,1,1,1,11,0.6875,0.118123,4.3170,0.9879,16.85
wmcodec,5,chinese:SSB0273,2,77,pgr,1,1,1,10,0.6250,0.200929,4.3225,0.9882,17.15
wmcodec,5,chinese:SSB0287,0,78,pgr,1,1,1,11,0.6875,0.111288,4.2398,0.9835,13.42
wmcodec,5,chinese:SSB0287,1,79,pgr,1,1,1,11,0.6875,0.151252,4.3748,0.9858,14.86
wmcodec,5,chinese:SSB0287,2,80,pgr,1,1,1,12,0.7500,0.230384,4.4093,0.9880,15.01
wmcodec,5,chinese:SSB0288,0,81,pgr,1,1,1,11,0.6875,0.181025,4.3664,0.9894,16.65
wmcodec,5,chinese:SSB0288,1,82,pgr,1,1,1,11,0.6875,0.098449,4.4509,0.9907,17.66
wmcodec,5,chinese:SSB0288,2,83,pgr,1,1,1,11,0.6875,0.149866,4.3068,0.9862,16.53
wmcodec,5,chinese:SSB0299,0,84,pgr,1,1,1,12,0.7500,0.092738,4.3287,0.9896,15.78
wmcodec,5,chinese:SSB0299,1,85,pgr,1,1,1,13,0.8125,0.212997,4.1104,0.9901,16.13
wmcodec,5,chinese:SSB0299,2,86,pgr,1,1,1,14,0.8750,0.312284,4.4789,0.9936,17.80
wmcodec,5,chinese:SSB0307,0,87,pgr,1,1,1,15,0.9375,0.187051,4.4267,0.9849,15.82
wmcodec,5,chinese:SSB0307,1,88,pgr,1,1,1,13,0.8125,0.153188,4.4429,0.9863,17.07
wmcodec,5,chinese:SSB0307,2,89,pgr,1,1,1,10,0.6250,0.140725,4.4386,0.9851,16.14
wmcodec,5,chinese:SSB0309,0,90,pgr,1,1,1,11,0.6875,0.254924,4.4050,0.9925,18.54
wmcodec,5,chinese:SSB0309,1,91,pgr,1,1,1,10,0.6250,0.150931,4.2881,0.9903,15.84
wmcodec,5,chinese:SSB0309,2,92,pgr,1,1,1,11,0.6875,0.195038,4.4175,0.9908,16.61
wmcodec,5,chinese:SSB0315,0,93,pgr,1,1,1,9,0.5625,0.250119,4.2540,0.9863,14.41
wmcodec,5,chinese:SSB0315,1,94,pgr,1,1,1,11,0.6875,0.061106,4.3650,0.9870,15.01
wmcodec,5,chinese:SSB0315,2,95,pgr,1,1,1,11,0.6875,0.166755,4.4358,0.9909,17.87
wmcodec,5,chinese:SSB0316,0,96,pgr,1,1,1,10,0.6250,0.223413,4.2312,0.9833,14.93
wmcodec,5,chinese:SSB0316,1,97,pgr,1,1,1,12,0.7500,0.135507,4.1348,0.9825,14.13
wmcodec,5,chinese:SSB0316,2,98,pgr,1,1,1,11,0.6875,0.148024,4.0852,0.9796,13.80
wmcodec,5,chinese:SSB0323,0,99,pgr,1,1,1,12,0.7500,0.162798,4.2905,0.9867,15.57
wmcodec,5,chinese:SSB0323,1,100,pgr,1,1,1,13,0.8125,0.107406,4.1693,0.9817,12.46
wmcodec,5,chinese:SSB0323,2,101,pgr,1,1,1,13,0.8125,0.216800,4.2784,0.9848,12.93
wmcodec,5,chinese:SSB0338,0,102,pgr,1,1,1,10,0.6250,0.091412,4.4317,0.9908,16.10
wmcodec,5,chinese:SSB0338,1,103,pgr,1,1,1,11,0.6875,0.118078,4.3984,0.9906,16.21
wmcodec,5,chinese:SSB0338,2,104,pgr,1,1,1,12,0.7500,0.278552,4.1875,0.9839,12.80
