model,K,spk,local_t,gi,method,block_seconds,fade_seconds,selection_rule,ASR,R3_escape,R5_escape,NAC,PESQ,STOI,SI_SDR
audioseal,5,chinese:SSB0005,0,0,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.6016,0.9993,35.93
audioseal,5,chinese:SSB0005,0,0,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.6101,0.9994,38.13
audioseal,5,chinese:SSB0005,0,0,rp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.5575,0.9987,32.83
audioseal,5,chinese:SSB0005,0,0,eep,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.6114,0.9995,38.52
audioseal,5,chinese:SSB0005,0,0,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5802,0.9991,34.98
audioseal,5,chinese:SSB0005,0,0,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.4612,0.9979,34.45
audioseal,5,chinese:SSB0005,0,0,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.4384,0.9979,34.60
audioseal,5,chinese:SSB0005,0,0,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.6019,0.9993,37.95
audioseal,5,chinese:SSB0009,0,1,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.5714,0.9995,32.93
audioseal,5,chinese:SSB0009,0,1,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.5897,0.9996,34.36
audioseal,5,chinese:SSB0009,0,1,rp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5159,0.9990,29.44
audioseal,5,chinese:SSB0009,0,1,eep,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.6029,0.9998,35.01
audioseal,5,chinese:SSB0009,0,1,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.5601,0.9994,32.01
audioseal,5,chinese:SSB0009,0,1,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.4642,0.9987,30.86
audioseal,5,chinese:SSB0009,0,1,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.4661,0.9987,30.84
audioseal,5,chinese:SSB0009,0,1,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5899,0.9996,34.40
audioseal,5,chinese:SSB0011,0,2,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5479,0.9987,32.85
audioseal,5,chinese:SSB0011,0,2,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.5628,0.9990,33.56
audioseal,5,chinese:SSB0011,0,2,rp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.4959,0.9975,29.82
audioseal,5,chinese:SSB0011,0,2,eep,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.4959,0.9975,29.82
audioseal,5,chinese:SSB0011,0,2,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.4589,0.9980,32.20
audioseal,5,chinese:SSB0011,0,2,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,3.5730,0.9972,29.81
audioseal,5,chinese:SSB0011,0,2,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,3.5538,0.9972,29.83
audioseal,5,chinese:SSB0011,0,2,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.9375,4.5498,0.9985,32.71
audioseal,5,chinese:SSB0012,0,3,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.6052,0.9995,35.68
audioseal,5,chinese:SSB0012,0,3,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.6075,0.9997,34.70
audioseal,5,chinese:SSB0012,0,3,rp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.6181,0.9998,38.04
audioseal,5,chinese:SSB0012,0,3,eep,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5798,0.9993,34.28
audioseal,5,chinese:SSB0012,0,3,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5636,0.9994,36.01
audioseal,5,chinese:SSB0012,0,3,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.2090,0.9942,31.16
audioseal,5,chinese:SSB0012,0,3,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.2303,0.9943,31.16
audioseal,5,chinese:SSB0012,0,3,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5875,0.9994,33.26
audioseal,5,chinese:SSB0016,0,4,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5392,0.9984,31.77
audioseal,5,chinese:SSB0016,0,4,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5565,0.9987,32.70
audioseal,5,chinese:SSB0016,0,4,rp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5565,0.9987,32.70
audioseal,5,chinese:SSB0016,0,4,eep,2.0,0.02,blockwise_max_pair_mse,0,0,0,1.0000,4.5205,0.9978,30.06
