model,K,spk,local_t,eps,r0,ASR
timbrewm,5,121,0,0.0,0.05,1
timbrewm,5,121,0,0.0,0.1,1
timbrewm,5,121,0,0.0,0.3,1
timbrewm,5,121,0,0.001,0.05,1
timbrewm,5,121,0,0.001,0.1,1
timbrewm,5,121,0,0.001,0.3,1
timbrewm,5,121,0,0.01,0.05,0
timbrewm,5,121,0,0.01,0.1,0
timbrewm,5,121,0,0.01,0.3,1
timbrewm,5,121,0,0.05,0.05,1
timbrewm,5,121,0,0.05,0.1,1
timbrewm,5,121,0,0.05,0.3,1
timbrewm,5,121,1,0.0,0.05,0
timbrewm,5,121,1,0.0,0.1,0
timbrewm,5,121,1,0.0,0.3,0
timbrewm,5,121,1,0.001,0.05,0
timbrewm,5,121,1,0.001,0.1,1
timbrewm,5,121,1,0.001,0.3,1
timbrewm,5,121,1,0.01,0.05,1
timbrewm,5,121,1,0.01,0.1,1
timbrewm,5,121,1,0.01,0.3,1
timbrewm,5,121,1,0.05,0.05,1
timbrewm,5,121,1,0.05,0.1,1
timbrewm,5,121,1,0.05,0.3,1
timbrewm,5,237,0,0.0,0.05,1
timbrewm,5,237,0,0.0,0.1,1
timbrewm,5,237,0,0.0,0.3,1
timbrewm,5,237,0,0.001,0.05,1
timbrewm,5,237,0,0.001,0.1,1
timbrewm,5,237,0,0.001,0.3,1
timbrewm,5,237,0,0.01,0.05,1
timbrewm,5,237,0,0.01,0.1,1
timbrewm,5,237,0,0.01,0.3,1
timbrewm,5,237,0,0.05,0.05,1
timbrewm,5,237,0,0.05,0.1,1
timbrewm,5,237,0,0.05,0.3,1
timbrewm,5,237,1,0.0,0.05,1
timbrewm,5,237,1,0.0,0.1,1
timbrewm,5,237,1,0.0,0.3,1
timbrewm,5,237,1,0.001,0.05,1
timbrewm,5,237,1,0.001,0.1,1
timbrewm,5,237,1,0.001,0.3,1
timbrewm,5,237,1,0.01,0.05,1
timbrewm,5,237,1,0.01,0.1,1
timbrewm,5,237,1,0.01,0.3,1
timbrewm,5,237,1,0.05,0.05,1
timbrewm,5,237,1,0.05,0.1,1
timbrewm,5,237,1,0.05,0.3,1
timbrewm,5,260,0,0.0,0.05,1
timbrewm,5,260,0,0.0,0.1,1
timbrewm,5,260,0,0.0,0.3,1
timbrewm,5,260,0,0.001,0.05,1
timbrewm,5,260,0,0.001,0.1,1
timbrewm,5,260,0,0.001,0.3,1
timbrewm,5,260,0,0.01,0.05,1
timbrewm,5,260,0,0.01,0.1,1
timbrewm,5,260,0,0.01,0.3,1
timbrewm,5,260,0,0.05,0.05,1
timbrewm,5,260,0,0.05,0.1,1
timbrewm,5,260,0,0.05,0.3,1
timbrewm,5,260,1,0.0,0.05,1
timbrewm,5,260,1,0.0,0.1,1
timbrewm,5,260,1,0.0,0.3,1
timbrewm,5,260,1,0.001,0.05,1
timbrewm,5,260,1,0.001,0.1,1
timbrewm,5,260,1,0.001,0.3,1
timbrewm,5,260,1,0.01,0.05,1
timbrewm,5,260,1,0.01,0.1,0
timbrewm,5,260,1,0.01,0.3,1
timbrewm,5,260,1,0.05,0.05,1
timbrewm,5,260,1,0.05,0.1,0
timbrewm,5,260,1,0.05,0.3,1
timbrewm,5,672,0,0.0,0.05,1
timbrewm,5,672,0,0.0,0.1,1
timbrewm,5,672,0,0.0,0.3,1
timbrewm,5,672,0,0.001,0.05,1
timbrewm,5,672,0,0.001,0.1,1
timbrewm,5,672,0,0.001,0.3,1
timbrewm,5,672,0,0.01,0.05,1
timbrewm,5,672,0,0.01,0.1,1
timbrewm,5,672,0,0.01,0.3,1
timbrewm,5,672,0,0.05,0.05,1
timbrewm,5,672,0,0.05,0.1,1
timbrewm,5,672,0,0.05,0.3,1
timbrewm,5,672,1,0.0,0.05,1
timbrewm,5,672,1,0.0,0.1,1
timbrewm,5,672,1,0.0,0.3,1
timbrewm,5,672,1,0.001,0.05,1
timbrewm,5,672,1,0.001,0.1,1
timbrewm,5,672,1,0.001,0.3,1
timbrewm,5,672,1,0.01,0.05,1
timbrewm,5,672,1,0.01,0.1,1
timbrewm,5,672,1,0.01,0.3,1
timbrewm,5,672,1,0.05,0.05,1
timbrewm,5,672,1,0.05,0.1,1
timbrewm,5,672,1,0.05,0.3,1
timbrewm,5,908,0,0.0,0.05,1
timbrewm,5,908,0,0.0,0.1,1
timbrewm,5,908,0,0.0,0.3,1
timbrewm,5,908,0,0.001,0.05,1
timbrewm,5,908,0,0.001,0.1,1
timbrewm,5,908,0,0.001,0.3,1
timbrewm,5,908,0,0.01,0.05,1
timbrewm,5,908,0,0.01,0.1,1
timbrewm,5,908,0,0.01,0.3,1
timbrewm,5,908,0,0.05,0.05,1
timbrewm,5,908,0,0.05,0.1,1
timbrewm,5,908,0,0.05,0.3,1
timbrewm,5,908,1,0.0,0.05,1
timbrewm,5,908,1,0.0,0.1,1
timbrewm,5,908,1,0.0,0.3,1
timbrewm,5,908,1,0.001,0.05,1
timbrewm,5,908,1,0.001,0.1,1
timbrewm,5,908,1,0.001,0.3,1
timbrewm,5,908,1,0.01,0.05,0
timbrewm,5,908,1,0.01,0.1,1
timbrewm,5,908,1,0.01,0.3,1
timbrewm,5,908,1,0.05,0.05,0
timbrewm,5,908,1,0.05,0.1,1
timbrewm,5,908,1,0.05,0.3,1
timbrewm,5,1089,0,0.0,0.05,1
timbrewm,5,1089,0,0.0,0.1,1
timbrewm,5,1089,0,0.0,0.3,1
timbrewm,5,1089,0,0.001,0.05,1
timbrewm,5,1089,0,0.001,0.1,1
timbrewm,5,1089,0,0.001,0.3,1
timbrewm,5,1089,0,0.01,0.05,1
timbrewm,5,1089,0,0.01,0.1,1
timbrewm,5,1089,0,0.01,0.3,1
timbrewm,5,1089,0,0.05,0.05,1
timbrewm,5,1089,0,0.05,0.1,1
timbrewm,5,1089,0,0.05,0.3,1
timbrewm,5,1089,1,0.0,0.05,1
timbrewm,5,1089,1,0.0,0.1,1
timbrewm,5,1089,1,0.0,0.3,1
timbrewm,5,1089,1,0.001,0.05,1
timbrewm,5,1089,1,0.001,0.1,1
timbrewm,5,1089,1,0.001,0.3,1
timbrewm,5,1089,1,0.01,0.05,1
timbrewm,5,1089,1,0.01,0.1,1
timbrewm,5,1089,1,0.01,0.3,1
timbrewm,5,1089,1,0.05,0.05,1
timbrewm,5,1089,1,0.05,0.1,1
timbrewm,5,1089,1,0.05,0.3,1
timbrewm,5,1188,0,0.0,0.05,1
timbrewm,5,1188,0,0.0,0.1,1
timbrewm,5,1188,0,0.0,0.3,1
timbrewm,5,1188,0,0.001,0.05,1
timbrewm,5,1188,0,0.001,0.1,1
timbrewm,5,1188,0,0.001,0.3,1
timbrewm,5,1188,0,0.01,0.05,1
timbrewm,5,1188,0,0.01,0.1,1
timbrewm,5,1188,0,0.01,0.3,1
timbrewm,5,1188,0,0.05,0.05,1
timbrewm,5,1188,0,0.05,0.1,1
timbrewm,5,1188,0,0.05,0.3,1
timbrewm,5,1188,1,0.0,0.05,1
timbrewm,5,1188,1,0.0,0.1,1
timbrewm,5,1188,1,0.0,0.3,1
timbrewm,5,1188,1,0.001,0.05,1
timbrewm,5,1188,1,0.001,0.1,1
timbrewm,5,1188,1,0.001,0.3,1
timbrewm,5,1188,1,0.01,0.05,1
timbrewm,5,1188,1,0.01,0.1,1
timbrewm,5,1188,1,0.01,0.3,1
timbrewm,5,1188,1,0.05,0.05,1
timbrewm,5,1188,1,0.05,0.1,1
timbrewm,5,1188,1,0.05,0.3,1
timbrewm,5,1221,0,0.0,0.05,1
timbrewm,5,1221,0,0.0,0.1,1
timbrewm,5,1221,0,0.0,0.3,1
timbrewm,5,1221,0,0.001,0.05,1
timbrewm,5,1221,0,0.001,0.1,1
timbrewm,5,1221,0,0.001,0.3,1
timbrewm,5,1221,0,0.01,0.05,1
timbrewm,5,1221,0,0.01,0.1,1
timbrewm,5,1221,0,0.01,0.3,1
timbrewm,5,1221,0,0.05,0.05,1
timbrewm,5,1221,0,0.05,0.1,1
timbrewm,5,1221,0,0.05,0.3,1
timbrewm,5,1221,1,0.0,0.05,1
timbrewm,5,1221,1,0.0,0.1,1
timbrewm,5,1221,1,0.0,0.3,1
timbrewm,5,1221,1,0.001,0.05,1
timbrewm,5,1221,1,0.001,0.1,1
timbrewm,5,1221,1,0.001,0.3,1
timbrewm,5,1221,1,0.01,0.05,1
timbrewm,5,1221,1,0.01,0.1,1
timbrewm,5,1221,1,0.01,0.3,1
timbrewm,5,1221,1,0.05,0.05,1
timbrewm,5,1221,1,0.05,0.1,1
timbrewm,5,1221,1,0.05,0.3,1
timbrewm,5,1284,0,0.0,0.05,1
timbrewm,5,1284,0,0.0,0.1,1
timbrewm,5,1284,0,0.0,0.3,1
timbrewm,5,1284,0,0.001,0.05,1
timbrewm,5,1284,0,0.001,0.1,0
timbrewm,5,1284,0,0.001,0.3,1
timbrewm,5,1284,0,0.01,0.05,1
timbrewm,5,1284,0,0.01,0.1,1
timbrewm,5,1284,0,0.01,0.3,1
timbrewm,5,1284,0,0.05,0.05,1
timbrewm,5,1284,0,0.05,0.1,1
timbrewm,5,1284,0,0.05,0.3,1
timbrewm,5,1284,1,0.0,0.05,1
timbrewm,5,1284,1,0.0,0.1,1
timbrewm,5,1284,1,0.0,0.3,1
timbrewm,5,1284,1,0.001,0.05,1
timbrewm,5,1284,1,0.001,0.1,1
timbrewm,5,1284,1,0.001,0.3,1
timbrewm,5,1284,1,0.01,0.05,1
timbrewm,5,1284,1,0.01,0.1,1
timbrewm,5,1284,1,0.01,0.3,1
timbrewm,5,1284,1,0.05,0.05,1
timbrewm,5,1284,1,0.05,0.1,1
timbrewm,5,1284,1,0.05,0.3,1
timbrewm,5,1320,0,0.0,0.05,1
timbrewm,5,1320,0,0.0,0.1,1
timbrewm,5,1320,0,0.0,0.3,1
timbrewm,5,1320,0,0.001,0.05,1
timbrewm,5,1320,0,0.001,0.1,1
timbrewm,5,1320,0,0.001,0.3,1
timbrewm,5,1320,0,0.01,0.05,1
timbrewm,5,1320,0,0.01,0.1,1
timbrewm,5,1320,0,0.01,0.3,1
timbrewm,5,1320,0,0.05,0.05,1
timbrewm,5,1320,0,0.05,0.1,1
timbrewm,5,1320,0,0.05,0.3,1
timbrewm,5,1320,1,0.0,0.05,1
timbrewm,5,1320,1,0.0,0.1,1
timbrewm,5,1320,1,0.0,0.3,1
timbrewm,5,1320,1,0.001,0.05,1
timbrewm,5,1320,1,0.001,0.1,1
timbrewm,5,1320,1,0.001,0.3,1
timbrewm,5,1320,1,0.01,0.05,1
timbrewm,5,1320,1,0.01,0.1,1
timbrewm,5,1320,1,0.01,0.3,1
timbrewm,5,1320,1,0.05,0.05,1
timbrewm,5,1320,1,0.05,0.1,1
timbrewm,5,1320,1,0.05,0.3,1
timbrewm,5,1580,0,0.0,0.05,1
timbrewm,5,1580,0,0.0,0.1,1
timbrewm,5,1580,0,0.0,0.3,1
timbrewm,5,1580,0,0.001,0.05,1
timbrewm,5,1580,0,0.001,0.1,1
timbrewm,5,1580,0,0.001,0.3,1
timbrewm,5,1580,0,0.01,0.05,1
timbrewm,5,1580,0,0.01,0.1,1
timbrewm,5,1580,0,0.01,0.3,1
timbrewm,5,1580,0,0.05,0.05,1
timbrewm,5,1580,0,0.05,0.1,1
timbrewm,5,1580,0,0.05,0.3,1
timbrewm,5,1580,1,0.0,0.05,0
timbrewm,5,1580,1,0.0,0.1,0
timbrewm,5,1580,1,0.0,0.3,0
timbrewm,5,1580,1,0.001,0.05,0
timbrewm,5,1580,1,0.001,0.1,0
timbrewm,5,1580,1,0.001,0.3,0
timbrewm,5,1580,1,0.01,0.05,1
timbrewm,5,1580,1,0.01,0.1,1
timbrewm,5,1580,1,0.01,0.3,1
timbrewm,5,1580,1,0.05,0.05,1
timbrewm,5,1580,1,0.05,0.1,1
timbrewm,5,1580,1,0.05,0.3,1
timbrewm,5,1995,0,0.0,0.05,1
timbrewm,5,1995,0,0.0,0.1,1
timbrewm,5,1995,0,0.0,0.3,1
timbrewm,5,1995,0,0.001,0.05,1
timbrewm,5,1995,0,0.001,0.1,1
timbrewm,5,1995,0,0.001,0.3,1
timbrewm,5,1995,0,0.01,0.05,1
timbrewm,5,1995,0,0.01,0.1,1
timbrewm,5,1995,0,0.01,0.3,1
timbrewm,5,1995,0,0.05,0.05,1
timbrewm,5,1995,0,0.05,0.1,1
timbrewm,5,1995,0,0.05,0.3,1
timbrewm,5,1995,1,0.0,0.05,0
timbrewm,5,1995,1,0.0,0.1,0
timbrewm,5,1995,1,0.0,0.3,0
timbrewm,5,1995,1,0.001,0.05,1
timbrewm,5,1995,1,0.001,0.1,1
timbrewm,5,1995,1,0.001,0.3,1
timbrewm,5,1995,1,0.01,0.05,1
timbrewm,5,1995,1,0.01,0.1,1
timbrewm,5,1995,1,0.01,0.3,1
timbrewm,5,1995,1,0.05,0.05,1
timbrewm,5,1995,1,0.05,0.1,1
timbrewm,5,1995,1,0.05,0.3,1
timbrewm,5,2300,0,0.0,0.05,1
timbrewm,5,2300,0,0.0,0.1,1
timbrewm,5,2300,0,0.0,0.3,1
timbrewm,5,2300,0,0.001,0.05,1
timbrewm,5,2300,0,0.001,0.1,1
timbrewm,5,2300,0,0.001,0.3,1
timbrewm,5,2300,0,0.01,0.05,1
timbrewm,5,2300,0,0.01,0.1,1
timbrewm,5,2300,0,0.01,0.3,1
timbrewm,5,2300,0,0.05,0.05,1
timbrewm,5,2300,0,0.05,0.1,1
timbrewm,5,2300,0,0.05,0.3,1
timbrewm,5,2830,0,0.0,0.05,1
timbrewm,5,2830,0,0.0,0.1,1
timbrewm,5,2830,0,0.0,0.3,1
timbrewm,5,2830,0,0.001,0.05,1
timbrewm,5,2830,0,0.001,0.1,1
timbrewm,5,2830,0,0.001,0.3,1
timbrewm,5,2830,0,0.01,0.05,1
timbrewm,5,2830,0,0.01,0.1,1
timbrewm,5,2830,0,0.01,0.3,1
timbrewm,5,2830,0,0.05,0.05,1
timbrewm,5,2830,0,0.05,0.1,1
timbrewm,5,2830,0,0.05,0.3,1
timbrewm,5,2961,0,0.0,0.05,1
timbrewm,5,2961,0,0.0,0.1,1
timbrewm,5,2961,0,0.0,0.3,1
timbrewm,5,2961,0,0.001,0.05,1
timbrewm,5,2961,0,0.001,0.1,1
timbrewm,5,2961,0,0.001,0.3,1
timbrewm,5,2961,0,0.01,0.05,1
timbrewm,5,2961,0,0.01,0.1,1
timbrewm,5,2961,0,0.01,0.3,1
timbrewm,5,2961,0,0.05,0.05,1
timbrewm,5,2961,0,0.05,0.1,1
timbrewm,5,2961,0,0.05,0.3,1
timbrewm,5,3570,0,0.0,0.05,1
timbrewm,5,3570,0,0.0,0.1,1
timbrewm,5,3570,0,0.0,0.3,1
timbrewm,5,3570,0,0.001,0.05,1
timbrewm,5,3570,0,0.001,0.1,1
timbrewm,5,3570,0,0.001,0.3,1
timbrewm,5,3570,0,0.01,0.05,1
timbrewm,5,3570,0,0.01,0.1,1
timbrewm,5,3570,0,0.01,0.3,1
timbrewm,5,3570,0,0.05,0.05,1
timbrewm,5,3570,0,0.05,0.1,1
timbrewm,5,3570,0,0.05,0.3,1
timbrewm,5,3575,0,0.0,0.05,1
timbrewm,5,3575,0,0.0,0.1,1
timbrewm,5,3575,0,0.0,0.3,1
timbrewm,5,3575,0,0.001,0.05,1
timbrewm,5,3575,0,0.001,0.1,1
timbrewm,5,3575,0,0.001,0.3,1
timbrewm,5,3575,0,0.01,0.05,1
timbrewm,5,3575,0,0.01,0.1,1
timbrewm,5,3575,0,0.01,0.3,1
timbrewm,5,3575,0,0.05,0.05,1
timbrewm,5,3575,0,0.05,0.1,1
timbrewm,5,3575,0,0.05,0.3,1
timbrewm,5,3729,0,0.0,0.05,1
timbrewm,5,3729,0,0.0,0.1,1
timbrewm,5,3729,0,0.0,0.3,1
timbrewm,5,3729,0,0.001,0.05,1
timbrewm,5,3729,0,0.001,0.1,1
timbrewm,5,3729,0,0.001,0.3,1
timbrewm,5,3729,0,0.01,0.05,1
timbrewm,5,3729,0,0.01,0.1,1
timbrewm,5,3729,0,0.01,0.3,1
timbrewm,5,3729,0,0.05,0.05,1
timbrewm,5,3729,0,0.05,0.1,1
timbrewm,5,3729,0,0.05,0.3,1
timbrewm,5,4077,0,0.0,0.05,1
timbrewm,5,4077,0,0.0,0.1,1
timbrewm,5,4077,0,0.0,0.3,1
timbrewm,5,4077,0,0.001,0.05,1
timbrewm,5,4077,0,0.001,0.1,1
timbrewm,5,4077,0,0.001,0.3,1
timbrewm,5,4077,0,0.01,0.05,1
timbrewm,5,4077,0,0.01,0.1,1
timbrewm,5,4077,0,0.01,0.3,1
