model,K,trial_id,spk,local_t,method,quality_reference,PESQ,STOI,SI_SDR,presence_supported,presence_score,presence_decision
audioseal,2,0,chinese:SSB0005,0,mean,first_legitimate_watermarked_coalition_copy,4.6116,0.9996,41.45,1,1.0000,1
audioseal,2,0,chinese:SSB0005,0,fwp,first_legitimate_watermarked_coalition_copy,4.6116,0.9996,41.45,1,1.0000,1
audioseal,2,1,chinese:SSB0005,1,mean,first_legitimate_watermarked_coalition_copy,4.6083,0.9995,36.17,1,1.0000,1
audioseal,2,1,chinese:SSB0005,1,fwp,first_legitimate_watermarked_coalition_copy,4.6083,0.9995,36.17,1,1.0000,1
audioseal,2,2,chinese:SSB0005,2,mean,first_legitimate_watermarked_coalition_copy,4.6248,0.9998,41.02,1,1.0000,1
audioseal,2,2,chinese:SSB0005,2,fwp,first_legitimate_watermarked_coalition_copy,4.6248,0.9998,41.02,1,1.0000,1
audioseal,2,3,chinese:SSB0009,0,mean,first_legitimate_watermarked_coalition_copy,4.6310,0.9999,41.99,1,1.0000,1
audioseal,2,3,chinese:SSB0009,0,fwp,first_legitimate_watermarked_coalition_copy,4.6310,0.9999,41.99,1,1.0000,1
audioseal,2,4,chinese:SSB0009,1,mean,first_legitimate_watermarked_coalition_copy,4.6129,0.9998,37.29,1,1.0000,1
audioseal,2,4,chinese:SSB0009,1,fwp,first_legitimate_watermarked_coalition_copy,4.6129,0.9998,37.29,1,1.0000,1
audioseal,2,5,chinese:SSB0009,2,mean,first_legitimate_watermarked_coalition_copy,4.5932,0.9998,36.43,1,1.0000,1
audioseal,2,5,chinese:SSB0009,2,fwp,first_legitimate_watermarked_coalition_copy,4.5932,0.9998,36.43,1,1.0000,1
audioseal,2,6,chinese:SSB0011,0,mean,first_legitimate_watermarked_coalition_copy,4.5913,0.9993,33.83,1,1.0000,1
audioseal,2,6,chinese:SSB0011,0,fwp,first_legitimate_watermarked_coalition_copy,4.5913,0.9993,33.83,1,1.0000,1
audioseal,2,7,chinese:SSB0011,1,mean,first_legitimate_watermarked_coalition_copy,4.5788,0.9993,36.71,1,1.0000,1
audioseal,2,7,chinese:SSB0011,1,fwp,first_legitimate_watermarked_coalition_copy,4.5788,0.9993,36.71,1,1.0000,1
audioseal,2,8,chinese:SSB0011,2,mean,first_legitimate_watermarked_coalition_copy,4.5763,0.9991,34.99,1,1.0000,1
audioseal,2,8,chinese:SSB0011,2,fwp,first_legitimate_watermarked_coalition_copy,4.5763,0.9991,34.99,1,1.0000,1
audioseal,2,9,chinese:SSB0012,0,mean,first_legitimate_watermarked_coalition_copy,4.5841,0.9995,34.27,1,1.0000,1
audioseal,2,9,chinese:SSB0012,0,fwp,first_legitimate_watermarked_coalition_copy,4.5841,0.9995,34.27,1,1.0000,1
audioseal,2,10,chinese:SSB0012,1,mean,first_legitimate_watermarked_coalition_copy,4.6200,0.9997,38.99,1,1.0000,1
audioseal,2,10,chinese:SSB0012,1,fwp,first_legitimate_watermarked_coalition_copy,4.6200,0.9997,38.99,1,1.0000,1
audioseal,2,11,chinese:SSB0012,2,mean,first_legitimate_watermarked_coalition_copy,4.6222,0.9999,39.55,1,1.0000,1
audioseal,2,11,chinese:SSB0012,2,fwp,first_legitimate_watermarked_coalition_copy,4.6222,0.9999,39.55,1,1.0000,1
audioseal,2,12,chinese:SSB0016,0,mean,first_legitimate_watermarked_coalition_copy,4.6000,0.9991,35.20,1,1.0000,1
audioseal,2,12,chinese:SSB0016,0,fwp,first_legitimate_watermarked_coalition_copy,4.6000,0.9991,35.20,1,1.0000,1
audioseal,2,13,chinese:SSB0016,1,mean,first_legitimate_watermarked_coalition_copy,4.5743,0.9990,34.13,1,0.9999,1
audioseal,2,13,chinese:SSB0016,1,fwp,first_legitimate_watermarked_coalition_copy,4.5743,0.9990,34.13,1,0.9999,1
audioseal,2,14,chinese:SSB0016,2,mean,first_legitimate_watermarked_coalition_copy,4.5450,0.9993,36.26,1,1.0000,1
audioseal,2,14,chinese:SSB0016,2,fwp,first_legitimate_watermarked_coalition_copy,4.5450,0.9993,36.26,1,1.0000,1
audioseal,2,15,chinese:SSB0018,0,mean,first_legitimate_watermarked_coalition_copy,4.6002,0.9997,37.53,1,1.0000,1
audioseal,2,15,chinese:SSB0018,0,fwp,first_legitimate_watermarked_coalition_copy,4.6002,0.9997,37.53,1,1.0000,1
