model,K,trial_id,spk,local_t,method,quality_reference,PESQ,STOI,SI_SDR,presence_supported,presence_score,presence_decision
timbrewm,5,0,chinese:SSB0005,0,mean,first_legitimate_watermarked_coalition_copy,4.5486,0.9972,34.38,0,,
timbrewm,5,0,chinese:SSB0005,0,fwp,first_legitimate_watermarked_coalition_copy,4.5820,0.9966,35.62,0,,
timbrewm,5,1,chinese:SSB0005,1,mean,first_legitimate_watermarked_coalition_copy,4.5415,0.9961,33.24,0,,
timbrewm,5,1,chinese:SSB0005,1,fwp,first_legitimate_watermarked_coalition_copy,4.5724,0.9968,34.63,0,,
timbrewm,5,2,chinese:SSB0005,2,mean,first_legitimate_watermarked_coalition_copy,4.5186,0.9956,34.56,0,,
timbrewm,5,2,chinese:SSB0005,2,fwp,first_legitimate_watermarked_coalition_copy,4.4908,0.9927,32.09,0,,
timbrewm,5,3,chinese:SSB0009,0,mean,first_legitimate_watermarked_coalition_copy,4.5564,0.9979,29.21,0,,
timbrewm,5,3,chinese:SSB0009,0,fwp,first_legitimate_watermarked_coalition_copy,4.6028,0.9985,31.01,0,,
timbrewm,5,4,chinese:SSB0009,1,mean,first_legitimate_watermarked_coalition_copy,4.5789,0.9977,30.18,0,,
timbrewm,5,4,chinese:SSB0009,1,fwp,first_legitimate_watermarked_coalition_copy,4.5018,0.9970,28.80,0,,
timbrewm,5,5,chinese:SSB0009,2,mean,first_legitimate_watermarked_coalition_copy,4.5524,0.9980,30.22,0,,
timbrewm,5,5,chinese:SSB0009,2,fwp,first_legitimate_watermarked_coalition_copy,4.4942,0.9973,29.06,0,,
timbrewm,5,6,chinese:SSB0011,0,mean,first_legitimate_watermarked_coalition_copy,4.5166,0.9945,29.77,0,,
timbrewm,5,6,chinese:SSB0011,0,fwp,first_legitimate_watermarked_coalition_copy,4.5126,0.9957,30.27,0,,
timbrewm,5,7,chinese:SSB0011,1,mean,first_legitimate_watermarked_coalition_copy,4.4603,0.9930,29.47,0,,
timbrewm,5,7,chinese:SSB0011,1,fwp,first_legitimate_watermarked_coalition_copy,4.4378,0.9954,30.92,0,,
timbrewm,5,8,chinese:SSB0011,2,mean,first_legitimate_watermarked_coalition_copy,4.4795,0.9958,31.34,0,,
timbrewm,5,8,chinese:SSB0011,2,fwp,first_legitimate_watermarked_coalition_copy,4.3316,0.9966,31.13,0,,
timbrewm,5,9,chinese:SSB0012,0,mean,first_legitimate_watermarked_coalition_copy,4.5452,0.9973,33.32,0,,
timbrewm,5,9,chinese:SSB0012,0,fwp,first_legitimate_watermarked_coalition_copy,4.5776,0.9980,34.08,0,,
timbrewm,5,10,chinese:SSB0012,1,mean,first_legitimate_watermarked_coalition_copy,4.4436,0.9958,31.43,0,,
timbrewm,5,10,chinese:SSB0012,1,fwp,first_legitimate_watermarked_coalition_copy,4.5087,0.9971,32.91,0,,
timbrewm,5,11,chinese:SSB0012,2,mean,first_legitimate_watermarked_coalition_copy,4.4823,0.9962,29.94,0,,
timbrewm,5,11,chinese:SSB0012,2,fwp,first_legitimate_watermarked_coalition_copy,4.5694,0.9978,32.27,0,,
timbrewm,5,12,chinese:SSB0016,0,mean,first_legitimate_watermarked_coalition_copy,4.3987,0.9896,24.34,0,,
timbrewm,5,12,chinese:SSB0016,0,fwp,first_legitimate_watermarked_coalition_copy,4.3693,0.9938,25.47,0,,
timbrewm,5,13,chinese:SSB0016,1,mean,first_legitimate_watermarked_coalition_copy,4.3296,0.9907,24.03,0,,
timbrewm,5,13,chinese:SSB0016,1,fwp,first_legitimate_watermarked_coalition_copy,4.4476,0.9950,26.64,0,,
timbrewm,5,14,chinese:SSB0016,2,mean,first_legitimate_watermarked_coalition_copy,4.4639,0.9924,25.44,0,,
timbrewm,5,14,chinese:SSB0016,2,fwp,first_legitimate_watermarked_coalition_copy,4.5491,0.9950,27.27,0,,
timbrewm,5,15,chinese:SSB0018,0,mean,first_legitimate_watermarked_coalition_copy,4.5425,0.9969,33.68,0,,
timbrewm,5,15,chinese:SSB0018,0,fwp,first_legitimate_watermarked_coalition_copy,4.5063,0.9973,35.00,0,,
timbrewm,5,16,chinese:SSB0018,1,mean,first_legitimate_watermarked_coalition_copy,4.5580,0.9975,34.04,0,,
timbrewm,5,16,chinese:SSB0018,1,fwp,first_legitimate_watermarked_coalition_copy,4.4211,0.9948,30.88,0,,
timbrewm,5,17,chinese:SSB0018,2,mean,first_legitimate_watermarked_coalition_copy,4.5304,0.9962,33.21,0,,
timbrewm,5,17,chinese:SSB0018,2,fwp,first_legitimate_watermarked_coalition_copy,4.3900,0.9933,30.82,0,,
timbrewm,5,18,chinese:SSB0033,0,mean,first_legitimate_watermarked_coalition_copy,4.5256,0.9982,36.00,0,,
timbrewm,5,18,chinese:SSB0033,0,fwp,first_legitimate_watermarked_coalition_copy,4.5156,0.9984,36.94,0,,
timbrewm,5,19,chinese:SSB0033,1,mean,first_legitimate_watermarked_coalition_copy,4.5772,0.9978,37.46,0,,
timbrewm,5,19,chinese:SSB0033,1,fwp,first_legitimate_watermarked_coalition_copy,4.5519,0.9969,35.61,0,,
timbrewm,5,20,chinese:SSB0033,2,mean,first_legitimate_watermarked_coalition_copy,4.5795,0.9987,38.39,0,,
timbrewm,5,20,chinese:SSB0033,2,fwp,first_legitimate_watermarked_coalition_copy,4.5544,0.9988,38.29,0,,
timbrewm,5,21,chinese:SSB0038,0,mean,first_legitimate_watermarked_coalition_copy,4.6068,0.9969,32.76,0,,
timbrewm,5,21,chinese:SSB0038,0,fwp,first_legitimate_watermarked_coalition_copy,4.5848,0.9961,31.76,0,,
timbrewm,5,22,chinese:SSB0038,1,mean,first_legitimate_watermarked_coalition_copy,4.5501,0.9960,31.48,0,,
timbrewm,5,22,chinese:SSB0038,1,fwp,first_legitimate_watermarked_coalition_copy,4.5317,0.9962,31.54,0,,
timbrewm,5,23,chinese:SSB0038,2,mean,first_legitimate_watermarked_coalition_copy,4.5270,0.9962,30.58,0,,
timbrewm,5,23,chinese:SSB0038,2,fwp,first_legitimate_watermarked_coalition_copy,4.6125,0.9978,33.03,0,,
timbrewm,5,24,chinese:SSB0043,0,mean,first_legitimate_watermarked_coalition_copy,4.4844,0.9958,30.52,0,,
timbrewm,5,24,chinese:SSB0043,0,fwp,first_legitimate_watermarked_coalition_copy,4.1921,0.9920,27.27,0,,
timbrewm,5,25,chinese:SSB0043,1,mean,first_legitimate_watermarked_coalition_copy,4.3613,0.9943,28.89,0,,
timbrewm,5,25,chinese:SSB0043,1,fwp,first_legitimate_watermarked_coalition_copy,3.8796,0.9874,25.51,0,,
timbrewm,5,26,chinese:SSB0043,2,mean,first_legitimate_watermarked_coalition_copy,4.5337,0.9964,31.73,0,,
timbrewm,5,26,chinese:SSB0043,2,fwp,first_legitimate_watermarked_coalition_copy,4.3698,0.9926,28.62,0,,
timbrewm,5,27,chinese:SSB0057,0,mean,first_legitimate_watermarked_coalition_copy,4.5588,0.9969,33.24,0,,
timbrewm,5,27,chinese:SSB0057,0,fwp,first_legitimate_watermarked_coalition_copy,4.5854,0.9979,34.93,0,,
timbrewm,5,28,chinese:SSB0057,1,mean,first_legitimate_watermarked_coalition_copy,4.5602,0.9978,34.60,0,,
timbrewm,5,28,chinese:SSB0057,1,fwp,first_legitimate_watermarked_coalition_copy,4.5055,0.9958,31.65,0,,
timbrewm,5,29,chinese:SSB0057,2,mean,first_legitimate_watermarked_coalition_copy,4.5928,0.9976,35.36,0,,
timbrewm,5,29,chinese:SSB0057,2,fwp,first_legitimate_watermarked_coalition_copy,4.5051,0.9960,32.49,0,,
timbrewm,5,30,chinese:SSB0073,0,mean,first_legitimate_watermarked_coalition_copy,4.6039,0.9988,35.55,0,,
timbrewm,5,30,chinese:SSB0073,0,fwp,first_legitimate_watermarked_coalition_copy,4.5053,0.9965,31.51,0,,
timbrewm,5,31,chinese:SSB0073,1,mean,first_legitimate_watermarked_coalition_copy,4.5235,0.9980,32.49,0,,
timbrewm,5,31,chinese:SSB0073,1,fwp,first_legitimate_watermarked_coalition_copy,4.4412,0.9984,33.01,0,,
timbrewm,5,32,chinese:SSB0073,2,mean,first_legitimate_watermarked_coalition_copy,4.6021,0.9978,32.56,0,,
timbrewm,5,32,chinese:SSB0073,2,fwp,first_legitimate_watermarked_coalition_copy,4.5790,0.9987,34.01,0,,
timbrewm,5,33,chinese:SSB0080,0,mean,first_legitimate_watermarked_coalition_copy,4.4324,0.9955,30.87,0,,
timbrewm,5,33,chinese:SSB0080,0,fwp,first_legitimate_watermarked_coalition_copy,4.2092,0.9965,30.29,0,,
timbrewm,5,34,chinese:SSB0080,1,mean,first_legitimate_watermarked_coalition_copy,4.4298,0.9930,29.65,0,,
timbrewm,5,34,chinese:SSB0080,1,fwp,first_legitimate_watermarked_coalition_copy,4.1719,0.9885,27.02,0,,
timbrewm,5,35,chinese:SSB0080,2,mean,first_legitimate_watermarked_coalition_copy,4.5076,0.9946,29.49,0,,
timbrewm,5,35,chinese:SSB0080,2,fwp,first_legitimate_watermarked_coalition_copy,4.4547,0.9972,31.13,0,,
timbrewm,5,36,chinese:SSB0112,0,mean,first_legitimate_watermarked_coalition_copy,4.5733,0.9966,28.77,0,,
timbrewm,5,36,chinese:SSB0112,0,fwp,first_legitimate_watermarked_coalition_copy,4.5149,0.9942,26.32,0,,
