model,K,trial_id,spk,local_t,method,quality_reference,PESQ,STOI,SI_SDR,presence_supported,presence_score,presence_decision
voicemark,5,0,chinese:SSB0005,0,mean,first_legitimate_watermarked_coalition_copy,4.1517,0.9694,16.66,1,0.7015,1
voicemark,5,0,chinese:SSB0005,0,fwp,first_legitimate_watermarked_coalition_copy,3.7191,0.9573,13.96,1,0.7138,1
voicemark,5,1,chinese:SSB0005,1,mean,first_legitimate_watermarked_coalition_copy,4.4014,0.9799,17.17,1,0.7064,1
voicemark,5,1,chinese:SSB0005,1,fwp,first_legitimate_watermarked_coalition_copy,4.2412,0.9700,15.63,1,0.7274,1
voicemark,5,2,chinese:SSB0005,2,mean,first_legitimate_watermarked_coalition_copy,4.1846,0.9714,18.07,1,0.6948,1
voicemark,5,2,chinese:SSB0005,2,fwp,first_legitimate_watermarked_coalition_copy,3.6799,0.9608,15.26,1,0.6697,1
voicemark,5,3,chinese:SSB0009,0,mean,first_legitimate_watermarked_coalition_copy,3.9566,0.9673,13.37,1,0.6484,1
voicemark,5,3,chinese:SSB0009,0,fwp,first_legitimate_watermarked_coalition_copy,3.3877,0.9536,9.90,1,0.7154,1
voicemark,5,4,chinese:SSB0009,1,mean,first_legitimate_watermarked_coalition_copy,4.3379,0.9787,13.86,1,0.7427,1
voicemark,5,4,chinese:SSB0009,1,fwp,first_legitimate_watermarked_coalition_copy,3.7022,0.9542,9.24,1,0.8093,1
voicemark,5,5,chinese:SSB0009,2,mean,first_legitimate_watermarked_coalition_copy,4.1635,0.9729,14.64,1,0.7998,1
voicemark,5,5,chinese:SSB0009,2,fwp,first_legitimate_watermarked_coalition_copy,3.6632,0.9597,11.36,1,0.8159,1
voicemark,5,6,chinese:SSB0011,0,mean,first_legitimate_watermarked_coalition_copy,4.0354,0.9675,16.91,1,0.6374,1
voicemark,5,6,chinese:SSB0011,0,fwp,first_legitimate_watermarked_coalition_copy,4.2225,0.9746,18.78,1,0.6283,1
voicemark,5,7,chinese:SSB0011,1,mean,first_legitimate_watermarked_coalition_copy,3.9136,0.9570,14.39,1,0.6460,1
voicemark,5,7,chinese:SSB0011,1,fwp,first_legitimate_watermarked_coalition_copy,3.8896,0.9651,15.48,1,0.5617,1
voicemark,5,8,chinese:SSB0011,2,mean,first_legitimate_watermarked_coalition_copy,4.2094,0.9708,16.93,1,0.6527,1
voicemark,5,8,chinese:SSB0011,2,fwp,first_legitimate_watermarked_coalition_copy,3.8726,0.9616,15.78,1,0.6175,1
voicemark,5,9,chinese:SSB0012,0,mean,first_legitimate_watermarked_coalition_copy,4.1257,0.9742,15.26,1,0.7012,1
voicemark,5,9,chinese:SSB0012,0,fwp,first_legitimate_watermarked_coalition_copy,3.7230,0.9560,13.19,1,0.7159,1
voicemark,5,10,chinese:SSB0012,1,mean,first_legitimate_watermarked_coalition_copy,4.0737,0.9626,15.73,1,0.7007,1
voicemark,5,10,chinese:SSB0012,1,fwp,first_legitimate_watermarked_coalition_copy,3.2435,0.9451,10.97,1,0.6979,1
voicemark,5,11,chinese:SSB0012,2,mean,first_legitimate_watermarked_coalition_copy,3.7597,0.9506,11.93,1,0.7039,1
voicemark,5,11,chinese:SSB0012,2,fwp,first_legitimate_watermarked_coalition_copy,3.8971,0.9586,14.76,1,0.7629,1
voicemark,5,12,chinese:SSB0016,0,mean,first_legitimate_watermarked_coalition_copy,3.9853,0.9534,14.96,1,0.3391,0
voicemark,5,12,chinese:SSB0016,0,fwp,first_legitimate_watermarked_coalition_copy,3.9644,0.9650,16.66,1,0.3638,0
voicemark,5,13,chinese:SSB0016,1,mean,first_legitimate_watermarked_coalition_copy,4.2388,0.9685,18.75,1,0.3342,0
voicemark,5,13,chinese:SSB0016,1,fwp,first_legitimate_watermarked_coalition_copy,3.9171,0.9499,16.45,1,0.3398,0
voicemark,5,14,chinese:SSB0016,2,mean,first_legitimate_watermarked_coalition_copy,4.1042,0.9519,14.61,1,0.3583,0
voicemark,5,14,chinese:SSB0016,2,fwp,first_legitimate_watermarked_coalition_copy,3.5394,0.9387,11.70,1,0.3396,0
voicemark,5,15,chinese:SSB0018,0,mean,first_legitimate_watermarked_coalition_copy,4.1458,0.9694,15.94,1,0.5535,1
voicemark,5,15,chinese:SSB0018,0,fwp,first_legitimate_watermarked_coalition_copy,3.8062,0.9570,13.20,1,0.5043,1
voicemark,5,16,chinese:SSB0018,1,mean,first_legitimate_watermarked_coalition_copy,4.0243,0.9762,16.17,1,0.6211,1
voicemark,5,16,chinese:SSB0018,1,fwp,first_legitimate_watermarked_coalition_copy,3.9888,0.9815,17.53,1,0.6368,1
voicemark,5,17,chinese:SSB0018,2,mean,first_legitimate_watermarked_coalition_copy,4.3261,0.9819,16.47,1,0.6002,1
voicemark,5,17,chinese:SSB0018,2,fwp,first_legitimate_watermarked_coalition_copy,4.0085,0.9678,13.63,1,0.6387,1
voicemark,5,18,chinese:SSB0033,0,mean,first_legitimate_watermarked_coalition_copy,4.3017,0.9805,21.05,1,0.6895,1
voicemark,5,18,chinese:SSB0033,0,fwp,first_legitimate_watermarked_coalition_copy,3.9886,0.9686,18.05,1,0.6791,1
voicemark,5,19,chinese:SSB0033,1,mean,first_legitimate_watermarked_coalition_copy,4.4545,0.9816,20.07,1,0.6764,1
voicemark,5,19,chinese:SSB0033,1,fwp,first_legitimate_watermarked_coalition_copy,4.2889,0.9696,17.71,1,0.6636,1
voicemark,5,20,chinese:SSB0033,2,mean,first_legitimate_watermarked_coalition_copy,4.3833,0.9851,20.64,1,0.6324,1
voicemark,5,20,chinese:SSB0033,2,fwp,first_legitimate_watermarked_coalition_copy,3.9900,0.9651,17.09,1,0.6807,1
voicemark,5,21,chinese:SSB0038,0,mean,first_legitimate_watermarked_coalition_copy,4.3284,0.9727,16.47,1,0.7003,1
voicemark,5,21,chinese:SSB0038,0,fwp,first_legitimate_watermarked_coalition_copy,4.2289,0.9829,17.77,1,0.7449,1
voicemark,5,22,chinese:SSB0038,1,mean,first_legitimate_watermarked_coalition_copy,4.1710,0.9621,15.38,1,0.6954,1
voicemark,5,22,chinese:SSB0038,1,fwp,first_legitimate_watermarked_coalition_copy,4.2713,0.9726,17.18,1,0.6599,1
voicemark,5,23,chinese:SSB0038,2,mean,first_legitimate_watermarked_coalition_copy,3.8585,0.9581,17.46,1,0.7011,1
voicemark,5,23,chinese:SSB0038,2,fwp,first_legitimate_watermarked_coalition_copy,3.2807,0.9427,13.83,1,0.7247,1
voicemark,5,24,chinese:SSB0043,0,mean,first_legitimate_watermarked_coalition_copy,4.3543,0.9711,17.19,1,0.6120,1
voicemark,5,24,chinese:SSB0043,0,fwp,first_legitimate_watermarked_coalition_copy,4.0090,0.9427,14.94,1,0.6165,1
voicemark,5,25,chinese:SSB0043,1,mean,first_legitimate_watermarked_coalition_copy,4.2872,0.9659,18.09,1,0.5837,1
voicemark,5,25,chinese:SSB0043,1,fwp,first_legitimate_watermarked_coalition_copy,3.9014,0.9486,15.10,1,0.5892,1
voicemark,5,26,chinese:SSB0043,2,mean,first_legitimate_watermarked_coalition_copy,3.9380,0.9567,13.27,1,0.5888,1
voicemark,5,26,chinese:SSB0043,2,fwp,first_legitimate_watermarked_coalition_copy,4.1622,0.9751,15.90,1,0.6571,1
voicemark,5,27,chinese:SSB0057,0,mean,first_legitimate_watermarked_coalition_copy,3.8303,0.9649,14.83,1,0.6636,1
voicemark,5,27,chinese:SSB0057,0,fwp,first_legitimate_watermarked_coalition_copy,3.3294,0.9498,11.68,1,0.6564,1
voicemark,5,28,chinese:SSB0057,1,mean,first_legitimate_watermarked_coalition_copy,4.1257,0.9732,15.41,1,0.6056,1
voicemark,5,28,chinese:SSB0057,1,fwp,first_legitimate_watermarked_coalition_copy,3.8595,0.9568,12.79,1,0.6629,1
voicemark,5,29,chinese:SSB0057,2,mean,first_legitimate_watermarked_coalition_copy,4.0185,0.9664,16.37,1,0.6730,1
voicemark,5,29,chinese:SSB0057,2,fwp,first_legitimate_watermarked_coalition_copy,3.9054,0.9623,15.58,1,0.6916,1
voicemark,5,30,chinese:SSB0073,0,mean,first_legitimate_watermarked_coalition_copy,3.3477,0.9513,12.01,1,0.5923,1
voicemark,5,30,chinese:SSB0073,0,fwp,first_legitimate_watermarked_coalition_copy,3.0345,0.9384,10.72,1,0.6149,1
voicemark,5,31,chinese:SSB0073,1,mean,first_legitimate_watermarked_coalition_copy,3.9280,0.9679,13.75,1,0.5893,1
voicemark,5,31,chinese:SSB0073,1,fwp,first_legitimate_watermarked_coalition_copy,3.4134,0.9545,11.98,1,0.6016,1
voicemark,5,32,chinese:SSB0073,2,mean,first_legitimate_watermarked_coalition_copy,4.1825,0.9714,12.79,1,0.6140,1
voicemark,5,32,chinese:SSB0073,2,fwp,first_legitimate_watermarked_coalition_copy,3.7042,0.9470,9.55,1,0.5984,1
voicemark,5,33,chinese:SSB0080,0,mean,first_legitimate_watermarked_coalition_copy,4.1858,0.9664,19.94,1,0.5739,1
voicemark,5,33,chinese:SSB0080,0,fwp,first_legitimate_watermarked_coalition_copy,3.9080,0.9470,16.35,1,0.4475,0
voicemark,5,34,chinese:SSB0080,1,mean,first_legitimate_watermarked_coalition_copy,4.2125,0.9741,14.02,1,0.5685,1
voicemark,5,34,chinese:SSB0080,1,fwp,first_legitimate_watermarked_coalition_copy,3.9684,0.9528,12.62,1,0.5523,1
voicemark,5,35,chinese:SSB0080,2,mean,first_legitimate_watermarked_coalition_copy,4.3333,0.9634,15.19,1,0.5265,1
voicemark,5,35,chinese:SSB0080,2,fwp,first_legitimate_watermarked_coalition_copy,4.3061,0.9799,15.22,1,0.5645,1
voicemark,5,36,chinese:SSB0112,0,mean,first_legitimate_watermarked_coalition_copy,4.0884,0.9674,13.09,1,0.3274,0
voicemark,5,36,chinese:SSB0112,0,fwp,first_legitimate_watermarked_coalition_copy,3.9438,0.9723,12.86,1,0.2916,0
voicemark,5,37,chinese:SSB0112,1,mean,first_legitimate_watermarked_coalition_copy,4.3071,0.9757,14.95,1,0.3194,0
voicemark,5,37,chinese:SSB0112,1,fwp,first_legitimate_watermarked_coalition_copy,4.2123,0.9666,13.48,1,0.3061,0
voicemark,5,38,chinese:SSB0112,2,mean,first_legitimate_watermarked_coalition_copy,4.2093,0.9720,15.27,1,0.4090,0
voicemark,5,38,chinese:SSB0112,2,fwp,first_legitimate_watermarked_coalition_copy,4.0819,0.9657,13.62,1,0.4515,0
voicemark,5,39,chinese:SSB0122,0,mean,first_legitimate_watermarked_coalition_copy,4.1709,0.9732,14.59,1,0.7224,1
voicemark,5,39,chinese:SSB0122,0,fwp,first_legitimate_watermarked_coalition_copy,3.5967,0.9534,10.66,1,0.6540,1
voicemark,5,40,chinese:SSB0122,1,mean,first_legitimate_watermarked_coalition_copy,3.9627,0.9655,14.59,1,0.7349,1
voicemark,5,40,chinese:SSB0122,1,fwp,first_legitimate_watermarked_coalition_copy,3.7059,0.9468,12.24,1,0.7428,1
voicemark,5,41,chinese:SSB0122,2,mean,first_legitimate_watermarked_coalition_copy,4.2539,0.9799,14.22,1,0.7163,1
voicemark,5,41,chinese:SSB0122,2,fwp,first_legitimate_watermarked_coalition_copy,4.2873,0.9865,15.28,1,0.7159,1
voicemark,5,42,chinese:SSB0133,0,mean,first_legitimate_watermarked_coalition_copy,4.1654,0.9666,14.78,1,0.4590,0
voicemark,5,42,chinese:SSB0133,0,fwp,first_legitimate_watermarked_coalition_copy,3.6782,0.9454,12.12,1,0.5479,1
voicemark,5,43,chinese:SSB0133,1,mean,first_legitimate_watermarked_coalition_copy,4.1565,0.9716,16.52,1,0.5358,1
voicemark,5,43,chinese:SSB0133,1,fwp,first_legitimate_watermarked_coalition_copy,3.5138,0.9525,13.42,1,0.5056,1
voicemark,5,44,chinese:SSB0133,2,mean,first_legitimate_watermarked_coalition_copy,3.9837,0.9628,16.33,1,0.5551,1
voicemark,5,44,chinese:SSB0133,2,fwp,first_legitimate_watermarked_coalition_copy,3.5326,0.9448,14.30,1,0.5668,1
voicemark,5,45,chinese:SSB0139,0,mean,first_legitimate_watermarked_coalition_copy,4.0413,0.9745,13.46,1,0.6975,1
voicemark,5,45,chinese:SSB0139,0,fwp,first_legitimate_watermarked_coalition_copy,4.0319,0.9821,14.78,1,0.7004,1
voicemark,5,46,chinese:SSB0139,1,mean,first_legitimate_watermarked_coalition_copy,4.2001,0.9789,15.93,1,0.5514,1
voicemark,5,46,chinese:SSB0139,1,fwp,first_legitimate_watermarked_coalition_copy,3.7481,0.9702,13.28,1,0.6283,1
voicemark,5,47,chinese:SSB0139,2,mean,first_legitimate_watermarked_coalition_copy,3.7529,0.9728,15.26,1,0.6542,1
voicemark,5,47,chinese:SSB0139,2,fwp,first_legitimate_watermarked_coalition_copy,3.1008,0.9652,11.33,1,0.6625,1
voicemark,5,48,chinese:SSB0145,0,mean,first_legitimate_watermarked_coalition_copy,3.9465,0.9690,15.84,1,0.7391,1
voicemark,5,48,chinese:SSB0145,0,fwp,first_legitimate_watermarked_coalition_copy,3.3658,0.9539,12.75,1,0.7646,1
voicemark,5,49,chinese:SSB0145,1,mean,first_legitimate_watermarked_coalition_copy,4.2969,0.9720,14.95,1,0.7568,1
voicemark,5,49,chinese:SSB0145,1,fwp,first_legitimate_watermarked_coalition_copy,3.9179,0.9518,11.29,1,0.7257,1
voicemark,5,50,chinese:SSB0145,2,mean,first_legitimate_watermarked_coalition_copy,4.0770,0.9768,14.03,1,0.7078,1
voicemark,5,50,chinese:SSB0145,2,fwp,first_legitimate_watermarked_coalition_copy,4.1507,0.9856,16.21,1,0.6992,1
voicemark,5,51,chinese:SSB0149,0,mean,first_legitimate_watermarked_coalition_copy,3.5091,0.9614,11.90,1,0.4693,0
voicemark,5,51,chinese:SSB0149,0,fwp,first_legitimate_watermarked_coalition_copy,2.8038,0.9408,8.40,1,0.5218,1
voicemark,5,52,chinese:SSB0149,1,mean,first_legitimate_watermarked_coalition_copy,4.3130,0.9824,13.72,1,0.5078,1
voicemark,5,52,chinese:SSB0149,1,fwp,first_legitimate_watermarked_coalition_copy,4.0068,0.9711,10.68,1,0.4937,0
voicemark,5,53,chinese:SSB0149,2,mean,first_legitimate_watermarked_coalition_copy,3.9410,0.9731,12.40,1,0.5209,1
voicemark,5,53,chinese:SSB0149,2,fwp,first_legitimate_watermarked_coalition_copy,3.4414,0.9604,9.50,1,0.5194,1
voicemark,5,54,chinese:SSB0193,0,mean,first_legitimate_watermarked_coalition_copy,3.9993,0.9687,13.63,1,0.5130,1
voicemark,5,54,chinese:SSB0193,0,fwp,first_legitimate_watermarked_coalition_copy,3.4852,0.9474,11.53,1,0.5512,1
voicemark,5,55,chinese:SSB0193,1,mean,first_legitimate_watermarked_coalition_copy,4.0704,0.9672,14.17,1,0.5534,1
voicemark,5,55,chinese:SSB0193,1,fwp,first_legitimate_watermarked_coalition_copy,3.5335,0.9437,10.41,1,0.5088,1
voicemark,5,56,chinese:SSB0193,2,mean,first_legitimate_watermarked_coalition_copy,4.2006,0.9703,14.04,1,0.5927,1
voicemark,5,56,chinese:SSB0193,2,fwp,first_legitimate_watermarked_coalition_copy,3.7366,0.9575,11.91,1,0.5593,1
voicemark,5,57,chinese:SSB0197,0,mean,first_legitimate_watermarked_coalition_copy,3.9008,0.9638,17.62,1,0.1478,0
voicemark,5,57,chinese:SSB0197,0,fwp,first_legitimate_watermarked_coalition_copy,4.2227,0.9795,20.24,1,0.1729,0
voicemark,5,58,chinese:SSB0197,1,mean,first_legitimate_watermarked_coalition_copy,4.0693,0.9684,16.01,1,0.1778,0
voicemark,5,58,chinese:SSB0197,1,fwp,first_legitimate_watermarked_coalition_copy,3.9782,0.9747,16.54,1,0.1788,0
voicemark,5,59,chinese:SSB0197,2,mean,first_legitimate_watermarked_coalition_copy,4.3868,0.9675,16.00,1,0.1745,0
voicemark,5,59,chinese:SSB0197,2,fwp,first_legitimate_watermarked_coalition_copy,4.3765,0.9779,16.60,1,0.1944,0
voicemark,5,60,chinese:SSB0200,0,mean,first_legitimate_watermarked_coalition_copy,4.3023,0.9649,14.02,1,0.5682,1
voicemark,5,60,chinese:SSB0200,0,fwp,first_legitimate_watermarked_coalition_copy,4.3394,0.9744,15.60,1,0.4567,0
voicemark,5,61,chinese:SSB0200,1,mean,first_legitimate_watermarked_coalition_copy,3.5902,0.9659,12.46,1,0.6062,1
voicemark,5,61,chinese:SSB0200,1,fwp,first_legitimate_watermarked_coalition_copy,3.7684,0.9714,15.40,1,0.6448,1
voicemark,5,62,chinese:SSB0200,2,mean,first_legitimate_watermarked_coalition_copy,4.2223,0.9664,13.47,1,0.6037,1
voicemark,5,62,chinese:SSB0200,2,fwp,first_legitimate_watermarked_coalition_copy,4.2994,0.9796,13.95,1,0.5990,1
voicemark,5,63,chinese:SSB0241,0,mean,first_legitimate_watermarked_coalition_copy,3.7011,0.9584,13.15,1,0.6358,1
voicemark,5,63,chinese:SSB0241,0,fwp,first_legitimate_watermarked_coalition_copy,3.2873,0.9454,11.30,1,0.6512,1
voicemark,5,64,chinese:SSB0241,1,mean,first_legitimate_watermarked_coalition_copy,4.2181,0.9726,15.06,1,0.6650,1
voicemark,5,64,chinese:SSB0241,1,fwp,first_legitimate_watermarked_coalition_copy,3.8473,0.9582,12.52,1,0.6653,1
voicemark,5,65,chinese:SSB0241,2,mean,first_legitimate_watermarked_coalition_copy,4.2896,0.9764,16.47,1,0.6355,1
voicemark,5,65,chinese:SSB0241,2,fwp,first_legitimate_watermarked_coalition_copy,4.0188,0.9645,13.40,1,0.6658,1
voicemark,5,66,chinese:SSB0246,0,mean,first_legitimate_watermarked_coalition_copy,4.1913,0.9779,18.14,1,0.7429,1
voicemark,5,66,chinese:SSB0246,0,fwp,first_legitimate_watermarked_coalition_copy,4.3427,0.9816,18.62,1,0.7547,1
voicemark,5,67,chinese:SSB0246,1,mean,first_legitimate_watermarked_coalition_copy,4.1918,0.9773,17.55,1,0.7379,1
voicemark,5,67,chinese:SSB0246,1,fwp,first_legitimate_watermarked_coalition_copy,3.7924,0.9648,15.24,1,0.7458,1
voicemark,5,68,chinese:SSB0246,2,mean,first_legitimate_watermarked_coalition_copy,4.1361,0.9743,16.35,1,0.7498,1
voicemark,5,68,chinese:SSB0246,2,fwp,first_legitimate_watermarked_coalition_copy,3.5256,0.9588,12.90,1,0.7620,1
voicemark,5,69,chinese:SSB0261,0,mean,first_legitimate_watermarked_coalition_copy,4.1048,0.9709,14.60,1,0.6063,1
voicemark,5,69,chinese:SSB0261,0,fwp,first_legitimate_watermarked_coalition_copy,3.5867,0.9510,12.08,1,0.6373,1
voicemark,5,70,chinese:SSB0261,1,mean,first_legitimate_watermarked_coalition_copy,3.9288,0.9657,16.85,1,0.6119,1
voicemark,5,70,chinese:SSB0261,1,fwp,first_legitimate_watermarked_coalition_copy,3.6765,0.9613,14.53,1,0.6039,1
voicemark,5,71,chinese:SSB0261,2,mean,first_legitimate_watermarked_coalition_copy,3.7623,0.9531,12.09,1,0.6326,1
voicemark,5,71,chinese:SSB0261,2,fwp,first_legitimate_watermarked_coalition_copy,3.2139,0.9407,10.16,1,0.6262,1
voicemark,5,72,chinese:SSB0267,0,mean,first_legitimate_watermarked_coalition_copy,4.2058,0.9611,16.35,1,0.7218,1
voicemark,5,72,chinese:SSB0267,0,fwp,first_legitimate_watermarked_coalition_copy,3.9268,0.9503,14.61,1,0.7147,1
voicemark,5,73,chinese:SSB0267,1,mean,first_legitimate_watermarked_coalition_copy,4.3456,0.9668,18.57,1,0.7462,1
voicemark,5,73,chinese:SSB0267,1,fwp,first_legitimate_watermarked_coalition_copy,3.9379,0.9434,15.42,1,0.7318,1
voicemark,5,74,chinese:SSB0267,2,mean,first_legitimate_watermarked_coalition_copy,4.1414,0.9640,19.20,1,0.7126,1
voicemark,5,74,chinese:SSB0267,2,fwp,first_legitimate_watermarked_coalition_copy,3.6474,0.9411,16.62,1,0.7468,1
voicemark,5,75,chinese:SSB0273,0,mean,first_legitimate_watermarked_coalition_copy,4.2488,0.9778,18.41,1,0.7642,1
voicemark,5,75,chinese:SSB0273,0,fwp,first_legitimate_watermarked_coalition_copy,3.7577,0.9605,14.69,1,0.7807,1
voicemark,5,76,chinese:SSB0273,1,mean,first_legitimate_watermarked_coalition_copy,4.0916,0.9718,14.80,1,0.7902,1
voicemark,5,76,chinese:SSB0273,1,fwp,first_legitimate_watermarked_coalition_copy,4.0760,0.9723,16.32,1,0.7988,1
voicemark,5,77,chinese:SSB0273,2,mean,first_legitimate_watermarked_coalition_copy,4.3313,0.9807,17.83,1,0.7517,1
voicemark,5,77,chinese:SSB0273,2,fwp,first_legitimate_watermarked_coalition_copy,4.0574,0.9675,16.32,1,0.7574,1
voicemark,5,78,chinese:SSB0287,0,mean,first_legitimate_watermarked_coalition_copy,4.2660,0.9653,14.65,1,0.7543,1
voicemark,5,78,chinese:SSB0287,0,fwp,first_legitimate_watermarked_coalition_copy,3.9839,0.9536,11.56,1,0.7719,1
voicemark,5,79,chinese:SSB0287,1,mean,first_legitimate_watermarked_coalition_copy,4.1149,0.9678,16.70,1,0.7505,1
voicemark,5,79,chinese:SSB0287,1,fwp,first_legitimate_watermarked_coalition_copy,3.7020,0.9554,13.93,1,0.7595,1
voicemark,5,80,chinese:SSB0287,2,mean,first_legitimate_watermarked_coalition_copy,4.3855,0.9722,15.03,1,0.7344,1
voicemark,5,80,chinese:SSB0287,2,fwp,first_legitimate_watermarked_coalition_copy,3.9422,0.9442,11.33,1,0.7306,1
voicemark,5,81,chinese:SSB0288,0,mean,first_legitimate_watermarked_coalition_copy,3.7405,0.9669,17.67,1,0.5275,1
voicemark,5,81,chinese:SSB0288,0,fwp,first_legitimate_watermarked_coalition_copy,3.2509,0.9527,14.02,1,0.5502,1
voicemark,5,82,chinese:SSB0288,1,mean,first_legitimate_watermarked_coalition_copy,3.9840,0.9630,18.14,1,0.5233,1
voicemark,5,82,chinese:SSB0288,1,fwp,first_legitimate_watermarked_coalition_copy,3.4705,0.9446,15.05,1,0.5096,1
voicemark,5,83,chinese:SSB0288,2,mean,first_legitimate_watermarked_coalition_copy,4.4065,0.9803,19.87,1,0.5208,1
