model,K,trial_id,spk,local_t,method,quality_reference,PESQ,STOI,SI_SDR,presence_supported,presence_score,presence_decision
wavmark,8,0,chinese:SSB0005,0,mean,first_legitimate_watermarked_coalition_copy,4.5679,0.9973,43.52,1,1.0000,1
wavmark,8,0,chinese:SSB0005,0,fwp,first_legitimate_watermarked_coalition_copy,4.5059,0.9957,40.65,1,1.0000,1
wavmark,8,1,chinese:SSB0005,1,mean,first_legitimate_watermarked_coalition_copy,4.5535,0.9976,44.23,1,1.0000,1
wavmark,8,1,chinese:SSB0005,1,fwp,first_legitimate_watermarked_coalition_copy,4.4799,0.9956,41.47,1,1.0000,1
wavmark,8,2,chinese:SSB0005,2,mean,first_legitimate_watermarked_coalition_copy,4.5287,0.9978,44.09,1,1.0000,1
wavmark,8,2,chinese:SSB0005,2,fwp,first_legitimate_watermarked_coalition_copy,4.5585,0.9981,44.78,1,1.0000,1
wavmark,8,3,chinese:SSB0009,0,mean,first_legitimate_watermarked_coalition_copy,4.5789,0.9999,41.29,1,1.0000,1
wavmark,8,3,chinese:SSB0009,0,fwp,first_legitimate_watermarked_coalition_copy,4.5523,0.9999,39.82,1,1.0000,1
wavmark,8,4,chinese:SSB0009,1,mean,first_legitimate_watermarked_coalition_copy,4.5226,0.9999,41.47,1,1.0000,1
wavmark,8,4,chinese:SSB0009,1,fwp,first_legitimate_watermarked_coalition_copy,4.5684,0.9999,43.37,1,1.0000,1
wavmark,8,5,chinese:SSB0009,2,mean,first_legitimate_watermarked_coalition_copy,4.5542,0.9999,42.04,1,1.0000,1
wavmark,8,5,chinese:SSB0009,2,fwp,first_legitimate_watermarked_coalition_copy,4.4842,0.9999,40.41,1,1.0000,1
wavmark,8,6,chinese:SSB0011,0,mean,first_legitimate_watermarked_coalition_copy,4.4915,0.9994,42.48,1,1.0000,1
wavmark,8,6,chinese:SSB0011,0,fwp,first_legitimate_watermarked_coalition_copy,4.4194,0.9992,40.54,1,1.0000,1
wavmark,8,7,chinese:SSB0011,1,mean,first_legitimate_watermarked_coalition_copy,4.4894,0.9994,41.83,1,1.0000,1
wavmark,8,7,chinese:SSB0011,1,fwp,first_legitimate_watermarked_coalition_copy,4.4241,0.9993,40.45,1,1.0000,1
wavmark,8,8,chinese:SSB0011,2,mean,first_legitimate_watermarked_coalition_copy,4.4047,0.9993,41.57,1,1.0000,1
wavmark,8,8,chinese:SSB0011,2,fwp,first_legitimate_watermarked_coalition_copy,4.4634,0.9995,42.65,1,1.0000,1
wavmark,8,9,chinese:SSB0012,0,mean,first_legitimate_watermarked_coalition_copy,4.5193,0.9997,41.91,1,1.0000,1
wavmark,8,9,chinese:SSB0012,0,fwp,first_legitimate_watermarked_coalition_copy,4.4726,0.9996,41.24,1,1.0000,1
wavmark,8,10,chinese:SSB0012,1,mean,first_legitimate_watermarked_coalition_copy,4.4811,0.9997,41.64,1,1.0000,1
wavmark,8,10,chinese:SSB0012,1,fwp,first_legitimate_watermarked_coalition_copy,4.3897,0.9996,39.60,1,1.0000,1
wavmark,8,11,chinese:SSB0012,2,mean,first_legitimate_watermarked_coalition_copy,4.4861,0.9997,41.65,1,1.0000,1
wavmark,8,11,chinese:SSB0012,2,fwp,first_legitimate_watermarked_coalition_copy,4.3710,0.9995,39.58,1,1.0000,1
wavmark,8,12,chinese:SSB0016,0,mean,first_legitimate_watermarked_coalition_copy,4.3176,0.9978,38.33,1,1.0000,1
wavmark,8,12,chinese:SSB0016,0,fwp,first_legitimate_watermarked_coalition_copy,4.0475,0.9963,35.58,1,1.0000,1
wavmark,8,13,chinese:SSB0016,1,mean,first_legitimate_watermarked_coalition_copy,4.3027,0.9980,37.78,1,1.0000,1
wavmark,8,13,chinese:SSB0016,1,fwp,first_legitimate_watermarked_coalition_copy,4.0770,0.9969,35.30,1,1.0000,1
wavmark,8,14,chinese:SSB0016,2,mean,first_legitimate_watermarked_coalition_copy,4.3338,0.9972,37.42,1,1.0000,1
wavmark,8,14,chinese:SSB0016,2,fwp,first_legitimate_watermarked_coalition_copy,4.1193,0.9957,34.87,1,1.0000,1
wavmark,8,15,chinese:SSB0018,0,mean,first_legitimate_watermarked_coalition_copy,4.5137,0.9995,43.45,1,1.0000,1
wavmark,8,15,chinese:SSB0018,0,fwp,first_legitimate_watermarked_coalition_copy,4.4691,0.9993,41.95,1,1.0000,1
wavmark,8,16,chinese:SSB0018,1,mean,first_legitimate_watermarked_coalition_copy,4.5279,0.9993,43.39,1,1.0000,1
wavmark,8,16,chinese:SSB0018,1,fwp,first_legitimate_watermarked_coalition_copy,4.4316,0.9990,41.02,1,1.0000,1
wavmark,8,17,chinese:SSB0018,2,mean,first_legitimate_watermarked_coalition_copy,4.4994,0.9993,43.02,1,1.0000,1
wavmark,8,17,chinese:SSB0018,2,fwp,first_legitimate_watermarked_coalition_copy,4.4619,0.9991,41.48,1,1.0000,1
wavmark,8,18,chinese:SSB0033,0,mean,first_legitimate_watermarked_coalition_copy,4.3495,0.9996,42.77,1,1.0000,1
wavmark,8,18,chinese:SSB0033,0,fwp,first_legitimate_watermarked_coalition_copy,4.4165,0.9997,44.80,1,1.0000,1
wavmark,8,19,chinese:SSB0033,1,mean,first_legitimate_watermarked_coalition_copy,4.4447,0.9996,42.90,1,1.0000,1
wavmark,8,19,chinese:SSB0033,1,fwp,first_legitimate_watermarked_coalition_copy,4.3778,0.9994,41.75,1,1.0000,1
wavmark,8,20,chinese:SSB0033,2,mean,first_legitimate_watermarked_coalition_copy,4.4795,0.9995,43.15,1,1.0000,1
wavmark,8,20,chinese:SSB0033,2,fwp,first_legitimate_watermarked_coalition_copy,4.3168,0.9992,40.09,1,1.0000,1
wavmark,8,21,chinese:SSB0038,0,mean,first_legitimate_watermarked_coalition_copy,4.5124,0.9998,42.70,1,1.0000,1
wavmark,8,21,chinese:SSB0038,0,fwp,first_legitimate_watermarked_coalition_copy,4.4597,0.9997,40.73,1,1.0000,1
wavmark,8,22,chinese:SSB0038,1,mean,first_legitimate_watermarked_coalition_copy,4.5520,0.9998,42.88,1,1.0000,1
wavmark,8,22,chinese:SSB0038,1,fwp,first_legitimate_watermarked_coalition_copy,4.5697,0.9999,43.89,1,1.0000,1
wavmark,8,23,chinese:SSB0038,2,mean,first_legitimate_watermarked_coalition_copy,4.4389,0.9997,41.94,1,1.0000,1
wavmark,8,23,chinese:SSB0038,2,fwp,first_legitimate_watermarked_coalition_copy,4.5528,0.9998,43.53,1,1.0000,1
wavmark,8,24,chinese:SSB0043,0,mean,first_legitimate_watermarked_coalition_copy,4.4977,0.9984,41.10,1,1.0000,1
wavmark,8,24,chinese:SSB0043,0,fwp,first_legitimate_watermarked_coalition_copy,4.4422,0.9980,40.01,1,1.0000,1
wavmark,8,25,chinese:SSB0043,1,mean,first_legitimate_watermarked_coalition_copy,4.4659,0.9977,40.31,1,1.0000,1
wavmark,8,25,chinese:SSB0043,1,fwp,first_legitimate_watermarked_coalition_copy,4.3847,0.9969,38.60,1,1.0000,1
wavmark,8,26,chinese:SSB0043,2,mean,first_legitimate_watermarked_coalition_copy,4.4955,0.9987,41.75,1,1.0000,1
wavmark,8,26,chinese:SSB0043,2,fwp,first_legitimate_watermarked_coalition_copy,4.4444,0.9978,39.48,1,1.0000,1
wavmark,8,27,chinese:SSB0057,0,mean,first_legitimate_watermarked_coalition_copy,4.5063,0.9952,42.97,1,1.0000,1
wavmark,8,27,chinese:SSB0057,0,fwp,first_legitimate_watermarked_coalition_copy,4.4736,0.9957,41.94,1,1.0000,1
wavmark,8,28,chinese:SSB0057,1,mean,first_legitimate_watermarked_coalition_copy,4.5018,0.9915,42.39,1,1.0000,1
wavmark,8,28,chinese:SSB0057,1,fwp,first_legitimate_watermarked_coalition_copy,4.4715,0.9913,42.16,1,1.0000,1
wavmark,8,29,chinese:SSB0057,2,mean,first_legitimate_watermarked_coalition_copy,4.4996,0.9912,42.24,1,1.0000,1
wavmark,8,29,chinese:SSB0057,2,fwp,first_legitimate_watermarked_coalition_copy,4.5361,0.9944,44.26,1,1.0000,1
wavmark,8,30,chinese:SSB0073,0,mean,first_legitimate_watermarked_coalition_copy,4.4379,0.9998,43.35,1,1.0000,1
wavmark,8,30,chinese:SSB0073,0,fwp,first_legitimate_watermarked_coalition_copy,4.4148,0.9998,42.60,1,1.0000,1
wavmark,8,31,chinese:SSB0073,1,mean,first_legitimate_watermarked_coalition_copy,4.3413,0.9997,42.66,1,1.0000,1
wavmark,8,31,chinese:SSB0073,1,fwp,first_legitimate_watermarked_coalition_copy,4.2722,0.9996,41.23,1,1.0000,1
wavmark,8,32,chinese:SSB0073,2,mean,first_legitimate_watermarked_coalition_copy,4.4435,0.9998,42.96,1,1.0000,1
wavmark,8,32,chinese:SSB0073,2,fwp,first_legitimate_watermarked_coalition_copy,4.4783,0.9999,44.50,1,1.0000,1
wavmark,8,33,chinese:SSB0080,0,mean,first_legitimate_watermarked_coalition_copy,4.5751,0.9970,43.46,1,1.0000,1
wavmark,8,33,chinese:SSB0080,0,fwp,first_legitimate_watermarked_coalition_copy,4.5623,0.9971,43.40,1,1.0000,1
wavmark,8,34,chinese:SSB0080,1,mean,first_legitimate_watermarked_coalition_copy,4.5508,0.9965,42.85,1,1.0000,1
wavmark,8,34,chinese:SSB0080,1,fwp,first_legitimate_watermarked_coalition_copy,4.5790,0.9977,44.53,1,1.0000,1
wavmark,8,35,chinese:SSB0080,2,mean,first_legitimate_watermarked_coalition_copy,4.5679,0.9975,43.41,1,1.0000,1
wavmark,8,35,chinese:SSB0080,2,fwp,first_legitimate_watermarked_coalition_copy,4.5197,0.9949,41.34,1,1.0000,1
wavmark,8,36,chinese:SSB0112,0,mean,first_legitimate_watermarked_coalition_copy,4.4869,0.9989,38.43,1,1.0000,1
wavmark,8,36,chinese:SSB0112,0,fwp,first_legitimate_watermarked_coalition_copy,4.3760,0.9980,36.18,1,1.0000,1
wavmark,8,37,chinese:SSB0112,1,mean,first_legitimate_watermarked_coalition_copy,4.4784,0.9989,38.50,1,1.0000,1
wavmark,8,37,chinese:SSB0112,1,fwp,first_legitimate_watermarked_coalition_copy,4.3601,0.9982,36.63,1,1.0000,1
wavmark,8,38,chinese:SSB0112,2,mean,first_legitimate_watermarked_coalition_copy,4.5074,0.9987,38.56,1,1.0000,1
wavmark,8,38,chinese:SSB0112,2,fwp,first_legitimate_watermarked_coalition_copy,4.5021,0.9988,39.17,1,1.0000,1
wavmark,8,39,chinese:SSB0122,0,mean,first_legitimate_watermarked_coalition_copy,4.3276,0.9998,41.61,1,1.0000,1
wavmark,8,39,chinese:SSB0122,0,fwp,first_legitimate_watermarked_coalition_copy,4.2649,0.9997,40.41,1,1.0000,1
wavmark,8,40,chinese:SSB0122,1,mean,first_legitimate_watermarked_coalition_copy,4.3190,0.9998,42.56,1,1.0000,1
wavmark,8,40,chinese:SSB0122,1,fwp,first_legitimate_watermarked_coalition_copy,4.2384,0.9997,41.23,1,1.0000,1
wavmark,8,41,chinese:SSB0122,2,mean,first_legitimate_watermarked_coalition_copy,4.3160,0.9997,40.69,1,1.0000,1
wavmark,8,41,chinese:SSB0122,2,fwp,first_legitimate_watermarked_coalition_copy,4.2696,0.9996,39.30,1,1.0000,1
wavmark,8,42,chinese:SSB0133,0,mean,first_legitimate_watermarked_coalition_copy,4.3822,0.9995,41.47,1,1.0000,1
wavmark,8,42,chinese:SSB0133,0,fwp,first_legitimate_watermarked_coalition_copy,4.2078,0.9991,38.96,1,1.0000,1
wavmark,8,43,chinese:SSB0133,1,mean,first_legitimate_watermarked_coalition_copy,4.5029,0.9994,40.54,1,1.0000,1
wavmark,8,43,chinese:SSB0133,1,fwp,first_legitimate_watermarked_coalition_copy,4.5401,0.9996,42.35,1,1.0000,1
wavmark,8,44,chinese:SSB0133,2,mean,first_legitimate_watermarked_coalition_copy,4.4885,0.9995,41.34,1,1.0000,1
wavmark,8,44,chinese:SSB0133,2,fwp,first_legitimate_watermarked_coalition_copy,4.4261,0.9993,40.12,1,1.0000,1
wavmark,8,45,chinese:SSB0139,0,mean,first_legitimate_watermarked_coalition_copy,4.3906,0.9999,42.47,1,1.0000,1
wavmark,8,45,chinese:SSB0139,0,fwp,first_legitimate_watermarked_coalition_copy,4.3445,0.9999,41.79,1,1.0000,1
wavmark,8,46,chinese:SSB0139,1,mean,first_legitimate_watermarked_coalition_copy,4.4700,0.9999,42.16,1,1.0000,1
wavmark,8,46,chinese:SSB0139,1,fwp,first_legitimate_watermarked_coalition_copy,4.3649,0.9998,39.84,1,1.0000,1
wavmark,8,47,chinese:SSB0139,2,mean,first_legitimate_watermarked_coalition_copy,4.4211,0.9998,42.14,1,1.0000,1
