model,K,trial_id,spk,local_t,method,quality_reference,PESQ,STOI,SI_SDR,presence_supported,presence_score,presence_decision
wmcodec,5,0,chinese:SSB0005,0,mean,first_legitimate_watermarked_coalition_copy,4.3676,0.9856,17.41,0,,
wmcodec,5,0,chinese:SSB0005,0,fwp,first_legitimate_watermarked_coalition_copy,4.1864,0.9787,14.80,0,,
wmcodec,5,1,chinese:SSB0005,1,mean,first_legitimate_watermarked_coalition_copy,4.3786,0.9847,17.30,0,,
wmcodec,5,1,chinese:SSB0005,1,fwp,first_legitimate_watermarked_coalition_copy,4.1877,0.9777,14.80,0,,
wmcodec,5,2,chinese:SSB0005,2,mean,first_legitimate_watermarked_coalition_copy,4.4254,0.9849,17.56,0,,
wmcodec,5,2,chinese:SSB0005,2,fwp,first_legitimate_watermarked_coalition_copy,4.0777,0.9794,14.86,0,,
wmcodec,5,3,chinese:SSB0009,0,mean,first_legitimate_watermarked_coalition_copy,4.2916,0.9854,14.16,0,,
wmcodec,5,3,chinese:SSB0009,0,fwp,first_legitimate_watermarked_coalition_copy,4.1056,0.9804,11.11,0,,
wmcodec,5,4,chinese:SSB0009,1,mean,first_legitimate_watermarked_coalition_copy,4.2742,0.9856,13.96,0,,
wmcodec,5,4,chinese:SSB0009,1,fwp,first_legitimate_watermarked_coalition_copy,4.3464,0.9894,15.54,0,,
wmcodec,5,5,chinese:SSB0009,2,mean,first_legitimate_watermarked_coalition_copy,4.2395,0.9852,13.25,0,,
wmcodec,5,5,chinese:SSB0009,2,fwp,first_legitimate_watermarked_coalition_copy,4.3697,0.9884,14.99,0,,
wmcodec,5,6,chinese:SSB0011,0,mean,first_legitimate_watermarked_coalition_copy,4.3203,0.9849,16.60,0,,
wmcodec,5,6,chinese:SSB0011,0,fwp,first_legitimate_watermarked_coalition_copy,4.3599,0.9884,18.64,0,,
wmcodec,5,7,chinese:SSB0011,1,mean,first_legitimate_watermarked_coalition_copy,4.1217,0.9823,16.57,0,,
wmcodec,5,7,chinese:SSB0011,1,fwp,first_legitimate_watermarked_coalition_copy,4.2490,0.9876,18.19,0,,
wmcodec,5,8,chinese:SSB0011,2,mean,first_legitimate_watermarked_coalition_copy,4.1664,0.9816,16.63,0,,
wmcodec,5,8,chinese:SSB0011,2,fwp,first_legitimate_watermarked_coalition_copy,3.9124,0.9727,13.76,0,,
wmcodec,5,9,chinese:SSB0012,0,mean,first_legitimate_watermarked_coalition_copy,4.2504,0.9832,13.97,0,,
wmcodec,5,9,chinese:SSB0012,0,fwp,first_legitimate_watermarked_coalition_copy,3.9930,0.9729,10.98,0,,
wmcodec,5,10,chinese:SSB0012,1,mean,first_legitimate_watermarked_coalition_copy,4.3262,0.9834,13.95,0,,
wmcodec,5,10,chinese:SSB0012,1,fwp,first_legitimate_watermarked_coalition_copy,4.1568,0.9749,11.68,0,,
wmcodec,5,11,chinese:SSB0012,2,mean,first_legitimate_watermarked_coalition_copy,4.3335,0.9829,12.78,0,,
wmcodec,5,11,chinese:SSB0012,2,fwp,first_legitimate_watermarked_coalition_copy,4.0152,0.9752,10.19,0,,
wmcodec,5,12,chinese:SSB0016,0,mean,first_legitimate_watermarked_coalition_copy,4.3690,0.9848,16.57,0,,
wmcodec,5,12,chinese:SSB0016,0,fwp,first_legitimate_watermarked_coalition_copy,4.1529,0.9757,13.43,0,,
wmcodec,5,13,chinese:SSB0016,1,mean,first_legitimate_watermarked_coalition_copy,4.2545,0.9854,16.33,0,,
wmcodec,5,13,chinese:SSB0016,1,fwp,first_legitimate_watermarked_coalition_copy,4.0359,0.9747,13.40,0,,
wmcodec,5,14,chinese:SSB0016,2,mean,first_legitimate_watermarked_coalition_copy,4.1835,0.9833,15.57,0,,
wmcodec,5,14,chinese:SSB0016,2,fwp,first_legitimate_watermarked_coalition_copy,4.2087,0.9876,17.39,0,,
wmcodec,5,15,chinese:SSB0018,0,mean,first_legitimate_watermarked_coalition_copy,4.3470,0.9865,15.33,0,,
wmcodec,5,15,chinese:SSB0018,0,fwp,first_legitimate_watermarked_coalition_copy,4.4011,0.9897,17.30,0,,
