model,K,N_registry,trial_id,spk,local_t,method,colluder_ids,top1_identity,top1_is_colluder,max_colluder_score,max_noncolluder_score,attribution_margin,best_colluder_rank,ASR,R3_escape,R5_escape
audioseal,5,256,0,chinese:SSB0005,0,mean,"[38853, 41735, 47835, 55549, 61557]",41053,0,-8.396395683288574,-8.118558883666992,0.27783679962158203,2,1,0,0
audioseal,5,1024,0,chinese:SSB0005,0,mean,"[38853, 41735, 47835, 55549, 61557]",45653,0,-8.396395683288574,-6.552421569824219,1.8439741134643555,11,1,1,1
audioseal,5,4096,0,chinese:SSB0005,0,mean,"[38853, 41735, 47835, 55549, 61557]",45525,0,-8.396395683288574,-5.998716354370117,2.397679328918457,45,1,1,1
audioseal,5,16384,0,chinese:SSB0005,0,mean,"[38853, 41735, 47835, 55549, 61557]",45525,0,-8.396395683288574,-5.998716354370117,2.397679328918457,175,1,1,1
audioseal,5,65536,0,chinese:SSB0005,0,mean,"[38853, 41735, 47835, 55549, 61557]",45397,0,-8.396395683288574,-5.679901599884033,2.716494083404541,653,1,1,1
audioseal,5,256,0,chinese:SSB0005,0,fwp,"[38853, 41735, 47835, 55549, 61557]",55549,1,-7.538007736206055,-7.949801445007324,-0.41179370880126953,1,0,0,0
audioseal,5,1024,0,chinese:SSB0005,0,fwp,"[38853, 41735, 47835, 55549, 61557]",53485,0,-7.538007736206055,-6.536437034606934,1.001570701599121,4,1,1,0
audioseal,5,4096,0,chinese:SSB0005,0,fwp,"[38853, 41735, 47835, 55549, 61557]",56813,0,-7.538007736206055,-6.170971393585205,1.3670363426208496,11,1,1,1
audioseal,5,16384,0,chinese:SSB0005,0,fwp,"[38853, 41735, 47835, 55549, 61557]",56517,0,-7.538007736206055,-6.38516902923584,1.1528387069702148,41,1,1,1
audioseal,5,65536,0,chinese:SSB0005,0,fwp,"[38853, 41735, 47835, 55549, 61557]",56549,0,-7.538007736206055,-5.531080722808838,2.006927013397217,160,1,1,1
audioseal,5,256,1,chinese:SSB0005,1,mean,"[16742, 19795, 32120, 44331, 47761]",47939,0,-9.498717308044434,-8.98089599609375,0.5178213119506836,7,1,1,1
audioseal,5,1024,1,chinese:SSB0005,1,mean,"[16742, 19795, 32120, 44331, 47761]",63751,0,-9.498717308044434,-6.764864921569824,2.7338523864746094,40,1,1,1
audioseal,5,4096,1,chinese:SSB0005,1,mean,"[16742, 19795, 32120, 44331, 47761]",63811,0,-9.498717308044434,-6.604991912841797,2.8937253952026367,162,1,1,1
audioseal,5,16384,1,chinese:SSB0005,1,mean,"[16742, 19795, 32120, 44331, 47761]",63771,0,-9.498717308044434,-5.832258224487305,3.666459083557129,681,1,1,1
audioseal,5,65536,1,chinese:SSB0005,1,mean,"[16742, 19795, 32120, 44331, 47761]",63763,0,-9.498717308044434,-5.058650016784668,4.440067291259766,2613,1,1,1
audioseal,5,256,1,chinese:SSB0005,1,fwp,"[16742, 19795, 32120, 44331, 47761]",61804,0,-8.235448837280273,-6.218016147613525,2.017432689666748,5,1,1,0
audioseal,5,1024,1,chinese:SSB0005,1,fwp,"[16742, 19795, 32120, 44331, 47761]",8556,0,-8.235448837280273,-7.680757522583008,0.5546913146972656,5,1,1,0
audioseal,5,4096,1,chinese:SSB0005,1,fwp,"[16742, 19795, 32120, 44331, 47761]",20846,0,-8.235448837280273,-6.644593715667725,1.5908551216125488,46,1,1,1
audioseal,5,16384,1,chinese:SSB0005,1,fwp,"[16742, 19795, 32120, 44331, 47761]",29038,0,-8.235448837280273,-5.889298915863037,2.3461499214172363,137,1,1,1
audioseal,5,65536,1,chinese:SSB0005,1,fwp,"[16742, 19795, 32120, 44331, 47761]",29036,0,-8.235448837280273,-5.181103706359863,3.05434513092041,518,1,1,1
audioseal,5,256,2,chinese:SSB0005,2,mean,"[9931, 36736, 41249, 60563, 63672]",58528,0,-9.271974563598633,-5.827706813812256,3.444267749786377,7,1,1,1
audioseal,5,1024,2,chinese:SSB0005,2,mean,"[9931, 36736, 41249, 60563, 63672]",36001,0,-9.271974563598633,-7.0140838623046875,2.2578907012939453,38,1,1,1
