model,K,N_registry,trial_id,spk,local_t,method,colluder_ids,top1_identity,top1_is_colluder,max_colluder_score,max_noncolluder_score,attribution_margin,best_colluder_rank,ASR,R3_escape,R5_escape
timbrewm,8,1024,0,chinese:SSB0005,0,mean,"[141, 318, 622, 679, 734, 743, 872, 940]",750,0,-5.426329612731934,-5.113987445831299,0.31234216690063477,7,1,1,1
timbrewm,8,1024,0,chinese:SSB0005,0,fwp,"[141, 318, 622, 679, 734, 743, 872, 940]",1000,0,-5.433350086212158,-5.345368385314941,0.0879817008972168,6,1,1,1
timbrewm,8,1024,1,chinese:SSB0005,1,mean,"[211, 226, 343, 400, 668, 731, 750, 786]",722,0,-5.865210056304932,-5.495659351348877,0.3695507049560547,16,1,1,1
timbrewm,8,1024,1,chinese:SSB0005,1,fwp,"[211, 226, 343, 400, 668, 731, 750, 786]",508,0,-6.029658794403076,-5.760014057159424,0.26964473724365234,84,1,1,1
timbrewm,8,1024,2,chinese:SSB0005,2,mean,"[211, 249, 342, 465, 681, 950, 951, 959]",1011,0,-5.826871871948242,-5.657404899597168,0.16946697235107422,19,1,1,1
timbrewm,8,1024,2,chinese:SSB0005,2,fwp,"[211, 249, 342, 465, 681, 950, 951, 959]",744,0,-6.5992841720581055,-6.525756359100342,0.07352781295776367,25,1,1,1
timbrewm,8,1024,3,chinese:SSB0009,0,mean,"[179, 344, 361, 396, 465, 828, 913, 925]",409,0,-5.5905070304870605,-4.912055492401123,0.6784515380859375,19,1,1,1
timbrewm,8,1024,3,chinese:SSB0009,0,fwp,"[179, 344, 361, 396, 465, 828, 913, 925]",408,0,-5.513879299163818,-5.365644454956055,0.14823484420776367,20,1,1,1
timbrewm,8,1024,4,chinese:SSB0009,1,mean,"[36, 37, 579, 659, 692, 719, 752, 860]",709,0,-5.989555358886719,-5.778275012969971,0.21128034591674805,20,1,1,1
timbrewm,8,1024,4,chinese:SSB0009,1,fwp,"[36, 37, 579, 659, 692, 719, 752, 860]",985,0,-5.664001941680908,-5.227695941925049,0.4363059997558594,42,1,1,1
timbrewm,8,1024,5,chinese:SSB0009,2,mean,"[1, 277, 306, 340, 375, 387, 747, 824]",273,0,-5.887666702270508,-5.517536163330078,0.3701305389404297,15,1,1,1
timbrewm,8,1024,5,chinese:SSB0009,2,fwp,"[1, 277, 306, 340, 375, 387, 747, 824]",426,0,-5.6608500480651855,-5.396358013153076,0.2644920349121094,29,1,1,1
timbrewm,8,1024,6,chinese:SSB0011,0,mean,"[54, 281, 358, 573, 601, 715, 748, 762]",632,0,-6.008594989776611,-5.863480091094971,0.14511489868164062,12,1,1,1
timbrewm,8,1024,6,chinese:SSB0011,0,fwp,"[54, 281, 358, 573, 601, 715, 748, 762]",463,0,-5.544494152069092,-5.400678634643555,0.1438155174255371,19,1,1,1
timbrewm,8,1024,7,chinese:SSB0011,1,mean,"[150, 271, 518, 626, 634, 668, 868, 958]",542,0,-5.749690532684326,-5.479502201080322,0.2701883316040039,13,1,1,1
timbrewm,8,1024,7,chinese:SSB0011,1,fwp,"[150, 271, 518, 626, 634, 668, 868, 958]",484,0,-5.83690881729126,-5.584892272949219,0.252016544342041,63,1,1,1
timbrewm,8,1024,8,chinese:SSB0011,2,mean,"[104, 122, 230, 239, 478, 538, 828, 934]",254,0,-5.688775062561035,-5.285245895385742,0.40352916717529297,13,1,1,1
timbrewm,8,1024,8,chinese:SSB0011,2,fwp,"[104, 122, 230, 239, 478, 538, 828, 934]",488,0,-5.595818042755127,-5.339867115020752,0.255950927734375,29,1,1,1
timbrewm,8,1024,9,chinese:SSB0012,0,mean,"[82, 162, 191, 236, 313, 501, 683, 879]",239,0,-5.683081150054932,-5.551845073699951,0.13123607635498047,8,1,1,1
timbrewm,8,1024,9,chinese:SSB0012,0,fwp,"[82, 162, 191, 236, 313, 501, 683, 879]",509,0,-5.608422756195068,-5.325392723083496,0.28303003311157227,45,1,1,1
timbrewm,8,1024,10,chinese:SSB0012,1,mean,"[112, 132, 322, 640, 692, 696, 814, 1007]",680,0,-5.917354106903076,-5.628407955169678,0.28894615173339844,20,1,1,1
timbrewm,8,1024,10,chinese:SSB0012,1,fwp,"[112, 132, 322, 640, 692, 696, 814, 1007]",972,0,-5.693334579467773,-5.307438850402832,0.3858957290649414,63,1,1,1
timbrewm,8,1024,11,chinese:SSB0012,2,mean,"[53, 69, 213, 324, 332, 848, 922, 974]",460,0,-5.372640132904053,-5.358930587768555,0.013709545135498047,2,1,0,0
timbrewm,8,1024,11,chinese:SSB0012,2,fwp,"[53, 69, 213, 324, 332, 848, 922, 974]",412,0,-5.5192999839782715,-5.2990827560424805,0.22021722793579102,32,1,1,1
timbrewm,8,1024,12,chinese:SSB0016,0,mean,"[68, 166, 284, 420, 520, 552, 709, 833]",4,0,-5.713665962219238,-5.463201522827148,0.25046443939208984,11,1,1,1
timbrewm,8,1024,12,chinese:SSB0016,0,fwp,"[68, 166, 284, 420, 520, 552, 709, 833]",744,0,-5.315785884857178,-5.1915106773376465,0.12427520751953125,12,1,1,1
timbrewm,8,1024,13,chinese:SSB0016,1,mean,"[100, 145, 305, 320, 609, 800, 951, 1001]",353,0,-5.612708568572998,-5.265103340148926,0.34760522842407227,13,1,1,1
timbrewm,8,1024,13,chinese:SSB0016,1,fwp,"[100, 145, 305, 320, 609, 800, 951, 1001]",896,0,-5.96710205078125,-5.800311088562012,0.16679096221923828,26,1,1,1
