model,K,N_registry,trial_id,spk,local_t,method,colluder_ids,top1_identity,top1_is_colluder,max_colluder_score,max_noncolluder_score,attribution_margin,best_colluder_rank,ASR,R3_escape,R5_escape
voicemark,5,256,0,chinese:SSB0005,0,mean,"[38853, 41735, 47835, 55549, 61557]",7146,0,-20.659574180841446,-17.357121229225413,3.302452951616033,3,1,0,0
voicemark,5,1024,0,chinese:SSB0005,0,mean,"[38853, 41735, 47835, 55549, 61557]",5986,0,-20.659574180841446,-13.915658593231456,6.74391558760999,7,1,1,1
voicemark,5,4096,0,chinese:SSB0005,0,mean,"[38853, 41735, 47835, 55549, 61557]",4330,0,-20.659574180841446,-5.745156794840113,14.914417386001332,26,1,1,1
voicemark,5,16384,0,chinese:SSB0005,0,mean,"[38853, 41735, 47835, 55549, 61557]",6133,0,-20.659574180841446,-2.0548147261679333,18.604759454673513,135,1,1,1
voicemark,5,65536,0,chinese:SSB0005,0,mean,"[38853, 41735, 47835, 55549, 61557]",4341,0,-20.659574180841446,-1.0878443122446697,19.571729868596776,533,1,1,1
voicemark,5,256,0,chinese:SSB0005,0,fwp,"[38853, 41735, 47835, 55549, 61557]",57570,0,-38.27281621354632,-11.19528908234497,27.07752713120135,28,1,1,1
voicemark,5,1024,0,chinese:SSB0005,0,fwp,"[38853, 41735, 47835, 55549, 61557]",5617,0,-38.27281621354632,-18.86091108317487,19.41190513037145,80,1,1,1
voicemark,5,4096,0,chinese:SSB0005,0,fwp,"[38853, 41735, 47835, 55549, 61557]",6898,0,-38.27281621354632,-4.5404569695092505,33.73235924403707,345,1,1,1
voicemark,5,16384,0,chinese:SSB0005,0,fwp,"[38853, 41735, 47835, 55549, 61557]",5618,0,-38.27281621354632,-2.6946129391290015,35.57820327441732,1401,1,1,1
voicemark,5,65536,0,chinese:SSB0005,0,fwp,"[38853, 41735, 47835, 55549, 61557]",4338,0,-38.27281621354632,-0.10487975574505981,38.16793645780126,5398,1,1,1
voicemark,5,256,1,chinese:SSB0005,1,mean,"[16742, 19795, 32120, 44331, 47761]",5996,0,-24.26178687810898,-20.211680830365367,4.050106047743611,3,1,0,0
voicemark,5,1024,1,chinese:SSB0005,1,mean,"[16742, 19795, 32120, 44331, 47761]",6759,0,-24.26178687810898,-4.180345163589664,20.081441714519315,21,1,1,1
voicemark,5,4096,1,chinese:SSB0005,1,mean,"[16742, 19795, 32120, 44331, 47761]",7576,0,-24.26178687810898,-5.943203211671062,18.318583666437917,73,1,1,1
voicemark,5,16384,1,chinese:SSB0005,1,mean,"[16742, 19795, 32120, 44331, 47761]",6808,0,-24.26178687810898,-2.6882516601144744,21.573535217994504,336,1,1,1
voicemark,5,65536,1,chinese:SSB0005,1,mean,"[16742, 19795, 32120, 44331, 47761]",6761,0,-24.26178687810898,-0.8836089232027007,23.378177954906278,1271,1,1,1
voicemark,5,256,1,chinese:SSB0005,1,fwp,"[16742, 19795, 32120, 44331, 47761]",32120,1,-11.966086909202204,-26.81190527653507,-14.845818367332868,1,0,0,0
voicemark,5,1024,1,chinese:SSB0005,1,fwp,"[16742, 19795, 32120, 44331, 47761]",32120,1,-11.966086909202204,-13.18068635466443,-1.2145994454622269,1,0,0,0
voicemark,5,4096,1,chinese:SSB0005,1,fwp,"[16742, 19795, 32120, 44331, 47761]",32104,0,-11.966086909202204,-0.13365810789218813,11.832428801310016,3,1,0,0
voicemark,5,16384,1,chinese:SSB0005,1,fwp,"[16742, 19795, 32120, 44331, 47761]",32120,1,-11.966086909202204,-14.432044562457122,-2.465957653254918,1,0,0,0
voicemark,5,65536,1,chinese:SSB0005,1,fwp,"[16742, 19795, 32120, 44331, 47761]",32104,0,-11.966086909202204,-0.13365810789218813,11.832428801310016,9,1,1,1
voicemark,5,256,2,chinese:SSB0005,2,mean,"[9931, 36736, 41249, 60563, 63672]",51216,0,-36.318528175408574,-32.65991270630184,3.658615469106735,6,1,1,1
voicemark,5,1024,2,chinese:SSB0005,2,mean,"[9931, 36736, 41249, 60563, 63672]",43040,0,-36.318528175408574,-8.409020338971459,27.909507836437115,18,1,1,1
voicemark,5,4096,2,chinese:SSB0005,2,mean,"[9931, 36736, 41249, 60563, 63672]",6304,0,-36.318528175408574,-13.701355436474842,22.617172738933732,76,1,1,1
voicemark,5,16384,2,chinese:SSB0005,2,mean,"[9931, 36736, 41249, 60563, 63672]",6176,0,-36.318528175408574,-0.0012633926307898946,36.317264782777784,324,1,1,1
voicemark,5,65536,2,chinese:SSB0005,2,mean,"[9931, 36736, 41249, 60563, 63672]",6176,0,-36.318528175408574,-0.0012633926307898946,36.317264782777784,1198,1,1,1
voicemark,5,256,2,chinese:SSB0005,2,fwp,"[9931, 36736, 41249, 60563, 63672]",60563,1,-11.828423216938972,-15.754626825451851,-3.9262036085128784,1,0,0,0
voicemark,5,1024,2,chinese:SSB0005,2,fwp,"[9931, 36736, 41249, 60563, 63672]",60176,0,-11.828423216938972,-6.912340364418924,4.916082852520049,3,1,0,0
voicemark,5,4096,2,chinese:SSB0005,2,fwp,"[9931, 36736, 41249, 60563, 63672]",56339,0,-11.828423216938972,-6.714508450590074,5.113914766348898,4,1,1,0
voicemark,5,16384,2,chinese:SSB0005,2,fwp,"[9931, 36736, 41249, 60563, 63672]",19472,0,-11.828423216938972,-2.3136235689744353,9.514799647964537,20,1,1,1
voicemark,5,65536,2,chinese:SSB0005,2,fwp,"[9931, 36736, 41249, 60563, 63672]",19475,0,-11.828423216938972,-0.8751699095591903,10.953253307379782,76,1,1,1
voicemark,5,256,3,chinese:SSB0009,0,mean,"[11900, 27011, 35193, 48537, 55914]",26484,0,-25.738940366718452,-13.47097952029435,12.267960846424103,11,1,1,1
voicemark,5,1024,3,chinese:SSB0009,0,mean,"[11900, 27011, 35193, 48537, 55914]",55156,0,-25.738940366718452,-8.20789129397599,17.531049072742462,49,1,1,1
voicemark,5,4096,3,chinese:SSB0009,0,mean,"[11900, 27011, 35193, 48537, 55914]",18296,0,-25.738940366718452,-7.846040770586114,17.892899596132338,166,1,1,1
voicemark,5,16384,3,chinese:SSB0009,0,mean,"[11900, 27011, 35193, 48537, 55914]",19827,0,-25.738940366718452,-4.313727423723321,21.42521294299513,631,1,1,1
voicemark,5,65536,3,chinese:SSB0009,0,mean,"[11900, 27011, 35193, 48537, 55914]",19831,0,-25.738940366718452,-0.7227544041234069,25.016185962595046,2541,1,1,1
voicemark,5,256,3,chinese:SSB0009,0,fwp,"[11900, 27011, 35193, 48537, 55914]",59261,0,-18.317719184793532,-16.4959664408525,1.8217527439410333,2,1,0,0
voicemark,5,1024,3,chinese:SSB0009,0,fwp,"[11900, 27011, 35193, 48537, 55914]",55156,0,-18.317719184793532,-10.131395677890396,8.186323506903136,6,1,1,1
voicemark,5,4096,3,chinese:SSB0009,0,fwp,"[11900, 27011, 35193, 48537, 55914]",22391,0,-18.317719184793532,-10.463820463832235,7.853898720961297,10,1,1,1
voicemark,5,16384,3,chinese:SSB0009,0,fwp,"[11900, 27011, 35193, 48537, 55914]",55162,0,-18.317719184793532,-0.056893080327427015,18.260826104466105,36,1,1,1
voicemark,5,65536,3,chinese:SSB0009,0,fwp,"[11900, 27011, 35193, 48537, 55914]",55162,0,-18.317719184793532,-0.056893080327427015,18.260826104466105,159,1,1,1
voicemark,5,256,4,chinese:SSB0009,1,mean,"[1693, 21034, 30376, 50638, 53834]",38184,0,-29.57539254426956,-23.692461015232766,5.882931529036796,7,1,1,1
voicemark,5,1024,4,chinese:SSB0009,1,mean,"[1693, 21034, 30376, 50638, 53834]",38279,0,-29.57539254426956,-15.055938751944268,14.519453792325294,23,1,1,1
voicemark,5,4096,4,chinese:SSB0009,1,mean,"[1693, 21034, 30376, 50638, 53834]",38198,0,-29.57539254426956,-6.801925779827798,22.773466764441764,69,1,1,1
voicemark,5,16384,4,chinese:SSB0009,1,mean,"[1693, 21034, 30376, 50638, 53834]",38151,0,-29.57539254426956,-7.511263878592217,22.064128665677345,296,1,1,1
voicemark,5,65536,4,chinese:SSB0009,1,mean,"[1693, 21034, 30376, 50638, 53834]",38199,0,-29.57539254426956,-0.5337392404162529,29.04165330385331,1186,1,1,1
voicemark,5,256,4,chinese:SSB0009,1,fwp,"[1693, 21034, 30376, 50638, 53834]",53834,1,-10.114788666369805,-17.779986381533035,-7.665197715163231,1,0,0,0
voicemark,5,1024,4,chinese:SSB0009,1,fwp,"[1693, 21034, 30376, 50638, 53834]",53834,1,-10.114788666369805,-16.30555922747817,-6.190770561108366,1,0,0,0
voicemark,5,4096,4,chinese:SSB0009,1,fwp,"[1693, 21034, 30376, 50638, 53834]",50501,0,-10.114788666369805,-7.841755993899369,2.2730326724704355,3,1,0,0
voicemark,5,16384,4,chinese:SSB0009,1,fwp,"[1693, 21034, 30376, 50638, 53834]",49738,0,-10.114788666369805,-4.2222547179576395,5.892533948412165,6,1,1,1
voicemark,5,65536,4,chinese:SSB0009,1,fwp,"[1693, 21034, 30376, 50638, 53834]",50506,0,-10.114788666369805,-0.05328466766741258,10.061503998702392,13,1,1,1
voicemark,5,256,5,chinese:SSB0009,2,mean,"[12711, 38031, 39994, 42017, 51263]",39994,1,-15.876186427216453,-28.539461225271225,-12.663274798054772,1,0,0,0
voicemark,5,1024,5,chinese:SSB0009,2,mean,"[12711, 38031, 39994, 42017, 51263]",52327,0,-15.876186427216453,-14.184141931233171,1.692044495983282,2,1,0,0
voicemark,5,4096,5,chinese:SSB0009,2,mean,"[12711, 38031, 39994, 42017, 51263]",52287,0,-15.876186427216453,-8.925619271140022,6.950567156076431,5,1,1,0
voicemark,5,16384,5,chinese:SSB0009,2,mean,"[12711, 38031, 39994, 42017, 51263]",11319,0,-15.876186427216453,-7.800893684725452,8.075292742491001,18,1,1,1
voicemark,5,65536,5,chinese:SSB0009,2,mean,"[12711, 38031, 39994, 42017, 51263]",52279,0,-15.876186427216453,-0.33308218965976266,15.54310423755669,84,1,1,1
voicemark,5,256,5,chinese:SSB0009,2,fwp,"[12711, 38031, 39994, 42017, 51263]",51983,0,-18.60870105065078,-11.666583836447899,6.942117214202881,2,1,0,0
voicemark,5,1024,5,chinese:SSB0009,2,fwp,"[12711, 38031, 39994, 42017, 51263]",31759,0,-18.60870105065078,-8.256667226922218,10.352033823728561,5,1,1,0
voicemark,5,4096,5,chinese:SSB0009,2,fwp,"[12711, 38031, 39994, 42017, 51263]",52287,0,-18.60870105065078,-9.77748885787696,8.831212192773819,18,1,1,1
voicemark,5,16384,5,chinese:SSB0009,2,fwp,"[12711, 38031, 39994, 42017, 51263]",52303,0,-18.60870105065078,-0.4184621366639476,18.190238913986832,60,1,1,1
voicemark,5,65536,5,chinese:SSB0009,2,fwp,"[12711, 38031, 39994, 42017, 51263]",52303,0,-18.60870105065078,-0.4184621366639476,18.190238913986832,197,1,1,1
voicemark,5,256,6,chinese:SSB0011,0,mean,"[14360, 26078, 35446, 45165, 53359]",45165,1,-8.65837176216155,-16.202307316729275,-7.5439355545677245,1,0,0,0
voicemark,5,1024,6,chinese:SSB0011,0,mean,"[14360, 26078, 35446, 45165, 53359]",45165,1,-8.65837176216155,-18.99926588244125,-10.3408941202797,1,0,0,0
voicemark,5,4096,6,chinese:SSB0011,0,mean,"[14360, 26078, 35446, 45165, 53359]",45165,1,-8.65837176216155,-15.410507985929144,-6.752136223767593,1,0,0,0
voicemark,5,16384,6,chinese:SSB0011,0,mean,"[14360, 26078, 35446, 45165, 53359]",4205,0,-8.65837176216155,-7.0544217385104275,1.603950023651123,2,1,0,0
voicemark,5,65536,6,chinese:SSB0011,0,mean,"[14360, 26078, 35446, 45165, 53359]",16493,0,-8.65837176216155,-0.19219663811236387,8.466175124049187,11,1,1,1
voicemark,5,256,6,chinese:SSB0011,0,fwp,"[14360, 26078, 35446, 45165, 53359]",45165,1,-7.739949748339768,-19.566131234588738,-11.82618148624897,1,0,0,0
voicemark,5,1024,6,chinese:SSB0011,0,fwp,"[14360, 26078, 35446, 45165, 53359]",45165,1,-7.739949748339768,-22.183281704799356,-14.443331956459588,1,0,0,0
voicemark,5,4096,6,chinese:SSB0011,0,fwp,"[14360, 26078, 35446, 45165, 53359]",45165,1,-7.739949748339768,-11.717128314966885,-3.977178566627117,1,0,0,0
voicemark,5,16384,6,chinese:SSB0011,0,fwp,"[14360, 26078, 35446, 45165, 53359]",45165,1,-7.739949748339768,-11.215651080432053,-3.475701332092285,1,0,0,0
voicemark,5,65536,6,chinese:SSB0011,0,fwp,"[14360, 26078, 35446, 45165, 53359]",61549,0,-7.739949748339768,-0.0271599678212624,7.712789780518506,3,1,0,0
voicemark,5,256,7,chinese:SSB0011,1,mean,"[24814, 34257, 45141, 51717, 62240]",51717,1,-28.104479434412497,-28.678740485083836,-0.574261050671339,1,0,0,0
voicemark,5,1024,7,chinese:SSB0011,1,mean,"[24814, 34257, 45141, 51717, 62240]",64078,0,-28.104479434412497,-0.1445734956432716,27.959905938769225,10,1,1,1
voicemark,5,4096,7,chinese:SSB0011,1,mean,"[24814, 34257, 45141, 51717, 62240]",35397,0,-28.104479434412497,-14.183278782737034,13.921200651675463,52,1,1,1
voicemark,5,16384,7,chinese:SSB0011,1,mean,"[24814, 34257, 45141, 51717, 62240]",43589,0,-28.104479434412497,-9.566282494437473,18.538196939975023,229,1,1,1
voicemark,5,65536,7,chinese:SSB0011,1,mean,"[24814, 34257, 45141, 51717, 62240]",64078,0,-28.104479434412497,-0.1445734956432716,27.959905938769225,833,1,1,1
voicemark,5,256,7,chinese:SSB0011,1,fwp,"[24814, 34257, 45141, 51717, 62240]",13118,0,-49.44176959991455,-25.14223647117865,24.299533128735902,46,1,1,1
voicemark,5,1024,7,chinese:SSB0011,1,fwp,"[24814, 34257, 45141, 51717, 62240]",36153,0,-49.44176959991455,-14.917472962350757,34.52429663756379,160,1,1,1
voicemark,5,4096,7,chinese:SSB0011,1,fwp,"[24814, 34257, 45141, 51717, 62240]",17209,0,-49.44176959991455,-12.031350139589222,37.41041946032533,684,1,1,1
voicemark,5,16384,7,chinese:SSB0011,1,fwp,"[24814, 34257, 45141, 51717, 62240]",27193,0,-49.44176959991455,-10.328869823427112,39.11289977648744,2567,1,1,1
voicemark,5,65536,7,chinese:SSB0011,1,fwp,"[24814, 34257, 45141, 51717, 62240]",42809,0,-49.44176959991455,-0.9175622888167254,48.524207311097825,10570,1,1,1
voicemark,5,256,8,chinese:SSB0011,2,mean,"[6947, 18578, 38432, 39064, 53545]",22057,0,-7.498176619410515,-3.3882879223674536,4.109888697043061,2,1,0,0
voicemark,5,1024,8,chinese:SSB0011,2,mean,"[6947, 18578, 38432, 39064, 53545]",39064,1,-7.498176619410515,-13.066220631822944,-5.568044012412429,1,0,0,0
voicemark,5,4096,8,chinese:SSB0011,2,mean,"[6947, 18578, 38432, 39064, 53545]",38553,0,-7.498176619410515,-4.334510197862983,3.163666421547532,4,1,1,0
voicemark,5,16384,8,chinese:SSB0011,2,mean,"[6947, 18578, 38432, 39064, 53545]",22681,0,-7.498176619410515,-0.8396351989358664,6.6585414204746485,6,1,1,1
voicemark,5,65536,8,chinese:SSB0011,2,mean,"[6947, 18578, 38432, 39064, 53545]",22681,0,-7.498176619410515,-0.8396351989358664,6.6585414204746485,25,1,1,1
voicemark,5,256,8,chinese:SSB0011,2,fwp,"[6947, 18578, 38432, 39064, 53545]",38432,1,-13.410591900348663,-18.219882160890847,-4.809290260542184,1,0,0,0
