model,K,N_registry,trial_id,spk,local_t,method,colluder_ids,top1_identity,top1_is_colluder,max_colluder_score,max_noncolluder_score,attribution_margin,best_colluder_rank,ASR,R3_escape,R5_escape
wavmark,5,256,0,chinese:SSB0005,0,mean,"[38853, 41735, 47835, 55549, 61557]",47835,1,-3.0,-3.0,0.0,1,0,0,0
wavmark,5,1024,0,chinese:SSB0005,0,mean,"[38853, 41735, 47835, 55549, 61557]",65501,0,-3.0,-2.0,1.0,2,1,0,0
wavmark,5,4096,0,chinese:SSB0005,0,mean,"[38853, 41735, 47835, 55549, 61557]",48029,0,-3.0,-1.0,2.0,11,1,1,1
wavmark,5,16384,0,chinese:SSB0005,0,mean,"[38853, 41735, 47835, 55549, 61557]",48093,0,-3.0,-0.0,3.0,34,1,1,1
wavmark,5,65536,0,chinese:SSB0005,0,mean,"[38853, 41735, 47835, 55549, 61557]",48093,0,-3.0,-0.0,3.0,138,1,1,1
wavmark,5,256,0,chinese:SSB0005,0,fwp,"[38853, 41735, 47835, 55549, 61557]",35833,0,-4.0,-3.0,1.0,4,1,1,0
wavmark,5,1024,0,chinese:SSB0005,0,fwp,"[38853, 41735, 47835, 55549, 61557]",60287,0,-4.0,-2.0,2.0,10,1,1,1
wavmark,5,4096,0,chinese:SSB0005,0,fwp,"[38853, 41735, 47835, 55549, 61557]",44023,0,-4.0,-1.0,3.0,42,1,1,1
wavmark,5,16384,0,chinese:SSB0005,0,fwp,"[38853, 41735, 47835, 55549, 61557]",48127,0,-4.0,-1.0,3.0,198,1,1,1
wavmark,5,65536,0,chinese:SSB0005,0,fwp,"[38853, 41735, 47835, 55549, 61557]",44031,0,-4.0,-0.0,4.0,698,1,1,1
wavmark,5,256,1,chinese:SSB0005,1,mean,"[16742, 19795, 32120, 44331, 47761]",19795,1,-2.0,-3.0,-1.0,1,0,0,0
wavmark,5,1024,1,chinese:SSB0005,1,mean,"[16742, 19795, 32120, 44331, 47761]",28115,0,-2.0,-2.0,0.0,1,1,0,0
wavmark,5,4096,1,chinese:SSB0005,1,mean,"[16742, 19795, 32120, 44331, 47761]",60795,0,-2.0,-2.0,0.0,1,1,1,1
wavmark,5,16384,1,chinese:SSB0005,1,mean,"[16742, 19795, 32120, 44331, 47761]",27763,0,-2.0,-1.0,1.0,3,1,1,1
wavmark,5,65536,1,chinese:SSB0005,1,mean,"[16742, 19795, 32120, 44331, 47761]",28019,0,-2.0,-0.0,2.0,18,1,1,1
wavmark,5,256,1,chinese:SSB0005,1,fwp,"[16742, 19795, 32120, 44331, 47761]",43894,0,-7.0,-3.0,4.0,64,1,1,1
wavmark,5,1024,1,chinese:SSB0005,1,fwp,"[16742, 19795, 32120, 44331, 47761]",47991,0,-7.0,-3.0,4.0,224,1,1,1
wavmark,5,4096,1,chinese:SSB0005,1,fwp,"[16742, 19795, 32120, 44331, 47761]",27639,0,-7.0,-1.0,6.0,962,1,1,1
wavmark,5,16384,1,chinese:SSB0005,1,fwp,"[16742, 19795, 32120, 44331, 47761]",27639,0,-7.0,-1.0,6.0,3738,1,1,1
