model,K,N_registry,trial_id,spk,local_t,method,colluder_ids,top1_identity,top1_is_colluder,max_colluder_score,max_noncolluder_score,attribution_margin,best_colluder_rank,ASR,R3_escape,R5_escape
wmcodec,2,256,0,chinese:SSB0005,0,mean,"[22680, 44094]",41221,0,-33.67756773158908,-14.888632018475619,18.78893571311346,18,1,1,1
wmcodec,2,1024,0,chinese:SSB0005,0,mean,"[22680, 44094]",24965,0,-33.67756773158908,-12.507924754529085,21.169642977059993,48,1,1,1
wmcodec,2,4096,0,chinese:SSB0005,0,mean,"[22680, 44094]",16741,0,-33.67756773158908,-5.738319432719436,27.939248298869643,172,1,1,1
wmcodec,2,16384,0,chinese:SSB0005,0,mean,"[22680, 44094]",16795,0,-33.67756773158908,-3.9844516202647355,29.693116111324343,682,1,1,1
wmcodec,2,65536,0,chinese:SSB0005,0,mean,"[22680, 44094]",16789,0,-33.67756773158908,-0.050392436220136005,33.62717529536894,2799,1,1,1
wmcodec,2,256,0,chinese:SSB0005,0,fwp,"[22680, 44094]",41221,0,-33.67756773158908,-14.888632018475619,18.78893571311346,18,1,1,1
wmcodec,2,1024,0,chinese:SSB0005,0,fwp,"[22680, 44094]",24965,0,-33.67756773158908,-12.507924754529085,21.169642977059993,48,1,1,1
wmcodec,2,4096,0,chinese:SSB0005,0,fwp,"[22680, 44094]",16741,0,-33.67756773158908,-5.738319432719436,27.939248298869643,172,1,1,1
wmcodec,2,16384,0,chinese:SSB0005,0,fwp,"[22680, 44094]",16795,0,-33.67756773158908,-3.9844516202647355,29.693116111324343,682,1,1,1
wmcodec,2,65536,0,chinese:SSB0005,0,fwp,"[22680, 44094]",16789,0,-33.67756773158908,-0.050392436220136005,33.62717529536894,2799,1,1,1
wmcodec,2,256,1,chinese:SSB0005,1,mean,"[21159, 36034]",21159,1,-9.765880227088928,-14.113298416137695,-4.347418189048767,1,0,0,0
wmcodec,2,1024,1,chinese:SSB0005,1,mean,"[21159, 36034]",51762,0,-9.765880227088928,-6.918662551790476,2.8472176752984524,4,1,1,0
wmcodec,2,4096,1,chinese:SSB0005,1,mean,"[21159, 36034]",21154,0,-9.765880227088928,-6.274787459522486,3.4910927675664425,8,1,1,1
wmcodec,2,16384,1,chinese:SSB0005,1,mean,"[21159, 36034]",49458,0,-9.765880227088928,-1.5703693367540836,8.195510890334845,32,1,1,1
wmcodec,2,65536,1,chinese:SSB0005,1,mean,"[21159, 36034]",49458,0,-9.765880227088928,-1.5703693367540836,8.195510890334845,114,1,1,1
wmcodec,2,256,1,chinese:SSB0005,1,fwp,"[21159, 36034]",21159,1,-9.765880227088928,-14.113298416137695,-4.347418189048767,1,0,0,0
wmcodec,2,1024,1,chinese:SSB0005,1,fwp,"[21159, 36034]",51762,0,-9.765880227088928,-6.918662551790476,2.8472176752984524,4,1,1,0
wmcodec,2,4096,1,chinese:SSB0005,1,fwp,"[21159, 36034]",21154,0,-9.765880227088928,-6.274787459522486,3.4910927675664425,8,1,1,1
wmcodec,2,16384,1,chinese:SSB0005,1,fwp,"[21159, 36034]",49458,0,-9.765880227088928,-1.5703693367540836,8.195510890334845,32,1,1,1
wmcodec,2,65536,1,chinese:SSB0005,1,fwp,"[21159, 36034]",49458,0,-9.765880227088928,-1.5703693367540836,8.195510890334845,114,1,1,1
wmcodec,2,256,2,chinese:SSB0005,2,mean,"[7202, 38978]",33194,0,-17.88245090842247,-17.230083943795762,0.6523669646267081,2,1,0,0
wmcodec,2,1024,2,chinese:SSB0005,2,mean,"[7202, 38978]",38946,0,-17.88245090842247,-16.316862881183624,1.5655880272388458,3,1,0,0
wmcodec,2,4096,2,chinese:SSB0005,2,mean,"[7202, 38978]",4458,0,-17.88245090842247,-10.9826461388584,6.899804769564071,9,1,1,1
wmcodec,2,16384,2,chinese:SSB0005,2,mean,"[7202, 38978]",37154,0,-17.88245090842247,-1.6514387740608072,16.231012134361663,43,1,1,1
wmcodec,2,65536,2,chinese:SSB0005,2,mean,"[7202, 38978]",4386,0,-17.88245090842247,-0.5681801750179147,17.314270733404555,190,1,1,1
wmcodec,2,256,2,chinese:SSB0005,2,fwp,"[7202, 38978]",33194,0,-17.88245090842247,-17.230083943795762,0.6523669646267081,2,1,0,0
wmcodec,2,1024,2,chinese:SSB0005,2,fwp,"[7202, 38978]",38946,0,-17.88245090842247,-16.316862881183624,1.5655880272388458,3,1,0,0
wmcodec,2,4096,2,chinese:SSB0005,2,fwp,"[7202, 38978]",4458,0,-17.88245090842247,-10.9826461388584,6.899804769564071,9,1,1,1
wmcodec,2,16384,2,chinese:SSB0005,2,fwp,"[7202, 38978]",37154,0,-17.88245090842247,-1.6514387740608072,16.231012134361663,43,1,1,1
wmcodec,2,65536,2,chinese:SSB0005,2,fwp,"[7202, 38978]",4386,0,-17.88245090842247,-0.5681801750179147,17.314270733404555,190,1,1,1
wmcodec,2,256,3,chinese:SSB0009,0,mean,"[41136, 58416]",58827,0,-25.48234987258911,-22.941471740603447,2.5408781319856644,4,1,1,0
wmcodec,2,1024,3,chinese:SSB0009,0,mean,"[41136, 58416]",20677,0,-25.48234987258911,-8.860601872045663,16.621748000543448,12,1,1,1
wmcodec,2,4096,3,chinese:SSB0009,0,mean,"[41136, 58416]",197,0,-25.48234987258911,-8.425793140966562,17.05655673162255,48,1,1,1
wmcodec,2,16384,3,chinese:SSB0009,0,mean,"[41136, 58416]",41157,0,-25.48234987258911,-7.8671192823239835,17.615230590265128,199,1,1,1
wmcodec,2,65536,3,chinese:SSB0009,0,mean,"[41136, 58416]",24773,0,-25.48234987258911,-0.6720496712514432,24.810300201337668,765,1,1,1
wmcodec,2,256,3,chinese:SSB0009,0,fwp,"[41136, 58416]",58827,0,-25.48234987258911,-22.941471740603447,2.5408781319856644,4,1,1,0
wmcodec,2,1024,3,chinese:SSB0009,0,fwp,"[41136, 58416]",20677,0,-25.48234987258911,-8.860601872045663,16.621748000543448,12,1,1,1
wmcodec,2,4096,3,chinese:SSB0009,0,fwp,"[41136, 58416]",197,0,-25.48234987258911,-8.425793140966562,17.05655673162255,48,1,1,1
wmcodec,2,16384,3,chinese:SSB0009,0,fwp,"[41136, 58416]",41157,0,-25.48234987258911,-7.8671192823239835,17.615230590265128,199,1,1,1
wmcodec,2,65536,3,chinese:SSB0009,0,fwp,"[41136, 58416]",24773,0,-25.48234987258911,-0.6720496712514432,24.810300201337668,765,1,1,1
wmcodec,2,256,4,chinese:SSB0009,1,mean,"[50792, 63537]",36389,0,-19.122388303279877,-7.66256065107882,11.459827652201056,10,1,1,1
wmcodec,2,1024,4,chinese:SSB0009,1,mean,"[50792, 63537]",33323,0,-19.122388303279877,-3.1019038651138544,16.020484438166022,43,1,1,1
wmcodec,2,4096,4,chinese:SSB0009,1,mean,"[50792, 63537]",34405,0,-19.122388303279877,-3.5048526022583246,15.617535701021552,170,1,1,1
wmcodec,2,16384,4,chinese:SSB0009,1,mean,"[50792, 63537]",35371,0,-19.122388303279877,-2.5440812800079584,16.57830702327192,678,1,1,1
wmcodec,2,65536,4,chinese:SSB0009,1,mean,"[50792, 63537]",34347,0,-19.122388303279877,-2.177700052037835,16.94468825124204,2722,1,1,1
wmcodec,2,256,4,chinese:SSB0009,1,fwp,"[50792, 63537]",36389,0,-19.122388303279877,-7.66256065107882,11.459827652201056,10,1,1,1
wmcodec,2,1024,4,chinese:SSB0009,1,fwp,"[50792, 63537]",33323,0,-19.122388303279877,-3.1019038651138544,16.020484438166022,43,1,1,1
wmcodec,2,4096,4,chinese:SSB0009,1,fwp,"[50792, 63537]",34405,0,-19.122388303279877,-3.5048526022583246,15.617535701021552,170,1,1,1
wmcodec,2,16384,4,chinese:SSB0009,1,fwp,"[50792, 63537]",35371,0,-19.122388303279877,-2.5440812800079584,16.57830702327192,678,1,1,1
