model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
timbrewm,5,chinese:SSB0005,0,0,rp,0,0,0,10,1.0000,0.600000,4.4390,0.9924,31.32
timbrewm,5,chinese:SSB0005,1,1,rp,1,1,1,8,0.8000,0.500000,4.4561,0.9929,30.98
timbrewm,5,chinese:SSB0005,2,2,rp,1,0,0,9,0.9000,0.600000,4.5888,0.9976,37.02
timbrewm,5,chinese:SSB0009,0,3,rp,1,1,0,9,0.9000,0.500000,4.4079,0.9970,26.91
timbrewm,5,chinese:SSB0009,1,4,rp,1,0,0,9,0.9000,0.400000,4.5018,0.9970,28.80
timbrewm,5,chinese:SSB0009,2,5,rp,1,1,1,9,0.9000,0.500000,4.4903,0.9969,27.95
timbrewm,5,chinese:SSB0011,0,6,rp,1,1,1,8,0.8000,0.500000,4.1292,0.9862,25.41
timbrewm,5,chinese:SSB0011,1,7,rp,1,0,0,9,0.9000,0.400000,4.2630,0.9877,26.89
timbrewm,5,chinese:SSB0011,2,8,rp,1,1,0,9,0.9000,0.600000,4.2188,0.9925,28.30
timbrewm,5,chinese:SSB0012,0,9,rp,0,0,0,10,1.0000,0.600000,4.6158,0.9984,35.13
timbrewm,5,chinese:SSB0012,1,10,rp,1,1,1,9,0.9000,0.400000,4.4177,0.9945,30.06
timbrewm,5,chinese:SSB0012,2,11,rp,1,0,0,9,0.9000,0.600000,4.2654,0.9925,26.88
timbrewm,5,chinese:SSB0016,0,12,rp,1,0,0,9,0.9000,0.300000,4.5498,0.9951,27.28
timbrewm,5,chinese:SSB0016,1,13,rp,1,0,0,9,0.9000,0.400000,4.0903,0.9859,21.88
timbrewm,5,chinese:SSB0016,2,14,rp,0,0,0,10,1.0000,0.600000,4.5767,0.9966,29.54
timbrewm,5,chinese:SSB0018,0,15,rp,0,0,0,10,1.0000,0.600000,4.3903,0.9934,30.80
timbrewm,5,chinese:SSB0018,1,16,rp,1,1,1,9,0.9000,0.300000,4.3926,0.9951,30.66
timbrewm,5,chinese:SSB0018,2,17,rp,1,1,1,8,0.8000,0.200000,4.3900,0.9933,30.82
timbrewm,5,chinese:SSB0033,0,18,rp,1,1,0,8,0.8000,0.600000,4.5987,0.9989,39.01
timbrewm,5,chinese:SSB0033,1,19,rp,1,1,0,8,0.8000,0.600000,4.4546,0.9957,34.91
timbrewm,5,chinese:SSB0033,2,20,rp,1,1,1,8,0.8000,0.600000,4.5840,0.9990,40.20
timbrewm,5,chinese:SSB0038,0,21,rp,1,1,1,6,0.6000,0.200000,4.5965,0.9980,34.03
timbrewm,5,chinese:SSB0038,1,22,rp,1,1,1,8,0.8000,0.500000,4.3760,0.9905,27.62
timbrewm,5,chinese:SSB0038,2,23,rp,1,1,0,8,0.8000,0.600000,4.3074,0.9936,28.11
timbrewm,5,chinese:SSB0043,0,24,rp,1,1,1,9,0.9000,0.500000,4.0094,0.9893,26.05
timbrewm,5,chinese:SSB0043,1,25,rp,1,1,1,8,0.8000,0.300000,3.7817,0.9874,25.28
timbrewm,5,chinese:SSB0043,2,26,rp,1,1,1,6,0.6000,0.100000,4.3698,0.9926,28.62
timbrewm,5,chinese:SSB0057,0,27,rp,1,0,0,9,0.9000,0.700000,4.5001,0.9948,30.87
timbrewm,5,chinese:SSB0057,1,28,rp,1,1,1,8,0.8000,0.600000,4.5697,0.9988,36.93
timbrewm,5,chinese:SSB0057,2,29,rp,1,1,1,8,0.8000,0.400000,4.4666,0.9954,31.77
timbrewm,5,chinese:SSB0073,0,30,rp,1,1,0,9,0.9000,0.600000,4.5936,0.9987,35.16
timbrewm,5,chinese:SSB0073,1,31,rp,1,1,1,8,0.8000,0.200000,4.4412,0.9984,33.01
timbrewm,5,chinese:SSB0073,2,32,rp,1,0,0,9,0.9000,0.600000,4.6124,0.9985,36.45
timbrewm,5,chinese:SSB0080,0,33,rp,1,1,1,7,0.7000,0.300000,4.5288,0.9960,32.65
timbrewm,5,chinese:SSB0080,1,34,rp,1,1,1,8,0.8000,0.400000,4.4172,0.9957,30.85
