model,ones_in_coalition,samples,decoded_one_rate,speaker_bootstrap_low,speaker_bootstrap_high,speakers
audioseal,0,16,0.0625,0.0,0.21428571428571427,15
audioseal,1,144,0.034722222222222224,0.007518796992481203,0.06578947368421052,80
audioseal,2,531,0.0583804143126177,0.03913894324853229,0.07894854956061606,99
audioseal,3,991,0.16246215943491424,0.1394679255677297,0.18555800352046753,100
audioseal,4,1383,0.49023861171366595,0.46352113001601647,0.517090909090909,100
audioseal,5,1062,0.743879472693032,0.7152443272611058,0.7712355212355212,100
audioseal,6,514,0.9280155642023347,0.9060134140533675,0.95,99
audioseal,7,143,0.972027972027972,0.9432624113475178,0.9933333333333333,81
audioseal,8,16,1.0,1.0,1.0,16
wavmark,0,16,0.0,0.0,0.0,15
wavmark,1,144,0.0,0.0,0.0,80
wavmark,2,531,0.0,0.0,0.0,99
wavmark,3,991,0.16952573158425832,0.15014883304356988,0.18943352159265642,100
wavmark,4,1383,0.8857556037599421,0.8693362819753595,0.9011887072808321,100
wavmark,5,1062,1.0,1.0,1.0,100
wavmark,6,514,1.0,1.0,1.0,99
wavmark,7,143,1.0,1.0,1.0,81
wavmark,8,16,1.0,1.0,1.0,16
timbrewm,0,14,0.0,0.0,0.0,14
timbrewm,1,97,0.0,0.0,0.0,60
timbrewm,2,320,0.0,0.0,0.0,96
timbrewm,3,643,0.0,0.0,0.0,100
timbrewm,4,823,0.5479951397326853,0.5147420147420148,0.5807633856302101,100
timbrewm,5,640,1.0,1.0,1.0,100
timbrewm,6,350,1.0,1.0,1.0,99
timbrewm,7,102,1.0,1.0,1.0,63
timbrewm,8,11,1.0,1.0,1.0,10
voicemark,0,18,0.2222222222222222,0.05,0.42857142857142855,17
voicemark,1,141,0.3262411347517731,0.24615384615384617,0.40441176470588236,78
voicemark,2,535,0.38878504672897196,0.34690265486725663,0.43157894736842106,98
voicemark,3,1021,0.4691478942213516,0.44154555282842445,0.4960635699647133,100
voicemark,4,1346,0.5401188707280832,0.5151296410773493,0.5659146605516773,100
voicemark,5,1065,0.6375586854460094,0.6070085291189047,0.6666741877256316,100
voicemark,6,507,0.717948717948718,0.6740420655143585,0.760915796274362,99
voicemark,7,146,0.6986301369863014,0.620683362698213,0.7762237762237763,83
voicemark,8,21,0.7142857142857143,0.5238095238095238,0.9,20
wmcodec,0,16,0.4375,0.2,0.6666666666666666,15
wmcodec,1,147,0.2585034013605442,0.1874908625730994,0.3333333333333333,81
wmcodec,2,530,0.3490566037735849,0.3069465163215163,0.392454132708124,99
wmcodec,3,991,0.40766902119071646,0.37462537462537465,0.44155943953587395,100
wmcodec,4,1383,0.4692697035430224,0.44323913743617915,0.4952321483358901,100
wmcodec,5,1062,0.5969868173258004,0.5652563539002557,0.6289393891287782,100
wmcodec,6,512,0.6640625,0.6232464929859719,0.7056480651798752,99
wmcodec,7,142,0.7535211267605634,0.6739130434782609,0.8271649347188915,80
wmcodec,8,17,0.5882352941176471,0.35,0.8181818181818182,17
