model,condition,n,q05,q25,median,q75,q95
audioseal,benign_copy,300,0.682961,0.704616,0.714304,0.723066,0.739603
audioseal,uniform_collusion,300,0.502186,0.510321,0.527634,0.555777,0.607909
audioseal,successful_mrc,294,0.510138,0.550387,0.608810,0.653136,0.700864
wavmark,benign_copy,300,0.849057,0.933333,0.976744,1.000000,1.000000
wavmark,uniform_collusion,300,0.500000,0.529412,0.560000,0.622222,0.714286
wavmark,successful_mrc,300,0.539667,0.639091,0.729167,0.822222,0.900455
timbrewm,benign_copy,300,0.664289,0.676521,0.684438,0.693748,0.706857
timbrewm,uniform_collusion,300,0.500488,0.502131,0.505306,0.511244,0.534434
timbrewm,successful_mrc,300,0.517384,0.544026,0.558939,0.574126,0.592377
voicemark,benign_copy,300,0.884042,0.991781,0.999220,0.999900,0.999986
voicemark,uniform_collusion,300,0.482514,0.580167,0.710354,0.874137,0.992326
voicemark,successful_mrc,19,0.503769,0.765890,0.919684,0.980034,0.999107
wmcodec,benign_copy,300,0.681209,0.968620,0.994571,0.999152,0.999882
wmcodec,uniform_collusion,300,0.401317,0.516079,0.610561,0.758427,0.907876
wmcodec,successful_mrc,34,0.558023,0.674632,0.852138,0.943916,0.993759
