model,K,n_trials,n_speakers,n_source_paths,source_exact_count,tracing_failure_pct,mean_PESQ,mean_STOI,source
audioseal,2,300,100,300,2,99.000000,4.604020,0.999224,final_main_csv
audioseal,3,300,100,300,3,97.333333,4.591001,0.999055,final_main_csv
audioseal,5,300,100,300,5,98.333333,4.585587,0.998831,final_main_csv
audioseal,8,300,100,300,8,100.000000,4.577279,0.998638,final_k8_json
wavmark,2,300,100,300,2,96.666667,4.571572,0.998957,final_main_csv
wavmark,3,300,100,300,3,97.666667,4.556349,0.998706,final_main_csv
wavmark,5,300,100,300,5,98.000000,4.539085,0.998271,final_main_csv
wavmark,8,300,100,300,8,99.333333,4.517925,0.998043,final_k8_json
timbrewm,2,300,100,300,2,86.333333,4.563835,0.998092,final_main_csv
timbrewm,3,300,100,300,3,84.666667,4.556360,0.997471,final_main_csv
timbrewm,5,300,100,300,5,90.666667,4.546799,0.996996,final_main_csv
timbrewm,8,300,100,300,8,92.000000,4.533511,0.996386,final_k8_json
voicemark,2,300,100,300,2,93.666667,4.203574,0.982709,final_main_csv
voicemark,3,300,100,300,3,99.000000,4.167549,0.978247,final_main_csv
voicemark,5,300,100,300,5,99.333333,4.113356,0.974149,final_main_csv
voicemark,8,300,100,300,8,98.666667,4.049016,0.970940,final_k8_json
wmcodec,2,300,100,300,2,99.333333,4.367312,0.989410,final_main_csv
wmcodec,3,300,100,300,3,99.333333,4.320117,0.986486,final_main_csv
wmcodec,5,300,100,300,5,100.000000,4.260939,0.983914,final_main_csv
wmcodec,8,300,100,300,8,99.666667,4.235092,0.982656,final_k8_json
