model,trial_id,lambda,response,decoded_identity,base_payload,flipped_payload
audioseal,21,0.00,0.223710,32274,32274,30226
audioseal,21,0.10,0.228188,32274,32274,30226
audioseal,21,0.20,0.236504,32274,32274,30226
audioseal,21,0.30,0.261641,32274,32274,30226
audioseal,21,0.40,0.337741,32274,32274,30226
audioseal,21,0.50,0.489169,32274,32274,30226
audioseal,21,0.51,0.507408,30226,32274,30226
audioseal,21,0.52,0.525705,30226,32274,30226
audioseal,21,0.53,0.543929,30226,32274,30226
audioseal,21,0.54,0.562052,30226,32274,30226
audioseal,21,0.55,0.579906,30226,32274,30226
audioseal,21,0.56,0.597338,30226,32274,30226
audioseal,21,0.57,0.614396,30226,32274,30226
audioseal,21,0.58,0.630746,30226,32274,30226
audioseal,21,0.59,0.646292,30226,32274,30226
audioseal,21,0.60,0.660950,30226,32274,30226
audioseal,21,0.70,0.738944,30226,32274,30226
audioseal,21,0.80,0.747864,30226,32274,30226
audioseal,21,0.90,0.751254,30226,32274,30226
audioseal,21,1.00,0.754296,30226,32274,30226
voicemark,220,0.00,0.000112,58821,58821,58565
voicemark,220,0.10,0.000026,58821,58821,58565
voicemark,220,0.20,0.000010,58821,58821,58565
voicemark,220,0.30,0.118040,58821,58821,58565
voicemark,220,0.40,0.109482,57797,58821,58565
voicemark,220,0.50,0.339717,57797,58821,58565
voicemark,220,0.51,0.388304,57797,58821,58565
voicemark,220,0.52,0.441879,57797,58821,58565
voicemark,220,0.53,0.500220,57797,58821,58565
voicemark,220,0.54,0.583185,60613,58821,58565
voicemark,220,0.55,0.639631,60613,58821,58565
voicemark,220,0.56,0.665272,60613,58821,58565
voicemark,220,0.57,0.704767,60613,58821,58565
voicemark,220,0.58,0.763127,60613,58821,58565
voicemark,220,0.59,0.816486,60613,58821,58565
voicemark,220,0.60,0.868721,60613,58821,58565
voicemark,220,0.70,0.999773,58565,58821,58565
voicemark,220,0.80,0.999997,58565,58821,58565
voicemark,220,0.90,1.000000,58565,58821,58565
voicemark,220,1.00,1.000000,58565,58821,58565
