model,k,method,trials,targets_per_trial,valid_copy_count,mean_hits_out_of_10,mean_pesq,mean_stoi
audioseal,5,Payload Match,300,10,5,2.386667,4.580267,0.998618
audioseal,5,Bit Margin,300,10,5,4.186667,4.582502,0.998700
audioseal,8,Payload Match,300,10,8,3.570000,4.568944,0.998421
audioseal,8,Bit Margin,300,10,8,4.356667,4.575947,0.998601
wavmark,5,Payload Match,300,10,5,2.593333,4.520376,0.997959
wavmark,5,Bit Margin,300,10,5,5.143333,4.527250,0.998078
wavmark,8,Payload Match,300,10,8,3.546667,4.501054,0.997782
wavmark,8,Bit Margin,300,10,8,5.443333,4.520067,0.998009
timbrewm,5,Payload Match,300,10,5,3.926667,4.497708,0.996253
timbrewm,5,Bit Margin,300,10,5,7.836667,4.518309,0.996519
timbrewm,8,Payload Match,300,10,8,6.073333,4.468982,0.995353
timbrewm,8,Bit Margin,300,10,8,9.226667,4.514573,0.996144
voicemark,5,Payload Match,300,10,5,0.173333,4.016272,0.971318
voicemark,5,Bit Margin,300,10,5,0.110000,4.047418,0.972191
voicemark,8,Payload Match,300,10,8,0.200000,3.933828,0.968195
voicemark,8,Bit Margin,300,10,8,0.063333,4.038698,0.970868
wmcodec,5,Payload Match,300,10,5,0.160000,4.188160,0.982980
wmcodec,5,Bit Margin,300,10,5,0.103333,4.209845,0.983258
wmcodec,8,Payload Match,300,10,8,0.176667,4.138684,0.981656
wmcodec,8,Bit Margin,300,10,8,0.133333,4.190321,0.982475
