model,k,trial_id,speaker,clip_index,source_path,coalition_payloads,shift_ms,shifted_colluder_index,escaped,attribution_margin,pesq,stoi,si_sdr,snr
audioseal,5,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 47837, 41736, 61558, 55549]",-50,0,1,2.78610039,2.297498,0.968965,12.086537,11.1026
audioseal,5,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 47837, 41736, 61558, 55549]",-20,0,1,1.30258179,3.349739,0.978109,12.072823,11.063066
audioseal,5,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 47837, 41736, 61558, 55549]",-10,0,1,3.06329727,4.171198,0.982827,11.737513,10.173921
audioseal,5,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 47837, 41736, 61558, 55549]",0,-1,1,2.36372375,4.587842,0.999217,35.718147,35.718122
audioseal,5,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 47837, 41736, 61558, 55549]",10,0,1,3.27904606,4.437366,0.983734,11.739623,10.174771
audioseal,5,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 47837, 41736, 61558, 55549]",20,0,1,1.33379221,4.22522,0.978962,12.061389,11.057193
audioseal,5,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 47837, 41736, 61558, 55549]",50,0,1,2.8213644,3.439044,0.971332,12.094415,11.106688
audioseal,5,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,"[16743, 47764, 44333, 32121, 19795]",-50,1,1,1.06878996,2.403303,0.971934,12.155642,11.238141
audioseal,5,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,"[16743, 47764, 44333, 32121, 19795]",-20,1,1,2.05288506,3.523435,0.977259,11.926595,10.784032
audioseal,5,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,"[16743, 47764, 44333, 32121, 19795]",-10,1,1,1.28564024,4.292118,0.982886,11.771218,10.365035
audioseal,5,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,"[16743, 47764, 44333, 32121, 19795]",0,-1,1,1.89552307,4.595968,0.999353,32.467824,32.470321
audioseal,5,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,"[16743, 47764, 44333, 32121, 19795]",10,1,1,1.17309618,4.449005,0.9828,11.768298,10.365856
audioseal,5,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,"[16743, 47764, 44333, 32121, 19795]",20,1,1,2.50639725,4.187164,0.978132,11.928544,10.785359
audioseal,5,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,"[16743, 47764, 44333, 32121, 19795]",50,1,1,1.58787918,3.38256,0.974935,12.162313,11.242037
audioseal,5,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,"[60566, 9931, 41251, 36736, 63672]",-50,2,1,2.52972126,2.442072,0.9694,12.037889,11.021257
audioseal,5,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,"[60566, 9931, 41251, 36736, 63672]",-20,2,1,3.54638958,3.499641,0.976979,12.316079,11.501671
audioseal,5,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,"[60566, 9931, 41251, 36736, 63672]",-10,2,1,3.38968372,4.236125,0.981926,11.738731,10.250917
audioseal,5,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,"[60566, 9931, 41251, 36736, 63672]",0,-1,1,3.54525661,4.592254,0.999265,33.751831,33.749578
audioseal,5,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,"[60566, 9931, 41251, 36736, 63672]",10,2,1,3.22104454,4.460515,0.98191,11.745636,10.253626
audioseal,5,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,"[60566, 9931, 41251, 36736, 63672]",20,2,1,3.39601707,4.188742,0.979003,12.309557,11.496091
audioseal,5,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,"[60566, 9931, 41251, 36736, 63672]",50,2,1,2.81803036,3.558457,0.973311,12.028945,11.017898
audioseal,5,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,"[11900, 55917, 48538, 35194, 27011]",-50,3,1,3.85502338,2.354847,0.977224,11.912126,10.737901
audioseal,5,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,"[11900, 55917, 48538, 35194, 27011]",-20,3,1,1.60447073,3.413612,0.982614,12.130014,11.174029
audioseal,5,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,"[11900, 55917, 48538, 35194, 27011]",-10,3,1,4.70848942,4.090866,0.985418,12.753243,12.113529
audioseal,5,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,"[11900, 55917, 48538, 35194, 27011]",0,-1,1,1.16332579,4.58595,0.999624,34.184707,34.185637
audioseal,5,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,"[11900, 55917, 48538, 35194, 27011]",10,3,1,4.07600498,4.42358,0.985925,12.758246,12.116889
audioseal,5,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,"[11900, 55917, 48538, 35194, 27011]",20,3,1,1.04262352,4.108914,0.983009,12.139164,11.179052
audioseal,5,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,"[11900, 55917, 48538, 35194, 27011]",50,3,1,3.92590332,3.422187,0.97943,11.971448,10.76596
audioseal,5,4,chinese:SSB0009,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,"[21035, 53836, 1693, 30376, 50638]",-50,4,1,1.79999018,2.508715,0.976324,12.094209,11.121979
audioseal,5,4,chinese:SSB0009,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,"[21035, 53836, 1693, 30376, 50638]",-20,4,1,3.29427862,3.521921,0.980625,11.963726,10.859927
audioseal,5,4,chinese:SSB0009,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,"[21035, 53836, 1693, 30376, 50638]",-10,4,1,2.10471916,4.234461,0.984446,12.096261,11.128167
audioseal,5,4,chinese:SSB0009,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,"[21035, 53836, 1693, 30376, 50638]",0,-1,1,2.91814423,4.598589,0.999536,33.186245,33.188106
audioseal,5,4,chinese:SSB0009,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,"[21035, 53836, 1693, 30376, 50638]",10,4,1,2.0258193,4.434002,0.985001,12.098373,11.129491
audioseal,5,4,chinese:SSB0009,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,"[21035, 53836, 1693, 30376, 50638]",20,4,1,3.18274117,4.168576,0.981854,11.963239,10.860204
audioseal,5,4,chinese:SSB0009,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,"[21035, 53836, 1693, 30376, 50638]",50,4,1,2.28609276,3.407273,0.977212,12.09158,11.12099
audioseal,5,5,chinese:SSB0009,3,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,"[51266, 39996, 42018, 12711, 38031]",-50,0,1,1.02881861,2.188501,0.973582,11.925442,10.795581
audioseal,5,5,chinese:SSB0009,3,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,"[51266, 39996, 42018, 12711, 38031]",-20,0,1,2.27826357,3.256395,0.980752,11.986484,10.900935
audioseal,5,5,chinese:SSB0009,3,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,"[51266, 39996, 42018, 12711, 38031]",-10,0,1,0.8833456,4.119524,0.984089,12.344886,11.542954
audioseal,5,5,chinese:SSB0009,3,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,"[51266, 39996, 42018, 12711, 38031]",0,-1,1,2.37508392,4.588264,0.99962,34.689307,34.690722
