model,shift_ms,n,tf_pct,attribution_margin,pesq,stoi,si_sdr,snr
audioseal,-50,300,99.0,2.2114957999000002,2.1206352833333337,0.9732585333333332,12.01293862,11.039953003333334
audioseal,-20,300,98.66666666666667,2.3892157032333334,3.124676153333333,0.98000811,11.9847142,10.939061373333335
audioseal,-10,300,99.0,2.5050445077666668,4.03344428,0.9843867199999999,12.108132316666667,11.160343263333333
audioseal,0,300,98.33333333333333,2.6115521922333333,4.585584446666667,0.9988303933333333,34.5777977,34.672544763333335
audioseal,10,300,99.0,2.5549112240666667,4.326531866666667,0.9845143300000001,12.11171053,11.162260136666667
audioseal,20,300,99.0,2.4702676420666667,3.8091651933333335,0.9807537633333334,11.99123096,10.942214566666667
audioseal,50,300,99.66666666666667,2.2291335263,2.75207144,0.97429967,12.031364463333333,11.049181456666666
timbrewm,-50,300,89.0,0.2536161251,2.30487378,0.9717992033333334,11.975973883333333,11.014482003333333
timbrewm,-20,300,91.33333333333333,0.24799105633333335,3.2717375766666663,0.9781789099999999,11.948196289999998,10.918605846666667
timbrewm,-10,300,92.33333333333333,0.22070530716666667,4.0629633966666665,0.9824584466666666,12.065198263333333,11.123897713333333
timbrewm,0,300,88.0,0.30056736326666667,4.546796986666666,0.9969958766666668,31.440185976666665,31.53645854333333
timbrewm,10,300,92.0,0.2148792728,4.273744743333333,0.9825246666666667,12.068584153333333,11.125680083333334
timbrewm,20,300,91.33333333333333,0.22506235126666665,3.7708914800000004,0.9787616933333334,11.95476848,10.921822966666667
timbrewm,50,300,89.33333333333333,0.22122440983333333,2.758182716666667,0.97257325,11.994032066666668,11.023612256666667
voicemark,-50,300,99.66666666666667,19.525152046733336,2.0738388766666667,0.94113928,9.661552043333332,9.405571503333334
voicemark,-20,300,99.0,20.050866390133333,2.9541355633333333,0.9517182233333333,9.651208803333335,9.357069566666667
voicemark,-10,300,99.0,19.8052895872,3.674318866666667,0.9578626833333334,9.721699036666667,9.468943276666668
voicemark,0,300,99.33333333333333,20.6258049969,4.1133544833333335,0.9741493633333332,14.598027243333332,14.67751948
voicemark,10,300,99.66666666666667,19.9281066932,3.8163644199999998,0.9581265766666667,9.72327306,9.470623113333334
voicemark,20,300,99.33333333333333,20.0333994721,3.3671493733333335,0.9526463166666668,9.642907443333334,9.35013463
voicemark,50,300,99.66666666666667,20.123999067366668,2.4905685133333333,0.9417661366666666,9.670684066666666,9.409590836666666
wavmark,-50,300,99.33333333333333,2.933333333333333,2.09832858,0.9726901833333333,12.041779163333334,11.058309626666667
wavmark,-20,300,99.66666666666667,3.1433333333333335,3.1324051666666666,0.9793506566666668,12.014592630000001,10.964535383333333
wavmark,-10,300,99.0,3.0766666666666667,4.03464962,0.9836695200000001,12.136965100000001,11.178326586666667
wavmark,0,300,98.0,2.7733333333333334,4.539086123333333,0.9982705033333333,42.094842263333334,42.188526333333336
wavmark,10,300,99.0,3.0933333333333333,4.28300876,0.98381522,12.140474023333333,11.180144780000001
wavmark,20,300,99.0,3.216666666666667,3.7899855933333333,0.98014151,12.02173859,10.968041880000001
wavmark,50,300,99.66666666666667,2.95,2.6971385166666666,0.9737145633333334,12.060405103333332,11.067612256666667
wmcodec,-50,300,95.0,11.261889214333333,2.0098000133333334,0.9567227866666667,9.427072776666668,9.254539370000002
wmcodec,-20,300,99.33333333333333,15.261596972066666,2.9529137766666667,0.9645834533333334,9.413473146666666,9.195950446666668
wmcodec,-10,300,99.33333333333333,16.10350631816667,3.7879875466666664,0.9696421933333332,9.477327473333332,9.310235393333334
wmcodec,0,300,99.66666666666667,17.51520768123333,4.256260863333334,0.9838371233333334,14.144258153333334,14.460834583333332
wmcodec,10,300,99.0,15.746254303433334,4.01172617,0.9696064266666667,9.493447563333332,9.320077920000001
wmcodec,20,300,99.66666666666667,14.946048811399999,3.485367816666667,0.9649824633333333,9.417344866666667,9.196616106666667
wmcodec,50,300,96.33333333333334,13.4707523112,2.4103991566666667,0.9568657166666666,9.434559466666666,9.25852927
