model,condition,n,tf_pct,attribution_margin,pesq,stoi,si_sdr,snr
audioseal,aligned,300,98.33333333333333,2.6115521922333333,4.585584446666666,0.9988303933333333,34.5777977,34.67254476333333
audioseal,pm10,600,99.0,2.529977865916667,4.179988073333334,0.984450525,12.109921423333333,11.161301700000001
audioseal,pm20,600,98.83333333333333,2.42974167265,3.466920673333333,0.9803809366666667,11.98797258,10.940637970000001
audioseal,pm50,600,99.33333333333333,2.2203146631,2.436353361666667,0.9737791016666667,12.022151541666666,11.04456723
wavmark,aligned,300,98.0,2.7733333333333334,4.539086123333333,0.9982705033333332,42.09484226333333,42.188526333333336
wavmark,pm10,600,99.0,3.085,4.15882919,0.9837423700000001,12.138719561666667,11.179235683333333
wavmark,pm20,600,99.33333333333333,3.18,3.46119538,0.9797460833333335,12.018165609999999,10.966288631666666
wavmark,pm50,600,99.5,2.941666666666667,2.397733548333333,0.9732023733333331,12.051092133333333,11.062960941666667
timbrewm,aligned,300,88.0,0.30056736326666667,4.546796986666666,0.9969958766666666,31.440185976666672,31.53645854333334
timbrewm,pm10,600,92.16666666666666,0.2177922899833334,4.16835407,0.9824915566666668,12.066891208333333,11.124788898333334
timbrewm,pm20,600,91.33333333333333,0.2365267038,3.5213145283333334,0.9784703016666666,11.951482384999998,10.920214406666668
timbrewm,pm50,600,89.16666666666667,0.23742026746666667,2.5315282483333332,0.9721862266666669,11.985002975,11.01904713
voicemark,aligned,300,99.33333333333333,20.6258049969,4.113354483333334,0.9741493633333335,14.598027243333332,14.67751948
voicemark,pm10,600,99.33333333333333,19.8666981402,3.745341643333333,0.9579946300000001,9.722486048333334,9.469783195
voicemark,pm20,600,99.16666666666667,20.042132931116665,3.160642468333333,0.9521822699999999,9.647058123333332,9.353602098333335
voicemark,pm50,600,99.66666666666667,19.82457555705,2.2822036949999998,0.9414527083333333,9.666118055,9.40758117
wmcodec,aligned,300,99.66666666666667,17.51520768123333,4.256260863333333,0.9838371233333334,14.144258153333334,14.460834583333332
wmcodec,pm10,600,99.16666666666667,15.924880310799999,3.8998568583333335,0.96962431,9.485387518333335,9.315156656666666
wmcodec,pm20,600,99.5,15.103822891733332,3.2191407966666663,0.9647829583333332,9.415409006666666,9.196283276666666
wmcodec,pm50,600,95.66666666666667,12.366320762766666,2.210099585,0.9567942516666669,9.430816121666666,9.25653432
