model,k,trial_id,speaker,clip_index,source_path,sample_rate,coalition_payloads,codec,codec_setting,valid_post_codec_copy_count,all_post_codec_copies_valid,escaped,attribution_margin,pesq,stoi,si_sdr,snr
audioseal,5,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,16000,"[38855, 47837, 41736, 61558, 55549]",mp3_128k,MP3 128 kbps,5,1,1,2.36649704,4.459284,0.999208,28.047134,23.924464
audioseal,5,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,16000,"[38855, 47837, 41736, 61558, 55549]",none,none,5,1,1,2.36372375,4.587842,0.999217,35.718147,35.718122
audioseal,5,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,16000,"[38855, 47837, 41736, 61558, 55549]",opus_64k,Opus 64 kbps,5,1,1,2.34076262,4.569088,0.998475,30.552035,30.503538
audioseal,5,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,16000,"[16743, 47764, 44333, 32121, 19795]",mp3_128k,MP3 128 kbps,5,1,1,1.87274265,4.514002,0.999346,29.704361,24.484989
audioseal,5,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,16000,"[16743, 47764, 44333, 32121, 19795]",none,none,5,1,1,1.89552307,4.595968,0.999353,32.467824,32.470321
audioseal,5,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,16000,"[16743, 47764, 44333, 32121, 19795]",opus_64k,Opus 64 kbps,5,1,1,1.88033295,4.579147,0.998785,29.933922,29.846295
audioseal,5,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,16000,"[60566, 9931, 41251, 36736, 63672]",mp3_128k,MP3 128 kbps,5,1,1,3.55621052,4.485026,0.999255,29.290509,24.417869
audioseal,5,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,16000,"[60566, 9931, 41251, 36736, 63672]",none,none,5,1,1,3.54525661,4.592254,0.999265,33.751831,33.749578
audioseal,5,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,16000,"[60566, 9931, 41251, 36736, 63672]",opus_64k,Opus 64 kbps,5,1,1,3.53523827,4.573102,0.998583,29.355647,29.268041
audioseal,5,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,16000,"[11900, 55917, 48538, 35194, 27011]",mp3_128k,MP3 128 kbps,5,1,1,0.85634899,4.452728,0.999614,29.767484,24.523972
audioseal,5,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,16000,"[11900, 55917, 48538, 35194, 27011]",none,none,5,1,1,1.16332579,4.58595,0.999624,34.184707,34.185637
audioseal,5,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,16000,"[11900, 55917, 48538, 35194, 27011]",opus_64k,Opus 64 kbps,5,1,1,0.59750938,4.559191,0.999275,29.632745,29.550613
audioseal,5,4,chinese:SSB0009,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,16000,"[21035, 53836, 1693, 30376, 50638]",mp3_128k,MP3 128 kbps,5,1,1,2.97692919,4.491325,0.999531,30.844059,24.808972
audioseal,5,4,chinese:SSB0009,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,16000,"[21035, 53836, 1693, 30376, 50638]",none,none,5,1,1,2.91814423,4.598589,0.999536,33.186245,33.188106
audioseal,5,4,chinese:SSB0009,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,16000,"[21035, 53836, 1693, 30376, 50638]",opus_64k,Opus 64 kbps,5,1,1,2.89430141,4.56849,0.99923,29.625584,29.532319
audioseal,5,5,chinese:SSB0009,3,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,16000,"[51266, 39996, 42018, 12711, 38031]",mp3_128k,MP3 128 kbps,5,1,1,2.27726221,4.443533,0.999609,29.712265,24.471121
audioseal,5,5,chinese:SSB0009,3,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,16000,"[51266, 39996, 42018, 12711, 38031]",none,none,5,1,1,2.37508392,4.588264,0.99962,34.689307,34.690722
audioseal,5,5,chinese:SSB0009,3,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,16000,"[51266, 39996, 42018, 12711, 38031]",opus_64k,Opus 64 kbps,5,1,1,2.31635952,4.558587,0.999055,29.266618,29.197076
audioseal,5,6,chinese:SSB0011,1,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,16000,"[45168, 26079, 14360, 53360, 35446]",mp3_128k,MP3 128 kbps,5,1,1,0.3145752,4.427629,0.999294,30.37004,24.635132
audioseal,5,6,chinese:SSB0011,1,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,16000,"[45168, 26079, 14360, 53360, 35446]",none,none,5,1,1,0.36168861,4.581241,0.999296,36.308626,36.308207
audioseal,5,6,chinese:SSB0011,1,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,16000,"[45168, 26079, 14360, 53360, 35446]",opus_64k,Opus 64 kbps,5,1,1,0.35631275,4.552131,0.999021,32.080343,31.586595
audioseal,5,7,chinese:SSB0011,2,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,16000,"[24816, 51719, 45142, 34258, 62240]",mp3_128k,MP3 128 kbps,5,1,1,2.35755491,4.455623,0.998879,30.852235,24.804066
audioseal,5,7,chinese:SSB0011,2,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,16000,"[24816, 51719, 45142, 34258, 62240]",none,none,5,1,1,2.41970062,4.565482,0.998888,34.429862,34.431167
audioseal,5,7,chinese:SSB0011,2,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,16000,"[24816, 51719, 45142, 34258, 62240]",opus_64k,Opus 64 kbps,5,1,1,2.35143232,4.536499,0.998584,30.625506,30.223748
audioseal,5,8,chinese:SSB0011,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,16000,"[6947, 39065, 53547, 18578, 38432]",mp3_128k,MP3 128 kbps,5,1,1,2.12970924,4.409384,0.99897,27.73329,23.757376
audioseal,5,8,chinese:SSB0011,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,16000,"[6947, 39065, 53547, 18578, 38432]",none,none,5,1,1,2.20980453,4.574455,0.998978,32.698021,32.699154
audioseal,5,8,chinese:SSB0011,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,16000,"[6947, 39065, 53547, 18578, 38432]",opus_64k,Opus 64 kbps,5,1,1,2.16528463,4.557722,0.99873,29.917551,29.590234
audioseal,5,9,chinese:SSB0012,1,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,16000,"[38404, 62417, 29059, 53546, 45705]",mp3_128k,MP3 128 kbps,5,1,1,2.20257807,4.453933,0.999279,28.559211,24.118603
audioseal,5,9,chinese:SSB0012,1,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,16000,"[38404, 62417, 29059, 53546, 45705]",none,none,5,1,1,2.22156763,4.591263,0.999283,31.659911,31.662853
audioseal,5,9,chinese:SSB0012,1,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,16000,"[38404, 62417, 29059, 53546, 45705]",opus_64k,Opus 64 kbps,5,1,1,2.21187353,4.566727,0.998869,29.441589,29.357005
audioseal,5,10,chinese:SSB0012,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,16000,"[19797, 60473, 14935, 5958, 26649]",mp3_128k,MP3 128 kbps,5,1,1,2.26017666,4.457633,0.999772,30.227271,24.570321
audioseal,5,10,chinese:SSB0012,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,16000,"[19797, 60473, 14935, 5958, 26649]",none,none,5,1,1,2.27486753,4.605318,0.999779,35.442166,35.440002
audioseal,5,10,chinese:SSB0012,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,16000,"[19797, 60473, 14935, 5958, 26649]",opus_64k,Opus 64 kbps,5,1,1,2.2501564,4.571004,0.999186,30.828842,30.685452
audioseal,5,11,chinese:SSB0012,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,16000,"[27090, 28759, 51911, 24328, 25257]",mp3_128k,MP3 128 kbps,5,1,1,1.25034618,4.501589,0.999771,30.419682,24.642602
audioseal,5,11,chinese:SSB0012,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,16000,"[27090, 28759, 51911, 24328, 25257]",none,none,5,1,1,1.46735954,4.596736,0.999775,33.208147,33.20939
audioseal,5,11,chinese:SSB0012,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,16000,"[27090, 28759, 51911, 24328, 25257]",opus_64k,Opus 64 kbps,5,1,1,1.37455177,4.578625,0.999513,30.652567,30.447372
audioseal,5,12,chinese:SSB0016,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,16000,"[5637, 45756, 6685, 24562, 19024]",mp3_128k,MP3 128 kbps,5,1,1,1.67254448,4.456923,0.998544,29.767107,24.500599
audioseal,5,12,chinese:SSB0016,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,16000,"[5637, 45756, 6685, 24562, 19024]",none,none,5,1,1,1.74359941,4.548034,0.998553,32.038498,32.039405
audioseal,5,12,chinese:SSB0016,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,16000,"[5637, 45756, 6685, 24562, 19024]",opus_64k,Opus 64 kbps,5,1,1,1.62161016,4.536225,0.998336,29.475495,28.277052
audioseal,5,13,chinese:SSB0016,2,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,16000,"[50807, 18454, 4248, 64416, 41827]",mp3_128k,MP3 128 kbps,5,1,1,5.32306767,4.449646,0.998726,29.511057,24.413455
audioseal,5,13,chinese:SSB0016,2,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,16000,"[50807, 18454, 4248, 64416, 41827]",none,none,5,1,1,5.35194969,4.526735,0.998729,30.570995,30.575131
audioseal,5,13,chinese:SSB0016,2,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,16000,"[50807, 18454, 4248, 64416, 41827]",opus_64k,Opus 64 kbps,5,1,1,5.33503246,4.522984,0.998473,28.841784,27.612506
audioseal,5,14,chinese:SSB0016,3,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,16000,"[38396, 40386, 37781, 6952, 60611]",mp3_128k,MP3 128 kbps,5,1,1,2.63844109,4.35563,0.997352,27.046722,23.498238
audioseal,5,14,chinese:SSB0016,3,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,16000,"[38396, 40386, 37781, 6952, 60611]",none,none,5,1,1,2.64074039,4.540094,0.997362,33.041812,33.04553
audioseal,5,14,chinese:SSB0016,3,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,16000,"[38396, 40386, 37781, 6952, 60611]",opus_64k,Opus 64 kbps,5,1,1,2.62376499,4.530882,0.99707,29.60594,28.285875
audioseal,5,15,chinese:SSB0018,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,16000,"[24377, 34032, 53557, 61374, 29823]",mp3_128k,MP3 128 kbps,5,1,1,2.37471819,4.44136,0.999562,28.817837,24.153554
audioseal,5,15,chinese:SSB0018,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,16000,"[24377, 34032, 53557, 61374, 29823]",none,none,5,1,1,2.30562019,4.589964,0.999569,34.732056,34.731111
audioseal,5,15,chinese:SSB0018,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,16000,"[24377, 34032, 53557, 61374, 29823]",opus_64k,Opus 64 kbps,5,1,1,2.31024551,4.559964,0.999222,31.364776,31.216641
audioseal,5,16,chinese:SSB0018,2,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,16000,"[7823, 19908, 13250, 18187, 57460]",mp3_128k,MP3 128 kbps,5,1,1,3.34075165,4.348341,0.999402,26.485955,23.25885
audioseal,5,16,chinese:SSB0018,2,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,16000,"[7823, 19908, 13250, 18187, 57460]",none,none,5,1,1,3.41091681,4.571226,0.999411,33.458579,33.460211
