model,fold,n_train_speakers,n_train_single,n_test_speakers,n_test_trials,calibrated_z,threshold_minimum,threshold_mean,threshold_log_variance,train_single_acceptance_pct,test_single_acceptance_pct,test_average_rejection_pct,test_targeted_hits_before,test_targeted_hits_after
audioseal,1,80,240,20,60,1.961,0.6788800889949111,0.7545006164644048,-6.360092393732738,95.0,95.0,100.0,286,20
audioseal,2,80,240,20,60,1.980,0.6778185554970344,0.7545515333542291,-6.341941754028118,95.0,96.66666666666667,100.0,262,19
audioseal,3,80,240,20,60,1.938,0.6764606427415925,0.7552693702003359,-6.354525543312153,95.0,95.0,100.0,275,9
audioseal,4,80,240,20,60,1.838,0.6791150059887758,0.7552696913497979,-6.375296613798209,95.0,93.33333333333333,100.0,251,14
audioseal,5,80,240,20,60,1.959,0.6789806542586565,0.7552976853682912,-6.347318407522398,95.0,93.33333333333333,100.0,233,11
timbrewm,1,80,240,20,60,1.959,0.6602501143464083,0.7042849663944574,-6.933696499653199,95.0,98.33333333333333,100.0,548,0
timbrewm,2,80,240,20,60,1.941,0.6605944329195826,0.7052458544793374,-6.921548524916687,95.0,91.66666666666666,100.0,559,0
timbrewm,3,80,240,20,60,2.005,0.6597234925508205,0.7046383651079648,-6.942749388692278,95.0,98.33333333333333,100.0,559,0
timbrewm,4,80,240,20,60,1.959,0.6593978082669936,0.7049209417936224,-6.903562583407997,95.0,96.66666666666667,100.0,551,0
timbrewm,5,80,240,20,60,1.964,0.6622032892708248,0.7046876046391263,-6.928500552145303,95.0,90.0,100.0,551,0
voicemark,1,80,240,20,60,1.708,0.8248179728847265,0.9733222065113413,-6.430887262417951,95.0,95.0,76.66666666666666,7,5
voicemark,2,80,240,20,60,1.645,0.8839459622366317,0.9739779682998387,-6.432137719238554,95.0,95.0,73.33333333333334,3,1
voicemark,3,80,240,20,60,1.788,0.7982893078606564,0.9757314041289078,-6.170143992439119,95.0,96.66666666666667,83.33333333333334,3,1
voicemark,4,80,240,20,60,1.772,0.8074206357483271,0.9770197005204897,-6.167988268863578,95.0,95.0,68.33333333333333,3,2
voicemark,5,80,240,20,60,1.654,0.8927001806147676,0.9742172995975845,-6.906548052774376,95.0,90.0,86.66666666666667,3,1
wavmark,1,80,240,20,60,2.010,0.84,0.9714641669653353,3.898575086731721,95.0,95.0,100.0,328,28
wavmark,2,80,240,20,60,2.181,0.8385695393440015,0.9701048997636837,5.380242432307096,95.0,96.66666666666667,100.0,308,30
wavmark,3,80,240,20,60,2.070,0.8288640169653573,0.9728734907555239,3.95891074837739,95.0,90.0,100.0,348,20
wavmark,4,80,240,20,60,2.072,0.8388075913086372,0.9714576574844201,4.309588562026951,95.0,95.0,100.0,323,37
wavmark,5,80,240,20,60,2.182,0.8243256042591732,0.970102980957532,5.324457275192309,95.0,96.66666666666667,100.0,326,16
wmcodec,1,80,240,20,60,2.393,0.5528863895602411,0.9618756884830685,-1.488033910614936,95.0,96.66666666666667,86.66666666666667,8,6
wmcodec,2,80,240,20,60,2.036,0.5840404426816125,0.9667057743408172,-3.026403231711807,95.0,95.0,86.66666666666667,7,3
wmcodec,3,80,240,20,60,2.015,0.5796566689395809,0.9668460258504989,-3.163925340888479,95.0,95.0,85.0,13,7
wmcodec,4,80,240,20,60,2.120,0.5760162386720106,0.9668457764949349,-2.833812278426903,95.0,95.0,90.0,4,2
wmcodec,5,80,240,20,60,2.150,0.5812893400600562,0.9674420186250253,-2.736455042933152,95.0,93.33333333333333,91.66666666666666,8,3
