model,k,trial_id,speaker,clip_index,source_path,coalition_payloads,reference_payload,published_pesq,published_stoi,published_si_sdr,recomputed_si_sdr,snr,si_sdr_abs_error,visqol,si_sdr_for_table
audioseal,2,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[44095, 22680]",44095,4.6157,0.9997,39.08,39.077547,39.076443,0.002453,4.97935001,39.08
audioseal,2,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,"[36034, 21159]",36034,4.5997,0.9995,33.49,33.486939,33.488273,0.003061,4.97414719,33.49
audioseal,2,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,"[7202, 38978]",7202,4.62,0.9997,36.91,36.905338,36.90556,0.004662,4.98646385,36.91
audioseal,2,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,"[58416, 41136]",58416,4.6324,0.9999,41.99,41.992573,41.992649,0.002573,4.9899852,41.99
audioseal,2,4,chinese:SSB0009,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,"[63538, 50792]",63538,4.6116,0.9998,37.17,37.167086,37.167746,0.002914,4.97222083,37.17
audioseal,2,5,chinese:SSB0009,3,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,"[37201, 51471]",37201,4.6175,0.9999,38.14,38.140467,38.141101,0.000467,4.98250253,38.14
audioseal,2,6,chinese:SSB0011,1,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,"[29367, 46138]",29367,4.5913,0.9993,33.83,33.832811,33.833742,0.002811,4.95679672,33.83
audioseal,2,7,chinese:SSB0011,2,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,"[44806, 30097]",44806,4.5627,0.9989,32.96,32.956775,32.958156,0.003225,4.90913958,32.96
audioseal,2,8,chinese:SSB0011,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,"[58057, 4419]",58057,4.5891,0.9991,36.26,36.262152,36.262421,0.002152,4.91474815,36.26
audioseal,2,9,chinese:SSB0012,1,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,"[15714, 8824]",15714,4.5908,0.9996,33.51,33.505423,33.506742,0.004577,4.97727885,33.51
audioseal,2,10,chinese:SSB0012,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,"[14127, 50757]",14127,4.6086,0.9998,37.52,37.517588,37.517973,0.002412,4.97234854,37.52
audioseal,2,11,chinese:SSB0012,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,"[35914, 19657]",35914,4.6172,0.9999,36.5,36.496769,36.496803,0.003231,4.98945561,36.5
audioseal,2,12,chinese:SSB0016,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,"[30851, 11915]",30851,4.6072,0.9994,36.18,36.176037,36.177778,0.003963,4.9579155,36.18
audioseal,2,13,chinese:SSB0016,2,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,"[647, 20528]",647,4.578,0.9994,32.63,32.632684,32.636929,0.002684,4.93352394,32.63
audioseal,2,14,chinese:SSB0016,3,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,"[17834, 16683]",17834,4.5862,0.9988,37.38,37.377694,37.379955,0.002306,4.90840743,37.38
audioseal,2,15,chinese:SSB0018,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,"[24523, 15670]",24523,4.5818,0.9996,34.66,34.655842,34.656265,0.004158,4.78166035,34.66
audioseal,2,16,chinese:SSB0018,2,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,"[17834, 48479]",17834,4.586,0.9995,35.78,35.784405,35.785693,0.004405,4.84563683,35.78
audioseal,2,17,chinese:SSB0018,3,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,"[15404, 16177]",15404,4.5992,0.9997,36.83,36.82857,36.828596,0.00143,4.95827062,36.83
audioseal,2,18,chinese:SSB0033,1,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,"[30368, 57935]",30368,4.6037,0.9996,40.81,40.810766,40.811098,0.000766,4.90594366,40.81
audioseal,2,19,chinese:SSB0033,2,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,"[49478, 35582]",49478,4.6029,0.9997,41.72,41.719255,41.719367,0.000745,4.96240127,41.72
