model,k,n,pesq,stoi,si_sdr,snr,mean_si_sdr_reproduction_error,max_si_sdr_reproduction_error
audioseal,2,300,4.604019666666667,0.999224,36.67236666666666,36.766683926666666,0.0024978466666666665,0.004988
audioseal,3,300,4.591001333333334,0.9990553333333334,35.550266666666666,35.64465607,0.0024661166666666667,0.004999
audioseal,5,300,4.585586666666666,0.9988306666666666,34.5779,34.672544763333335,0.0025310999999999997,0.004983
audioseal,8,300,4.577279194196065,0.9986383817725575,33.94227387333333,34.03716183666667,,
wavmark,2,300,4.571572333333333,0.9989566666666667,44.146800000000006,44.24026851666667,0.0025089866666666667,0.004944
wavmark,3,300,4.556349,0.9987060000000001,43.00463333333333,43.09861788333333,0.0025218933333333335,0.004995
wavmark,5,300,4.539084666666667,0.9982713333333334,42.094966666666664,42.188526333333336,0.002484416666666667,0.004996
wavmark,8,300,4.517924817403157,0.9980425246887793,41.382127770000004,41.47563066666667,,
timbrewm,2,300,4.563835,0.9980923333333334,33.532333333333334,33.62728861666667,0.0023782366666666665,0.004986
timbrewm,3,300,4.556359666666666,0.9974706666666666,32.31793333333333,32.413359793333335,0.0025421000000000003,0.004993
timbrewm,5,300,4.546799,0.9969963333333334,31.440333333333335,31.53645854333333,0.002587303333333333,0.004992
timbrewm,8,300,4.533510704040527,0.9963862361309288,30.75710015666667,30.85396842,,
voicemark,2,300,4.203574000000001,0.9827086666666666,16.584133333333334,16.613052613333334,0.0024883033333333335,0.004993
voicemark,3,300,4.167549333333333,0.9782473333333334,15.420966666666667,15.491218636666666,0.00256118,0.004994
voicemark,5,300,4.1133560000000005,0.9741486666666667,14.5981,14.67751948,0.002296463333333333,0.004994
voicemark,8,300,4.049016079902649,0.9709404880226923,14.517214263333331,14.61587734,,
wmcodec,2,300,4.3673123333333335,0.9894096666666666,16.286133333333336,16.505619213333333,0.4245073466666667,2.499725
wmcodec,3,300,4.320117333333333,0.9864856666666666,14.981266666666667,15.173886073333334,0.4676713,2.676914
wmcodec,5,300,4.260939333333333,0.9839143333333333,14.1475,14.460834583333332,0.49668038,2.508119
wmcodec,8,300,4.235092453161875,0.9826557077944426,13.725979459999998,14.061767836666668,,
