model,K,spk,local_t,gi,target,method,target_top1
audioseal,8,121,0,0,31205,mean,0
audioseal,8,121,0,0,31205,tct,0
audioseal,8,121,0,0,22397,mean,0
audioseal,8,121,0,0,22397,tct,0
audioseal,8,121,0,0,20189,mean,0
audioseal,8,121,0,0,20189,tct,0
audioseal,8,121,0,0,62432,mean,0
audioseal,8,121,0,0,62432,tct,1
audioseal,8,121,0,0,58272,mean,0
audioseal,8,121,0,0,58272,tct,0
audioseal,8,121,0,0,30012,mean,0
audioseal,8,121,0,0,30012,tct,1
audioseal,8,121,0,0,28965,mean,0
audioseal,8,121,0,0,28965,tct,0
audioseal,8,121,0,0,58345,mean,0
audioseal,8,121,0,0,58345,tct,0
audioseal,8,121,0,0,4140,mean,0
audioseal,8,121,0,0,4140,tct,0
audioseal,8,121,0,0,6069,mean,0
audioseal,8,121,0,0,6069,tct,0
audioseal,8,121,1,1,22019,mean,0
audioseal,8,121,1,1,22019,tct,0
audioseal,8,121,1,1,27291,mean,0
audioseal,8,121,1,1,27291,tct,0
audioseal,8,121,1,1,23195,mean,0
audioseal,8,121,1,1,23195,tct,0
audioseal,8,121,1,1,21515,mean,0
audioseal,8,121,1,1,21515,tct,0
audioseal,8,121,1,1,43140,mean,0
audioseal,8,121,1,1,43140,tct,0
audioseal,8,121,1,1,21511,mean,0
audioseal,8,121,1,1,21511,tct,0
audioseal,8,121,1,1,51867,mean,0
audioseal,8,121,1,1,51867,tct,0
audioseal,8,121,1,1,29827,mean,0
audioseal,8,121,1,1,29827,tct,0
audioseal,8,121,1,1,62595,mean,0
audioseal,8,121,1,1,62595,tct,0
audioseal,8,121,1,1,26241,mean,0
audioseal,8,121,1,1,26241,tct,0
audioseal,8,121,2,2,47866,mean,0
audioseal,8,121,2,2,47866,tct,1
audioseal,8,121,2,2,33942,mean,0
audioseal,8,121,2,2,33942,tct,0
audioseal,8,121,2,2,21334,mean,0
audioseal,8,121,2,2,21334,tct,1
audioseal,8,121,2,2,34260,mean,0
audioseal,8,121,2,2,34260,tct,0
audioseal,8,121,2,2,30582,mean,0
audioseal,8,121,2,2,30582,tct,0
audioseal,8,121,2,2,21078,mean,0
audioseal,8,121,2,2,21078,tct,1
audioseal,8,121,2,2,35972,mean,0
audioseal,8,121,2,2,35972,tct,0
audioseal,8,121,2,2,36289,mean,0
audioseal,8,121,2,2,36289,tct,0
audioseal,8,121,2,2,21844,mean,0
audioseal,8,121,2,2,21844,tct,0
audioseal,8,121,2,2,22388,mean,0
audioseal,8,121,2,2,22388,tct,0
audioseal,8,121,3,3,17908,mean,0
audioseal,8,121,3,3,17908,tct,0
audioseal,8,121,3,3,6687,mean,0
audioseal,8,121,3,3,6687,tct,0
audioseal,8,121,3,3,7199,mean,0
audioseal,8,121,3,3,7199,tct,0
audioseal,8,121,3,3,16852,mean,0
audioseal,8,121,3,3,16852,tct,0
audioseal,8,121,3,3,6831,mean,0
audioseal,8,121,3,3,6831,tct,1
audioseal,8,121,3,3,32655,mean,0
audioseal,8,121,3,3,32655,tct,1
audioseal,8,121,3,3,57254,mean,0
audioseal,8,121,3,3,57254,tct,1
audioseal,8,121,3,3,6223,mean,0
audioseal,8,121,3,3,6223,tct,0
audioseal,8,121,3,3,24461,mean,0
audioseal,8,121,3,3,24461,tct,0
audioseal,8,121,3,3,54486,mean,0
audioseal,8,121,3,3,54486,tct,0
audioseal,8,237,0,4,50,mean,0
audioseal,8,237,0,4,50,tct,0
audioseal,8,237,0,4,58300,mean,0
audioseal,8,237,0,4,58300,tct,0
audioseal,8,237,0,4,563,mean,0
audioseal,8,237,0,4,563,tct,0
audioseal,8,237,0,4,47907,mean,0
audioseal,8,237,0,4,47907,tct,0
audioseal,8,237,0,4,2069,mean,0
audioseal,8,237,0,4,2069,tct,0
audioseal,8,237,0,4,11541,mean,0
audioseal,8,237,0,4,11541,tct,0
audioseal,8,237,0,4,8247,mean,0
audioseal,8,237,0,4,8247,tct,0
audioseal,8,237,0,4,63404,mean,0
audioseal,8,237,0,4,63404,tct,0
audioseal,8,237,0,4,10621,mean,0
audioseal,8,237,0,4,10621,tct,0
audioseal,8,237,0,4,47016,mean,0
audioseal,8,237,0,4,47016,tct,0
audioseal,8,237,1,5,507,mean,0
audioseal,8,237,1,5,507,tct,1
audioseal,8,237,1,5,17638,mean,0
audioseal,8,237,1,5,17638,tct,0
audioseal,8,237,1,5,5556,mean,0
audioseal,8,237,1,5,5556,tct,0
audioseal,8,237,1,5,45919,mean,0
audioseal,8,237,1,5,45919,tct,0
audioseal,8,237,1,5,52454,mean,0
audioseal,8,237,1,5,52454,tct,0
audioseal,8,237,1,5,19616,mean,0
audioseal,8,237,1,5,19616,tct,1
audioseal,8,237,1,5,8699,mean,0
audioseal,8,237,1,5,8699,tct,1
audioseal,8,237,1,5,505,mean,0
audioseal,8,237,1,5,505,tct,0
audioseal,8,237,1,5,106,mean,0
audioseal,8,237,1,5,106,tct,0
audioseal,8,237,1,5,34170,mean,0
audioseal,8,237,1,5,34170,tct,0
audioseal,8,237,2,6,45050,mean,0
audioseal,8,237,2,6,45050,tct,0
audioseal,8,237,2,6,1728,mean,0
audioseal,8,237,2,6,1728,tct,0
audioseal,8,237,2,6,36555,mean,0
audioseal,8,237,2,6,36555,tct,0
audioseal,8,237,2,6,49882,mean,0
audioseal,8,237,2,6,49882,tct,1
audioseal,8,237,2,6,17088,mean,0
audioseal,8,237,2,6,17088,tct,0
audioseal,8,237,2,6,20139,mean,0
audioseal,8,237,2,6,20139,tct,0
audioseal,8,237,2,6,1737,mean,0
audioseal,8,237,2,6,1737,tct,0
audioseal,8,237,2,6,52220,mean,0
audioseal,8,237,2,6,52220,tct,0
audioseal,8,237,2,6,52621,mean,0
audioseal,8,237,2,6,52621,tct,0
audioseal,8,237,2,6,28325,mean,0
audioseal,8,237,2,6,28325,tct,0
audioseal,8,237,3,7,6299,mean,0
audioseal,8,237,3,7,6299,tct,1
audioseal,8,237,3,7,56711,mean,0
audioseal,8,237,3,7,56711,tct,0
audioseal,8,237,3,7,2267,mean,0
audioseal,8,237,3,7,2267,tct,0
audioseal,8,237,3,7,7343,mean,0
audioseal,8,237,3,7,7343,tct,0
audioseal,8,237,3,7,36916,mean,0
audioseal,8,237,3,7,36916,tct,0
audioseal,8,237,3,7,12459,mean,0
audioseal,8,237,3,7,12459,tct,0
audioseal,8,237,3,7,5546,mean,0
audioseal,8,237,3,7,5546,tct,0
audioseal,8,237,3,7,9387,mean,0
audioseal,8,237,3,7,9387,tct,0
audioseal,8,237,3,7,1178,mean,0
audioseal,8,237,3,7,1178,tct,0
audioseal,8,237,3,7,54662,mean,0
audioseal,8,237,3,7,54662,tct,0
audioseal,8,260,0,8,34154,mean,0
audioseal,8,260,0,8,34154,tct,0
audioseal,8,260,0,8,28899,mean,0
audioseal,8,260,0,8,28899,tct,0
audioseal,8,260,0,8,30963,mean,0
audioseal,8,260,0,8,30963,tct,0
audioseal,8,260,0,8,6324,mean,0
audioseal,8,260,0,8,6324,tct,0
audioseal,8,260,0,8,30883,mean,0
audioseal,8,260,0,8,30883,tct,0
audioseal,8,260,0,8,26851,mean,0
audioseal,8,260,0,8,26851,tct,0
audioseal,8,260,0,8,28723,mean,0
audioseal,8,260,0,8,28723,tct,0
audioseal,8,260,0,8,1386,mean,0
audioseal,8,260,0,8,1386,tct,0
audioseal,8,260,0,8,30786,mean,0
audioseal,8,260,0,8,30786,tct,0
audioseal,8,260,0,8,24682,mean,0
audioseal,8,260,0,8,24682,tct,0
audioseal,8,260,1,9,21459,mean,0
audioseal,8,260,1,9,21459,tct,0
audioseal,8,260,1,9,45790,mean,0
audioseal,8,260,1,9,45790,tct,0
audioseal,8,260,1,9,3416,mean,0
audioseal,8,260,1,9,3416,tct,0
audioseal,8,260,1,9,62652,mean,0
audioseal,8,260,1,9,62652,tct,0
audioseal,8,260,1,9,5074,mean,0
audioseal,8,260,1,9,5074,tct,1
audioseal,8,260,1,9,39305,mean,0
audioseal,8,260,1,9,39305,tct,0
audioseal,8,260,1,9,42377,mean,0
audioseal,8,260,1,9,42377,tct,0
audioseal,8,260,1,9,64985,mean,0
audioseal,8,260,1,9,64985,tct,0
audioseal,8,260,1,9,63897,mean,0
audioseal,8,260,1,9,63897,tct,0
audioseal,8,260,1,9,14044,mean,0
audioseal,8,260,1,9,14044,tct,0
audioseal,8,260,2,10,6845,mean,0
audioseal,8,260,2,10,6845,tct,0
audioseal,8,260,2,10,27882,mean,0
audioseal,8,260,2,10,27882,tct,1
audioseal,8,260,2,10,4789,mean,0
audioseal,8,260,2,10,4789,tct,0
audioseal,8,260,2,10,692,mean,0
audioseal,8,260,2,10,692,tct,0
audioseal,8,260,2,10,60634,mean,0
audioseal,8,260,2,10,60634,tct,0
audioseal,8,260,2,10,43762,mean,0
audioseal,8,260,2,10,43762,tct,0
audioseal,8,260,2,10,25738,mean,0
audioseal,8,260,2,10,25738,tct,0
audioseal,8,260,2,10,31947,mean,0
audioseal,8,260,2,10,31947,tct,0
audioseal,8,260,2,10,2294,mean,0
audioseal,8,260,2,10,2294,tct,0
audioseal,8,260,2,10,52459,mean,0
audioseal,8,260,2,10,52459,tct,0
audioseal,8,260,3,11,1702,mean,0
audioseal,8,260,3,11,1702,tct,1
audioseal,8,260,3,11,20288,mean,0
audioseal,8,260,3,11,20288,tct,0
