model,K,spk,local_t,gi,target,method,target_top1
timbrewm,3,chinese:SSB0005,0,0,884,mean,0
timbrewm,3,chinese:SSB0005,0,0,884,tct,0
timbrewm,3,chinese:SSB0005,0,0,636,mean,0
timbrewm,3,chinese:SSB0005,0,0,636,tct,0
timbrewm,3,chinese:SSB0005,0,0,348,mean,0
timbrewm,3,chinese:SSB0005,0,0,348,tct,0
timbrewm,3,chinese:SSB0005,0,0,861,mean,0
timbrewm,3,chinese:SSB0005,0,0,861,tct,0
timbrewm,3,chinese:SSB0005,0,0,381,mean,0
timbrewm,3,chinese:SSB0005,0,0,381,tct,0
timbrewm,3,chinese:SSB0005,0,0,341,mean,0
timbrewm,3,chinese:SSB0005,0,0,341,tct,0
timbrewm,3,chinese:SSB0005,0,0,596,mean,0
timbrewm,3,chinese:SSB0005,0,0,596,tct,0
timbrewm,3,chinese:SSB0005,0,0,116,mean,0
timbrewm,3,chinese:SSB0005,0,0,116,tct,0
timbrewm,3,chinese:SSB0005,0,0,93,mean,0
timbrewm,3,chinese:SSB0005,0,0,93,tct,0
timbrewm,3,chinese:SSB0005,0,0,629,mean,0
timbrewm,3,chinese:SSB0005,0,0,629,tct,0
timbrewm,3,chinese:SSB0005,1,1,144,mean,1
timbrewm,3,chinese:SSB0005,1,1,144,tct,1
timbrewm,3,chinese:SSB0005,1,1,0,mean,0
timbrewm,3,chinese:SSB0005,1,1,0,tct,0
timbrewm,3,chinese:SSB0005,1,1,404,mean,0
timbrewm,3,chinese:SSB0005,1,1,404,tct,0
timbrewm,3,chinese:SSB0005,1,1,464,mean,0
timbrewm,3,chinese:SSB0005,1,1,464,tct,1
timbrewm,3,chinese:SSB0005,1,1,212,mean,0
timbrewm,3,chinese:SSB0005,1,1,212,tct,0
timbrewm,3,chinese:SSB0005,1,1,48,mean,0
timbrewm,3,chinese:SSB0005,1,1,48,tct,0
timbrewm,3,chinese:SSB0005,1,1,160,mean,0
timbrewm,3,chinese:SSB0005,1,1,160,tct,1
timbrewm,3,chinese:SSB0005,1,1,402,mean,0
timbrewm,3,chinese:SSB0005,1,1,402,tct,0
timbrewm,3,chinese:SSB0005,1,1,130,mean,0
timbrewm,3,chinese:SSB0005,1,1,130,tct,0
timbrewm,3,chinese:SSB0005,1,1,34,mean,0
timbrewm,3,chinese:SSB0005,1,1,34,tct,0
timbrewm,3,chinese:SSB0005,2,2,152,mean,0
timbrewm,3,chinese:SSB0005,2,2,152,tct,0
timbrewm,3,chinese:SSB0005,2,2,185,mean,0
timbrewm,3,chinese:SSB0005,2,2,185,tct,0
timbrewm,3,chinese:SSB0005,2,2,48,mean,0
timbrewm,3,chinese:SSB0005,2,2,48,tct,0
timbrewm,3,chinese:SSB0005,2,2,424,mean,0
timbrewm,3,chinese:SSB0005,2,2,424,tct,0
timbrewm,3,chinese:SSB0005,2,2,680,mean,0
timbrewm,3,chinese:SSB0005,2,2,680,tct,0
timbrewm,3,chinese:SSB0005,2,2,952,mean,0
timbrewm,3,chinese:SSB0005,2,2,952,tct,0
timbrewm,3,chinese:SSB0005,2,2,120,mean,0
timbrewm,3,chinese:SSB0005,2,2,120,tct,0
timbrewm,3,chinese:SSB0005,2,2,240,mean,0
timbrewm,3,chinese:SSB0005,2,2,240,tct,0
timbrewm,3,chinese:SSB0005,2,2,80,mean,0
timbrewm,3,chinese:SSB0005,2,2,80,tct,0
timbrewm,3,chinese:SSB0005,2,2,137,mean,0
timbrewm,3,chinese:SSB0005,2,2,137,tct,0
timbrewm,3,chinese:SSB0009,0,3,539,mean,1
timbrewm,3,chinese:SSB0009,0,3,539,tct,1
timbrewm,3,chinese:SSB0009,0,3,531,mean,0
timbrewm,3,chinese:SSB0009,0,3,531,tct,0
timbrewm,3,chinese:SSB0009,0,3,27,mean,0
timbrewm,3,chinese:SSB0009,0,3,27,tct,1
timbrewm,3,chinese:SSB0009,0,3,91,mean,0
