model,K,spk,local_t,gi,target,method,target_top1
voicemark,3,121,0,0,27118,mean,0
voicemark,3,121,0,0,27118,tct,0
voicemark,3,121,0,0,8686,mean,0
voicemark,3,121,0,0,8686,tct,0
voicemark,3,121,0,0,65267,mean,0
voicemark,3,121,0,0,65267,tct,0
voicemark,3,121,0,0,15985,mean,0
voicemark,3,121,0,0,15985,tct,0
voicemark,3,121,0,0,29433,mean,0
voicemark,3,121,0,0,29433,tct,0
voicemark,3,121,0,0,25063,mean,0
voicemark,3,121,0,0,25063,tct,0
voicemark,3,121,0,0,25064,mean,0
voicemark,3,121,0,0,25064,tct,0
voicemark,3,121,0,0,46706,mean,0
voicemark,3,121,0,0,46706,tct,0
voicemark,3,121,0,0,12782,mean,0
voicemark,3,121,0,0,12782,tct,0
voicemark,3,121,0,0,31345,mean,0
voicemark,3,121,0,0,31345,tct,0
voicemark,3,121,1,1,34800,mean,0
voicemark,3,121,1,1,34800,tct,0
voicemark,3,121,1,1,31940,mean,0
voicemark,3,121,1,1,31940,tct,0
voicemark,3,121,1,1,26304,mean,0
voicemark,3,121,1,1,26304,tct,0
voicemark,3,121,1,1,17568,mean,0
voicemark,3,121,1,1,17568,tct,0
voicemark,3,121,1,1,17544,mean,0
voicemark,3,121,1,1,17544,tct,0
voicemark,3,121,1,1,60644,mean,0
voicemark,3,121,1,1,60644,tct,0
voicemark,3,121,1,1,28388,mean,0
voicemark,3,121,1,1,28388,tct,0
voicemark,3,121,1,1,25988,mean,0
voicemark,3,121,1,1,25988,tct,0
voicemark,3,121,1,1,9348,mean,0
voicemark,3,121,1,1,9348,tct,0
voicemark,3,121,1,1,25668,mean,0
voicemark,3,121,1,1,25668,tct,0
voicemark,3,121,2,2,60618,mean,0
voicemark,3,121,2,2,60618,tct,0
voicemark,3,121,2,2,44258,mean,0
voicemark,3,121,2,2,44258,tct,0
voicemark,3,121,2,2,39015,mean,0
voicemark,3,121,2,2,39015,tct,0
voicemark,3,121,2,2,56554,mean,0
voicemark,3,121,2,2,56554,tct,0
voicemark,3,121,2,2,6503,mean,0
voicemark,3,121,2,2,6503,tct,0
voicemark,3,121,2,2,59882,mean,0
voicemark,3,121,2,2,59882,tct,0
voicemark,3,121,2,2,60907,mean,0
voicemark,3,121,2,2,60907,tct,0
voicemark,3,121,2,2,35154,mean,0
voicemark,3,121,2,2,35154,tct,0
voicemark,3,121,2,2,52322,mean,0
voicemark,3,121,2,2,52322,tct,0
voicemark,3,121,2,2,36131,mean,0
voicemark,3,121,2,2,36131,tct,0
voicemark,3,121,3,3,13605,mean,0
voicemark,3,121,3,3,13605,tct,0
voicemark,3,121,3,3,46402,mean,0
voicemark,3,121,3,3,46402,tct,0
voicemark,3,121,3,3,13664,mean,0
voicemark,3,121,3,3,13664,tct,0
voicemark,3,121,3,3,63040,mean,0
voicemark,3,121,3,3,63040,tct,0
voicemark,3,121,3,3,45666,mean,0
voicemark,3,121,3,3,45666,tct,0
voicemark,3,121,3,3,46951,mean,0
voicemark,3,121,3,3,46951,tct,0
voicemark,3,121,3,3,14309,mean,0
voicemark,3,121,3,3,14309,tct,0
voicemark,3,121,3,3,12641,mean,0
voicemark,3,121,3,3,12641,tct,0
voicemark,3,121,3,3,46176,mean,0
voicemark,3,121,3,3,46176,tct,0
voicemark,3,121,3,3,46675,mean,0
voicemark,3,121,3,3,46675,tct,0
voicemark,3,237,0,4,48222,mean,0
voicemark,3,237,0,4,48222,tct,0
voicemark,3,237,0,4,11835,mean,0
voicemark,3,237,0,4,11835,tct,0
voicemark,3,237,0,4,11131,mean,0
voicemark,3,237,0,4,11131,tct,0
voicemark,3,237,0,4,16233,mean,0
voicemark,3,237,0,4,16233,tct,0
voicemark,3,237,0,4,12152,mean,0
voicemark,3,237,0,4,12152,tct,0
voicemark,3,237,0,4,12382,mean,0
voicemark,3,237,0,4,12382,tct,0
voicemark,3,237,0,4,11870,mean,0
voicemark,3,237,0,4,11870,tct,0
voicemark,3,237,0,4,12283,mean,0
voicemark,3,237,0,4,12283,tct,0
voicemark,3,237,0,4,45151,mean,0
voicemark,3,237,0,4,45151,tct,0
voicemark,3,237,0,4,48214,mean,0
voicemark,3,237,0,4,48214,tct,0
voicemark,3,237,1,5,13742,mean,0
voicemark,3,237,1,5,13742,tct,0
voicemark,3,237,1,5,9574,mean,0
voicemark,3,237,1,5,9574,tct,0
voicemark,3,237,1,5,30694,mean,0
voicemark,3,237,1,5,30694,tct,0
voicemark,3,237,1,5,9386,mean,0
voicemark,3,237,1,5,9386,tct,0
voicemark,3,237,1,5,10222,mean,0
voicemark,3,237,1,5,10222,tct,0
voicemark,3,237,1,5,10030,mean,0
voicemark,3,237,1,5,10030,tct,0
voicemark,3,237,1,5,59239,mean,0
voicemark,3,237,1,5,59239,tct,0
voicemark,3,237,1,5,28519,mean,0
voicemark,3,237,1,5,28519,tct,0
voicemark,3,237,1,5,26215,mean,0
voicemark,3,237,1,5,26215,tct,0
voicemark,3,237,1,5,26212,mean,0
voicemark,3,237,1,5,26212,tct,0
voicemark,3,237,2,6,18282,mean,0
voicemark,3,237,2,6,18282,tct,0
voicemark,3,237,2,6,53380,mean,0
voicemark,3,237,2,6,53380,tct,0
voicemark,3,237,2,6,16514,mean,0
voicemark,3,237,2,6,16514,tct,0
voicemark,3,237,2,6,57536,mean,0
voicemark,3,237,2,6,57536,tct,0
voicemark,3,237,2,6,30784,mean,0
voicemark,3,237,2,6,30784,tct,0
voicemark,3,237,2,6,64448,mean,0
voicemark,3,237,2,6,64448,tct,0
voicemark,3,237,2,6,26440,mean,0
voicemark,3,237,2,6,26440,tct,0
voicemark,3,237,2,6,14528,mean,0
voicemark,3,237,2,6,14528,tct,0
voicemark,3,237,2,6,22362,mean,0
voicemark,3,237,2,6,22362,tct,0
voicemark,3,237,2,6,22214,mean,0
voicemark,3,237,2,6,22214,tct,0
voicemark,3,237,3,7,56893,mean,0
voicemark,3,237,3,7,56893,tct,0
voicemark,3,237,3,7,18973,mean,0
voicemark,3,237,3,7,18973,tct,0
voicemark,3,237,3,7,20109,mean,0
voicemark,3,237,3,7,20109,tct,0
voicemark,3,237,3,7,35341,mean,0
voicemark,3,237,3,7,35341,tct,0
voicemark,3,237,3,7,51772,mean,0
voicemark,3,237,3,7,51772,tct,0
voicemark,3,237,3,7,3749,mean,0
voicemark,3,237,3,7,3749,tct,0
voicemark,3,237,3,7,36495,mean,0
voicemark,3,237,3,7,36495,tct,0
voicemark,3,237,3,7,3821,mean,0
voicemark,3,237,3,7,3821,tct,0
voicemark,3,237,3,7,6684,mean,0
voicemark,3,237,3,7,6684,tct,0
voicemark,3,237,3,7,23613,mean,0
voicemark,3,237,3,7,23613,tct,0
voicemark,3,260,0,8,23902,mean,0
voicemark,3,260,0,8,23902,tct,0
voicemark,3,260,0,8,23810,mean,0
voicemark,3,260,0,8,23810,tct,0
voicemark,3,260,0,8,21826,mean,0
voicemark,3,260,0,8,21826,tct,0
voicemark,3,260,0,8,40038,mean,0
voicemark,3,260,0,8,40038,tct,0
voicemark,3,260,0,8,23839,mean,0
voicemark,3,260,0,8,23839,tct,0
voicemark,3,260,0,8,19522,mean,0
voicemark,3,260,0,8,19522,tct,0
voicemark,3,260,0,8,52482,mean,0
voicemark,3,260,0,8,52482,tct,0
voicemark,3,260,0,8,23914,mean,0
