model,K,spk,local_t,gi,target,method,target_top1
wavmark,2,121,0,0,3677,mean,0
wavmark,2,121,0,0,3677,framing_cb,0
wavmark,2,121,0,0,3213,mean,0
wavmark,2,121,0,0,3213,framing_cb,0
wavmark,2,121,0,0,2781,mean,0
wavmark,2,121,0,0,2781,framing_cb,0
wavmark,2,121,0,0,3733,mean,0
wavmark,2,121,0,0,3733,framing_cb,0
wavmark,2,121,0,0,1501,mean,0
wavmark,2,121,0,0,1501,framing_cb,0
wavmark,2,121,0,0,3669,mean,0
wavmark,2,121,0,0,3669,framing_cb,0
wavmark,2,121,0,0,3163,mean,0
wavmark,2,121,0,0,3163,framing_cb,0
wavmark,2,121,0,0,2649,mean,0
wavmark,2,121,0,0,2649,framing_cb,0
wavmark,2,121,0,0,20181,mean,0
wavmark,2,121,0,0,20181,framing_cb,0
wavmark,2,121,0,0,3260,mean,0
wavmark,2,121,0,0,3260,framing_cb,0
wavmark,2,121,1,1,34400,mean,0
wavmark,2,121,1,1,34400,framing_cb,0
wavmark,2,121,1,1,46700,mean,0
wavmark,2,121,1,1,46700,framing_cb,0
wavmark,2,121,1,1,34504,mean,0
wavmark,2,121,1,1,34504,framing_cb,0
wavmark,2,121,1,1,34272,mean,0
wavmark,2,121,1,1,34272,framing_cb,0
wavmark,2,121,1,1,42572,mean,0
wavmark,2,121,1,1,42572,framing_cb,0
wavmark,2,121,1,1,42594,mean,0
wavmark,2,121,1,1,42594,framing_cb,0
wavmark,2,121,1,1,42986,mean,0
wavmark,2,121,1,1,42986,framing_cb,0
wavmark,2,121,1,1,42982,mean,0
wavmark,2,121,1,1,42982,framing_cb,0
wavmark,2,121,1,1,46956,mean,0
wavmark,2,121,1,1,46956,framing_cb,0
wavmark,2,121,1,1,34508,mean,0
wavmark,2,121,1,1,34508,framing_cb,0
wavmark,2,121,2,2,51308,mean,0
wavmark,2,121,2,2,51308,framing_cb,0
wavmark,2,121,2,2,24497,mean,0
wavmark,2,121,2,2,24497,framing_cb,0
wavmark,2,121,2,2,51564,mean,0
wavmark,2,121,2,2,51564,framing_cb,0
wavmark,2,121,2,2,57257,mean,0
wavmark,2,121,2,2,57257,framing_cb,0
wavmark,2,121,2,2,24547,mean,0
wavmark,2,121,2,2,24547,framing_cb,0
wavmark,2,121,2,2,35880,mean,0
wavmark,2,121,2,2,35880,framing_cb,0
wavmark,2,121,2,2,39084,mean,0
wavmark,2,121,2,2,39084,framing_cb,0
wavmark,2,121,2,2,40864,mean,0
wavmark,2,121,2,2,40864,framing_cb,0
wavmark,2,121,2,2,51816,mean,0
wavmark,2,121,2,2,51816,framing_cb,0
wavmark,2,121,2,2,56745,mean,0
wavmark,2,121,2,2,56745,framing_cb,0
wavmark,2,121,3,3,38897,mean,0
wavmark,2,121,3,3,38897,framing_cb,0
wavmark,2,121,3,3,37872,mean,0
wavmark,2,121,3,3,37872,framing_cb,0
wavmark,2,121,3,3,55178,mean,0
wavmark,2,121,3,3,55178,framing_cb,0
wavmark,2,121,3,3,37874,mean,0
wavmark,2,121,3,3,37874,framing_cb,0
wavmark,2,121,3,3,22154,mean,0
wavmark,2,121,3,3,22154,framing_cb,0
wavmark,2,121,3,3,63018,mean,0
wavmark,2,121,3,3,63018,framing_cb,0
wavmark,2,121,3,3,37345,mean,0
wavmark,2,121,3,3,37345,framing_cb,0
wavmark,2,121,3,3,41969,mean,0
wavmark,2,121,3,3,41969,framing_cb,0
wavmark,2,121,3,3,5113,mean,0
wavmark,2,121,3,3,5113,framing_cb,0
wavmark,2,121,3,3,63119,mean,0
wavmark,2,121,3,3,63119,framing_cb,0
wavmark,2,237,0,4,4531,mean,0
wavmark,2,237,0,4,4531,framing_cb,0
wavmark,2,237,0,4,12467,mean,0
wavmark,2,237,0,4,12467,framing_cb,0
wavmark,2,237,0,4,13107,mean,0
wavmark,2,237,0,4,13107,framing_cb,0
wavmark,2,237,0,4,19739,mean,0
wavmark,2,237,0,4,19739,framing_cb,0
wavmark,2,237,0,4,18193,mean,0
wavmark,2,237,0,4,18193,framing_cb,0
wavmark,2,237,0,4,28425,mean,0
wavmark,2,237,0,4,28425,framing_cb,0
wavmark,2,237,0,4,18969,mean,0
wavmark,2,237,0,4,18969,framing_cb,0
wavmark,2,237,0,4,19224,mean,0
wavmark,2,237,0,4,19224,framing_cb,0
wavmark,2,237,0,4,19289,mean,0
wavmark,2,237,0,4,19289,framing_cb,0
wavmark,2,237,0,4,2833,mean,0
wavmark,2,237,0,4,2833,framing_cb,0
wavmark,2,237,1,5,11125,mean,0
wavmark,2,237,1,5,11125,framing_cb,0
wavmark,2,237,1,5,55588,mean,0
wavmark,2,237,1,5,55588,framing_cb,0
wavmark,2,237,1,5,57604,mean,0
wavmark,2,237,1,5,57604,framing_cb,0
wavmark,2,237,1,5,26485,mean,0
wavmark,2,237,1,5,26485,framing_cb,0
wavmark,2,237,1,5,27501,mean,0
wavmark,2,237,1,5,27501,framing_cb,0
wavmark,2,237,1,5,39172,mean,0
wavmark,2,237,1,5,39172,framing_cb,0
wavmark,2,237,1,5,25444,mean,0
wavmark,2,237,1,5,25444,framing_cb,0
wavmark,2,237,1,5,59749,mean,0
wavmark,2,237,1,5,59749,framing_cb,0
wavmark,2,237,1,5,54276,mean,0
wavmark,2,237,1,5,54276,framing_cb,0
wavmark,2,237,1,5,24933,mean,0
wavmark,2,237,1,5,24933,framing_cb,0
wavmark,2,237,2,6,48945,mean,0
wavmark,2,237,2,6,48945,framing_cb,0
wavmark,2,237,2,6,15153,mean,0
wavmark,2,237,2,6,15153,framing_cb,0
wavmark,2,237,2,6,15664,mean,0
wavmark,2,237,2,6,15664,framing_cb,0
wavmark,2,237,2,6,15648,mean,0
wavmark,2,237,2,6,15648,framing_cb,0
wavmark,2,237,2,6,16165,mean,0
wavmark,2,237,2,6,16165,framing_cb,0
wavmark,2,237,2,6,16189,mean,0
wavmark,2,237,2,6,16189,framing_cb,0
wavmark,2,237,2,6,32073,mean,0
wavmark,2,237,2,6,32073,framing_cb,0
wavmark,2,237,2,6,47921,mean,0
wavmark,2,237,2,6,47921,framing_cb,0
wavmark,2,237,2,6,60776,mean,0
wavmark,2,237,2,6,60776,framing_cb,0
wavmark,2,237,2,6,13873,mean,0
wavmark,2,237,2,6,13873,framing_cb,0
wavmark,2,237,3,7,4646,mean,0
wavmark,2,237,3,7,4646,framing_cb,0
wavmark,2,237,3,7,6695,mean,0
wavmark,2,237,3,7,6695,framing_cb,0
wavmark,2,237,3,7,6710,mean,0
wavmark,2,237,3,7,6710,framing_cb,0
wavmark,2,237,3,7,55235,mean,0
wavmark,2,237,3,7,55235,framing_cb,0
wavmark,2,237,3,7,22208,mean,0
wavmark,2,237,3,7,22208,framing_cb,0
wavmark,2,237,3,7,22490,mean,0
wavmark,2,237,3,7,22490,framing_cb,0
wavmark,2,237,3,7,56070,mean,0
wavmark,2,237,3,7,56070,framing_cb,0
wavmark,2,237,3,7,39471,mean,0
wavmark,2,237,3,7,39471,framing_cb,0
wavmark,2,237,3,7,57126,mean,0
wavmark,2,237,3,7,57126,framing_cb,0
wavmark,2,237,3,7,6818,mean,0
wavmark,2,237,3,7,6818,framing_cb,0
wavmark,2,260,0,8,50041,mean,0
wavmark,2,260,0,8,50041,framing_cb,0
wavmark,2,260,0,8,15206,mean,0
wavmark,2,260,0,8,15206,framing_cb,0
wavmark,2,260,0,8,49969,mean,0
wavmark,2,260,0,8,49969,framing_cb,0
wavmark,2,260,0,8,43894,mean,0
wavmark,2,260,0,8,43894,framing_cb,0
wavmark,2,260,0,8,60262,mean,0
wavmark,2,260,0,8,60262,framing_cb,0
wavmark,2,260,0,8,2932,mean,0
wavmark,2,260,0,8,2932,framing_cb,0
wavmark,2,260,0,8,27505,mean,0
wavmark,2,260,0,8,27505,framing_cb,0
wavmark,2,260,0,8,52084,mean,0
wavmark,2,260,0,8,52084,framing_cb,0
wavmark,2,260,0,8,52070,mean,0
wavmark,2,260,0,8,52070,framing_cb,0
wavmark,2,260,0,8,17248,mean,0
wavmark,2,260,0,8,17248,framing_cb,0
wavmark,2,260,1,9,64665,mean,0
wavmark,2,260,1,9,64665,framing_cb,0
wavmark,2,260,1,9,37680,mean,0
wavmark,2,260,1,9,37680,framing_cb,0
wavmark,2,260,1,9,5041,mean,0
wavmark,2,260,1,9,5041,framing_cb,0
wavmark,2,260,1,9,29721,mean,0
wavmark,2,260,1,9,29721,framing_cb,0
wavmark,2,260,1,9,38689,mean,0
wavmark,2,260,1,9,38689,framing_cb,0
wavmark,2,260,1,9,15577,mean,0
wavmark,2,260,1,9,15577,framing_cb,0
wavmark,2,260,1,9,4977,mean,0
wavmark,2,260,1,9,4977,framing_cb,0
wavmark,2,260,1,9,37667,mean,0
wavmark,2,260,1,9,37667,framing_cb,0
wavmark,2,260,1,9,15377,mean,0
wavmark,2,260,1,9,15377,framing_cb,0
wavmark,2,260,1,9,54201,mean,0
wavmark,2,260,1,9,54201,framing_cb,0
wavmark,2,260,2,10,43805,mean,0
wavmark,2,260,2,10,43805,framing_cb,0
wavmark,2,260,2,10,60365,mean,0
wavmark,2,260,2,10,60365,framing_cb,0
wavmark,2,260,2,10,59949,mean,0
wavmark,2,260,2,10,59949,framing_cb,0
wavmark,2,260,2,10,60061,mean,0
wavmark,2,260,2,10,60061,framing_cb,0
wavmark,2,260,2,10,64492,mean,0
wavmark,2,260,2,10,64492,framing_cb,0
wavmark,2,260,2,10,47932,mean,0
wavmark,2,260,2,10,47932,framing_cb,0
wavmark,2,260,2,10,60172,mean,0
wavmark,2,260,2,10,60172,framing_cb,0
wavmark,2,260,2,10,41981,mean,0
wavmark,2,260,2,10,41981,framing_cb,0
wavmark,2,260,2,10,35807,mean,0
wavmark,2,260,2,10,35807,framing_cb,0
wavmark,2,260,2,10,43548,mean,0
wavmark,2,260,2,10,43548,framing_cb,0
wavmark,2,260,3,11,25153,mean,0
wavmark,2,260,3,11,25153,framing_cb,0
wavmark,2,260,3,11,21755,mean,0
wavmark,2,260,3,11,21755,framing_cb,0
wavmark,2,260,3,11,22266,mean,0
wavmark,2,260,3,11,22266,framing_cb,0
wavmark,2,260,3,11,25203,mean,0
wavmark,2,260,3,11,25203,framing_cb,0
wavmark,2,260,3,11,7386,mean,0
wavmark,2,260,3,11,7386,framing_cb,0
wavmark,2,260,3,11,5298,mean,0
wavmark,2,260,3,11,5298,framing_cb,0
wavmark,2,260,3,11,1210,mean,0
wavmark,2,260,3,11,1210,framing_cb,0
wavmark,2,260,3,11,25137,mean,0
wavmark,2,260,3,11,25137,framing_cb,0
wavmark,2,260,3,11,5630,mean,0
wavmark,2,260,3,11,5630,framing_cb,0
wavmark,2,260,3,11,21624,mean,0
wavmark,2,260,3,11,21624,framing_cb,0
wavmark,2,672,0,12,35184,mean,0
wavmark,2,672,0,12,35184,framing_cb,0
wavmark,2,672,0,12,56688,mean,0
wavmark,2,672,0,12,56688,framing_cb,0
wavmark,2,672,0,12,36208,mean,0
wavmark,2,672,0,12,36208,framing_cb,0
wavmark,2,672,0,12,54512,mean,0
wavmark,2,672,0,12,54512,framing_cb,0
wavmark,2,672,0,12,52088,mean,0
wavmark,2,672,0,12,52088,framing_cb,0
wavmark,2,672,0,12,53745,mean,0
wavmark,2,672,0,12,53745,framing_cb,0
wavmark,2,672,0,12,50546,mean,0
wavmark,2,672,0,12,50546,framing_cb,0
wavmark,2,672,0,12,60912,mean,0
wavmark,2,672,0,12,60912,framing_cb,0
wavmark,2,672,0,12,24048,mean,0
wavmark,2,672,0,12,24048,framing_cb,0
wavmark,2,672,0,12,2384,mean,0
wavmark,2,672,0,12,2384,framing_cb,0
wavmark,2,672,1,13,46574,mean,0
wavmark,2,672,1,13,46574,framing_cb,0
wavmark,2,672,1,13,8252,mean,0
wavmark,2,672,1,13,8252,framing_cb,0
wavmark,2,672,1,13,42094,mean,0
wavmark,2,672,1,13,42094,framing_cb,0
wavmark,2,672,1,13,62574,mean,0
wavmark,2,672,1,13,62574,framing_cb,0
wavmark,2,672,1,13,27964,mean,0
wavmark,2,672,1,13,27964,framing_cb,0
wavmark,2,672,1,13,46302,mean,0
wavmark,2,672,1,13,46302,framing_cb,0
wavmark,2,672,1,13,18476,mean,0
wavmark,2,672,1,13,18476,framing_cb,0
wavmark,2,672,1,13,30748,mean,0
wavmark,2,672,1,13,30748,framing_cb,0
wavmark,2,672,1,13,26813,mean,0
wavmark,2,672,1,13,26813,framing_cb,0
