model,K,spk,local_t,gi,target,method,target_top1
audioseal,5,chinese:SSB0005,0,0,36412,mean,0
audioseal,5,chinese:SSB0005,0,0,36412,tct,0
audioseal,5,chinese:SSB0005,0,0,38510,mean,0
audioseal,5,chinese:SSB0005,0,0,38510,tct,0
audioseal,5,chinese:SSB0005,0,0,53627,mean,0
audioseal,5,chinese:SSB0005,0,0,53627,tct,0
audioseal,5,chinese:SSB0005,0,0,7618,mean,0
audioseal,5,chinese:SSB0005,0,0,7618,tct,0
audioseal,5,chinese:SSB0005,0,0,14548,mean,0
audioseal,5,chinese:SSB0005,0,0,14548,tct,0
audioseal,5,chinese:SSB0005,0,0,50257,mean,0
audioseal,5,chinese:SSB0005,0,0,50257,tct,0
audioseal,5,chinese:SSB0005,0,0,28529,mean,0
audioseal,5,chinese:SSB0005,0,0,28529,tct,0
audioseal,5,chinese:SSB0005,0,0,47746,mean,0
audioseal,5,chinese:SSB0005,0,0,47746,tct,0
audioseal,5,chinese:SSB0005,0,0,60548,mean,0
audioseal,5,chinese:SSB0005,0,0,60548,tct,0
audioseal,5,chinese:SSB0005,0,0,38834,mean,0
audioseal,5,chinese:SSB0005,0,0,38834,tct,0
audioseal,5,chinese:SSB0005,1,1,43261,mean,0
audioseal,5,chinese:SSB0005,1,1,43261,tct,0
audioseal,5,chinese:SSB0005,1,1,39281,mean,0
audioseal,5,chinese:SSB0005,1,1,39281,tct,0
audioseal,5,chinese:SSB0005,1,1,24974,mean,0
audioseal,5,chinese:SSB0005,1,1,24974,tct,0
audioseal,5,chinese:SSB0005,1,1,34291,mean,0
audioseal,5,chinese:SSB0005,1,1,34291,tct,0
audioseal,5,chinese:SSB0005,1,1,28308,mean,0
audioseal,5,chinese:SSB0005,1,1,28308,tct,0
audioseal,5,chinese:SSB0005,1,1,53336,mean,0
audioseal,5,chinese:SSB0005,1,1,53336,tct,0
audioseal,5,chinese:SSB0005,1,1,52370,mean,0
audioseal,5,chinese:SSB0005,1,1,52370,tct,0
audioseal,5,chinese:SSB0005,1,1,24894,mean,0
audioseal,5,chinese:SSB0005,1,1,24894,tct,0
audioseal,5,chinese:SSB0005,1,1,18379,mean,0
audioseal,5,chinese:SSB0005,1,1,18379,tct,0
audioseal,5,chinese:SSB0005,1,1,8061,mean,0
audioseal,5,chinese:SSB0005,1,1,8061,tct,0
audioseal,5,chinese:SSB0005,2,2,48691,mean,0
audioseal,5,chinese:SSB0005,2,2,48691,tct,0
audioseal,5,chinese:SSB0005,2,2,64359,mean,0
audioseal,5,chinese:SSB0005,2,2,64359,tct,0
audioseal,5,chinese:SSB0005,2,2,36107,mean,0
audioseal,5,chinese:SSB0005,2,2,36107,tct,0
audioseal,5,chinese:SSB0005,2,2,28228,mean,0
audioseal,5,chinese:SSB0005,2,2,28228,tct,0
audioseal,5,chinese:SSB0005,2,2,24440,mean,0
audioseal,5,chinese:SSB0005,2,2,24440,tct,0
audioseal,5,chinese:SSB0005,2,2,27014,mean,0
audioseal,5,chinese:SSB0005,2,2,27014,tct,0
audioseal,5,chinese:SSB0005,2,2,52931,mean,0
audioseal,5,chinese:SSB0005,2,2,52931,tct,0
audioseal,5,chinese:SSB0005,2,2,14014,mean,0
audioseal,5,chinese:SSB0005,2,2,14014,tct,0
audioseal,5,chinese:SSB0005,2,2,38534,mean,0
audioseal,5,chinese:SSB0005,2,2,38534,tct,0
audioseal,5,chinese:SSB0005,2,2,51366,mean,0
audioseal,5,chinese:SSB0005,2,2,51366,tct,0
audioseal,5,chinese:SSB0009,0,3,31580,mean,0
audioseal,5,chinese:SSB0009,0,3,31580,tct,0
audioseal,5,chinese:SSB0009,0,3,54202,mean,0
audioseal,5,chinese:SSB0009,0,3,54202,tct,0
audioseal,5,chinese:SSB0009,0,3,62993,mean,0
audioseal,5,chinese:SSB0009,0,3,62993,tct,0
audioseal,5,chinese:SSB0009,0,3,33035,mean,0
audioseal,5,chinese:SSB0009,0,3,33035,tct,0
audioseal,5,chinese:SSB0009,0,3,22093,mean,0
audioseal,5,chinese:SSB0009,0,3,22093,tct,0
audioseal,5,chinese:SSB0009,0,3,19308,mean,0
audioseal,5,chinese:SSB0009,0,3,19308,tct,0
audioseal,5,chinese:SSB0009,0,3,22269,mean,0
audioseal,5,chinese:SSB0009,0,3,22269,tct,0
audioseal,5,chinese:SSB0009,0,3,27705,mean,0
audioseal,5,chinese:SSB0009,0,3,27705,tct,0
audioseal,5,chinese:SSB0009,0,3,33357,mean,0
audioseal,5,chinese:SSB0009,0,3,33357,tct,0
audioseal,5,chinese:SSB0009,0,3,20246,mean,0
audioseal,5,chinese:SSB0009,0,3,20246,tct,0
audioseal,5,chinese:SSB0009,1,4,15043,mean,0
audioseal,5,chinese:SSB0009,1,4,15043,tct,0
audioseal,5,chinese:SSB0009,1,4,4361,mean,0
audioseal,5,chinese:SSB0009,1,4,4361,tct,0
audioseal,5,chinese:SSB0009,1,4,14555,mean,0
audioseal,5,chinese:SSB0009,1,4,14555,tct,0
audioseal,5,chinese:SSB0009,1,4,52539,mean,0
audioseal,5,chinese:SSB0009,1,4,52539,tct,0
audioseal,5,chinese:SSB0009,1,4,54951,mean,0
audioseal,5,chinese:SSB0009,1,4,54951,tct,0
audioseal,5,chinese:SSB0009,1,4,60714,mean,0
audioseal,5,chinese:SSB0009,1,4,60714,tct,0
audioseal,5,chinese:SSB0009,1,4,17325,mean,0
audioseal,5,chinese:SSB0009,1,4,17325,tct,0
audioseal,5,chinese:SSB0009,1,4,56212,mean,0
audioseal,5,chinese:SSB0009,1,4,56212,tct,0
audioseal,5,chinese:SSB0009,1,4,56109,mean,0
