model,K,spk,local_t,gi,target,method,target_top1
timbrewm,5,chinese:SSB0005,0,0,565,mean,0
timbrewm,5,chinese:SSB0005,0,0,565,tct,0
timbrewm,5,chinese:SSB0005,0,0,595,mean,0
timbrewm,5,chinese:SSB0005,0,0,595,tct,0
timbrewm,5,chinese:SSB0005,0,0,836,mean,0
timbrewm,5,chinese:SSB0005,0,0,836,tct,0
timbrewm,5,chinese:SSB0005,0,0,118,mean,0
timbrewm,5,chinese:SSB0005,0,0,118,tct,0
timbrewm,5,chinese:SSB0005,0,0,224,mean,0
timbrewm,5,chinese:SSB0005,0,0,224,tct,0
timbrewm,5,chinese:SSB0005,0,0,778,mean,0
timbrewm,5,chinese:SSB0005,0,0,778,tct,0
timbrewm,5,chinese:SSB0005,0,0,442,mean,0
timbrewm,5,chinese:SSB0005,0,0,442,tct,0
timbrewm,5,chinese:SSB0005,0,0,739,mean,0
timbrewm,5,chinese:SSB0005,0,0,739,tct,0
timbrewm,5,chinese:SSB0005,0,0,937,mean,0
timbrewm,5,chinese:SSB0005,0,0,937,tct,0
timbrewm,5,chinese:SSB0005,0,0,601,mean,0
timbrewm,5,chinese:SSB0005,0,0,601,tct,0
timbrewm,5,chinese:SSB0005,1,1,673,mean,0
timbrewm,5,chinese:SSB0005,1,1,673,tct,0
timbrewm,5,chinese:SSB0005,1,1,610,mean,0
timbrewm,5,chinese:SSB0005,1,1,610,tct,0
timbrewm,5,chinese:SSB0005,1,1,389,mean,0
timbrewm,5,chinese:SSB0005,1,1,389,tct,0
timbrewm,5,chinese:SSB0005,1,1,532,mean,0
timbrewm,5,chinese:SSB0005,1,1,532,tct,0
timbrewm,5,chinese:SSB0005,1,1,440,mean,0
timbrewm,5,chinese:SSB0005,1,1,440,tct,0
timbrewm,5,chinese:SSB0005,1,1,827,mean,0
timbrewm,5,chinese:SSB0005,1,1,827,tct,0
timbrewm,5,chinese:SSB0005,1,1,816,mean,0
timbrewm,5,chinese:SSB0005,1,1,816,tct,0
timbrewm,5,chinese:SSB0005,1,1,386,mean,0
timbrewm,5,chinese:SSB0005,1,1,386,tct,0
timbrewm,5,chinese:SSB0005,1,1,286,mean,0
timbrewm,5,chinese:SSB0005,1,1,286,tct,0
timbrewm,5,chinese:SSB0005,1,1,125,mean,0
timbrewm,5,chinese:SSB0005,1,1,125,tct,0
timbrewm,5,chinese:SSB0005,2,2,755,mean,0
timbrewm,5,chinese:SSB0005,2,2,755,tct,0
timbrewm,5,chinese:SSB0005,2,2,998,mean,0
timbrewm,5,chinese:SSB0005,2,2,998,tct,0
timbrewm,5,chinese:SSB0005,2,2,558,mean,0
timbrewm,5,chinese:SSB0005,2,2,558,tct,0
timbrewm,5,chinese:SSB0005,2,2,437,mean,0
timbrewm,5,chinese:SSB0005,2,2,437,tct,0
timbrewm,5,chinese:SSB0005,2,2,379,mean,0
timbrewm,5,chinese:SSB0005,2,2,379,tct,0
timbrewm,5,chinese:SSB0005,2,2,421,mean,0
timbrewm,5,chinese:SSB0005,2,2,421,tct,0
timbrewm,5,chinese:SSB0005,2,2,824,mean,0
timbrewm,5,chinese:SSB0005,2,2,824,tct,0
timbrewm,5,chinese:SSB0005,2,2,217,mean,0
timbrewm,5,chinese:SSB0005,2,2,217,tct,0
timbrewm,5,chinese:SSB0005,2,2,598,mean,0
timbrewm,5,chinese:SSB0005,2,2,598,tct,0
timbrewm,5,chinese:SSB0005,2,2,800,mean,0
timbrewm,5,chinese:SSB0005,2,2,800,tct,0
timbrewm,5,chinese:SSB0009,0,3,490,mean,0
timbrewm,5,chinese:SSB0009,0,3,490,tct,0
timbrewm,5,chinese:SSB0009,0,3,841,mean,0
timbrewm,5,chinese:SSB0009,0,3,841,tct,0
timbrewm,5,chinese:SSB0009,0,3,980,mean,0
timbrewm,5,chinese:SSB0009,0,3,980,tct,0
timbrewm,5,chinese:SSB0009,0,3,515,mean,0
timbrewm,5,chinese:SSB0009,0,3,515,tct,0
timbrewm,5,chinese:SSB0009,0,3,343,mean,0
timbrewm,5,chinese:SSB0009,0,3,343,tct,0
timbrewm,5,chinese:SSB0009,0,3,298,mean,0
timbrewm,5,chinese:SSB0009,0,3,298,tct,0
timbrewm,5,chinese:SSB0009,0,3,346,mean,0
timbrewm,5,chinese:SSB0009,0,3,346,tct,0
timbrewm,5,chinese:SSB0009,0,3,429,mean,0
timbrewm,5,chinese:SSB0009,0,3,429,tct,0
timbrewm,5,chinese:SSB0009,0,3,520,mean,0
timbrewm,5,chinese:SSB0009,0,3,520,tct,0
timbrewm,5,chinese:SSB0009,0,3,313,mean,0
timbrewm,5,chinese:SSB0009,0,3,313,tct,0
timbrewm,5,chinese:SSB0009,1,4,234,mean,0
timbrewm,5,chinese:SSB0009,1,4,234,tct,0
timbrewm,5,chinese:SSB0009,1,4,68,mean,0
timbrewm,5,chinese:SSB0009,1,4,68,tct,0
timbrewm,5,chinese:SSB0009,1,4,226,mean,0
timbrewm,5,chinese:SSB0009,1,4,226,tct,0
timbrewm,5,chinese:SSB0009,1,4,813,mean,0
timbrewm,5,chinese:SSB0009,1,4,813,tct,0
timbrewm,5,chinese:SSB0009,1,4,855,mean,0
timbrewm,5,chinese:SSB0009,1,4,855,tct,0
timbrewm,5,chinese:SSB0009,1,4,946,mean,0
timbrewm,5,chinese:SSB0009,1,4,946,tct,0
timbrewm,5,chinese:SSB0009,1,4,269,mean,0
timbrewm,5,chinese:SSB0009,1,4,269,tct,0
timbrewm,5,chinese:SSB0009,1,4,879,mean,0
timbrewm,5,chinese:SSB0009,1,4,879,tct,0
timbrewm,5,chinese:SSB0009,1,4,870,mean,0
timbrewm,5,chinese:SSB0009,1,4,870,tct,0
timbrewm,5,chinese:SSB0009,1,4,832,mean,0
timbrewm,5,chinese:SSB0009,1,4,832,tct,0
timbrewm,5,chinese:SSB0009,2,5,81,mean,0
timbrewm,5,chinese:SSB0009,2,5,81,tct,0
timbrewm,5,chinese:SSB0009,2,5,0,mean,0
timbrewm,5,chinese:SSB0009,2,5,0,tct,0
timbrewm,5,chinese:SSB0009,2,5,607,mean,0
timbrewm,5,chinese:SSB0009,2,5,607,tct,1
timbrewm,5,chinese:SSB0009,2,5,469,mean,0
timbrewm,5,chinese:SSB0009,2,5,469,tct,0
timbrewm,5,chinese:SSB0009,2,5,819,mean,0
timbrewm,5,chinese:SSB0009,2,5,819,tct,0
timbrewm,5,chinese:SSB0009,2,5,294,mean,0
timbrewm,5,chinese:SSB0009,2,5,294,tct,0
timbrewm,5,chinese:SSB0009,2,5,216,mean,0
timbrewm,5,chinese:SSB0009,2,5,216,tct,0
timbrewm,5,chinese:SSB0009,2,5,648,mean,0
timbrewm,5,chinese:SSB0009,2,5,648,tct,0
timbrewm,5,chinese:SSB0009,2,5,323,mean,0
timbrewm,5,chinese:SSB0009,2,5,323,tct,0
timbrewm,5,chinese:SSB0009,2,5,91,mean,0
timbrewm,5,chinese:SSB0009,2,5,91,tct,0
timbrewm,5,chinese:SSB0011,0,6,352,mean,0
timbrewm,5,chinese:SSB0011,0,6,352,tct,0
timbrewm,5,chinese:SSB0011,0,6,765,mean,0
timbrewm,5,chinese:SSB0011,0,6,765,tct,0
timbrewm,5,chinese:SSB0011,0,6,510,mean,0
timbrewm,5,chinese:SSB0011,0,6,510,tct,0
timbrewm,5,chinese:SSB0011,0,6,220,mean,0
timbrewm,5,chinese:SSB0011,0,6,220,tct,0
timbrewm,5,chinese:SSB0011,0,6,715,mean,0
timbrewm,5,chinese:SSB0011,0,6,715,tct,0
timbrewm,5,chinese:SSB0011,0,6,763,mean,0
timbrewm,5,chinese:SSB0011,0,6,763,tct,0
timbrewm,5,chinese:SSB0011,0,6,1022,mean,0
timbrewm,5,chinese:SSB0011,0,6,1022,tct,0
timbrewm,5,chinese:SSB0011,0,6,781,mean,0
timbrewm,5,chinese:SSB0011,0,6,781,tct,0
timbrewm,5,chinese:SSB0011,0,6,456,mean,0
timbrewm,5,chinese:SSB0011,0,6,456,tct,0
timbrewm,5,chinese:SSB0011,0,6,803,mean,0
timbrewm,5,chinese:SSB0011,0,6,803,tct,0
timbrewm,5,chinese:SSB0011,1,7,142,mean,0
timbrewm,5,chinese:SSB0011,1,7,142,tct,0
timbrewm,5,chinese:SSB0011,1,7,223,mean,0
timbrewm,5,chinese:SSB0011,1,7,223,tct,0
timbrewm,5,chinese:SSB0011,1,7,838,mean,0
timbrewm,5,chinese:SSB0011,1,7,838,tct,0
timbrewm,5,chinese:SSB0011,1,7,530,mean,0
timbrewm,5,chinese:SSB0011,1,7,530,tct,0
timbrewm,5,chinese:SSB0011,1,7,103,mean,0
timbrewm,5,chinese:SSB0011,1,7,103,tct,0
timbrewm,5,chinese:SSB0011,1,7,720,mean,0
timbrewm,5,chinese:SSB0011,1,7,720,tct,0
timbrewm,5,chinese:SSB0011,1,7,749,mean,0
timbrewm,5,chinese:SSB0011,1,7,749,tct,0
timbrewm,5,chinese:SSB0011,1,7,567,mean,0
timbrewm,5,chinese:SSB0011,1,7,567,tct,1
timbrewm,5,chinese:SSB0011,1,7,307,mean,0
timbrewm,5,chinese:SSB0011,1,7,307,tct,0
timbrewm,5,chinese:SSB0011,1,7,600,mean,0
timbrewm,5,chinese:SSB0011,1,7,600,tct,0
timbrewm,5,chinese:SSB0011,2,8,968,mean,0
timbrewm,5,chinese:SSB0011,2,8,968,tct,0
timbrewm,5,chinese:SSB0011,2,8,817,mean,0
timbrewm,5,chinese:SSB0011,2,8,817,tct,0
timbrewm,5,chinese:SSB0011,2,8,408,mean,0
timbrewm,5,chinese:SSB0011,2,8,408,tct,0
timbrewm,5,chinese:SSB0011,2,8,226,mean,0
timbrewm,5,chinese:SSB0011,2,8,226,tct,0
timbrewm,5,chinese:SSB0011,2,8,376,mean,0
timbrewm,5,chinese:SSB0011,2,8,376,tct,0
timbrewm,5,chinese:SSB0011,2,8,324,mean,0
timbrewm,5,chinese:SSB0011,2,8,324,tct,0
timbrewm,5,chinese:SSB0011,2,8,812,mean,0
timbrewm,5,chinese:SSB0011,2,8,812,tct,0
timbrewm,5,chinese:SSB0011,2,8,216,mean,0
timbrewm,5,chinese:SSB0011,2,8,216,tct,0
timbrewm,5,chinese:SSB0011,2,8,540,mean,0
timbrewm,5,chinese:SSB0011,2,8,540,tct,0
timbrewm,5,chinese:SSB0011,2,8,2,mean,0
timbrewm,5,chinese:SSB0011,2,8,2,tct,0
timbrewm,5,chinese:SSB0012,0,9,497,mean,0
timbrewm,5,chinese:SSB0012,0,9,497,tct,0
timbrewm,5,chinese:SSB0012,0,9,398,mean,0
timbrewm,5,chinese:SSB0012,0,9,398,tct,0
timbrewm,5,chinese:SSB0012,0,9,264,mean,0
timbrewm,5,chinese:SSB0012,0,9,264,tct,0
timbrewm,5,chinese:SSB0012,0,9,455,mean,0
timbrewm,5,chinese:SSB0012,0,9,455,tct,0
timbrewm,5,chinese:SSB0012,0,9,565,mean,0
timbrewm,5,chinese:SSB0012,0,9,565,tct,0
timbrewm,5,chinese:SSB0012,0,9,549,mean,0
timbrewm,5,chinese:SSB0012,0,9,549,tct,0
timbrewm,5,chinese:SSB0012,0,9,747,mean,0
timbrewm,5,chinese:SSB0012,0,9,747,tct,0
timbrewm,5,chinese:SSB0012,0,9,959,mean,0
timbrewm,5,chinese:SSB0012,0,9,959,tct,0
timbrewm,5,chinese:SSB0012,0,9,493,mean,0
timbrewm,5,chinese:SSB0012,0,9,493,tct,0
timbrewm,5,chinese:SSB0012,0,9,500,mean,0
timbrewm,5,chinese:SSB0012,0,9,500,tct,0
timbrewm,5,chinese:SSB0012,1,10,334,mean,0
timbrewm,5,chinese:SSB0012,1,10,334,tct,0
timbrewm,5,chinese:SSB0012,1,10,806,mean,0
timbrewm,5,chinese:SSB0012,1,10,806,tct,0
timbrewm,5,chinese:SSB0012,1,10,858,mean,0
timbrewm,5,chinese:SSB0012,1,10,858,tct,0
timbrewm,5,chinese:SSB0012,1,10,169,mean,0
timbrewm,5,chinese:SSB0012,1,10,169,tct,0
timbrewm,5,chinese:SSB0012,1,10,864,mean,0
timbrewm,5,chinese:SSB0012,1,10,864,tct,0
timbrewm,5,chinese:SSB0012,1,10,261,mean,0
timbrewm,5,chinese:SSB0012,1,10,261,tct,0
timbrewm,5,chinese:SSB0012,1,10,490,mean,0
timbrewm,5,chinese:SSB0012,1,10,490,tct,0
timbrewm,5,chinese:SSB0012,1,10,243,mean,0
timbrewm,5,chinese:SSB0012,1,10,243,tct,0
timbrewm,5,chinese:SSB0012,1,10,502,mean,0
timbrewm,5,chinese:SSB0012,1,10,502,tct,0
timbrewm,5,chinese:SSB0012,1,10,192,mean,0
timbrewm,5,chinese:SSB0012,1,10,192,tct,0
timbrewm,5,chinese:SSB0012,2,11,601,mean,0
timbrewm,5,chinese:SSB0012,2,11,601,tct,0
timbrewm,5,chinese:SSB0012,2,11,559,mean,0
timbrewm,5,chinese:SSB0012,2,11,559,tct,0
timbrewm,5,chinese:SSB0012,2,11,132,mean,0
timbrewm,5,chinese:SSB0012,2,11,132,tct,0
timbrewm,5,chinese:SSB0012,2,11,435,mean,0
timbrewm,5,chinese:SSB0012,2,11,435,tct,0
timbrewm,5,chinese:SSB0012,2,11,685,mean,0
timbrewm,5,chinese:SSB0012,2,11,685,tct,0
timbrewm,5,chinese:SSB0012,2,11,968,mean,0
timbrewm,5,chinese:SSB0012,2,11,968,tct,0
