model,K,spk,local_t,gi,target,method,target_top1
wavmark,8,chinese:SSB0005,0,0,46804,mean,0
wavmark,8,chinese:SSB0005,0,0,46804,tct,0
wavmark,8,chinese:SSB0005,0,0,20674,mean,0
wavmark,8,chinese:SSB0005,0,0,20674,tct,0
wavmark,8,chinese:SSB0005,0,0,45060,mean,0
wavmark,8,chinese:SSB0005,0,0,45060,tct,0
wavmark,8,chinese:SSB0005,0,0,7545,mean,0
wavmark,8,chinese:SSB0005,0,0,7545,tct,0
wavmark,8,chinese:SSB0005,0,0,36853,mean,0
wavmark,8,chinese:SSB0005,0,0,36853,tct,0
wavmark,8,chinese:SSB0005,0,0,5823,mean,0
wavmark,8,chinese:SSB0005,0,0,5823,tct,0
wavmark,8,chinese:SSB0005,0,0,63192,mean,0
wavmark,8,chinese:SSB0005,0,0,63192,tct,0
wavmark,8,chinese:SSB0005,0,0,25,mean,0
wavmark,8,chinese:SSB0005,0,0,25,tct,0
wavmark,8,chinese:SSB0005,0,0,58489,mean,0
wavmark,8,chinese:SSB0005,0,0,58489,tct,0
wavmark,8,chinese:SSB0005,0,0,55066,mean,0
wavmark,8,chinese:SSB0005,0,0,55066,tct,0
wavmark,8,chinese:SSB0005,1,1,6605,mean,0
wavmark,8,chinese:SSB0005,1,1,6605,tct,0
wavmark,8,chinese:SSB0005,1,1,21540,mean,0
wavmark,8,chinese:SSB0005,1,1,21540,tct,0
wavmark,8,chinese:SSB0005,1,1,39176,mean,0
wavmark,8,chinese:SSB0005,1,1,39176,tct,0
wavmark,8,chinese:SSB0005,1,1,9706,mean,0
wavmark,8,chinese:SSB0005,1,1,9706,tct,0
wavmark,8,chinese:SSB0005,1,1,50141,mean,0
wavmark,8,chinese:SSB0005,1,1,50141,tct,0
wavmark,8,chinese:SSB0005,1,1,63116,mean,0
wavmark,8,chinese:SSB0005,1,1,63116,tct,0
wavmark,8,chinese:SSB0005,1,1,42419,mean,0
wavmark,8,chinese:SSB0005,1,1,42419,tct,0
wavmark,8,chinese:SSB0005,1,1,11247,mean,0
wavmark,8,chinese:SSB0005,1,1,11247,tct,0
wavmark,8,chinese:SSB0005,1,1,29954,mean,0
wavmark,8,chinese:SSB0005,1,1,29954,tct,0
wavmark,8,chinese:SSB0005,1,1,10055,mean,0
wavmark,8,chinese:SSB0005,1,1,10055,tct,0
wavmark,8,chinese:SSB0005,2,2,20565,mean,0
wavmark,8,chinese:SSB0005,2,2,20565,tct,0
wavmark,8,chinese:SSB0005,2,2,57814,mean,0
wavmark,8,chinese:SSB0005,2,2,57814,tct,0
wavmark,8,chinese:SSB0005,2,2,13741,mean,0
wavmark,8,chinese:SSB0005,2,2,13741,tct,0
wavmark,8,chinese:SSB0005,2,2,61625,mean,0
wavmark,8,chinese:SSB0005,2,2,61625,tct,0
wavmark,8,chinese:SSB0005,2,2,36056,mean,0
wavmark,8,chinese:SSB0005,2,2,36056,tct,0
wavmark,8,chinese:SSB0005,2,2,22880,mean,0
wavmark,8,chinese:SSB0005,2,2,22880,tct,0
wavmark,8,chinese:SSB0005,2,2,18328,mean,0
wavmark,8,chinese:SSB0005,2,2,18328,tct,0
wavmark,8,chinese:SSB0005,2,2,9350,mean,0
wavmark,8,chinese:SSB0005,2,2,9350,tct,0
wavmark,8,chinese:SSB0005,2,2,39260,mean,0
wavmark,8,chinese:SSB0005,2,2,39260,tct,0
wavmark,8,chinese:SSB0005,2,2,33058,mean,0
wavmark,8,chinese:SSB0005,2,2,33058,tct,0
wavmark,8,chinese:SSB0009,0,3,19614,mean,0
wavmark,8,chinese:SSB0009,0,3,19614,tct,0
wavmark,8,chinese:SSB0009,0,3,26865,mean,0
wavmark,8,chinese:SSB0009,0,3,26865,tct,0
wavmark,8,chinese:SSB0009,0,3,63252,mean,0
wavmark,8,chinese:SSB0009,0,3,63252,tct,0
wavmark,8,chinese:SSB0009,0,3,56232,mean,0
wavmark,8,chinese:SSB0009,0,3,56232,tct,0
wavmark,8,chinese:SSB0009,0,3,41506,mean,0
wavmark,8,chinese:SSB0009,0,3,41506,tct,0
wavmark,8,chinese:SSB0009,0,3,57178,mean,0
wavmark,8,chinese:SSB0009,0,3,57178,tct,0
wavmark,8,chinese:SSB0009,0,3,25545,mean,0
wavmark,8,chinese:SSB0009,0,3,25545,tct,0
wavmark,8,chinese:SSB0009,0,3,54795,mean,0
wavmark,8,chinese:SSB0009,0,3,54795,tct,0
wavmark,8,chinese:SSB0009,0,3,2474,mean,0
wavmark,8,chinese:SSB0009,0,3,2474,tct,0
wavmark,8,chinese:SSB0009,0,3,42196,mean,0
wavmark,8,chinese:SSB0009,0,3,42196,tct,0
wavmark,8,chinese:SSB0009,1,4,28446,mean,0
wavmark,8,chinese:SSB0009,1,4,28446,tct,0
wavmark,8,chinese:SSB0009,1,4,14933,mean,0
wavmark,8,chinese:SSB0009,1,4,14933,tct,0
wavmark,8,chinese:SSB0009,1,4,31737,mean,0
wavmark,8,chinese:SSB0009,1,4,31737,tct,0
wavmark,8,chinese:SSB0009,1,4,38256,mean,0
wavmark,8,chinese:SSB0009,1,4,38256,tct,0
wavmark,8,chinese:SSB0009,1,4,17342,mean,0
wavmark,8,chinese:SSB0009,1,4,17342,tct,0
wavmark,8,chinese:SSB0009,1,4,32671,mean,0
wavmark,8,chinese:SSB0009,1,4,32671,tct,0
wavmark,8,chinese:SSB0009,1,4,946,mean,0
wavmark,8,chinese:SSB0009,1,4,946,tct,0
wavmark,8,chinese:SSB0009,1,4,43151,mean,0
wavmark,8,chinese:SSB0009,1,4,43151,tct,0
wavmark,8,chinese:SSB0009,1,4,12227,mean,0
wavmark,8,chinese:SSB0009,1,4,12227,tct,0
wavmark,8,chinese:SSB0009,1,4,26015,mean,0
wavmark,8,chinese:SSB0009,1,4,26015,tct,0
wavmark,8,chinese:SSB0009,2,5,53316,mean,0
wavmark,8,chinese:SSB0009,2,5,53316,tct,0
wavmark,8,chinese:SSB0009,2,5,37357,mean,0
wavmark,8,chinese:SSB0009,2,5,37357,tct,0
wavmark,8,chinese:SSB0009,2,5,4640,mean,0
wavmark,8,chinese:SSB0009,2,5,4640,tct,0
wavmark,8,chinese:SSB0009,2,5,56600,mean,0
wavmark,8,chinese:SSB0009,2,5,56600,tct,0
wavmark,8,chinese:SSB0009,2,5,55307,mean,0
wavmark,8,chinese:SSB0009,2,5,55307,tct,0
wavmark,8,chinese:SSB0009,2,5,59533,mean,0
wavmark,8,chinese:SSB0009,2,5,59533,tct,0
wavmark,8,chinese:SSB0009,2,5,59061,mean,0
wavmark,8,chinese:SSB0009,2,5,59061,tct,0
wavmark,8,chinese:SSB0009,2,5,52942,mean,0
wavmark,8,chinese:SSB0009,2,5,52942,tct,0
wavmark,8,chinese:SSB0009,2,5,39858,mean,0
wavmark,8,chinese:SSB0009,2,5,39858,tct,0
wavmark,8,chinese:SSB0009,2,5,34639,mean,0
wavmark,8,chinese:SSB0009,2,5,34639,tct,0
wavmark,8,chinese:SSB0011,0,6,23401,mean,0
wavmark,8,chinese:SSB0011,0,6,23401,tct,0
wavmark,8,chinese:SSB0011,0,6,17703,mean,0
wavmark,8,chinese:SSB0011,0,6,17703,tct,0
wavmark,8,chinese:SSB0011,0,6,51322,mean,0
wavmark,8,chinese:SSB0011,0,6,51322,tct,0
wavmark,8,chinese:SSB0011,0,6,52243,mean,0
wavmark,8,chinese:SSB0011,0,6,52243,tct,0
wavmark,8,chinese:SSB0011,0,6,52198,mean,0
wavmark,8,chinese:SSB0011,0,6,52198,tct,0
wavmark,8,chinese:SSB0011,0,6,61586,mean,0
wavmark,8,chinese:SSB0011,0,6,61586,tct,0
wavmark,8,chinese:SSB0011,0,6,53920,mean,0
wavmark,8,chinese:SSB0011,0,6,53920,tct,0
wavmark,8,chinese:SSB0011,0,6,6173,mean,0
wavmark,8,chinese:SSB0011,0,6,6173,tct,0
wavmark,8,chinese:SSB0011,0,6,17975,mean,0
wavmark,8,chinese:SSB0011,0,6,17975,tct,0
wavmark,8,chinese:SSB0011,0,6,33280,mean,0
wavmark,8,chinese:SSB0011,0,6,33280,tct,0
wavmark,8,chinese:SSB0011,1,7,39752,mean,0
wavmark,8,chinese:SSB0011,1,7,39752,tct,0
wavmark,8,chinese:SSB0011,1,7,14251,mean,0
wavmark,8,chinese:SSB0011,1,7,14251,tct,0
wavmark,8,chinese:SSB0011,1,7,62629,mean,0
wavmark,8,chinese:SSB0011,1,7,62629,tct,0
wavmark,8,chinese:SSB0011,1,7,62524,mean,0
wavmark,8,chinese:SSB0011,1,7,62524,tct,0
wavmark,8,chinese:SSB0011,1,7,52088,mean,0
