model,trial_id,spk,local_t,K,target_id,target_hit,target_margin,d_hull
wavmark,0,chinese:SSB0005,0,2,10117,0,-10.00000000,2.86744176
wavmark,0,chinese:SSB0005,0,2,49620,0,-8.00000000,2.44948974
wavmark,0,chinese:SSB0005,0,2,38969,0,-8.00000000,1.79505494
wavmark,0,chinese:SSB0005,0,2,48856,0,-7.00000000,2.05480467
wavmark,0,chinese:SSB0005,0,2,23089,0,-10.00000000,2.13437475
wavmark,0,chinese:SSB0005,0,2,52645,0,-6.00000000,2.49443826
wavmark,0,chinese:SSB0005,0,2,53979,0,-9.00000000,2.35702260
wavmark,0,chinese:SSB0005,0,2,7080,0,-10.00000000,2.13437475
wavmark,0,chinese:SSB0005,0,2,2418,0,-9.00000000,2.28521820
wavmark,0,chinese:SSB0005,0,2,35649,0,-13.00000000,2.86744176
wavmark,1,chinese:SSB0005,1,2,40034,0,-5.00000000,1.61245155
wavmark,1,chinese:SSB0005,1,2,2557,0,-7.00000000,2.54950976
wavmark,1,chinese:SSB0005,1,2,37887,0,-6.00000000,2.25831796
wavmark,1,chinese:SSB0005,1,2,40283,0,-8.00000000,2.36643191
wavmark,1,chinese:SSB0005,1,2,62975,0,-8.00000000,2.52982213
wavmark,1,chinese:SSB0005,1,2,13821,0,-9.00000000,2.72029410
wavmark,1,chinese:SSB0005,1,2,59916,0,-9.00000000,2.54950976
wavmark,1,chinese:SSB0005,1,2,22378,0,-9.00000000,2.32379001
wavmark,1,chinese:SSB0005,1,2,23123,0,-8.00000000,2.09761770
wavmark,1,chinese:SSB0005,1,2,16908,0,-10.00000000,2.25831796
wavmark,2,chinese:SSB0005,2,2,9382,0,-7.00000000,2.23606798
wavmark,2,chinese:SSB0005,2,2,35847,0,-5.00000000,2.00000000
wavmark,2,chinese:SSB0005,2,2,63363,0,-9.00000000,2.82842712
wavmark,2,chinese:SSB0005,2,2,29988,0,-8.00000000,2.44948974
wavmark,2,chinese:SSB0005,2,2,5502,0,-6.00000000,2.39791576
wavmark,2,chinese:SSB0005,2,2,46818,0,-4.00000000,2.23606798
wavmark,2,chinese:SSB0005,2,2,3602,0,-6.00000000,1.93649167
wavmark,2,chinese:SSB0005,2,2,14290,0,-8.00000000,2.64575131
wavmark,2,chinese:SSB0005,2,2,2111,0,-8.00000000,2.39791576
wavmark,2,chinese:SSB0005,2,2,13071,0,-11.00000000,2.82842712
wavmark,3,chinese:SSB0009,0,2,17769,0,-8.00000000,2.64575131
wavmark,3,chinese:SSB0009,0,2,20819,0,-10.00000000,2.94392029
wavmark,3,chinese:SSB0009,0,2,37500,0,-9.00000000,2.58198890
wavmark,3,chinese:SSB0009,0,2,65340,0,-7.00000000,2.44948974
wavmark,3,chinese:SSB0009,0,2,31076,0,-9.00000000,2.76887462
wavmark,3,chinese:SSB0009,0,2,20463,0,-11.00000000,3.41565026
wavmark,3,chinese:SSB0009,0,2,52270,0,-7.00000000,2.44948974
wavmark,3,chinese:SSB0009,0,2,7111,0,-14.00000000,3.46410162
wavmark,3,chinese:SSB0009,0,2,24901,0,-9.00000000,2.76887462
wavmark,3,chinese:SSB0009,0,2,57658,0,-5.00000000,1.91485422
