model,K,spk,local_t,gi,target,method,target_top1,N_registry,target_margin
audioseal,2,chinese:SSB0005,0,0,9481,mean,0,1024,-7.11395645
audioseal,2,chinese:SSB0005,0,0,9481,tct,0,1024,-7.11395645
audioseal,2,chinese:SSB0005,0,0,49591,mean,0,1024,-7.51869202
audioseal,2,chinese:SSB0005,0,0,49591,tct,0,1024,-7.51869202
audioseal,2,chinese:SSB0005,0,0,39580,mean,0,1024,-2.36255360
audioseal,2,chinese:SSB0005,0,0,39580,tct,0,1024,-2.36255360
audioseal,2,chinese:SSB0005,0,0,49113,mean,0,1024,-6.51335716
audioseal,2,chinese:SSB0005,0,0,49113,tct,0,1024,-6.51335716
audioseal,2,chinese:SSB0005,0,0,23325,mean,0,1024,-3.44038010
audioseal,2,chinese:SSB0005,0,0,23325,tct,0,1024,-3.44038010
audioseal,2,chinese:SSB0005,0,0,53390,mean,0,1024,-3.16556549
audioseal,2,chinese:SSB0005,0,0,53390,tct,0,1024,-3.16556549
audioseal,2,chinese:SSB0005,0,0,54473,mean,0,1024,-7.64544678
audioseal,2,chinese:SSB0005,0,0,54473,tct,0,1024,-7.64544678
audioseal,2,chinese:SSB0005,0,0,6544,mean,0,1024,-3.84338188
audioseal,2,chinese:SSB0005,0,0,6544,tct,0,1024,-3.84338188
audioseal,2,chinese:SSB0005,0,0,2082,mean,0,1024,-5.80214310
audioseal,2,chinese:SSB0005,0,0,2082,tct,0,1024,-5.80214310
audioseal,2,chinese:SSB0005,0,0,36578,mean,0,1024,-10.11942863
audioseal,2,chinese:SSB0005,0,0,36578,tct,0,1024,-10.11942863
audioseal,2,chinese:SSB0005,1,1,65344,mean,0,1024,-5.54770660
audioseal,2,chinese:SSB0005,1,1,65344,tct,0,1024,-5.54770660
audioseal,2,chinese:SSB0005,1,1,2864,mean,0,1024,-8.13213730
audioseal,2,chinese:SSB0005,1,1,2864,tct,0,1024,-8.13213730
audioseal,2,chinese:SSB0005,1,1,38532,mean,0,1024,-1.41249657
audioseal,2,chinese:SSB0005,1,1,38532,tct,0,1024,-1.41249657
audioseal,2,chinese:SSB0005,1,1,40716,mean,0,1024,-4.24609375
audioseal,2,chinese:SSB0005,1,1,40716,tct,0,1024,-4.24609375
audioseal,2,chinese:SSB0005,1,1,62844,mean,0,1024,-8.08823967
audioseal,2,chinese:SSB0005,1,1,62844,tct,0,1024,-8.08823967
audioseal,2,chinese:SSB0005,1,1,14345,mean,0,1024,-3.51629639
audioseal,2,chinese:SSB0005,1,1,14345,tct,0,1024,-3.51629639
audioseal,2,chinese:SSB0005,1,1,59355,mean,0,1024,-5.44221687
audioseal,2,chinese:SSB0005,1,1,59355,tct,0,1024,-5.44221687
audioseal,2,chinese:SSB0005,1,1,23149,mean,0,1024,-4.48553562
audioseal,2,chinese:SSB0005,1,1,23149,tct,0,1024,-4.48553562
audioseal,2,chinese:SSB0005,1,1,23760,mean,0,1024,-5.35572815
audioseal,2,chinese:SSB0005,1,1,23760,tct,0,1024,-5.35572815
audioseal,2,chinese:SSB0005,1,1,18053,mean,0,1024,-2.36528015
audioseal,2,chinese:SSB0005,1,1,18053,tct,0,1024,-2.36528015
audioseal,2,chinese:SSB0005,2,2,10001,mean,0,1024,-10.52541924
audioseal,2,chinese:SSB0005,2,2,10001,tct,0,1024,-10.52541924
audioseal,2,chinese:SSB0005,2,2,35330,mean,0,1024,-1.53583241
audioseal,2,chinese:SSB0005,2,2,35330,tct,0,1024,-1.53583241
audioseal,2,chinese:SSB0005,2,2,62737,mean,0,1024,-8.67956924
audioseal,2,chinese:SSB0005,2,2,62737,tct,0,1024,-8.67956924
audioseal,2,chinese:SSB0005,2,2,29166,mean,0,1024,-10.12205029
audioseal,2,chinese:SSB0005,2,2,29166,tct,0,1024,-10.12205029
audioseal,2,chinese:SSB0005,2,2,6314,mean,0,1024,-3.06181908
audioseal,2,chinese:SSB0005,2,2,6314,tct,0,1024,-3.06181908
audioseal,2,chinese:SSB0005,2,2,46758,mean,0,1024,-7.50678062
audioseal,2,chinese:SSB0005,2,2,46758,tct,0,1024,-7.50678062
audioseal,2,chinese:SSB0005,2,2,3078,mean,0,1024,-3.30390167
audioseal,2,chinese:SSB0005,2,2,3078,tct,0,1024,-3.30390167
audioseal,2,chinese:SSB0005,2,2,14765,mean,0,1024,-9.05129910
audioseal,2,chinese:SSB0005,2,2,14765,tct,0,1024,-9.05129910
audioseal,2,chinese:SSB0005,2,2,1894,mean,0,1024,-8.86545372
audioseal,2,chinese:SSB0005,2,2,1894,tct,0,1024,-8.86545372
audioseal,2,chinese:SSB0005,2,2,13692,mean,0,1024,-11.30516243
audioseal,2,chinese:SSB0005,2,2,13692,tct,0,1024,-11.30516243
audioseal,2,chinese:SSB0009,0,3,16791,mean,0,1024,-8.01548958
audioseal,2,chinese:SSB0009,0,3,16791,tct,0,1024,-8.01548958
audioseal,2,chinese:SSB0009,0,3,19890,mean,0,1024,-6.19808865
audioseal,2,chinese:SSB0009,0,3,19890,tct,0,1024,-6.19808865
audioseal,2,chinese:SSB0009,0,3,35433,mean,0,1024,-7.89252377
audioseal,2,chinese:SSB0009,0,3,35433,tct,0,1024,-7.89252377
audioseal,2,chinese:SSB0009,0,3,65115,mean,0,1024,-8.89985752
audioseal,2,chinese:SSB0009,0,3,65115,tct,0,1024,-8.89985752
audioseal,2,chinese:SSB0009,0,3,29157,mean,0,1024,-8.17535877
audioseal,2,chinese:SSB0009,0,3,29157,tct,0,1024,-8.17535877
audioseal,2,chinese:SSB0009,0,3,19293,mean,0,1024,-10.61219120
audioseal,2,chinese:SSB0009,0,3,19293,tct,0,1024,-10.61219120
audioseal,2,chinese:SSB0009,0,3,50627,mean,0,1024,-8.97679996
audioseal,2,chinese:SSB0009,0,3,50627,tct,0,1024,-8.97679996
audioseal,2,chinese:SSB0009,0,3,5858,mean,0,1024,-9.49463940
audioseal,2,chinese:SSB0009,0,3,5858,tct,0,1024,-9.49463940
audioseal,2,chinese:SSB0009,0,3,23873,mean,0,1024,-10.21899223
audioseal,2,chinese:SSB0009,0,3,23873,tct,0,1024,-10.21899223
audioseal,2,chinese:SSB0009,0,3,56194,mean,0,1024,-8.34733868
audioseal,2,chinese:SSB0009,0,3,56194,tct,0,1024,-8.34733868
audioseal,2,chinese:SSB0009,1,4,40234,mean,0,1024,-7.11809683
audioseal,2,chinese:SSB0009,1,4,40234,tct,0,1024,-7.11809683
audioseal,2,chinese:SSB0009,1,4,49340,mean,0,1024,-5.79508162
audioseal,2,chinese:SSB0009,1,4,49340,tct,0,1024,-5.79508162
audioseal,2,chinese:SSB0009,1,4,1243,mean,0,1024,-10.44620514
audioseal,2,chinese:SSB0009,1,4,1243,tct,0,1024,-10.44620514
audioseal,2,chinese:SSB0009,1,4,39243,mean,0,1024,-6.53081942
audioseal,2,chinese:SSB0009,1,4,39243,tct,0,1024,-6.53081942
audioseal,2,chinese:SSB0009,1,4,52771,mean,0,1024,-5.79700613
