model,K,spk,local_t,gi,target,method,target_top1,N_registry,target_margin
timbrewm,8,chinese:SSB0005,0,0,726,mean,0,1024,-1.93128586
timbrewm,8,chinese:SSB0005,0,0,726,tct,0,1024,-0.41106415
timbrewm,8,chinese:SSB0005,0,0,320,mean,0,1024,-3.15324640
timbrewm,8,chinese:SSB0005,0,0,320,tct,0,1024,-1.67999792
timbrewm,8,chinese:SSB0005,0,0,696,mean,0,1024,-1.55002594
timbrewm,8,chinese:SSB0005,0,0,696,tct,0,1024,-1.28400803
timbrewm,8,chinese:SSB0005,0,0,116,mean,0,1024,-2.24126577
timbrewm,8,chinese:SSB0005,0,0,116,tct,0,1024,-1.56232262
timbrewm,8,chinese:SSB0005,0,0,570,mean,0,1024,-1.76126575
timbrewm,8,chinese:SSB0005,0,0,570,tct,0,1024,-0.91214037
timbrewm,8,chinese:SSB0005,0,0,89,mean,0,1024,-3.13313150
timbrewm,8,chinese:SSB0005,0,0,89,tct,0,1024,-1.41382170
timbrewm,8,chinese:SSB0005,0,0,987,mean,0,1024,-2.42056847
timbrewm,8,chinese:SSB0005,0,0,987,tct,0,1024,-1.33713531
timbrewm,8,chinese:SSB0005,0,0,0,mean,0,1024,-3.09479094
timbrewm,8,chinese:SSB0005,0,0,0,tct,0,1024,-1.52974033
timbrewm,8,chinese:SSB0005,0,0,912,mean,0,1024,-3.07600546
timbrewm,8,chinese:SSB0005,0,0,912,tct,0,1024,-2.43879318
timbrewm,8,chinese:SSB0005,0,0,858,mean,0,1024,-2.40967369
timbrewm,8,chinese:SSB0005,0,0,858,tct,0,1024,-0.28742456
timbrewm,8,chinese:SSB0005,1,1,102,mean,0,1024,-1.99559593
timbrewm,8,chinese:SSB0005,1,1,102,tct,0,1024,-0.42436981
timbrewm,8,chinese:SSB0005,1,1,335,mean,0,1024,-2.08609390
timbrewm,8,chinese:SSB0005,1,1,335,tct,0,1024,-0.33719349
timbrewm,8,chinese:SSB0005,1,1,608,mean,0,1024,-1.96020412
timbrewm,8,chinese:SSB0005,1,1,608,tct,0,1024,-1.18067169
timbrewm,8,chinese:SSB0005,1,1,149,mean,0,1024,-1.33644390
timbrewm,8,chinese:SSB0005,1,1,149,tct,0,1024,-0.28297663
timbrewm,8,chinese:SSB0005,1,1,781,mean,0,1024,-2.70753908
timbrewm,8,chinese:SSB0005,1,1,781,tct,0,1024,-1.51410961
timbrewm,8,chinese:SSB0005,1,1,980,mean,0,1024,-0.79020119
timbrewm,8,chinese:SSB0005,1,1,980,tct,0,1024,-0.39939547
timbrewm,8,chinese:SSB0005,1,1,656,mean,0,1024,-0.64472103
timbrewm,8,chinese:SSB0005,1,1,656,tct,0,1024,-0.00760365
timbrewm,8,chinese:SSB0005,1,1,173,mean,0,1024,-2.46182346
timbrewm,8,chinese:SSB0005,1,1,173,tct,0,1024,-1.56946135
timbrewm,8,chinese:SSB0005,1,1,464,mean,0,1024,-0.49130344
timbrewm,8,chinese:SSB0005,1,1,464,tct,1,1024,0.08042717
timbrewm,8,chinese:SSB0005,1,1,155,mean,0,1024,-0.77204704
timbrewm,8,chinese:SSB0005,1,1,155,tct,0,1024,-0.47074842
timbrewm,8,chinese:SSB0005,2,2,318,mean,0,1024,-1.60401917
timbrewm,8,chinese:SSB0005,2,2,318,tct,0,1024,-0.23048925
timbrewm,8,chinese:SSB0005,2,2,893,mean,0,1024,-0.97532988
timbrewm,8,chinese:SSB0005,2,2,893,tct,0,1024,-0.74709606
timbrewm,8,chinese:SSB0005,2,2,212,mean,0,1024,-1.17810869
timbrewm,8,chinese:SSB0005,2,2,212,tct,0,1024,-0.31137609
timbrewm,8,chinese:SSB0005,2,2,958,mean,0,1024,-0.63509512
timbrewm,8,chinese:SSB0005,2,2,958,tct,1,1024,0.11422253
timbrewm,8,chinese:SSB0005,2,2,562,mean,0,1024,-1.70908928
timbrewm,8,chinese:SSB0005,2,2,562,tct,0,1024,-1.19431591
timbrewm,8,chinese:SSB0005,2,2,357,mean,0,1024,-1.79521084
timbrewm,8,chinese:SSB0005,2,2,357,tct,0,1024,-0.66261101
timbrewm,8,chinese:SSB0005,2,2,285,mean,0,1024,-1.54146671
timbrewm,8,chinese:SSB0005,2,2,285,tct,0,1024,-0.74094486
timbrewm,8,chinese:SSB0005,2,2,144,mean,0,1024,-1.28274775
timbrewm,8,chinese:SSB0005,2,2,144,tct,0,1024,-0.96772480
timbrewm,8,chinese:SSB0005,2,2,612,mean,0,1024,-2.39832306
timbrewm,8,chinese:SSB0005,2,2,612,tct,0,1024,-0.26433849
timbrewm,8,chinese:SSB0005,2,2,512,mean,0,1024,-2.85369587
timbrewm,8,chinese:SSB0005,2,2,512,tct,0,1024,-0.47114992
timbrewm,8,chinese:SSB0009,0,3,303,mean,0,1024,-2.64932203
timbrewm,8,chinese:SSB0009,0,3,303,tct,0,1024,-1.23624992
timbrewm,8,chinese:SSB0009,0,3,417,mean,0,1024,-1.15383625
timbrewm,8,chinese:SSB0009,0,3,417,tct,0,1024,-0.07457829
timbrewm,8,chinese:SSB0009,0,3,984,mean,0,1024,-0.79710770
timbrewm,8,chinese:SSB0009,0,3,984,tct,0,1024,-0.01299953
timbrewm,8,chinese:SSB0009,0,3,870,mean,0,1024,-3.87231779
timbrewm,8,chinese:SSB0009,0,3,870,tct,0,1024,-2.51908398
timbrewm,8,chinese:SSB0009,0,3,647,mean,0,1024,-3.44166803
timbrewm,8,chinese:SSB0009,0,3,647,tct,0,1024,-1.76345253
timbrewm,8,chinese:SSB0009,0,3,889,mean,0,1024,-1.31308842
timbrewm,8,chinese:SSB0009,0,3,889,tct,0,1024,-0.09256363
timbrewm,8,chinese:SSB0009,0,3,398,mean,0,1024,-2.13334131
timbrewm,8,chinese:SSB0009,0,3,398,tct,0,1024,-0.82365417
timbrewm,8,chinese:SSB0009,0,3,854,mean,0,1024,-3.14436769
timbrewm,8,chinese:SSB0009,0,3,854,tct,0,1024,-1.84994888
timbrewm,8,chinese:SSB0009,0,3,38,mean,0,1024,-4.18835878
timbrewm,8,chinese:SSB0009,0,3,38,tct,0,1024,-1.85172653
timbrewm,8,chinese:SSB0009,0,3,659,mean,0,1024,-2.56433392
timbrewm,8,chinese:SSB0009,0,3,659,tct,0,1024,-0.44944382
timbrewm,8,chinese:SSB0009,1,4,440,mean,0,1024,-1.87167025
timbrewm,8,chinese:SSB0009,1,4,440,tct,0,1024,-1.38086319
timbrewm,8,chinese:SSB0009,1,4,231,mean,0,1024,-1.04723787
timbrewm,8,chinese:SSB0009,1,4,231,tct,0,1024,-0.56741428
timbrewm,8,chinese:SSB0009,1,4,494,mean,0,1024,-2.11357260
timbrewm,8,chinese:SSB0009,1,4,494,tct,0,1024,-1.52468777
timbrewm,8,chinese:SSB0009,1,4,594,mean,0,1024,-0.97399950
timbrewm,8,chinese:SSB0009,1,4,594,tct,0,1024,-0.26209450
timbrewm,8,chinese:SSB0009,1,4,270,mean,0,1024,-2.36779451
timbrewm,8,chinese:SSB0009,1,4,270,tct,0,1024,-1.31825638
