model,K,spk,local_t,gi,target,method,target_top1,N_registry,target_margin
voicemark,5,chinese:SSB0005,0,0,37335,mean,0,1024,-40.66687620
voicemark,5,chinese:SSB0005,0,0,37335,tct,0,1024,-33.65900328
voicemark,5,chinese:SSB0005,0,0,39043,mean,0,1024,-45.76931989
voicemark,5,chinese:SSB0005,0,0,39043,tct,0,1024,-58.67948282
voicemark,5,chinese:SSB0005,0,0,54127,mean,0,1024,-47.17060792
voicemark,5,chinese:SSB0005,0,0,54127,tct,0,1024,-34.57947290
voicemark,5,chinese:SSB0005,0,0,7710,mean,0,1024,-24.81503892
voicemark,5,chinese:SSB0005,0,0,7710,tct,0,1024,-35.73428771
voicemark,5,chinese:SSB0005,0,0,14839,mean,0,1024,-33.94777802
voicemark,5,chinese:SSB0005,0,0,14839,tct,0,1024,-29.60139114
voicemark,5,chinese:SSB0005,0,0,51138,mean,0,1024,-26.55105698
voicemark,5,chinese:SSB0005,0,0,51138,tct,0,1024,-28.68019077
voicemark,5,chinese:SSB0005,0,0,28964,mean,0,1024,-45.07787549
voicemark,5,chinese:SSB0005,0,0,28964,tct,0,1024,-58.98410642
voicemark,5,chinese:SSB0005,0,0,48738,mean,0,1024,-37.13508546
voicemark,5,chinese:SSB0005,0,0,48738,tct,0,1024,-38.01804474
voicemark,5,chinese:SSB0005,0,0,59641,mean,0,1024,-35.17000988
voicemark,5,chinese:SSB0005,0,0,59641,tct,0,1024,-17.30719035
voicemark,5,chinese:SSB0005,0,0,39663,mean,0,1024,-25.00330770
voicemark,5,chinese:SSB0005,0,0,39663,tct,0,1024,-14.55695727
voicemark,5,chinese:SSB0005,1,1,44004,mean,0,1024,-48.85535468
voicemark,5,chinese:SSB0005,1,1,44004,tct,0,1024,-50.42238930
voicemark,5,chinese:SSB0005,1,1,40351,mean,0,1024,-31.66218544
voicemark,5,chinese:SSB0005,1,1,40351,tct,0,1024,-22.50524921
voicemark,5,chinese:SSB0005,1,1,24850,mean,0,1024,-41.97143973
voicemark,5,chinese:SSB0005,1,1,24850,tct,0,1024,-33.72929609
voicemark,5,chinese:SSB0005,1,1,35358,mean,0,1024,-33.08308917
voicemark,5,chinese:SSB0005,1,1,35358,tct,0,1024,-27.38217386
voicemark,5,chinese:SSB0005,1,1,29085,mean,0,1024,-28.71636178
voicemark,5,chinese:SSB0005,1,1,29085,tct,0,1024,-24.36549414
voicemark,5,chinese:SSB0005,1,1,53179,mean,0,1024,-61.23033275
voicemark,5,chinese:SSB0005,1,1,53179,tct,0,1024,-44.27551828
voicemark,5,chinese:SSB0005,1,1,52522,mean,0,1024,-40.03078784
voicemark,5,chinese:SSB0005,1,1,52522,tct,0,1024,-25.01694071
voicemark,5,chinese:SSB0005,1,1,24718,mean,0,1024,-55.56974162
voicemark,5,chinese:SSB0005,1,1,24718,tct,0,1024,-57.40576262
voicemark,5,chinese:SSB0005,1,1,17937,mean,0,1024,-35.75826587
voicemark,5,chinese:SSB0005,1,1,17937,tct,0,1024,-30.71233551
voicemark,5,chinese:SSB0005,1,1,6934,mean,0,1024,-28.77227248
voicemark,5,chinese:SSB0005,1,1,6934,tct,0,1024,-29.37963593
voicemark,5,chinese:SSB0005,2,2,49177,mean,0,1024,-51.54570874
voicemark,5,chinese:SSB0005,2,2,49177,tct,0,1024,-43.59414434
voicemark,5,chinese:SSB0005,2,2,63873,mean,0,1024,-56.18359765
voicemark,5,chinese:SSB0005,2,2,63873,tct,0,1024,-46.77838993
voicemark,5,chinese:SSB0005,2,2,37019,mean,0,1024,-59.33886060
voicemark,5,chinese:SSB0005,2,2,37019,tct,0,1024,-37.89137097
voicemark,5,chinese:SSB0005,2,2,28465,mean,0,1024,-61.48149499
voicemark,5,chinese:SSB0005,2,2,28465,tct,0,1024,-49.37638032
voicemark,5,chinese:SSB0005,2,2,24896,mean,0,1024,-51.26471492
voicemark,5,chinese:SSB0005,2,2,24896,tct,0,1024,-43.95387912
voicemark,5,chinese:SSB0005,2,2,26936,mean,0,1024,-62.88803109
voicemark,5,chinese:SSB0005,2,2,26936,tct,0,1024,-57.35642745
voicemark,5,chinese:SSB0005,2,2,53363,mean,0,1024,-56.34672078
voicemark,5,chinese:SSB0005,2,2,53363,tct,0,1024,-61.64462048
voicemark,5,chinese:SSB0005,2,2,14405,mean,0,1024,-52.99412736
voicemark,5,chinese:SSB0005,2,2,14405,tct,0,1024,-47.48458227
voicemark,5,chinese:SSB0005,2,2,39412,mean,0,1024,-65.18582734
voicemark,5,chinese:SSB0005,2,2,39412,tct,0,1024,-62.97000859
voicemark,5,chinese:SSB0005,2,2,51854,mean,0,1024,-76.04242047
voicemark,5,chinese:SSB0005,2,2,51854,tct,0,1024,-52.04355938
voicemark,5,chinese:SSB0009,0,3,30254,mean,0,1024,-44.96572035
voicemark,5,chinese:SSB0009,0,3,30254,tct,0,1024,-47.03005126
voicemark,5,chinese:SSB0009,0,3,53610,mean,0,1024,-27.42133444
voicemark,5,chinese:SSB0009,0,3,53610,tct,0,1024,-16.23845837
voicemark,5,chinese:SSB0009,0,3,62234,mean,0,1024,-34.14010065
voicemark,5,chinese:SSB0009,0,3,62234,tct,0,1024,-45.53689913
voicemark,5,chinese:SSB0009,0,3,31814,mean,0,1024,-35.47020738
voicemark,5,chinese:SSB0009,0,3,31814,tct,0,1024,-30.45566031
voicemark,5,chinese:SSB0009,0,3,21756,mean,0,1024,-34.31193560
voicemark,5,chinese:SSB0009,0,3,21756,tct,0,1024,-32.59271697
voicemark,5,chinese:SSB0009,0,3,18956,mean,0,1024,-19.81520191
voicemark,5,chinese:SSB0009,0,3,18956,tct,0,1024,-28.90777090
voicemark,5,chinese:SSB0009,0,3,21916,mean,0,1024,-43.46293562
voicemark,5,chinese:SSB0009,0,3,21916,tct,0,1024,-58.17731619
voicemark,5,chinese:SSB0009,0,3,26417,mean,0,1024,-23.92482196
voicemark,5,chinese:SSB0009,0,3,26417,tct,0,1024,-33.65005738
voicemark,5,chinese:SSB0009,0,3,32076,mean,0,1024,-23.99955570
voicemark,5,chinese:SSB0009,0,3,32076,tct,0,1024,-14.24656826
