model,K,spk,local_t,gi,target,method,target_top1,N_registry,target_margin
wavmark,5,chinese:SSB0005,0,0,37335,mean,0,1024,-3.00000000
wavmark,5,chinese:SSB0005,0,0,37335,tct,0,1024,-4.00000000
wavmark,5,chinese:SSB0005,0,0,39043,mean,0,1024,-6.00000000
wavmark,5,chinese:SSB0005,0,0,39043,tct,0,1024,-5.00000000
wavmark,5,chinese:SSB0005,0,0,54127,mean,0,1024,-5.00000000
wavmark,5,chinese:SSB0005,0,0,54127,tct,0,1024,-4.00000000
wavmark,5,chinese:SSB0005,0,0,7710,mean,0,1024,-6.00000000
wavmark,5,chinese:SSB0005,0,0,7710,tct,0,1024,-5.00000000
wavmark,5,chinese:SSB0005,0,0,14839,mean,0,1024,-3.00000000
wavmark,5,chinese:SSB0005,0,0,14839,tct,0,1024,-2.00000000
wavmark,5,chinese:SSB0005,0,0,51138,mean,0,1024,-8.00000000
wavmark,5,chinese:SSB0005,0,0,51138,tct,0,1024,-3.00000000
wavmark,5,chinese:SSB0005,0,0,28964,mean,0,1024,-8.00000000
wavmark,5,chinese:SSB0005,0,0,28964,tct,0,1024,-3.00000000
wavmark,5,chinese:SSB0005,0,0,48738,mean,0,1024,-7.00000000
wavmark,5,chinese:SSB0005,0,0,48738,tct,0,1024,-6.00000000
wavmark,5,chinese:SSB0005,0,0,59641,mean,0,1024,-4.00000000
wavmark,5,chinese:SSB0005,0,0,59641,tct,0,1024,-1.00000000
wavmark,5,chinese:SSB0005,0,0,39663,mean,0,1024,-3.00000000
wavmark,5,chinese:SSB0005,0,0,39663,tct,0,1024,-2.00000000
wavmark,5,chinese:SSB0005,1,1,44004,mean,0,1024,-7.00000000
wavmark,5,chinese:SSB0005,1,1,44004,tct,0,1024,-4.00000000
wavmark,5,chinese:SSB0005,1,1,40351,mean,0,1024,-7.00000000
wavmark,5,chinese:SSB0005,1,1,40351,tct,0,1024,-5.00000000
wavmark,5,chinese:SSB0005,1,1,24850,mean,0,1024,-3.00000000
wavmark,5,chinese:SSB0005,1,1,24850,tct,0,1024,-3.00000000
wavmark,5,chinese:SSB0005,1,1,35358,mean,0,1024,-9.00000000
wavmark,5,chinese:SSB0005,1,1,35358,tct,0,1024,-5.00000000
wavmark,5,chinese:SSB0005,1,1,29085,mean,0,1024,-7.00000000
wavmark,5,chinese:SSB0005,1,1,29085,tct,0,1024,-3.00000000
wavmark,5,chinese:SSB0005,1,1,53179,mean,0,1024,-4.00000000
