model,K,spk,local_t,gi,target,method,target_top1,N_registry,target_margin
wmcodec,8,chinese:SSB0005,0,0,46835,mean,0,1024,-30.96032667
wmcodec,8,chinese:SSB0005,0,0,46835,tct,0,1024,-38.29380496
wmcodec,8,chinese:SSB0005,0,0,20558,mean,0,1024,-36.62515473
wmcodec,8,chinese:SSB0005,0,0,20558,tct,0,1024,-36.07726192
wmcodec,8,chinese:SSB0005,0,0,45305,mean,0,1024,-39.81936789
wmcodec,8,chinese:SSB0005,0,0,45305,tct,0,1024,-69.80900390
wmcodec,8,chinese:SSB0005,0,0,7939,mean,0,1024,-49.59975743
wmcodec,8,chinese:SSB0005,0,0,7939,tct,0,1024,-40.99367241
wmcodec,8,chinese:SSB0005,0,0,37353,mean,0,1024,-59.87571216
wmcodec,8,chinese:SSB0005,0,0,37353,tct,0,1024,-62.32160309
wmcodec,8,chinese:SSB0005,0,0,6221,mean,0,1024,-37.59982133
wmcodec,8,chinese:SSB0005,0,0,6221,tct,0,1024,-46.33029315
wmcodec,8,chinese:SSB0005,0,0,62748,mean,0,1024,-44.70511460
wmcodec,8,chinese:SSB0005,0,0,62748,tct,0,1024,-45.00474810
wmcodec,8,chinese:SSB0005,0,0,64,mean,0,1024,-32.17988503
wmcodec,8,chinese:SSB0005,0,0,64,tct,0,1024,-52.16404388
wmcodec,8,chinese:SSB0005,0,0,58681,mean,0,1024,-43.17072225
wmcodec,8,chinese:SSB0005,0,0,58681,tct,0,1024,-38.25754735
wmcodec,8,chinese:SSB0005,0,0,55814,mean,0,1024,-31.97288752
wmcodec,8,chinese:SSB0005,0,0,55814,tct,0,1024,-35.17280387
wmcodec,8,chinese:SSB0005,1,1,6673,mean,0,1024,-61.07972131
wmcodec,8,chinese:SSB0005,1,1,6673,tct,0,1024,-40.89157470
wmcodec,8,chinese:SSB0005,1,1,21770,mean,0,1024,-18.56396163
wmcodec,8,chinese:SSB0005,1,1,21770,tct,0,1024,-23.01005736
wmcodec,8,chinese:SSB0005,1,1,39562,mean,0,1024,-48.14000664
wmcodec,8,chinese:SSB0005,1,1,39562,tct,0,1024,-32.77212250
wmcodec,8,chinese:SSB0005,1,1,9727,mean,0,1024,-30.91025020
wmcodec,8,chinese:SSB0005,1,1,9727,tct,0,1024,-51.64725284
wmcodec,8,chinese:SSB0005,1,1,49907,mean,0,1024,-43.84937845
wmcodec,8,chinese:SSB0005,1,1,49907,tct,0,1024,-46.35078036
wmcodec,8,chinese:SSB0005,1,1,63114,mean,0,1024,-32.69056092
wmcodec,8,chinese:SSB0005,1,1,63114,tct,0,1024,-15.42774141
wmcodec,8,chinese:SSB0005,1,1,41772,mean,0,1024,-37.38968788
wmcodec,8,chinese:SSB0005,1,1,41772,tct,0,1024,-14.88010284
wmcodec,8,chinese:SSB0005,1,1,10850,mean,0,1024,-37.24229644
wmcodec,8,chinese:SSB0005,1,1,10850,tct,0,1024,-36.94350355
wmcodec,8,chinese:SSB0005,1,1,30061,mean,0,1024,-24.82900478
wmcodec,8,chinese:SSB0005,1,1,30061,tct,0,1024,-18.38975852
wmcodec,8,chinese:SSB0005,1,1,10120,mean,0,1024,-20.91280328
wmcodec,8,chinese:SSB0005,1,1,10120,tct,0,1024,-37.94590436
wmcodec,8,chinese:SSB0005,2,2,21973,mean,0,1024,-24.52343921
wmcodec,8,chinese:SSB0005,2,2,21973,tct,0,1024,-16.47630651
wmcodec,8,chinese:SSB0005,2,2,58335,mean,0,1024,-35.46570478
wmcodec,8,chinese:SSB0005,2,2,58335,tct,0,1024,-32.31375326
wmcodec,8,chinese:SSB0005,2,2,14394,mean,0,1024,-18.49753074
wmcodec,8,chinese:SSB0005,2,2,14394,tct,0,1024,-35.36038625
wmcodec,8,chinese:SSB0005,2,2,61305,mean,0,1024,-23.07155833
wmcodec,8,chinese:SSB0005,2,2,61305,tct,0,1024,-35.22268145
wmcodec,8,chinese:SSB0005,2,2,37419,mean,0,1024,-49.34928069
wmcodec,8,chinese:SSB0005,2,2,37419,tct,0,1024,-33.24331658
wmcodec,8,chinese:SSB0005,2,2,23614,mean,0,1024,-47.88533578
wmcodec,8,chinese:SSB0005,2,2,23614,tct,0,1024,-45.94291866
wmcodec,8,chinese:SSB0005,2,2,18895,mean,0,1024,-52.57753883
wmcodec,8,chinese:SSB0005,2,2,18895,tct,0,1024,-47.59255100
wmcodec,8,chinese:SSB0005,2,2,10134,mean,0,1024,-29.02496658
wmcodec,8,chinese:SSB0005,2,2,10134,tct,0,1024,-43.96276432
wmcodec,8,chinese:SSB0005,2,2,40607,mean,0,1024,-47.98548923
wmcodec,8,chinese:SSB0005,2,2,40607,tct,0,1024,-54.11138338
wmcodec,8,chinese:SSB0005,2,2,33321,mean,0,1024,-41.52621589
wmcodec,8,chinese:SSB0005,2,2,33321,tct,0,1024,-44.35597154
wmcodec,8,chinese:SSB0009,0,3,19085,mean,0,1024,-39.20751680
wmcodec,8,chinese:SSB0009,0,3,19085,tct,0,1024,-26.36642132
