dataset,model,k,method,trial_id,speaker,clip_index,source_path,coalition_payloads,valid_copy_count,payloads_tested,target_rank,target_payload,selection_rule,candidate_count,selection_score,payload_distance,weights,effective_members,max_weight,weights_valid,decoded_payload,target_hit,target_margin,hits_out_of_10,escaped,closest_member_bit_accuracy,watermark_score,decoded_bits,target_bit_accuracy,quality_reference,pesq,stoi,si_sdr
collusion_300,audioseal,5,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 41736, 39946, 1364, 10712]",5,64,1,8536,largest_minimum_bit_margin,65531,-0.12213776,,"[0.000286034455449982, 0.30527406366973725, 0.0056347511272772585, 0.3064356206647383, 0.38236953008279734]",3.00000000,0.38236953,1,8536,1,0.19416523,4,1,0.87500000,0.999983,"[0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",1.00000000,first_coalition_copy,4.5656,0.9990,32.28
collusion_300,audioseal,5,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 41736, 39946, 1364, 10712]",5,64,2,1492,largest_minimum_bit_margin,65531,-0.12849986,,"[0.2687270437098419, 0.011303436467255531, 0.011433622679210222, 0.4244429267982739, 0.2840929703454185]",3.00000000,0.42444293,1,1364,0,-0.60966921,4,0,1.00000000,0.999980,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",0.93750000,first_coalition_copy,4.5935,0.9994,35.36
collusion_300,audioseal,5,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 41736, 39946, 1364, 10712]",5,64,3,43272,largest_minimum_bit_margin,65531,-0.13065577,,"[0.00017557108375181475, 0.39042474886803125, 0.28938935370353835, 0.008426280311136316, 0.3115840460335423]",3.00000000,0.39042475,1,43272,1,0.66088200,4,1,0.87500000,0.999979,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1]",1.00000000,first_coalition_copy,4.5619,0.9989,31.96
collusion_300,audioseal,5,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 41736, 39946, 1364, 10712]",5,64,4,10584,largest_minimum_bit_margin,65531,-0.13384866,,"[7.147959446635254e-06, 0.18809290394439018, 0.11138979202754226, 0.2084991828792403, 0.49201097318938064]",3.00000000,0.49201097,1,10584,1,0.42349291,4,1,0.93750000,0.999982,"[0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",1.00000000,first_coalition_copy,4.5608,0.9990,32.11
collusion_300,audioseal,5,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 41736, 39946, 1364, 10712]",5,64,5,41224,largest_minimum_bit_margin,65531,-0.13607554,,"[0.00054107405583683, 0.4948299920984552, 0.19632834967493143, 0.1194597061438176, 0.18884087802695898]",3.00000000,0.49482999,1,41224,1,0.74109936,4,1,0.93750000,0.999981,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]",1.00000000,first_coalition_copy,4.5681,0.9990,32.24
collusion_300,audioseal,5,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 41736, 39946, 1364, 10712]",5,64,6,3416,largest_minimum_bit_margin,65531,-0.14151904,,"[0.0004181564958761649, 0.008303017759142727, 0.27595696403700853, 0.35883787735509565, 0.35648398435287687]",3.01144215,0.35883788,1,10588,0,-0.59218645,4,1,0.87500000,0.999982,"[0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",0.81250000,first_coalition_copy,4.5708,0.9991,32.73
collusion_300,audioseal,5,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 41736, 39946, 1364, 10712]",5,64,7,8664,largest_minimum_bit_margin,65531,-0.14339365,,"[0.09247880850208264, 0.2173694603782402, 0.0005346242818788033, 0.20383806331290102, 0.4857790435248973]",3.00000000,0.48577904,1,8536,0,-0.26351976,4,1,0.87500000,0.999984,"[0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",0.93750000,first_coalition_copy,4.5678,0.9991,32.76
collusion_300,audioseal,5,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 41736, 39946, 1364, 10712]",5,64,8,41928,largest_minimum_bit_margin,65531,-0.14494616,,"[0.26624439871890165, 0.39681651886485286, 0.0033804529792723667, 0.00970959016623007, 0.32384903927074316]",3.00000000,0.39681652,1,41800,0,-0.22971964,4,1,0.93750000,0.999979,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1]",0.93750000,first_coalition_copy,4.5856,0.9992,34.15
collusion_300,audioseal,5,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 41736, 39946, 1364, 10712]",5,64,9,38666,largest_minimum_bit_margin,65531,-0.14593519,,"[0.29986350594773215, 0.32697518016176647, 0.3627180746006781, 0.010200260742050892, 0.00024297854777242353]",3.04414562,0.36271807,1,37890,0,-1.54738903,4,1,0.87500000,0.999937,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",0.81250000,first_coalition_copy,4.5983,0.9994,35.29
collusion_300,audioseal,5,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 41736, 39946, 1364, 10712]",5,64,10,34628,largest_minimum_bit_margin,65531,-0.14597478,,"[0.32714331227832544, 0.2997052374110874, 0.010234782985111665, 0.36256205085526627, 0.000354616470209259]",3.04504758,0.36256205,1,34116,0,-0.55185556,4,1,0.87500000,0.999979,"[0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]",0.93750000,first_coalition_copy,4.6058,0.9996,36.52
collusion_300,audioseal,5,bit_margin,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,"[47764, 35520, 8608, 26088, 16340]",5,64,1,47828,largest_minimum_bit_margin,65531,-0.09048811,,"[0.4121846793757953, 0.2727742294986735, 0.0018091220239421087, 0.015246014283971864, 0.29798595481761725]",3.00000000,0.41218468,1,47828,1,0.16403532,8,1,0.93750000,0.999990,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1]",1.00000000,first_coalition_copy,4.6340,0.9999,40.51
collusion_300,audioseal,5,bit_margin,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,"[47764, 35520, 8608, 26088, 16340]",5,64,2,8672,largest_minimum_bit_margin,65531,-0.09903825,,"[0.0005962578973598884, 0.20087962222141253, 0.4441459738676144, 0.2915095332792144, 0.06286861273439885]",3.06232854,0.44414597,1,8672,1,0.49202204,8,1,0.93750000,0.999988,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0]",1.00000000,first_coalition_copy,4.5902,0.9992,32.95
