dataset,model,k,method,trial_id,speaker,clip_index,source_path,coalition_payloads,valid_copy_count,payloads_tested,target_rank,target_payload,selection_rule,candidate_count,selection_score,payload_distance,weights,effective_members,max_weight,weights_valid,decoded_payload,target_hit,target_margin,hits_out_of_10,escaped,closest_member_bit_accuracy,watermark_score,decoded_bits,target_bit_accuracy,quality_reference,pesq,stoi,si_sdr
collusion_300,timbrewm,5,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[607, 747, 652, 961, 867]",5,5,1,995,largest_minimum_bit_margin,1019,-0.03943320,,"[0.0006140911194066287, 0.30769633363925275, 0.004528908632062774, 0.30793962196535074, 0.37922104464392714]",3.00000000,0.37922104,1,995,1,0.13035297,9,1,0.90000000,,"[1, 1, 0, 0, 0, 1, 1, 1, 1, 1]",1.00000000,first_coalition_copy,4.4081,0.9942,31.56
collusion_300,timbrewm,5,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[607, 747, 652, 961, 867]",5,5,2,619,largest_minimum_bit_margin,1019,-0.05440625,,"[0.27450438962030743, 0.39078479792963666, 0.010110976523102399, 0.0003073926244106687, 0.32429244330254287]",3.00000000,0.39078480,1,619,1,0.10928583,9,1,0.90000000,,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 1]",1.00000000,first_coalition_copy,4.5448,0.9974,34.75
collusion_300,timbrewm,5,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[607, 747, 652, 961, 867]",5,5,3,715,largest_minimum_bit_margin,1019,-0.06546784,,"[0.24729901670033555, 0.41065355704763007, 0.09217496273613802, 0.24654113203536843, 0.003331331480527999]",3.34355347,0.41065356,1,715,1,0.11228943,9,1,0.90000000,,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 1]",1.00000000,first_coalition_copy,4.5444,0.9980,34.73
collusion_300,timbrewm,5,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[607, 747, 652, 961, 867]",5,5,4,835,largest_minimum_bit_margin,1019,-0.06698030,,"[0.2559167427800507, 0.0071281835697843245, 0.009172940586376365, 0.3259992227212079, 0.4017829103425808]",3.00000000,0.40178291,1,835,1,0.09435749,9,1,0.90000000,,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1]",1.00000000,first_coalition_copy,4.5237,0.9950,32.98
collusion_300,timbrewm,5,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[607, 747, 652, 961, 867]",5,5,5,713,largest_minimum_bit_margin,1019,-0.07933643,,"[0.0719493147397913, 0.30817249550669523, 0.2725494904226643, 0.3469086029243341, 0.00042009640651521825]",3.39240677,0.34690860,1,713,1,0.31226158,9,1,0.80000000,,"[1, 0, 0, 1, 0, 0, 1, 1, 0, 1]",1.00000000,first_coalition_copy,4.5106,0.9967,32.82
collusion_300,timbrewm,5,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[607, 747, 652, 961, 867]",5,5,6,719,largest_minimum_bit_margin,1019,-0.08033462,,"[0.34511259879379236, 0.30401893067671115, 0.2735886897209359, 0.07120546122296159, 0.006074319585599147]",3.43067176,0.34511260,1,719,1,0.11202335,9,1,0.80000000,,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 1]",1.00000000,first_coalition_copy,4.5881,0.9984,36.27
collusion_300,timbrewm,5,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[607, 747, 652, 961, 867]",5,5,7,591,largest_minimum_bit_margin,1019,-0.08725359,,"[0.43975677431780297, 0.09786196165135724, 0.23314818688324893, 0.020672777211430987, 0.20856029993615974]",3.31954810,0.43975677,1,591,1,0.16399002,9,1,0.90000000,,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 1]",1.00000000,first_coalition_copy,4.6053,0.9987,37.47
collusion_300,timbrewm,5,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[607, 747, 652, 961, 867]",5,5,8,717,largest_minimum_bit_margin,1019,-0.09051964,,"[0.26722140195364574, 0.10577316465695297, 0.3589083050574629, 0.2669818232799376, 0.0011153050520008852]",3.53743196,0.35890831,1,717,1,0.11825085,9,1,0.80000000,,"[1, 0, 1, 1, 0, 0, 1, 1, 0, 1]",1.00000000,first_coalition_copy,4.5823,0.9974,34.44
collusion_300,timbrewm,5,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[607, 747, 652, 961, 867]",5,5,9,963,largest_minimum_bit_margin,1019,-0.09518544,,"[0.1345959148982933, 0.16202282124581985, 0.004296782945913412, 0.4596773087288466, 0.2394071721811268]",3.19483776,0.45967731,1,961,0,-0.09492302,9,0,1.00000000,,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1]",0.90000000,first_coalition_copy,4.4880,0.9950,32.34
collusion_300,timbrewm,5,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[607, 747, 652, 961, 867]",5,5,10,993,largest_minimum_bit_margin,1019,-0.11930992,,"[1.2301022047383528e-05, 0.19594563277942714, 0.05570894153052665, 0.4510883514205487, 0.29724477324745]",3.00000000,0.45108835,1,993,1,0.09285784,9,1,0.90000000,,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",1.00000000,first_coalition_copy,4.4176,0.9940,31.36
collusion_300,timbrewm,5,bit_margin,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,"[261, 746, 692, 501, 309]",5,5,1,437,largest_minimum_bit_margin,1019,-0.03002524,,"[0.08937048691679489, 0.00018058568521005025, 0.24574095705704582, 0.37425724685754047, 0.29045072348340883]",3.41523238,0.37425725,1,437,1,0.21339846,7,1,0.90000000,,"[1, 0, 1, 0, 1, 1, 0, 1, 1, 0]",1.00000000,first_coalition_copy,4.4759,0.9955,31.54
