dataset,model,k,method,trial_id,speaker,clip_index,source_path,coalition_payloads,valid_copy_count,payloads_tested,target_rank,target_payload,selection_rule,candidate_count,selection_score,payload_distance,weights,effective_members,max_weight,weights_valid,decoded_payload,target_hit,target_margin,hits_out_of_10,escaped,closest_member_bit_accuracy,watermark_score,decoded_bits,target_bit_accuracy,quality_reference,pesq,stoi,si_sdr
collusion_300,audioseal,5,payload_match,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 41736, 39946, 1364, 10712]",5,64,1,1492,nearest_nonmember_payloads,65531,-0.85539892,0.85539892,"[0.22727272549772978, 1.084756424694843e-15, 0.0, 0.49999999999999917, 0.27272727450226997]",2.65934066,0.50000000,1,1364,0,-0.84342813,2,0,1.00000000,0.999980,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",0.93750000,first_coalition_copy,4.5892,0.9993,34.95
collusion_300,audioseal,5,payload_match,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 41736, 39946, 1364, 10712]",5,64,2,10584,nearest_nonmember_payloads,65531,-0.86447199,0.86447199,"[0.0, 0.22340425682430046, 0.04255319048083277, 0.2340425526948669, 0.49999999999999994]",2.80507936,0.50000000,1,10584,1,0.13363791,2,1,0.93750000,0.999983,"[0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",1.00000000,first_coalition_copy,4.5597,0.9989,32.05
collusion_300,audioseal,5,payload_match,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 41736, 39946, 1364, 10712]",5,64,3,8664,nearest_nonmember_payloads,65531,-0.86602540,0.86602540,"[4.338553139523978e-16, 0.2499999999999986, 0.0, 0.25000000000000094, 0.5]",2.66666667,0.50000000,1,8536,0,-0.65835524,2,1,0.87500000,0.999984,"[0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",0.93750000,first_coalition_copy,4.5592,0.9989,32.01
collusion_300,audioseal,5,payload_match,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 41736, 39946, 1364, 10712]",5,64,4,41224,nearest_nonmember_payloads,65531,-0.87066900,0.87066900,"[2.992471989773254e-17, 0.5000000000000002, 0.20000000057008116, 0.06666666988491195, 0.23333332954500674]",2.86624205,0.50000000,1,41224,1,0.70562077,2,1,0.93750000,0.999981,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]",1.00000000,first_coalition_copy,4.5643,0.9989,32.06
collusion_300,audioseal,5,payload_match,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 41736, 39946, 1364, 10712]",5,64,5,43784,nearest_nonmember_payloads,65531,-0.87358909,0.87358909,"[0.0, 0.4999999999999971, 0.22222222203887232, 0.0, 0.27777777796113057]",2.65573770,0.50000000,1,41224,0,-0.87472057,2,1,0.93750000,0.999979,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]",0.87500000,first_coalition_copy,4.5600,0.9989,31.86
collusion_300,audioseal,5,payload_match,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 41736, 39946, 1364, 10712]",5,64,6,41800,nearest_nonmember_payloads,65531,-0.88293255,0.88293255,"[0.17073170180228522, 0.5000000000000011, 0.0, 0.02439025153342253, 0.3048780466642912]",2.68316044,0.50000000,1,41736,0,-0.68533230,2,0,1.00000000,0.999981,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1]",0.93750000,first_coalition_copy,4.5746,0.9991,33.17
collusion_300,audioseal,5,payload_match,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 41736, 39946, 1364, 10712]",5,64,7,41864,nearest_nonmember_payloads,65531,-0.88317609,0.88317609,"[0.181818177869786, 0.4999999999999988, 4.163336342344337e-16, 7.632783294297951e-17, 0.3181818221302147]",2.60215053,0.50000000,1,41736,0,-0.72857428,2,0,1.00000000,0.999980,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1]",0.93750000,first_coalition_copy,4.5744,0.9991,33.18
collusion_300,audioseal,5,payload_match,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 41736, 39946, 1364, 10712]",5,64,8,1360,nearest_nonmember_payloads,65531,-0.89201958,0.89201958,"[0.05999999542394149, 0.060000002982040855, 0.10000000254576785, 0.5000000000000006, 0.2799999990482493]",2.89351852,0.50000000,1,1364,0,-0.76149893,2,0,1.00000000,0.999979,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",0.93750000,first_coalition_copy,4.5775,0.9992,33.40
collusion_300,audioseal,5,payload_match,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 41736, 39946, 1364, 10712]",5,64,9,1372,nearest_nonmember_payloads,65531,-0.89201958,0.89201958,"[0.05999999588679666, 0.060000004253341385, 0.10000000096941435, 0.49999999999999784, 0.27999999889044985]",2.89351852,0.50000000,1,1364,0,-0.87824345,2,0,1.00000000,0.999979,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",0.93750000,first_coalition_copy,4.5775,0.9992,33.40
collusion_300,audioseal,5,payload_match,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[38855, 41736, 39946, 1364, 10712]",5,64,10,40202,nearest_nonmember_payloads,65531,-0.89418620,0.89418620,"[0.1881720362791615, 0.19892473518365403, 0.5000000000000004, 0.026881727414847588, 0.08602150112233656]",3.00208262,0.50000000,1,39946,0,-0.61859894,2,0,1.00000000,0.999982,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1]",0.93750000,first_coalition_copy,4.5876,0.9993,34.07
