dataset,model,k,method,trial_id,speaker,clip_index,source_path,coalition_payloads,valid_copy_count,payloads_tested,target_rank,target_payload,selection_rule,candidate_count,selection_score,payload_distance,weights,effective_members,max_weight,weights_valid,decoded_payload,target_hit,target_margin,hits_out_of_10,escaped,closest_member_bit_accuracy,watermark_score,decoded_bits,target_bit_accuracy,quality_reference,pesq,stoi,si_sdr
collusion_300,wmcodec,8,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[60587, 47002, 11698, 64433, 14273, 57418, 52561, 18644]",8,64,1,60851,largest_minimum_bit_margin,65528,-0.12980873,,"[0.2620658133413736, 0.05766718373623417, 0.25395225907306507, 0.1966901745000019, 0.010654147556348047, 0.02541288998408685, 0.17941949194303267, 0.01413803986585789]",4.80000000,0.26206581,1,9659,0,-24.02094174,0,1,0.81250000,,"[1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0]",0.75000000,first_coalition_copy,4.3488,0.9863,17.28
collusion_300,wmcodec,8,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[60587, 47002, 11698, 64433, 14273, 57418, 52561, 18644]",8,64,2,60849,largest_minimum_bit_margin,65528,-0.13259314,,"[0.2061619105824265, 0.014025387223097659, 0.18859940354703938, 0.2684126608453557, 0.03913529599162044, 0.0025639695382519492, 0.23266925340783542, 0.04843211886437304]",4.80000000,0.26841266,1,9649,0,-12.42142880,0,1,0.81250000,,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0]",0.81250000,first_coalition_copy,4.2834,0.9848,16.49
collusion_300,wmcodec,8,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[60587, 47002, 11698, 64433, 14273, 57418, 52561, 18644]",8,64,3,52689,largest_minimum_bit_margin,65528,-0.14978521,,"[0.10169322059689077, 0.05779836869898753, 0.0572120493793125, 0.10254477417160922, 0.10371421624905948, 0.019628865846525668, 0.36346411834913317, 0.1939443867084817]",4.80000000,0.36346412,1,52660,0,-17.53317177,0,1,0.68750000,,"[0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1]",0.75000000,first_coalition_copy,4.2999,0.9833,15.30
collusion_300,wmcodec,8,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[60587, 47002, 11698, 64433, 14273, 57418, 52561, 18644]",8,64,4,65457,largest_minimum_bit_margin,65528,-0.15108706,,"[0.13600783481855835, 0.12120389437522355, 0.0967732326618502, 0.3615857268862704, 0.13927947160580537, 0.0009325031030450744, 0.12327780393458375, 0.020939532614663307]",4.80000000,0.36158573,1,11185,0,-17.08375277,0,1,0.81250000,,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0]",0.75000000,first_coalition_copy,4.2514,0.9838,16.01
collusion_300,wmcodec,8,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[60587, 47002, 11698, 64433, 14273, 57418, 52561, 18644]",8,64,5,65425,largest_minimum_bit_margin,65528,-0.15409813,,"[0.07331348478042428, 0.19538652564358233, 0.023637648554248627, 0.31856917315667416, 0.1514899496103538, 0.0018439858411699794, 0.19531895509170502, 0.0404402773218418]",4.80000000,0.31856917,1,63460,0,-27.40958817,0,1,0.68750000,,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]",0.62500000,first_coalition_copy,4.2544,0.9822,15.42
collusion_300,wmcodec,8,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[60587, 47002, 11698, 64433, 14273, 57418, 52561, 18644]",8,64,6,60850,largest_minimum_bit_margin,65528,-0.15586599,,"[0.16795310559830304, 0.07429063978571515, 0.3571599832389244, 0.15811542612466248, 6.450101469852823e-05, 0.09400146793261, 0.10731694584632281, 0.04109793045876373]",4.80000000,0.35715998,1,11700,0,-18.42822953,0,1,0.87500000,,"[0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0]",0.75000000,first_coalition_copy,4.2603,0.9844,16.30
collusion_300,wmcodec,8,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[60587, 47002, 11698, 64433, 14273, 57418, 52561, 18644]",8,64,7,44466,largest_minimum_bit_margin,65528,-0.15822847,,"[0.13721678139400914, 0.17614743438848332, 0.36306667998130077, 0.11188372753548553, 0.023241953155280718, 0.05497598180761765, 0.09564964236102402, 0.03781779937679892]",4.80000000,0.36306668,1,11700,0,-23.49037479,0,1,0.87500000,,"[0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0]",0.81250000,first_coalition_copy,4.2621,0.9834,15.98
collusion_300,wmcodec,8,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[60587, 47002, 11698, 64433, 14273, 57418, 52561, 18644]",8,64,8,60881,largest_minimum_bit_margin,65528,-0.15823450,,"[0.1219114074200193, 0.033567103516989376, 0.08172268131158622, 0.1308642646480033, 0.15212935926786317, 0.04048214516761629, 0.35321691649948683, 0.08610612216843551]",5.08254577,0.35321692,1,52561,0,-25.95704672,0,0,1.00000000,,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1]",0.87500000,first_coalition_copy,4.2976,0.9839,15.58
collusion_300,wmcodec,8,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[60587, 47002, 11698, 64433, 14273, 57418, 52561, 18644]",8,64,9,60859,largest_minimum_bit_margin,65528,-0.15934950,,"[0.33782606181688307, 0.15406347553200456, 0.16188743127301464, 0.14828292981754657, 0.0020177940541095704, 0.049133730607248335, 0.14078985576638076, 0.005998721132812497]",4.80000000,0.33782606,1,13643,0,-20.23611742,0,1,0.75000000,,"[1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0]",0.50000000,first_coalition_copy,4.4708,0.9890,18.55
collusion_300,wmcodec,8,bit_margin,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[60587, 47002, 11698, 64433, 14273, 57418, 52561, 18644]",8,64,10,11666,largest_minimum_bit_margin,65528,-0.15956213,,"[0.059118817456835226, 0.1831488150938777, 0.3590412433584763, 0.01485535762877804, 0.10465055118732954, 0.047265357837098926, 0.08367717674001598, 0.14824268069758825]",4.80000000,0.35904124,1,56756,0,-16.66417918,0,1,0.68750000,,"[0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1]",0.56250000,first_coalition_copy,4.2722,0.9824,15.15
