dataset,model,k,method,trial_id,speaker,clip_index,source_path,coalition_payloads,valid_copy_count,payloads_tested,target_rank,target_payload,selection_rule,candidate_count,selection_score,payload_distance,weights,effective_members,max_weight,weights_valid,decoded_payload,target_hit,target_margin,hits_out_of_10,escaped,closest_member_bit_accuracy,watermark_score,decoded_bits,target_bit_accuracy,quality_reference,pesq,stoi,si_sdr
collusion_300,timbrewm,8,payload_match,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[946, 320, 877, 141, 681, 745, 623, 734]",8,8,1,621,nearest_nonmember_payloads,1016,-0.62360956,0.62360956,"[0.0, 1.2952594955651026e-16, 0.38888888333289573, 0.05555555535662742, 5.199368375668067e-16, 0.1666666733928023, 0.38888888791767395, 0.0]",3.00000003,0.38888889,1,621,1,0.20194912,3,1,0.90000000,,"[1, 0, 1, 1, 0, 1, 1, 0, 0, 1]",1.00000000,first_coalition_copy,4.3960,0.9913,29.97
collusion_300,timbrewm,8,payload_match,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[946, 320, 877, 141, 681, 745, 623, 734]",8,8,2,879,nearest_nonmember_payloads,1016,-0.67936622,0.67936622,"[0.076923072901966, 0.0, 0.4615384648006816, 1.2923689896027207e-15, 4.458239333260392e-16, 0.0, 0.46153846229735057, 0.0]",2.31506848,0.46153846,1,877,0,-0.08742666,3,0,1.00000000,,"[1, 0, 1, 1, 0, 1, 1, 0, 1, 1]",0.90000000,first_coalition_copy,4.4076,0.9920,30.35
collusion_300,timbrewm,8,payload_match,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[946, 320, 877, 141, 681, 745, 623, 734]",8,8,3,749,nearest_nonmember_payloads,1016,-0.70064905,0.70064905,"[0.0, 1.225297803897945e-16, 0.18181817774067535, 0.14545455124122125, 9.251820768756431e-17, 0.4909090922798877, 0.12727272721382116, 0.054545451524394266]",3.18086224,0.49090909,1,745,0,-0.01341248,3,0,1.00000000,,"[1, 0, 0, 1, 0, 1, 1, 1, 0, 1]",0.90000000,first_coalition_copy,4.4246,0.9917,30.22
collusion_300,timbrewm,8,payload_match,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[946, 320, 877, 141, 681, 745, 623, 734]",8,8,4,685,nearest_nonmember_payloads,1016,-0.72547625,0.72547625,"[0.0, 3.6009028001818847e-16, 0.11111110617635155, 0.2777777876472974, 0.4999999999999998, 0.0, 0.11111110617635067, 2.305231246544009e-16]",2.84210524,0.50000000,1,681,0,-0.02771473,3,0,1.00000000,,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",0.90000000,first_coalition_copy,4.4162,0.9918,30.17
collusion_300,timbrewm,8,payload_match,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[946, 320, 877, 141, 681, 745, 623, 734]",8,8,5,751,nearest_nonmember_payloads,1016,-0.73678840,0.73678840,"[0.0, 2.3602500077257736e-15, 1.0544175327385907e-17, 0.03125000737199349, 1.0653785829149813e-15, 0.28124999799366646, 0.4999999999999998, 0.18749999463433684]",2.73796793,0.50000000,1,751,1,0.07816601,3,1,0.90000000,,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1]",1.00000000,first_coalition_copy,4.3692,0.9907,30.07
collusion_300,timbrewm,8,payload_match,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[946, 320, 877, 141, 681, 745, 623, 734]",8,8,6,653,nearest_nonmember_payloads,1016,-0.75180941,0.75180941,"[3.620195678749768e-16, 0.0, 0.0499999972388991, 0.4999999999999997, 0.30000000461973086, 2.449681345525161e-16, 1.451954259182365e-16, 0.14999999814136963]",2.73972601,0.50000000,1,141,0,-0.03064680,3,0,1.00000000,,"[1, 0, 1, 1, 0, 0, 0, 1, 0, 0]",0.90000000,first_coalition_copy,4.4086,0.9914,30.23
collusion_300,timbrewm,8,payload_match,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[946, 320, 877, 141, 681, 745, 623, 734]",8,8,7,617,nearest_nonmember_payloads,1016,-0.75180941,0.75180941,"[0.0, 0.09090909597000407, 0.13636362565994176, 4.748511186114266e-16, 0.045454549362311115, 0.4999999999999999, 0.22727272900774279, 0.0]",3.02500001,0.50000000,1,745,0,-0.11796761,3,0,1.00000000,,"[1, 0, 0, 1, 0, 1, 1, 1, 0, 1]",0.90000000,first_coalition_copy,4.4311,0.9917,30.38
collusion_300,timbrewm,8,payload_match,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[946, 320, 877, 141, 681, 745, 623, 734]",8,8,8,873,nearest_nonmember_payloads,1016,-0.75592895,0.75592895,"[3.715119006580104e-16, 0.16666667170512947, 0.49999999999999917, 0.0, 8.209710037438902e-09, 0.3333333200851607, 2.297913132454969e-16, 5.126863474688515e-17]",2.57142862,0.50000000,1,873,1,0.08224869,3,1,0.90000000,,"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1]",1.00000000,first_coalition_copy,4.5041,0.9929,30.93
collusion_300,timbrewm,8,payload_match,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[946, 320, 877, 141, 681, 745, 623, 734]",8,8,9,747,nearest_nonmember_payloads,1016,-0.76613088,0.76613088,"[0.11764705884095569, 0.0, 8.497889037369563e-16, 5.202507524587441e-16, 0.029411766753904164, 0.49999999999999917, 0.32352941068939733, 0.029411763715742285]",2.70093458,0.50000000,1,745,0,-0.26878119,3,0,1.00000000,,"[1, 0, 0, 1, 0, 1, 1, 1, 0, 1]",0.90000000,first_coalition_copy,4.4231,0.9924,30.82
collusion_300,timbrewm,8,payload_match,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,"[946, 320, 877, 141, 681, 745, 623, 734]",8,8,10,1001,nearest_nonmember_payloads,1016,-0.76635604,0.76635604,"[0.12142856528594002, 0.021428581136454385, 0.32857141933818457, 0.0, 0.02857143423942137, 0.49999999999999956, 0.0, 0.0]",2.67394275,0.50000000,1,745,0,-0.04814768,3,0,1.00000000,,"[1, 0, 0, 1, 0, 1, 1, 1, 0, 1]",0.90000000,first_coalition_copy,4.4944,0.9937,31.33
collusion_300,timbrewm,8,payload_match,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,"[228, 735, 344, 789, 402, 669, 211, 750]",8,8,1,733,nearest_nonmember_payloads,1016,-0.66143783,0.66143783,"[0.06250000283202936, 0.4374999927447654, 0.06250000291451116, 0.0, 6.119591814457494e-16, 0.43750000150869334, 0.0, 1.596926567672168e-16]",2.56000003,0.43750000,1,733,1,0.27264953,6,1,0.90000000,,"[1, 0, 1, 1, 1, 0, 1, 1, 0, 1]",1.00000000,first_coalition_copy,4.1761,0.9920,29.40
collusion_300,timbrewm,8,payload_match,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,"[228, 735, 344, 789, 402, 669, 211, 750]",8,8,2,671,nearest_nonmember_payloads,1016,-0.67419986,0.67419986,"[0.0, 0.4545454465176998, 0.0, 8.301071962233511e-17, 0.09090909702198151, 0.45454545646031835, 1.0115239307414248e-16, 1.792146163336556e-16]",2.37254904,0.45454546,1,733,0,-0.18235970,6,1,0.90000000,,"[1, 0, 1, 1, 1, 0, 1, 1, 0, 1]",0.80000000,first_coalition_copy,4.1423,0.9910,28.99
collusion_300,timbrewm,8,payload_match,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,"[228, 735, 344, 789, 402, 669, 211, 750]",8,8,3,466,nearest_nonmember_payloads,1016,-0.73709368,0.73709368,"[0.017241380691367564, 5.68598588076367e-17, 0.1896551741413122, 1.1055225988661445e-16, 0.4999999999999983, 4.867308931769469e-16, 0.2844827570821793, 0.008620688085141928]",2.72278430,0.50000000,1,466,1,0.10054016,6,1,0.90000000,,"[0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",1.00000000,first_coalition_copy,4.5110,0.9922,31.60
collusion_300,timbrewm,8,payload_match,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,"[228, 735, 344, 789, 402, 669, 211, 750]",8,8,4,661,nearest_nonmember_payloads,1016,-0.74278135,0.74278135,"[0.07692307852926034, 2.886864176585809e-16, 0.0, 0.3076923069584115, 0.0, 0.49999999999999867, 0.11538461451232916, 0.0]",2.74796748,0.50000000,1,669,0,-0.15846395,6,0,1.00000000,,"[1, 0, 1, 1, 1, 0, 0, 1, 0, 1]",0.90000000,first_coalition_copy,4.2185,0.9926,29.96
collusion_300,timbrewm,8,payload_match,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,"[228, 735, 344, 789, 402, 669, 211, 750]",8,8,5,210,nearest_nonmember_payloads,1016,-0.74769989,0.74769989,"[0.10714286423335843, 0.0, 0.04464285729752789, 4.689122303376732e-16, 0.2946428580972498, 6.49226898884126e-16, 0.4999999999999998, 0.05357142037186301]",2.83160270,0.50000000,1,210,1,0.05097818,6,1,0.90000000,,"[0, 1, 0, 0, 1, 0, 1, 1, 0, 0]",1.00000000,first_coalition_copy,4.5163,0.9937,32.54
collusion_300,timbrewm,8,payload_match,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,"[228, 735, 344, 789, 402, 669, 211, 750]",8,8,6,230,nearest_nonmember_payloads,1016,-0.75106762,0.75106762,"[0.4999999999999992, 2.0572680093592272e-17, 0.0, 1.4071620000119973e-16, 0.058823532896904215, 4.691663426065452e-16, 0.11764705851654945, 0.32352940858654655]",2.68837211,0.50000000,1,228,0,-0.19862080,6,0,1.00000000,,"[0, 0, 1, 0, 0, 1, 1, 1, 0, 0]",0.90000000,first_coalition_copy,4.5824,0.9989,39.54
collusion_300,timbrewm,8,payload_match,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,"[228, 735, 344, 789, 402, 669, 211, 750]",8,8,7,727,nearest_nonmember_payloads,1016,-0.75277265,0.75277265,"[0.027777792050064986, 0.4999999999999992, 1.236327595746482e-15, 0.15277777289320962, 1.505124078316096e-16, 3.171289766333324e-16, 0.3055555530147034, 0.013888882042020965]",2.71983213,0.50000000,1,735,0,-0.09411716,6,0,1.00000000,,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 1]",0.90000000,first_coalition_copy,4.3313,0.9920,30.38
