dataset,model,K,method,trial_id,spk,local_t,clip_index,source_path,shard_id,num_shards,coalition_payloads,source_exact_count,source_payload_attempts,target_rank,target,target_selection_policy,selection_N_registry,N_registry,selection_score,hull_distance,weights,effective_K,max_weight,solver_success,decoded_identity,target_top1,target_margin,hits_selected_10,tracing_failure,NCA,presence,decoded_bits,target_bit_accuracy,quality_reference,PESQ,STOI,SI_SDR,elapsed_sec
collusion_300_shared4_source_correct_v21,voicemark,5,pm,0,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,0,7,"[38855, 41736, 39946, 1364, 10712]",5,64,1,1492,pm_global_convex_distance_top10_over_full_native_registry,65531,65536,-0.85539892,0.85539892,"[0.22727272549772978, 1.084756424694843e-15, 0.0, 0.49999999999999917, 0.27272727450226997]",2.65934066,0.50000000,1,84,0,-27.49438851,0,1,0.87500000,0.710561,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.81250000,first_source_correct_coalition_copy,4.1394,0.9705,16.42,8.886
collusion_300_shared4_source_correct_v21,voicemark,5,pm,0,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,0,7,"[38855, 41736, 39946, 1364, 10712]",5,64,2,10584,pm_global_convex_distance_top10_over_full_native_registry,65531,65536,-0.86447199,0.86447199,"[0.0, 0.22340425682430046, 0.04255319048083277, 0.2340425526948669, 0.49999999999999994]",2.80507936,0.50000000,1,9176,0,-10.20475370,0,1,0.87500000,0.719823,"[0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0]",0.81250000,first_source_correct_coalition_copy,3.7936,0.9576,14.12,8.886
collusion_300_shared4_source_correct_v21,voicemark,5,pm,0,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,0,7,"[38855, 41736, 39946, 1364, 10712]",5,64,3,8664,pm_global_convex_distance_top10_over_full_native_registry,65531,65536,-0.86602540,0.86602540,"[4.338553139523978e-16, 0.2499999999999986, 0.0, 0.25000000000000094, 0.5]",2.66666667,0.50000000,1,9176,0,-15.91678054,0,1,0.87500000,0.717325,"[0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0]",0.93750000,first_source_correct_coalition_copy,3.8003,0.9567,14.05,8.886
collusion_300_shared4_source_correct_v21,voicemark,5,pm,0,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,0,7,"[38855, 41736, 39946, 1364, 10712]",5,64,4,41224,pm_global_convex_distance_top10_over_full_native_registry,65531,65536,-0.87066900,0.87066900,"[2.992471989773254e-17, 0.5000000000000002, 0.20000000057008116, 0.06666666988491195, 0.23333332954500674]",2.86624205,0.50000000,1,8968,0,-23.48337907,0,1,0.93750000,0.737035,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",0.87500000,first_source_correct_coalition_copy,3.4642,0.9551,13.85,8.886
collusion_300_shared4_source_correct_v21,voicemark,5,pm,0,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,0,7,"[38855, 41736, 39946, 1364, 10712]",5,64,5,43784,pm_global_convex_distance_top10_over_full_native_registry,65531,65536,-0.87358909,0.87358909,"[0.0, 0.4999999999999971, 0.22222222203887232, 0.0, 0.27777777796113057]",2.65573770,0.50000000,1,8968,0,-15.17932101,0,1,0.93750000,0.741718,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",0.87500000,first_source_correct_coalition_copy,3.4272,0.9537,13.66,8.886
collusion_300_shared4_source_correct_v21,voicemark,5,pm,0,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,0,7,"[38855, 41736, 39946, 1364, 10712]",5,64,6,41800,pm_global_convex_distance_top10_over_full_native_registry,65531,65536,-0.88293255,0.88293255,"[0.17073170180228522, 0.5000000000000011, 0.0, 0.02439025153342253, 0.3048780466642912]",2.68316044,0.50000000,1,8968,0,-11.33723243,0,1,0.93750000,0.735911,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",0.87500000,first_source_correct_coalition_copy,3.7447,0.9584,15.03,8.886
collusion_300_shared4_source_correct_v21,voicemark,5,pm,0,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,0,7,"[38855, 41736, 39946, 1364, 10712]",5,64,7,41864,pm_global_convex_distance_top10_over_full_native_registry,65531,65536,-0.88317609,0.88317609,"[0.181818177869786, 0.4999999999999988, 4.163336342344337e-16, 7.632783294297951e-17, 0.3181818221302147]",2.60215053,0.50000000,1,9992,0,-14.80485409,0,1,0.87500000,0.737428,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0]",0.81250000,first_source_correct_coalition_copy,3.7430,0.9585,15.04,8.886
collusion_300_shared4_source_correct_v21,voicemark,5,pm,0,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,0,7,"[38855, 41736, 39946, 1364, 10712]",5,64,8,1360,pm_global_convex_distance_top10_over_full_native_registry,65531,65536,-0.89201958,0.89201958,"[0.05999999542394149, 0.060000002982040855, 0.10000000254576785, 0.5000000000000006, 0.2799999990482493]",2.89351852,0.50000000,1,84,0,-22.06687312,0,1,0.87500000,0.712356,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.81250000,first_source_correct_coalition_copy,3.9384,0.9642,15.11,8.886
collusion_300_shared4_source_correct_v21,voicemark,5,pm,0,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,0,7,"[38855, 41736, 39946, 1364, 10712]",5,64,9,1372,pm_global_convex_distance_top10_over_full_native_registry,65531,65536,-0.89201958,0.89201958,"[0.05999999588679666, 0.060000004253341385, 0.10000000096941435, 0.49999999999999784, 0.27999999889044985]",2.89351852,0.50000000,1,84,0,-21.35224085,0,1,0.87500000,0.712362,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.81250000,first_source_correct_coalition_copy,3.9384,0.9642,15.11,8.886
collusion_300_shared4_source_correct_v21,voicemark,5,pm,0,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,0,7,"[38855, 41736, 39946, 1364, 10712]",5,64,10,40202,pm_global_convex_distance_top10_over_full_native_registry,65531,65536,-0.89418620,0.89418620,"[0.1881720362791615, 0.19892473518365403, 0.5000000000000004, 0.026881727414847588, 0.08602150112233656]",3.00208262,0.50000000,1,39690,0,-17.45194972,0,1,0.81250000,0.745783,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1]",0.87500000,first_source_correct_coalition_copy,3.5198,0.9699,15.25,8.886
