dataset,model,K,method,trial_id,spk,local_t,clip_index,source_path,shard_id,num_shards,coalition_payloads,source_exact_count,source_payload_attempts,target_rank,target,target_selection_policy,selection_N_registry,N_registry,selection_score,hull_distance,weights,effective_K,max_weight,solver_success,decoded_identity,target_top1,target_margin,hits_selected_10,tracing_failure,NCA,presence,decoded_bits,target_bit_accuracy,quality_reference,PESQ,STOI,SI_SDR,elapsed_sec
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,0,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,0,7,"[38855, 41736, 39946, 1364, 10712]",5,64,1,8536,mrc_global_top10_over_full_native_registry,65531,65536,-0.12213776,,"[0.000286034455449982, 0.30527406366973725, 0.0056347511272772585, 0.3064356206647383, 0.38236953008279734]",3.00000000,0.38236953,1,1282,0,-34.58431391,0,1,0.75000000,,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",0.62500000,first_source_correct_coalition_copy,4.2723,0.9819,16.35,11.507
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,0,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,0,7,"[38855, 41736, 39946, 1364, 10712]",5,64,2,1492,mrc_global_top10_over_full_native_registry,65531,65536,-0.12849986,,"[0.2687270437098419, 0.011303436467255531, 0.011433622679210222, 0.4244429267982739, 0.2840929703454185]",3.00000000,0.42444293,1,1511,0,-9.99231988,0,1,0.75000000,,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0]",0.75000000,first_source_correct_coalition_copy,4.4190,0.9888,18.39,11.507
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,0,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,0,7,"[38855, 41736, 39946, 1364, 10712]",5,64,3,43272,mrc_global_top10_over_full_native_registry,65531,65536,-0.13065577,,"[0.00017557108375181475, 0.39042474886803125, 0.28938935370353835, 0.008426280311136316, 0.3115840460335423]",3.00000000,0.39042475,1,39944,0,-13.82399949,0,1,0.93750000,,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1]",0.75000000,first_source_correct_coalition_copy,4.2384,0.9819,16.16,11.507
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,0,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,0,7,"[38855, 41736, 39946, 1364, 10712]",5,64,4,10584,mrc_global_top10_over_full_native_registry,65531,65536,-0.13384866,,"[7.147959446635254e-06, 0.18809290394439018, 0.11138979202754226, 0.2084991828792403, 0.49201097318938064]",3.00000000,0.49201097,1,31194,0,-18.66488847,0,1,0.81250000,,"[0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0]",0.75000000,first_source_correct_coalition_copy,4.2499,0.9814,16.12,11.507
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,0,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,0,7,"[38855, 41736, 39946, 1364, 10712]",5,64,5,41224,mrc_global_top10_over_full_native_registry,65531,65536,-0.13607554,,"[0.00054107405583683, 0.4948299920984552, 0.19632834967493143, 0.1194597061438176, 0.18884087802695898]",3.00000000,0.49482999,1,41736,0,-16.49981621,0,0,1.00000000,,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1]",0.93750000,first_source_correct_coalition_copy,4.2590,0.9829,16.38,11.507
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,0,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,0,7,"[38855, 41736, 39946, 1364, 10712]",5,64,6,3416,mrc_global_top10_over_full_native_registry,65531,65536,-0.14151904,,"[0.0004181564958761649, 0.008303017759142727, 0.27595696403700853, 0.35883787735509565, 0.35648398435287687]",3.01144215,0.35883788,1,29698,0,-36.32093704,0,1,0.68750000,,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",0.43750000,first_source_correct_coalition_copy,4.2425,0.9816,16.05,11.507
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,0,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,0,7,"[38855, 41736, 39946, 1364, 10712]",5,64,7,8664,mrc_global_top10_over_full_native_registry,65531,65536,-0.14339365,,"[0.09247880850208264, 0.2173694603782402, 0.0005346242818788033, 0.20383806331290102, 0.4857790435248973]",3.00000000,0.48577904,1,32218,0,-22.20184303,0,1,0.75000000,,"[0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0]",0.68750000,first_source_correct_coalition_copy,4.3022,0.9836,16.85,11.507
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,0,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,0,7,"[38855, 41736, 39946, 1364, 10712]",5,64,8,41928,mrc_global_top10_over_full_native_registry,65531,65536,-0.14494616,,"[0.26624439871890165, 0.39681651886485286, 0.0033804529792723667, 0.00970959016623007, 0.32384903927074316]",3.00000000,0.39681652,1,38874,0,-30.33337781,0,1,0.75000000,,"[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1]",0.68750000,first_source_correct_coalition_copy,4.4188,0.9879,18.61,11.507
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,0,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,0,7,"[38855, 41736, 39946, 1364, 10712]",5,64,9,38666,mrc_global_top10_over_full_native_registry,65531,65536,-0.14593519,,"[0.29986350594773215, 0.32697518016176647, 0.3627180746006781, 0.010200260742050892, 0.00024297854777242353]",3.04414562,0.36271807,1,37642,0,-9.97707521,0,1,0.81250000,,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1]",0.93750000,first_source_correct_coalition_copy,4.4010,0.9895,18.85,11.507
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,0,chinese:SSB0005,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,0,7,"[38855, 41736, 39946, 1364, 10712]",5,64,10,34628,mrc_global_top10_over_full_native_registry,65531,65536,-0.14597478,,"[0.32714331227832544, 0.2997052374110874, 0.010234782985111665, 0.36256205085526627, 0.000354616470209259]",3.04504758,0.36256205,1,38322,0,-45.09700064,0,1,0.62500000,,"[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1]",0.50000000,first_source_correct_coalition_copy,4.4767,0.9908,19.63,11.507
