model,K,trial_id,spk,local_t,method,shift_ms,shifted_colluder_index,ASR,attribution_margin,PESQ,STOI
audioseal,5,0,chinese:SSB0005,0,mean,0,-1,1,2.71649408,4.6016,0.9993
audioseal,5,0,chinese:SSB0005,0,fwp,0,-1,1,2.00692701,4.6101,0.9994
audioseal,5,0,chinese:SSB0005,0,mean,-10,0,1,1.13142538,4.1722,0.9830
audioseal,5,0,chinese:SSB0005,0,fwp,-10,0,1,1.95155525,2.3827,0.8349
audioseal,5,0,chinese:SSB0005,0,mean,10,0,1,1.30311966,4.4416,0.9839
audioseal,5,0,chinese:SSB0005,0,fwp,10,0,1,1.71407175,2.3686,0.8345
audioseal,5,0,chinese:SSB0005,0,mean,-20,0,1,1.42042017,3.3522,0.9782
audioseal,5,0,chinese:SSB0005,0,fwp,-20,0,1,0.93926811,2.1487,0.8360
audioseal,5,0,chinese:SSB0005,0,mean,20,0,1,1.66348696,4.2273,0.9790
audioseal,5,0,chinese:SSB0005,0,fwp,20,0,1,0.90341330,2.1418,0.8370
audioseal,5,0,chinese:SSB0005,0,mean,-50,0,1,1.00656891,2.3399,0.9691
audioseal,5,0,chinese:SSB0005,0,fwp,-50,0,1,1.73495007,1.6423,0.7768
audioseal,5,0,chinese:SSB0005,0,mean,50,0,1,1.37300348,3.4417,0.9715
audioseal,5,0,chinese:SSB0005,0,fwp,50,0,1,1.23370266,1.5861,0.7615
audioseal,5,1,chinese:SSB0009,0,mean,0,-1,1,2.18860388,4.5714,0.9995
audioseal,5,1,chinese:SSB0009,0,fwp,0,-1,1,2.87128448,4.5897,0.9996
audioseal,5,1,chinese:SSB0009,0,mean,-10,1,1,4.07349205,4.0927,0.9855
audioseal,5,1,chinese:SSB0009,0,fwp,-10,1,1,0.85220242,2.3144,0.8857
audioseal,5,1,chinese:SSB0009,0,mean,10,1,1,4.22272110,4.4244,0.9859
audioseal,5,1,chinese:SSB0009,0,fwp,10,1,1,0.48641872,2.3339,0.8873
audioseal,5,1,chinese:SSB0009,0,mean,-20,1,1,2.06889057,3.4106,0.9825
audioseal,5,1,chinese:SSB0009,0,fwp,-20,1,1,3.84816790,2.0508,0.8274
audioseal,5,1,chinese:SSB0009,0,mean,20,1,1,2.07882500,4.1053,0.9829
