model,K,trial_id,spk,local_t,method,shift_ms,shifted_colluder_index,ASR,attribution_margin,PESQ,STOI
timbrewm,5,0,chinese:SSB0005,0,mean,0,-1,1,0.30854416,4.5486,0.9972
timbrewm,5,0,chinese:SSB0005,0,fwp,0,-1,1,0.29117250,4.5820,0.9966
timbrewm,5,0,chinese:SSB0005,0,mean,-10,0,1,0.04522991,4.1885,0.9807
timbrewm,5,0,chinese:SSB0005,0,fwp,-10,0,1,0.10176563,2.3692,0.8345
timbrewm,5,0,chinese:SSB0005,0,mean,10,0,1,0.03037310,4.3903,0.9811
timbrewm,5,0,chinese:SSB0005,0,fwp,10,0,0,-0.00651121,2.3299,0.8354
timbrewm,5,0,chinese:SSB0005,0,mean,-20,0,1,0.08075714,3.4540,0.9756
timbrewm,5,0,chinese:SSB0005,0,fwp,-20,0,1,0.14795351,2.0907,0.8352
timbrewm,5,0,chinese:SSB0005,0,mean,20,0,1,0.02736950,4.1522,0.9758
timbrewm,5,0,chinese:SSB0005,0,fwp,20,0,1,0.04141617,2.0910,0.8328
timbrewm,5,0,chinese:SSB0005,0,mean,-50,0,1,0.25393152,2.4680,0.9681
timbrewm,5,0,chinese:SSB0005,0,fwp,-50,0,1,0.13829708,1.6352,0.7714
timbrewm,5,0,chinese:SSB0005,0,mean,50,0,1,0.07541990,3.3449,0.9687
timbrewm,5,0,chinese:SSB0005,0,fwp,50,0,1,0.04570866,1.6279,0.7567
timbrewm,5,1,chinese:SSB0009,0,mean,0,-1,1,0.47578907,4.5564,0.9979
timbrewm,5,1,chinese:SSB0009,0,fwp,0,-1,1,0.23176289,4.6028,0.9985
timbrewm,5,1,chinese:SSB0009,0,mean,-10,1,1,0.31908751,4.1112,0.9839
timbrewm,5,1,chinese:SSB0009,0,fwp,-10,1,1,0.14327288,2.3421,0.8858
timbrewm,5,1,chinese:SSB0009,0,mean,10,1,1,0.30022144,4.3818,0.9844
timbrewm,5,1,chinese:SSB0009,0,fwp,10,1,1,0.06442547,2.3271,0.8872
timbrewm,5,1,chinese:SSB0009,0,mean,-20,1,1,0.34902048,3.5178,0.9812
timbrewm,5,1,chinese:SSB0009,0,fwp,-20,1,1,0.19332981,2.0259,0.8320
timbrewm,5,1,chinese:SSB0009,0,mean,20,1,1,0.33855534,4.0675,0.9816
timbrewm,5,1,chinese:SSB0009,0,fwp,20,1,1,0.06746483,2.0103,0.8298
timbrewm,5,1,chinese:SSB0009,0,mean,-50,1,1,0.35673332,2.5201,0.9761
timbrewm,5,1,chinese:SSB0009,0,fwp,-50,1,1,0.18436003,1.4910,0.7528
timbrewm,5,1,chinese:SSB0009,0,mean,50,1,1,0.32931900,3.4353,0.9783
timbrewm,5,1,chinese:SSB0009,0,fwp,50,1,1,0.11728191,1.5098,0.7460
timbrewm,5,2,chinese:SSB0011,0,mean,0,-1,1,0.27892399,4.5166,0.9945
timbrewm,5,2,chinese:SSB0011,0,fwp,0,-1,1,0.14468479,4.5126,0.9957
timbrewm,5,2,chinese:SSB0011,0,mean,-10,2,1,0.05893278,4.1756,0.9808
timbrewm,5,2,chinese:SSB0011,0,fwp,-10,2,1,0.11419153,2.0326,0.8597
timbrewm,5,2,chinese:SSB0011,0,mean,10,2,1,0.04177618,4.3189,0.9811
timbrewm,5,2,chinese:SSB0011,0,fwp,10,2,0,-0.02066898,2.0369,0.8587
timbrewm,5,2,chinese:SSB0011,0,mean,-20,2,1,0.08197832,3.3851,0.9784
timbrewm,5,2,chinese:SSB0011,0,fwp,-20,2,1,0.27247906,1.8866,0.8391
timbrewm,5,2,chinese:SSB0011,0,mean,20,2,1,0.04378176,4.0516,0.9789
timbrewm,5,2,chinese:SSB0011,0,fwp,20,2,1,0.02583885,1.9054,0.8442
timbrewm,5,2,chinese:SSB0011,0,mean,-50,2,1,0.24394417,2.2197,0.9722
timbrewm,5,2,chinese:SSB0011,0,fwp,-50,2,1,0.27123404,1.4090,0.7541
timbrewm,5,2,chinese:SSB0011,0,mean,50,2,1,0.10502052,3.1418,0.9748
timbrewm,5,2,chinese:SSB0011,0,fwp,50,2,1,0.07850027,1.4003,0.7479
timbrewm,5,3,chinese:SSB0012,0,mean,0,-1,1,0.20881605,4.5452,0.9973
timbrewm,5,3,chinese:SSB0012,0,fwp,0,-1,1,0.09710979,4.5776,0.9980
timbrewm,5,3,chinese:SSB0012,0,mean,-10,3,1,0.12597084,4.2175,0.9798
timbrewm,5,3,chinese:SSB0012,0,fwp,-10,3,1,0.26494551,2.3640,0.8397
