model,K,trial_id,spk,local_t,method,shift_ms,shifted_colluder_index,ASR,attribution_margin,PESQ,STOI
voicemark,5,0,chinese:SSB0005,0,mean,0,-1,1,19.57172987,4.1517,0.9694
voicemark,5,0,chinese:SSB0005,0,fwp,0,-1,1,38.16793646,3.7191,0.9573
voicemark,5,0,chinese:SSB0005,0,mean,-10,0,1,29.74797351,3.8139,0.9472
voicemark,5,0,chinese:SSB0005,0,fwp,-10,0,1,14.80002332,2.1624,0.8294
voicemark,5,0,chinese:SSB0005,0,mean,10,0,1,28.51675940,3.8348,0.9472
voicemark,5,0,chinese:SSB0005,0,fwp,10,0,1,17.99041003,2.1925,0.8331
voicemark,5,0,chinese:SSB0005,0,mean,-20,0,1,23.36498198,3.1919,0.9423
voicemark,5,0,chinese:SSB0005,0,fwp,-20,0,1,10.58110917,2.0247,0.8341
voicemark,5,0,chinese:SSB0005,0,mean,20,0,1,22.48602811,3.6003,0.9437
voicemark,5,0,chinese:SSB0005,0,fwp,20,0,1,14.15654755,2.0714,0.8358
voicemark,5,0,chinese:SSB0005,0,mean,-50,0,1,27.37905153,2.3724,0.9327
voicemark,5,0,chinese:SSB0005,0,fwp,-50,0,1,11.26983492,1.6277,0.7822
voicemark,5,0,chinese:SSB0005,0,mean,50,0,1,18.20935744,3.0569,0.9348
voicemark,5,0,chinese:SSB0005,0,fwp,50,0,1,17.55310392,1.6448,0.7643
voicemark,5,1,chinese:SSB0009,0,mean,0,-1,1,25.01618596,3.9566,0.9673
voicemark,5,1,chinese:SSB0009,0,fwp,0,-1,1,18.26082610,3.3877,0.9536
voicemark,5,1,chinese:SSB0009,0,mean,-10,1,1,27.97501861,3.5137,0.9500
voicemark,5,1,chinese:SSB0009,0,fwp,-10,1,1,8.13551037,2.1133,0.8582
voicemark,5,1,chinese:SSB0009,0,mean,10,1,1,23.97685315,3.6300,0.9504
voicemark,5,1,chinese:SSB0009,0,fwp,10,1,1,10.73615897,2.1644,0.8590
voicemark,5,1,chinese:SSB0009,0,mean,-20,1,1,31.15449990,2.9376,0.9453
voicemark,5,1,chinese:SSB0009,0,fwp,-20,1,1,9.89864002,1.8335,0.7989
voicemark,5,1,chinese:SSB0009,0,mean,20,1,1,30.50409437,3.3750,0.9461
voicemark,5,1,chinese:SSB0009,0,fwp,20,1,1,12.64631133,1.8279,0.8003
voicemark,5,1,chinese:SSB0009,0,mean,-50,1,1,28.07807235,2.1135,0.9369
voicemark,5,1,chinese:SSB0009,0,fwp,-50,1,1,7.92158524,1.4378,0.6861
voicemark,5,1,chinese:SSB0009,0,mean,50,1,1,25.15548169,2.6497,0.9396
voicemark,5,1,chinese:SSB0009,0,fwp,50,1,1,11.65344600,1.3780,0.6707
voicemark,5,2,chinese:SSB0011,0,mean,0,-1,1,8.46617512,4.0354,0.9675
voicemark,5,2,chinese:SSB0011,0,fwp,0,-1,1,7.71278978,4.2225,0.9746
