model,K,trial_id,spk,local_t,method,shift_ms,shifted_colluder_index,ASR,attribution_margin,PESQ,STOI
wavmark,5,0,chinese:SSB0005,0,mean,0,-1,1,3.00000000,4.5766,0.9982
wavmark,5,0,chinese:SSB0005,0,fwp,0,-1,1,4.00000000,4.5433,0.9973
wavmark,5,0,chinese:SSB0005,0,mean,-10,0,1,2.00000000,4.2276,0.9815
wavmark,5,0,chinese:SSB0005,0,fwp,-10,0,1,2.00000000,2.3678,0.8318
wavmark,5,0,chinese:SSB0005,0,mean,10,0,1,2.00000000,4.4299,0.9821
wavmark,5,0,chinese:SSB0005,0,fwp,10,0,1,4.00000000,2.3616,0.8307
wavmark,5,0,chinese:SSB0005,0,mean,-20,0,1,3.00000000,3.3982,0.9766
wavmark,5,0,chinese:SSB0005,0,fwp,-20,0,1,3.00000000,2.1296,0.8343
wavmark,5,0,chinese:SSB0005,0,mean,20,0,1,4.00000000,4.2159,0.9774
wavmark,5,0,chinese:SSB0005,0,fwp,20,0,1,4.00000000,2.1249,0.8347
wavmark,5,0,chinese:SSB0005,0,mean,-50,0,1,3.00000000,2.3197,0.9677
wavmark,5,0,chinese:SSB0005,0,fwp,-50,0,1,3.00000000,1.6214,0.7753
wavmark,5,0,chinese:SSB0005,0,mean,50,0,1,3.00000000,3.3835,0.9696
wavmark,5,0,chinese:SSB0005,0,fwp,50,0,1,4.00000000,1.6220,0.7576
wavmark,5,1,chinese:SSB0009,0,mean,0,-1,1,1.00000000,4.5937,0.9999
wavmark,5,1,chinese:SSB0009,0,fwp,0,-1,1,5.00000000,4.6022,0.9999
wavmark,5,1,chinese:SSB0009,0,mean,-10,1,1,4.00000000,4.1077,0.9857
wavmark,5,1,chinese:SSB0009,0,fwp,-10,1,1,5.00000000,2.3046,0.8863
wavmark,5,1,chinese:SSB0009,0,mean,10,1,1,3.00000000,4.4186,0.9861
wavmark,5,1,chinese:SSB0009,0,fwp,10,1,1,1.00000000,2.3172,0.8869
wavmark,5,1,chinese:SSB0009,0,mean,-20,1,1,4.00000000,3.4165,0.9831
wavmark,5,1,chinese:SSB0009,0,fwp,-20,1,1,4.00000000,1.9568,0.8298
wavmark,5,1,chinese:SSB0009,0,mean,20,1,1,4.00000000,4.1222,0.9835
wavmark,5,1,chinese:SSB0009,0,fwp,20,1,1,5.00000000,2.0276,0.8283
