model,K,trial_id,spk,local_t,method,shift_ms,shifted_colluder_index,ASR,attribution_margin,PESQ,STOI
wmcodec,5,0,chinese:SSB0005,0,mean,0,-1,1,27.23983398,4.3676,0.9856
wmcodec,5,0,chinese:SSB0005,0,fwp,0,-1,1,30.88492818,4.1864,0.9787
wmcodec,5,0,chinese:SSB0005,0,mean,-10,0,1,5.68432149,3.9903,0.9664
wmcodec,5,0,chinese:SSB0005,0,fwp,-10,0,1,7.97390694,2.2586,0.8292
wmcodec,5,0,chinese:SSB0005,0,mean,10,0,1,8.80912807,4.1369,0.9670
wmcodec,5,0,chinese:SSB0005,0,fwp,10,0,1,4.07328788,2.2672,0.8303
wmcodec,5,0,chinese:SSB0005,0,mean,-20,0,1,3.41388828,3.1663,0.9596
wmcodec,5,0,chinese:SSB0005,0,fwp,-20,0,1,0.41591096,2.1131,0.8322
wmcodec,5,0,chinese:SSB0005,0,mean,20,0,1,10.68189572,3.8138,0.9597
wmcodec,5,0,chinese:SSB0005,0,fwp,20,0,0,-0.28417206,2.0368,0.8307
wmcodec,5,0,chinese:SSB0005,0,mean,-50,0,1,2.53588784,2.1700,0.9519
wmcodec,5,0,chinese:SSB0005,0,fwp,-50,0,1,2.64495486,1.5749,0.7734
wmcodec,5,0,chinese:SSB0005,0,mean,50,0,1,11.99717932,3.0177,0.9508
wmcodec,5,0,chinese:SSB0005,0,fwp,50,0,1,3.91208541,1.5769,0.7544
wmcodec,5,1,chinese:SSB0009,0,mean,0,-1,1,15.87022748,4.2916,0.9854
wmcodec,5,1,chinese:SSB0009,0,fwp,0,-1,1,8.85973039,4.1056,0.9804
wmcodec,5,1,chinese:SSB0009,0,mean,-10,1,1,9.96009275,4.0380,0.9722
wmcodec,5,1,chinese:SSB0009,0,fwp,-10,1,1,9.29367108,2.2798,0.8701
wmcodec,5,1,chinese:SSB0009,0,mean,10,1,1,6.75216399,4.1039,0.9739
wmcodec,5,1,chinese:SSB0009,0,fwp,10,1,1,16.15350908,2.3887,0.8870
wmcodec,5,1,chinese:SSB0009,0,mean,-20,1,1,5.61631215,3.2237,0.9693
wmcodec,5,1,chinese:SSB0009,0,fwp,-20,1,1,7.60410603,1.8501,0.8191
wmcodec,5,1,chinese:SSB0009,0,mean,20,1,1,5.94531922,3.8033,0.9706
wmcodec,5,1,chinese:SSB0009,0,fwp,20,1,1,7.73818862,1.9247,0.8335
wmcodec,5,1,chinese:SSB0009,0,mean,-50,1,1,8.91761911,2.2925,0.9635
wmcodec,5,1,chinese:SSB0009,0,fwp,-50,1,1,6.49090117,1.3671,0.7588
wmcodec,5,1,chinese:SSB0009,0,mean,50,1,1,6.56747633,2.7982,0.9666
wmcodec,5,1,chinese:SSB0009,0,fwp,50,1,1,4.25078955,1.4031,0.7542
wmcodec,5,2,chinese:SSB0011,0,mean,0,-1,1,16.99604589,4.3203,0.9849
wmcodec,5,2,chinese:SSB0011,0,fwp,0,-1,1,10.86319160,4.3599,0.9884
wmcodec,5,2,chinese:SSB0011,0,mean,-10,2,1,17.55444312,3.6785,0.9709
wmcodec,5,2,chinese:SSB0011,0,fwp,-10,2,1,12.22530263,1.8289,0.8377
wmcodec,5,2,chinese:SSB0011,0,mean,10,2,1,18.69451886,3.7260,0.9713
wmcodec,5,2,chinese:SSB0011,0,fwp,10,2,1,15.36611965,1.7386,0.8401
wmcodec,5,2,chinese:SSB0011,0,mean,-20,2,1,17.17793935,3.1711,0.9671
wmcodec,5,2,chinese:SSB0011,0,fwp,-20,2,1,28.99637146,1.6946,0.8195
wmcodec,5,2,chinese:SSB0011,0,mean,20,2,1,19.40698632,3.6919,0.9691
wmcodec,5,2,chinese:SSB0011,0,fwp,20,2,1,3.86813208,1.5876,0.8291
wmcodec,5,2,chinese:SSB0011,0,mean,-50,2,1,23.01889412,1.9798,0.9593
wmcodec,5,2,chinese:SSB0011,0,fwp,-50,2,1,15.86976193,1.3254,0.7495
wmcodec,5,2,chinese:SSB0011,0,mean,50,2,1,21.87851479,2.7769,0.9628
wmcodec,5,2,chinese:SSB0011,0,fwp,50,2,1,13.27689360,1.3095,0.7283
wmcodec,5,3,chinese:SSB0012,0,mean,0,-1,1,21.23419789,4.2504,0.9832
wmcodec,5,3,chinese:SSB0012,0,fwp,0,-1,1,30.80261758,3.9930,0.9729
wmcodec,5,3,chinese:SSB0012,0,mean,-10,3,1,21.30122474,3.8798,0.9683
wmcodec,5,3,chinese:SSB0012,0,fwp,-10,3,1,31.21016305,2.0705,0.8256
wmcodec,5,3,chinese:SSB0012,0,mean,10,3,1,18.40418822,4.1025,0.9682
wmcodec,5,3,chinese:SSB0012,0,fwp,10,3,1,5.69175152,2.2199,0.8422
wmcodec,5,3,chinese:SSB0012,0,mean,-20,3,1,21.82857405,2.9197,0.9633
wmcodec,5,3,chinese:SSB0012,0,fwp,-20,3,1,20.55533056,1.9208,0.8138
wmcodec,5,3,chinese:SSB0012,0,mean,20,3,1,24.99195559,3.7284,0.9635
wmcodec,5,3,chinese:SSB0012,0,fwp,20,3,1,11.28131148,2.0001,0.8195
wmcodec,5,3,chinese:SSB0012,0,mean,-50,3,1,11.17623847,2.1616,0.9607
wmcodec,5,3,chinese:SSB0012,0,fwp,-50,3,1,5.99215943,1.4009,0.7494
wmcodec,5,3,chinese:SSB0012,0,mean,50,3,1,22.39466682,2.8841,0.9587
wmcodec,5,3,chinese:SSB0012,0,fwp,50,3,1,3.75179426,1.4283,0.7237
wmcodec,5,4,chinese:SSB0016,0,mean,0,-1,1,10.56170679,4.3690,0.9848
wmcodec,5,4,chinese:SSB0016,0,fwp,0,-1,1,24.79322868,4.1529,0.9757
wmcodec,5,4,chinese:SSB0016,0,mean,-10,4,1,7.92076222,3.9842,0.9724
wmcodec,5,4,chinese:SSB0016,0,fwp,-10,4,1,3.10442641,2.2105,0.8596
wmcodec,5,4,chinese:SSB0016,0,mean,10,4,1,6.54613595,4.1227,0.9718
wmcodec,5,4,chinese:SSB0016,0,fwp,10,4,1,6.48475402,2.1220,0.8588
wmcodec,5,4,chinese:SSB0016,0,mean,-20,4,1,5.80736049,3.0964,0.9675
wmcodec,5,4,chinese:SSB0016,0,fwp,-20,4,0,-1.02035049,1.8368,0.8207
wmcodec,5,4,chinese:SSB0016,0,mean,20,4,1,4.96443070,3.7877,0.9681
wmcodec,5,4,chinese:SSB0016,0,fwp,20,4,1,24.70544589,1.8433,0.8314
wmcodec,5,4,chinese:SSB0016,0,mean,-50,4,1,7.36559034,2.2316,0.9620
wmcodec,5,4,chinese:SSB0016,0,fwp,-50,4,1,8.10132200,1.4160,0.7554
wmcodec,5,4,chinese:SSB0016,0,mean,50,4,1,5.72259626,2.8105,0.9603
wmcodec,5,4,chinese:SSB0016,0,fwp,50,4,1,18.65118934,1.4136,0.7214
wmcodec,5,5,chinese:SSB0018,0,mean,0,-1,1,19.00277729,4.3470,0.9865
wmcodec,5,5,chinese:SSB0018,0,fwp,0,-1,1,24.49485048,4.4011,0.9897
wmcodec,5,5,chinese:SSB0018,0,mean,-10,0,1,19.80659486,3.7367,0.9665
wmcodec,5,5,chinese:SSB0018,0,fwp,-10,0,1,12.92039137,2.3693,0.8611
wmcodec,5,5,chinese:SSB0018,0,mean,10,0,1,16.61643415,4.0617,0.9675
wmcodec,5,5,chinese:SSB0018,0,fwp,10,0,1,8.64531520,2.4031,0.8659
wmcodec,5,5,chinese:SSB0018,0,mean,-20,0,1,18.73141684,2.8423,0.9586
wmcodec,5,5,chinese:SSB0018,0,fwp,-20,0,1,9.58755265,1.6308,0.8036
wmcodec,5,5,chinese:SSB0018,0,mean,20,0,1,14.65869182,3.5787,0.9605
wmcodec,5,5,chinese:SSB0018,0,fwp,20,0,1,2.23152471,1.6566,0.8118
wmcodec,5,5,chinese:SSB0018,0,mean,-50,0,1,15.20412894,1.8526,0.9549
wmcodec,5,5,chinese:SSB0018,0,fwp,-50,0,0,-3.50331391,1.2921,0.7629
wmcodec,5,5,chinese:SSB0018,0,mean,50,0,1,17.92039564,2.3850,0.9534
wmcodec,5,5,chinese:SSB0018,0,fwp,50,0,1,8.00217815,1.2804,0.7408
wmcodec,5,6,chinese:SSB0033,0,mean,0,-1,1,19.26804714,4.3404,0.9889
wmcodec,5,6,chinese:SSB0033,0,fwp,0,-1,1,6.93945944,4.3456,0.9927
wmcodec,5,6,chinese:SSB0033,0,mean,-10,1,1,8.11054147,3.9158,0.9770
wmcodec,5,6,chinese:SSB0033,0,fwp,-10,1,1,19.22436885,2.2369,0.8775
wmcodec,5,6,chinese:SSB0033,0,mean,10,1,1,17.63256237,4.1647,0.9764
wmcodec,5,6,chinese:SSB0033,0,fwp,10,1,1,6.84879532,2.2429,0.8748
wmcodec,5,6,chinese:SSB0033,0,mean,-20,1,1,2.88267143,2.9707,0.9720
wmcodec,5,6,chinese:SSB0033,0,fwp,-20,1,1,22.92621598,1.5441,0.8252
wmcodec,5,6,chinese:SSB0033,0,mean,20,1,1,12.91490187,3.5758,0.9721
wmcodec,5,6,chinese:SSB0033,0,fwp,20,1,1,6.73537607,1.5644,0.8246
wmcodec,5,6,chinese:SSB0033,0,mean,-50,1,1,12.23528960,2.0497,0.9653
wmcodec,5,6,chinese:SSB0033,0,fwp,-50,1,1,6.44060868,1.2981,0.7701
wmcodec,5,6,chinese:SSB0033,0,mean,50,1,1,10.88285762,2.4812,0.9643
wmcodec,5,6,chinese:SSB0033,0,fwp,50,1,1,14.59757540,1.2957,0.7386
wmcodec,5,7,chinese:SSB0038,0,mean,0,-1,1,20.22536974,4.3945,0.9900
wmcodec,5,7,chinese:SSB0038,0,fwp,0,-1,1,1.51889518,4.1262,0.9848
wmcodec,5,7,chinese:SSB0038,0,mean,-10,2,1,27.32539587,3.8488,0.9762
wmcodec,5,7,chinese:SSB0038,0,fwp,-10,2,1,15.93163689,2.3143,0.8730
wmcodec,5,7,chinese:SSB0038,0,mean,10,2,1,26.03783208,4.2585,0.9758
wmcodec,5,7,chinese:SSB0038,0,fwp,10,2,1,8.13206352,2.2423,0.8770
wmcodec,5,7,chinese:SSB0038,0,mean,-20,2,1,26.02951657,3.0228,0.9693
wmcodec,5,7,chinese:SSB0038,0,fwp,-20,2,1,7.44313475,1.7125,0.8015
wmcodec,5,7,chinese:SSB0038,0,mean,20,2,1,19.37556743,3.7303,0.9693
wmcodec,5,7,chinese:SSB0038,0,fwp,20,2,1,18.74979233,1.6380,0.8120
wmcodec,5,7,chinese:SSB0038,0,mean,-50,2,1,8.78447691,1.8720,0.9624
wmcodec,5,7,chinese:SSB0038,0,fwp,-50,2,1,5.85625407,1.3033,0.7523
wmcodec,5,7,chinese:SSB0038,0,mean,50,2,1,19.44149250,2.5655,0.9625
wmcodec,5,7,chinese:SSB0038,0,fwp,50,2,1,4.55303179,1.2986,0.7135
wmcodec,5,8,chinese:SSB0043,0,mean,0,-1,1,13.26770204,4.0372,0.9764
wmcodec,5,8,chinese:SSB0043,0,fwp,0,-1,1,11.49438378,4.2033,0.9832
wmcodec,5,8,chinese:SSB0043,0,mean,-10,3,1,16.38076616,3.6797,0.9636
wmcodec,5,8,chinese:SSB0043,0,fwp,-10,3,1,17.59749393,1.8948,0.8235
wmcodec,5,8,chinese:SSB0043,0,mean,10,3,1,20.92169053,3.8639,0.9640
wmcodec,5,8,chinese:SSB0043,0,fwp,10,3,1,11.88688204,1.9557,0.8301
wmcodec,5,8,chinese:SSB0043,0,mean,-20,3,1,18.32326106,3.1405,0.9585
wmcodec,5,8,chinese:SSB0043,0,fwp,-20,3,1,18.01227145,1.8050,0.8191
wmcodec,5,8,chinese:SSB0043,0,mean,20,3,1,20.81383406,3.6630,0.9601
wmcodec,5,8,chinese:SSB0043,0,fwp,20,3,1,8.21445744,1.7767,0.8243
wmcodec,5,8,chinese:SSB0043,0,mean,-50,3,1,13.64312834,2.0898,0.9485
wmcodec,5,8,chinese:SSB0043,0,fwp,-50,3,1,13.73268277,1.3262,0.7261
wmcodec,5,8,chinese:SSB0043,0,mean,50,3,1,19.90859949,2.6858,0.9508
wmcodec,5,8,chinese:SSB0043,0,fwp,50,3,1,13.22185624,1.3885,0.7152
wmcodec,5,9,chinese:SSB0057,0,mean,0,-1,1,21.83962092,4.3791,0.9848
wmcodec,5,9,chinese:SSB0057,0,fwp,0,-1,1,16.39151106,4.1797,0.9786
wmcodec,5,9,chinese:SSB0057,0,mean,-10,4,1,19.59472236,4.0222,0.9740
wmcodec,5,9,chinese:SSB0057,0,fwp,-10,4,1,9.43882401,2.6099,0.9031
wmcodec,5,9,chinese:SSB0057,0,mean,10,4,1,18.85479707,4.2659,0.9739
wmcodec,5,9,chinese:SSB0057,0,fwp,10,4,1,11.73625448,2.6803,0.8984
wmcodec,5,9,chinese:SSB0057,0,mean,-20,4,1,20.34136874,3.3038,0.9714
wmcodec,5,9,chinese:SSB0057,0,fwp,-20,4,1,2.11727485,1.9022,0.8532
wmcodec,5,9,chinese:SSB0057,0,mean,20,4,1,22.78096697,3.8473,0.9706
wmcodec,5,9,chinese:SSB0057,0,fwp,20,4,1,0.27018315,2.0340,0.8462
wmcodec,5,9,chinese:SSB0057,0,mean,-50,4,1,19.86455581,2.1380,0.9640
wmcodec,5,9,chinese:SSB0057,0,fwp,-50,4,1,9.63511601,1.4496,0.7973
wmcodec,5,9,chinese:SSB0057,0,mean,50,4,1,20.69134315,2.7354,0.9623
wmcodec,5,9,chinese:SSB0057,0,fwp,50,4,0,-2.52321310,1.4802,0.7892
wmcodec,5,10,chinese:SSB0073,0,mean,0,-1,1,9.05109468,4.2939,0.9845
wmcodec,5,10,chinese:SSB0073,0,fwp,0,-1,1,16.85348827,3.9621,0.9764
wmcodec,5,10,chinese:SSB0073,0,mean,-10,0,1,5.89800310,3.7576,0.9631
wmcodec,5,10,chinese:SSB0073,0,fwp,-10,0,1,5.09242031,2.2159,0.8415
wmcodec,5,10,chinese:SSB0073,0,mean,10,0,1,11.92263804,4.0014,0.9635
wmcodec,5,10,chinese:SSB0073,0,fwp,10,0,1,12.26703618,2.1515,0.8458
wmcodec,5,10,chinese:SSB0073,0,mean,-20,0,1,7.89766327,2.9896,0.9597
wmcodec,5,10,chinese:SSB0073,0,fwp,-20,0,1,6.92394926,1.7687,0.8215
wmcodec,5,10,chinese:SSB0073,0,mean,20,0,1,8.05051464,3.6146,0.9592
wmcodec,5,10,chinese:SSB0073,0,fwp,20,0,1,13.53157149,1.7690,0.8186
wmcodec,5,10,chinese:SSB0073,0,mean,-50,0,1,2.82745534,2.2149,0.9525
wmcodec,5,10,chinese:SSB0073,0,fwp,-50,0,1,16.37700706,1.4648,0.7460
wmcodec,5,10,chinese:SSB0073,0,mean,50,0,1,10.76088309,2.9945,0.9538
wmcodec,5,10,chinese:SSB0073,0,fwp,50,0,1,7.46959635,1.4987,0.7262
wmcodec,5,11,chinese:SSB0080,0,mean,0,-1,1,20.52939771,4.3618,0.9832
wmcodec,5,11,chinese:SSB0080,0,fwp,0,-1,1,5.06708762,4.1449,0.9725
wmcodec,5,11,chinese:SSB0080,0,mean,-10,1,1,18.71550924,3.9395,0.9665
wmcodec,5,11,chinese:SSB0080,0,fwp,-10,1,1,8.00676254,2.1537,0.8405
wmcodec,5,11,chinese:SSB0080,0,mean,10,1,1,18.30497708,4.2334,0.9644
wmcodec,5,11,chinese:SSB0080,0,fwp,10,1,1,3.98748541,2.2295,0.8428
wmcodec,5,11,chinese:SSB0080,0,mean,-20,1,1,20.90476847,3.2020,0.9575
wmcodec,5,11,chinese:SSB0080,0,fwp,-20,1,1,12.81652865,1.7327,0.7885
wmcodec,5,11,chinese:SSB0080,0,mean,20,1,1,20.14481565,3.7846,0.9587
wmcodec,5,11,chinese:SSB0080,0,fwp,20,1,1,5.27783453,1.7516,0.7916
wmcodec,5,11,chinese:SSB0080,0,mean,-50,1,1,15.93247464,2.2628,0.9501
wmcodec,5,11,chinese:SSB0080,0,fwp,-50,1,1,2.80762494,1.3374,0.7306
wmcodec,5,11,chinese:SSB0080,0,mean,50,1,1,18.82241249,2.6274,0.9535
wmcodec,5,11,chinese:SSB0080,0,fwp,50,1,1,9.27110962,1.4118,0.7180
wmcodec,5,12,chinese:SSB0112,0,mean,0,-1,1,18.67486591,4.4601,0.9894
wmcodec,5,12,chinese:SSB0112,0,fwp,0,-1,1,15.53223250,4.3801,0.9829
wmcodec,5,12,chinese:SSB0112,0,mean,-10,2,1,13.39481157,3.8467,0.9767
wmcodec,5,12,chinese:SSB0112,0,fwp,-10,2,1,9.88663294,2.4278,0.8755
wmcodec,5,12,chinese:SSB0112,0,mean,10,2,1,17.32881744,4.2900,0.9766
wmcodec,5,12,chinese:SSB0112,0,fwp,10,2,1,20.81330170,2.4793,0.8833
wmcodec,5,12,chinese:SSB0112,0,mean,-20,2,1,9.33587311,2.8852,0.9708
wmcodec,5,12,chinese:SSB0112,0,fwp,-20,2,1,4.33690236,1.7375,0.8251
wmcodec,5,12,chinese:SSB0112,0,mean,20,2,1,12.53142956,3.7964,0.9704
wmcodec,5,12,chinese:SSB0112,0,fwp,20,2,1,19.40280223,1.7350,0.8099
wmcodec,5,12,chinese:SSB0112,0,mean,-50,2,1,9.93574634,1.9193,0.9648
wmcodec,5,12,chinese:SSB0112,0,fwp,-50,2,0,-1.92999367,1.2964,0.7869
wmcodec,5,12,chinese:SSB0112,0,mean,50,2,1,13.10721067,2.4265,0.9618
wmcodec,5,12,chinese:SSB0112,0,fwp,50,2,1,9.63335059,1.3134,0.7554
wmcodec,5,13,chinese:SSB0122,0,mean,0,-1,1,15.24817029,4.4202,0.9886
wmcodec,5,13,chinese:SSB0122,0,fwp,0,-1,1,22.15956996,4.2025,0.9828
wmcodec,5,13,chinese:SSB0122,0,mean,-10,3,1,12.52408849,3.9299,0.9741
wmcodec,5,13,chinese:SSB0122,0,fwp,-10,3,1,7.73199084,2.3971,0.8726
wmcodec,5,13,chinese:SSB0122,0,mean,10,3,1,13.45550291,4.2388,0.9750
wmcodec,5,13,chinese:SSB0122,0,fwp,10,3,1,0.27056116,2.3955,0.8786
wmcodec,5,13,chinese:SSB0122,0,mean,-20,3,1,10.19068018,2.8062,0.9696
wmcodec,5,13,chinese:SSB0122,0,fwp,-20,3,1,11.30730847,1.6740,0.8064
wmcodec,5,13,chinese:SSB0122,0,mean,20,3,1,12.60872525,3.5193,0.9693
wmcodec,5,13,chinese:SSB0122,0,fwp,20,3,0,-2.81547078,1.6316,0.7970
wmcodec,5,13,chinese:SSB0122,0,mean,-50,3,1,5.72893998,1.7457,0.9641
wmcodec,5,13,chinese:SSB0122,0,fwp,-50,3,1,7.79388835,1.2201,0.7521
wmcodec,5,13,chinese:SSB0122,0,mean,50,3,1,11.18866178,2.2419,0.9614
wmcodec,5,13,chinese:SSB0122,0,fwp,50,3,1,3.85685866,1.2032,0.7069
wmcodec,5,14,chinese:SSB0133,0,mean,0,-1,1,15.87340437,4.3194,0.9855
wmcodec,5,14,chinese:SSB0133,0,fwp,0,-1,1,13.96782615,3.9536,0.9763
wmcodec,5,14,chinese:SSB0133,0,mean,-10,4,1,12.46829414,3.8169,0.9727
wmcodec,5,14,chinese:SSB0133,0,fwp,-10,4,1,0.07806504,1.8693,0.8706
wmcodec,5,14,chinese:SSB0133,0,mean,10,4,1,8.54331835,4.1233,0.9719
wmcodec,5,14,chinese:SSB0133,0,fwp,10,4,0,-1.30576226,1.8416,0.8726
wmcodec,5,14,chinese:SSB0133,0,mean,-20,4,1,15.67168071,3.0061,0.9699
wmcodec,5,14,chinese:SSB0133,0,fwp,-20,4,1,3.41683339,1.6832,0.8606
wmcodec,5,14,chinese:SSB0133,0,mean,20,4,1,9.41782785,3.5416,0.9695
wmcodec,5,14,chinese:SSB0133,0,fwp,20,4,1,0.61660671,1.6592,0.8574
wmcodec,5,14,chinese:SSB0133,0,mean,-50,4,1,2.28473301,1.9091,0.9621
wmcodec,5,14,chinese:SSB0133,0,fwp,-50,4,1,1.95921245,1.2645,0.8006
wmcodec,5,14,chinese:SSB0133,0,mean,50,4,1,11.06484115,2.3543,0.9636
wmcodec,5,14,chinese:SSB0133,0,fwp,50,4,0,-5.19671907,1.2367,0.7782
wmcodec,5,15,chinese:SSB0139,0,mean,0,-1,1,29.72146782,4.3943,0.9927
wmcodec,5,15,chinese:SSB0139,0,fwp,0,-1,1,5.31230636,4.4827,0.9945
wmcodec,5,15,chinese:SSB0139,0,mean,-10,0,1,26.96682696,3.9504,0.9752
