family,condition,system,k,coalition_payloads,audio_path,evidence_path,pesq,stoi,si_sdr_db
coalition_size,K=2,audioseal,2,"[24199, 31849]",conditions/coalition_size/audioseal/k2.wav,data/average/k2/audioseal.csv,4.612900,0.998100,34.650000
coalition_size,K=3,audioseal,3,"[52255, 17777, 62914]",conditions/coalition_size/audioseal/k3.wav,data/average/k3/audioseal.csv,4.591300,0.996900,32.590000
coalition_size,K=5,audioseal,5,"[40973, 50527, 54258, 54171, 40406]",conditions/coalition_size/audioseal/k5.wav,data/average/k5/audioseal.csv,4.574800,0.994700,31.820000
coalition_size,K=8,audioseal,8,"[2322, 3134, 14407, 21174, 50027, 50834, 51485, 62890]",conditions/coalition_size/audioseal/k8.wav,data/average/k8/audioseal/trial_150.json,4.604280,0.997262,34.361277
offset,-10,audioseal,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/audioseal/minus10.wav,data/supplementary/alignment/all_trials.csv,3.995631,0.974972,11.909766
offset,-20,audioseal,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/audioseal/minus20.wav,data/supplementary/alignment/all_trials.csv,2.997746,0.971549,11.952516
offset,-50,audioseal,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/audioseal/minus50.wav,data/supplementary/alignment/all_trials.csv,2.006263,0.957199,12.021045
offset,0,audioseal,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/audioseal/aligned.wav,data/supplementary/alignment/all_trials.csv,4.574791,0.994706,31.824466
offset,10,audioseal,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/audioseal/plus10.wav,data/supplementary/alignment/all_trials.csv,4.347022,0.975642,11.908882
offset,20,audioseal,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/audioseal/plus20.wav,data/supplementary/alignment/all_trials.csv,3.788323,0.972689,11.964505
offset,50,audioseal,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/audioseal/plus50.wav,data/supplementary/alignment/all_trials.csv,2.759610,0.962001,12.017707
codec,mp3_128k,audioseal,5,"[40973, 50527, 54258, 54171, 40406]",conditions/codec/audioseal/mp3_128k.wav,data/supplementary/codec/all_trials.csv,4.375913,0.994692,23.017514
codec,none,audioseal,5,"[40973, 50527, 54258, 54171, 40406]",conditions/codec/audioseal/none.wav,data/supplementary/codec/all_trials.csv,4.574791,0.994706,31.824466
codec,opus_64k,audioseal,5,"[40973, 50527, 54258, 54171, 40406]",conditions/codec/audioseal/opus_64k.wav,data/supplementary/codec/all_trials.csv,4.525989,0.992094,25.686304
coalition_size,K=2,wavmark,2,"[24199, 31849]",conditions/coalition_size/wavmark/k2.wav,data/average/k2/wavmark.csv,4.622300,0.998900,41.200000
coalition_size,K=3,wavmark,3,"[52255, 17777, 62914]",conditions/coalition_size/wavmark/k3.wav,data/average/k3/wavmark.csv,4.600500,0.997500,39.100000
coalition_size,K=5,wavmark,5,"[40973, 50527, 54258, 54171, 40406]",conditions/coalition_size/wavmark/k5.wav,data/average/k5/wavmark.csv,4.581400,0.995800,37.090000
coalition_size,K=8,wavmark,8,"[2322, 3134, 14407, 21174, 50027, 50834, 51485, 62890]",conditions/coalition_size/wavmark/k8.wav,data/average/k8/wavmark/trial_150.json,4.464635,0.984629,37.989058
offset,-10,wavmark,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/wavmark/minus10.wav,data/supplementary/alignment/all_trials.csv,4.005220,0.976474,11.964515
offset,-20,wavmark,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/wavmark/minus20.wav,data/supplementary/alignment/all_trials.csv,2.948750,0.971522,11.999472
