model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
audioseal,2,chinese:SSB0005,0,0,mean,1,1,1,12,0.7500,0.437500,4.6116,0.9996,41.45
audioseal,2,chinese:SSB0005,0,0,fwp,1,1,1,12,0.7500,0.437500,4.6116,0.9996,41.45
audioseal,2,chinese:SSB0005,1,1,mean,1,1,1,14,0.8750,0.375000,4.6083,0.9995,36.17
audioseal,2,chinese:SSB0005,1,1,fwp,1,1,1,14,0.8750,0.375000,4.6083,0.9995,36.17
audioseal,2,chinese:SSB0005,2,2,mean,1,0,0,15,0.9375,0.750000,4.6248,0.9998,41.02
audioseal,2,chinese:SSB0005,2,2,fwp,1,0,0,15,0.9375,0.750000,4.6248,0.9998,41.02
audioseal,2,chinese:SSB0009,0,3,mean,1,1,0,15,0.9375,0.812500,4.6310,0.9999,41.99
audioseal,2,chinese:SSB0009,0,3,fwp,1,1,0,15,0.9375,0.812500,4.6310,0.9999,41.99
audioseal,2,chinese:SSB0009,1,4,mean,1,0,0,15,0.9375,0.437500,4.6129,0.9998,37.29
audioseal,2,chinese:SSB0009,1,4,fwp,1,0,0,15,0.9375,0.437500,4.6129,0.9998,37.29
audioseal,2,chinese:SSB0009,2,5,mean,1,1,1,14,0.8750,0.437500,4.5932,0.9998,36.43
audioseal,2,chinese:SSB0009,2,5,fwp,1,1,1,14,0.8750,0.437500,4.5932,0.9998,36.43
audioseal,2,chinese:SSB0011,0,6,mean,1,1,1,12,0.7500,0.500000,4.5913,0.9993,33.83
audioseal,2,chinese:SSB0011,0,6,fwp,1,1,1,12,0.7500,0.500000,4.5913,0.9993,33.83
audioseal,2,chinese:SSB0011,1,7,mean,1,1,1,12,0.7500,0.500000,4.5788,0.9993,36.71
audioseal,2,chinese:SSB0011,1,7,fwp,1,1,1,12,0.7500,0.500000,4.5788,0.9993,36.71
