model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
timbrewm,3,chinese:SSB0005,0,0,mean,1,1,1,8,0.8000,0.200000,4.5268,0.9965,35.23
timbrewm,3,chinese:SSB0005,0,0,fwp,1,1,1,7,0.7000,0.300000,4.5119,0.9975,36.12
timbrewm,3,chinese:SSB0005,1,1,mean,1,1,1,9,0.9000,0.377778,4.5625,0.9962,34.56
timbrewm,3,chinese:SSB0005,1,1,fwp,1,1,1,8,0.8000,0.400000,4.5654,0.9970,35.67
timbrewm,3,chinese:SSB0005,2,2,mean,1,1,1,8,0.8000,0.288889,4.5862,0.9969,35.40
timbrewm,3,chinese:SSB0005,2,2,fwp,1,1,1,8,0.8000,0.500000,4.6032,0.9975,36.41
timbrewm,3,chinese:SSB0009,0,3,mean,1,1,1,9,0.9000,0.466667,4.5792,0.9989,32.34
timbrewm,3,chinese:SSB0009,0,3,fwp,1,0,0,9,0.9000,0.500000,4.5712,0.9987,32.33
timbrewm,3,chinese:SSB0009,1,4,mean,1,0,0,9,0.9000,0.466667,4.5511,0.9984,30.73
timbrewm,3,chinese:SSB0009,1,4,fwp,1,1,1,8,0.8000,0.500000,4.5908,0.9988,32.28
timbrewm,3,chinese:SSB0009,2,5,mean,1,1,1,8,0.8000,0.111111,4.5824,0.9983,30.48
timbrewm,3,chinese:SSB0009,2,5,fwp,1,1,1,7,0.7000,0.300000,4.5965,0.9989,31.65
timbrewm,3,chinese:SSB0011,0,6,mean,1,1,1,8,0.8000,0.377778,4.5919,0.9969,32.96
timbrewm,3,chinese:SSB0011,0,6,fwp,1,1,1,8,0.8000,0.500000,4.5926,0.9975,33.97
timbrewm,3,chinese:SSB0011,1,7,mean,1,1,1,9,0.9000,0.466667,4.5369,0.9964,31.74
timbrewm,3,chinese:SSB0011,1,7,fwp,1,1,0,9,0.9000,0.700000,4.5780,0.9975,33.20
timbrewm,3,chinese:SSB0011,2,8,mean,1,0,0,9,0.9000,0.200000,4.5530,0.9972,33.42
timbrewm,3,chinese:SSB0011,2,8,fwp,1,0,0,9,0.9000,0.300000,4.4530,0.9938,29.89
timbrewm,3,chinese:SSB0012,0,9,mean,1,1,1,8,0.8000,0.288889,4.5251,0.9968,32.40
timbrewm,3,chinese:SSB0012,0,9,fwp,1,1,1,8,0.8000,0.400000,4.3019,0.9927,28.88
timbrewm,3,chinese:SSB0012,1,10,mean,0,0,0,10,1.0000,0.377778,4.5811,0.9970,33.25
timbrewm,3,chinese:SSB0012,1,10,fwp,1,1,1,8,0.8000,0.300000,4.5336,0.9972,33.19
timbrewm,3,chinese:SSB0012,2,11,mean,1,1,1,9,0.9000,0.200000,4.5383,0.9976,33.56
timbrewm,3,chinese:SSB0012,2,11,fwp,1,1,1,7,0.7000,0.200000,4.3700,0.9949,30.03
timbrewm,3,chinese:SSB0016,0,12,mean,0,0,0,10,1.0000,0.466667,4.4089,0.9917,24.41
timbrewm,3,chinese:SSB0016,0,12,fwp,1,1,1,8,0.8000,0.400000,4.3707,0.9942,25.83
timbrewm,3,chinese:SSB0016,1,13,mean,0,0,0,10,1.0000,0.466667,4.5415,0.9972,29.25
timbrewm,3,chinese:SSB0016,1,13,fwp,1,0,0,9,0.9000,0.600000,4.5709,0.9978,30.67
timbrewm,3,chinese:SSB0016,2,14,mean,1,1,1,8,0.8000,0.288889,4.5549,0.9962,30.29
timbrewm,3,chinese:SSB0016,2,14,fwp,1,1,1,7,0.7000,0.400000,4.4698,0.9918,26.77
timbrewm,3,chinese:SSB0018,0,15,mean,1,1,0,9,0.9000,0.200000,4.5097,0.9975,33.76
timbrewm,3,chinese:SSB0018,0,15,fwp,1,0,0,9,0.9000,0.200000,4.5080,0.9982,34.73
timbrewm,3,chinese:SSB0018,1,16,mean,1,0,0,9,0.9000,0.555556,4.5984,0.9987,37.99
timbrewm,3,chinese:SSB0018,1,16,fwp,1,0,0,9,0.9000,0.600000,4.5399,0.9971,34.46
timbrewm,3,chinese:SSB0018,2,17,mean,0,0,0,10,1.0000,0.288889,4.5297,0.9979,34.21
timbrewm,3,chinese:SSB0018,2,17,fwp,1,1,1,8,0.8000,0.200000,4.5141,0.9983,34.59
timbrewm,3,chinese:SSB0033,0,18,mean,1,0,0,9,0.9000,0.111111,4.5252,0.9971,34.91
timbrewm,3,chinese:SSB0033,0,18,fwp,1,1,1,7,0.7000,0.100000,4.5228,0.9980,36.87
timbrewm,3,chinese:SSB0033,1,19,mean,1,1,1,8,0.8000,0.466667,4.5934,0.9979,38.23
timbrewm,3,chinese:SSB0033,1,19,fwp,1,1,1,8,0.8000,0.600000,4.5115,0.9953,34.71
timbrewm,3,chinese:SSB0033,2,20,mean,1,1,1,9,0.9000,0.377778,4.5815,0.9976,36.79
timbrewm,3,chinese:SSB0033,2,20,fwp,1,1,1,7,0.7000,0.400000,4.5745,0.9981,37.77
timbrewm,3,chinese:SSB0038,0,21,mean,1,1,1,8,0.8000,0.466667,4.5758,0.9976,33.57
