model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
voicemark,2,chinese:SSB0005,0,0,mean,0,0,0,16,1.0000,0.437500,4.4320,0.9879,19.42
voicemark,2,chinese:SSB0005,0,0,fwp,0,0,0,16,1.0000,0.437500,4.4320,0.9879,19.42
voicemark,2,chinese:SSB0005,1,1,mean,1,1,1,11,0.6875,0.375000,4.4143,0.9719,18.22
voicemark,2,chinese:SSB0005,1,1,fwp,1,1,1,11,0.6875,0.375000,4.4143,0.9719,18.22
voicemark,2,chinese:SSB0005,2,2,mean,1,1,0,15,0.9375,0.750000,4.1638,0.9861,19.28
voicemark,2,chinese:SSB0005,2,2,fwp,1,1,0,15,0.9375,0.750000,4.1638,0.9861,19.28
voicemark,2,chinese:SSB0009,0,3,mean,1,0,0,12,0.7500,0.812500,4.0285,0.9755,14.85
voicemark,2,chinese:SSB0009,0,3,fwp,1,0,0,12,0.7500,0.812500,4.0285,0.9755,14.85
voicemark,2,chinese:SSB0009,1,4,mean,1,1,1,14,0.8750,0.437500,4.4188,0.9849,14.61
voicemark,2,chinese:SSB0009,1,4,fwp,1,1,1,14,0.8750,0.437500,4.4188,0.9849,14.61
voicemark,2,chinese:SSB0009,2,5,mean,1,1,1,11,0.6875,0.437500,3.9101,0.9717,13.18
voicemark,2,chinese:SSB0009,2,5,fwp,1,1,1,11,0.6875,0.437500,3.9101,0.9717,13.18
voicemark,2,chinese:SSB0011,0,6,mean,1,1,1,10,0.6250,0.500000,3.9627,0.9715,18.84
voicemark,2,chinese:SSB0011,0,6,fwp,1,1,1,10,0.6250,0.500000,3.9627,0.9715,18.84
voicemark,2,chinese:SSB0011,1,7,mean,1,1,1,10,0.6250,0.500000,4.0422,0.9788,17.29
voicemark,2,chinese:SSB0011,1,7,fwp,1,1,1,10,0.6250,0.500000,4.0422,0.9788,17.29
voicemark,2,chinese:SSB0011,2,8,mean,1,1,1,11,0.6875,0.375000,4.2112,0.9727,18.25
voicemark,2,chinese:SSB0011,2,8,fwp,1,1,1,11,0.6875,0.375000,4.2112,0.9727,18.25
voicemark,2,chinese:SSB0012,0,9,mean,1,1,1,13,0.8125,0.500000,4.3382,0.9807,17.24
voicemark,2,chinese:SSB0012,0,9,fwp,1,1,1,13,0.8125,0.500000,4.3382,0.9807,17.24
voicemark,2,chinese:SSB0012,1,10,mean,1,1,1,10,0.6250,0.437500,3.7477,0.9765,15.97
voicemark,2,chinese:SSB0012,1,10,fwp,1,1,1,10,0.6250,0.437500,3.7477,0.9765,15.97
voicemark,2,chinese:SSB0012,2,11,mean,1,1,1,15,0.9375,0.812500,3.8751,0.9759,17.78
voicemark,2,chinese:SSB0012,2,11,fwp,1,1,1,15,0.9375,0.812500,3.8751,0.9759,17.78
voicemark,2,chinese:SSB0016,0,12,mean,0,0,0,16,1.0000,0.625000,4.3973,0.9694,21.85
voicemark,2,chinese:SSB0016,0,12,fwp,0,0,0,16,1.0000,0.625000,4.3973,0.9694,21.85
voicemark,2,chinese:SSB0016,1,13,mean,1,1,0,15,0.9375,0.437500,3.9265,0.9720,17.47
voicemark,2,chinese:SSB0016,1,13,fwp,1,1,0,15,0.9375,0.437500,3.9265,0.9720,17.47
voicemark,2,chinese:SSB0016,2,14,mean,1,1,0,15,0.9375,0.812500,4.4682,0.9865,20.61
voicemark,2,chinese:SSB0016,2,14,fwp,1,1,0,15,0.9375,0.812500,4.4682,0.9865,20.61
voicemark,2,chinese:SSB0018,0,15,mean,1,1,1,12,0.7500,0.437500,4.2943,0.9831,15.16
voicemark,2,chinese:SSB0018,0,15,fwp,1,1,1,12,0.7500,0.437500,4.2943,0.9831,15.16
voicemark,2,chinese:SSB0018,1,16,mean,1,1,1,12,0.7500,0.312500,4.4500,0.9871,18.77
voicemark,2,chinese:SSB0018,1,16,fwp,1,1,1,12,0.7500,0.312500,4.4500,0.9871,18.77
voicemark,2,chinese:SSB0018,2,17,mean,1,1,1,14,0.8750,0.625000,4.4264,0.9858,21.22
voicemark,2,chinese:SSB0018,2,17,fwp,1,1,1,14,0.8750,0.625000,4.4264,0.9858,21.22
voicemark,2,chinese:SSB0033,0,18,mean,1,1,1,11,0.6875,0.375000,4.0539,0.9752,21.26
voicemark,2,chinese:SSB0033,0,18,fwp,1,1,1,11,0.6875,0.375000,4.0539,0.9752,21.26
voicemark,2,chinese:SSB0033,1,19,mean,1,1,1,11,0.6875,0.375000,4.4256,0.9861,20.83
voicemark,2,chinese:SSB0033,1,19,fwp,1,1,1,11,0.6875,0.375000,4.4256,0.9861,20.83
