model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wavmark,8,chinese:SSB0005,0,0,mean,1,1,1,15,0.9375,0.117188,4.5679,0.9973,43.52
wavmark,8,chinese:SSB0005,0,0,fwp,1,1,1,13,0.8125,0.312500,4.5059,0.9957,40.65
wavmark,8,chinese:SSB0005,1,1,mean,1,1,1,14,0.8750,0.109375,4.5535,0.9976,44.23
wavmark,8,chinese:SSB0005,1,1,fwp,1,1,1,12,0.7500,0.250000,4.4799,0.9956,41.47
wavmark,8,chinese:SSB0005,2,2,mean,1,1,1,12,0.7500,0.121094,4.5287,0.9978,44.09
wavmark,8,chinese:SSB0005,2,2,fwp,1,1,1,12,0.7500,0.250000,4.5585,0.9981,44.78
wavmark,8,chinese:SSB0009,0,3,mean,1,1,1,14,0.8750,0.085938,4.5789,0.9999,41.29
wavmark,8,chinese:SSB0009,0,3,fwp,1,1,1,12,0.7500,0.250000,4.5523,0.9999,39.82
wavmark,8,chinese:SSB0009,1,4,mean,1,1,1,12,0.7500,0.171875,4.5226,0.9999,41.47
wavmark,8,chinese:SSB0009,1,4,fwp,1,1,1,13,0.8125,0.250000,4.5684,0.9999,43.37
wavmark,8,chinese:SSB0009,2,5,mean,1,1,1,12,0.7500,0.085938,4.5542,0.9999,42.04
wavmark,8,chinese:SSB0009,2,5,fwp,1,1,1,12,0.7500,0.250000,4.4842,0.9999,40.41
wavmark,8,chinese:SSB0011,0,6,mean,1,1,1,13,0.8125,0.140625,4.4915,0.9994,42.48
wavmark,8,chinese:SSB0011,0,6,fwp,1,1,1,12,0.7500,0.312500,4.4194,0.9992,40.54
wavmark,8,chinese:SSB0011,1,7,mean,1,1,1,11,0.6875,0.078125,4.4894,0.9994,41.83
wavmark,8,chinese:SSB0011,1,7,fwp,1,1,1,13,0.8125,0.312500,4.4241,0.9993,40.45
wavmark,8,chinese:SSB0011,2,8,mean,1,1,1,12,0.7500,0.062500,4.4047,0.9993,41.57
wavmark,8,chinese:SSB0011,2,8,fwp,1,1,1,12,0.7500,0.250000,4.4634,0.9995,42.65
wavmark,8,chinese:SSB0012,0,9,mean,1,1,1,12,0.7500,0.101562,4.5193,0.9997,41.91
wavmark,8,chinese:SSB0012,0,9,fwp,1,1,1,13,0.8125,0.312500,4.4726,0.9996,41.24
wavmark,8,chinese:SSB0012,1,10,mean,1,1,1,12,0.7500,0.082031,4.4811,0.9997,41.64
wavmark,8,chinese:SSB0012,1,10,fwp,1,1,1,13,0.8125,0.187500,4.3897,0.9996,39.60
wavmark,8,chinese:SSB0012,2,11,mean,1,1,1,13,0.8125,0.152344,4.4861,0.9997,41.65
