model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wmcodec,3,chinese:SSB0005,0,0,mean,1,1,1,10,0.6250,0.166667,4.4270,0.9886,18.92
wmcodec,3,chinese:SSB0005,0,0,fwp,1,1,1,11,0.6875,0.375000,4.2162,0.9784,15.26
wmcodec,3,chinese:SSB0005,1,1,mean,1,1,1,11,0.6875,0.333333,4.3749,0.9883,17.54
wmcodec,3,chinese:SSB0005,1,1,fwp,1,1,1,10,0.6250,0.437500,4.4407,0.9910,18.93
wmcodec,3,chinese:SSB0005,2,2,mean,1,0,0,14,0.8750,0.388889,4.1449,0.9865,17.54
wmcodec,3,chinese:SSB0005,2,2,fwp,1,1,1,9,0.5625,0.500000,4.2071,0.9893,18.79
wmcodec,3,chinese:SSB0009,0,3,mean,1,1,0,12,0.7500,0.666667,4.3911,0.9879,15.29
wmcodec,3,chinese:SSB0009,0,3,fwp,1,1,1,13,0.8125,0.750000,4.0705,0.9800,11.63
wmcodec,3,chinese:SSB0009,1,4,mean,1,1,1,12,0.7500,0.277778,4.2760,0.9868,13.84
wmcodec,3,chinese:SSB0009,1,4,fwp,1,1,1,12,0.7500,0.500000,4.2847,0.9885,15.13
wmcodec,3,chinese:SSB0009,2,5,mean,1,1,1,11,0.6875,0.111111,4.3857,0.9869,14.28
wmcodec,3,chinese:SSB0009,2,5,fwp,1,1,1,10,0.6250,0.125000,4.4499,0.9885,15.80
wmcodec,3,chinese:SSB0011,0,6,mean,1,1,1,10,0.6250,0.444444,4.3743,0.9880,18.68
wmcodec,3,chinese:SSB0011,0,6,fwp,1,1,1,10,0.6250,0.562500,3.9948,0.9903,20.15
wmcodec,3,chinese:SSB0011,1,7,mean,1,1,1,14,0.8750,0.388889,3.9192,0.9865,16.74
wmcodec,3,chinese:SSB0011,1,7,fwp,1,1,1,13,0.8125,0.750000,4.2411,0.9892,18.10
wmcodec,3,chinese:SSB0011,2,8,mean,1,1,1,13,0.8125,0.166667,4.3601,0.9875,17.67
wmcodec,3,chinese:SSB0011,2,8,fwp,1,1,1,10,0.6250,0.687500,4.4503,0.9901,18.84
wmcodec,3,chinese:SSB0012,0,9,mean,1,1,1,12,0.7500,0.388889,4.4448,0.9853,14.36
wmcodec,3,chinese:SSB0012,0,9,fwp,1,1,1,9,0.5625,0.562500,4.4632,0.9878,15.62
wmcodec,3,chinese:SSB0012,1,10,mean,1,1,0,14,0.8750,0.333333,4.3707,0.9850,14.46
wmcodec,3,chinese:SSB0012,1,10,fwp,1,1,1,10,0.6250,0.500000,4.3244,0.9875,15.72
wmcodec,3,chinese:SSB0012,2,11,mean,1,1,1,13,0.8125,0.277778,4.3213,0.9869,15.16
wmcodec,3,chinese:SSB0012,2,11,fwp,1,1,1,12,0.7500,0.312500,4.3822,0.9894,16.23
wmcodec,3,chinese:SSB0016,0,12,mean,1,1,1,11,0.6875,0.444444,4.3135,0.9873,16.09
wmcodec,3,chinese:SSB0016,0,12,fwp,1,1,1,11,0.6875,0.625000,4.3830,0.9900,17.59
wmcodec,3,chinese:SSB0016,1,13,mean,1,1,1,12,0.7500,0.388889,4.3998,0.9879,17.13
wmcodec,3,chinese:SSB0016,1,13,fwp,1,1,1,11,0.6875,0.625000,4.0764,0.9749,13.43
wmcodec,3,chinese:SSB0016,2,14,mean,1,1,1,12,0.7500,0.333333,4.2911,0.9867,16.70
wmcodec,3,chinese:SSB0016,2,14,fwp,1,1,1,12,0.7500,0.500000,4.3568,0.9895,17.90
wmcodec,3,chinese:SSB0018,0,15,mean,1,1,1,10,0.6250,0.333333,4.4265,0.9872,14.72
wmcodec,3,chinese:SSB0018,0,15,fwp,1,1,1,11,0.6875,0.312500,4.4383,0.9877,16.18
wmcodec,3,chinese:SSB0018,1,16,mean,1,1,1,13,0.8125,0.333333,4.4139,0.9881,16.18
wmcodec,3,chinese:SSB0018,1,16,fwp,1,1,1,13,0.8125,0.562500,4.4708,0.9910,17.41
wmcodec,3,chinese:SSB0018,2,17,mean,1,1,1,9,0.5625,0.388889,4.3478,0.9871,15.46
wmcodec,3,chinese:SSB0018,2,17,fwp,1,1,1,11,0.6875,0.625000,4.3931,0.9894,16.51
wmcodec,3,chinese:SSB0033,0,18,mean,1,1,1,8,0.5000,0.222222,4.3627,0.9885,20.51
wmcodec,3,chinese:SSB0033,0,18,fwp,1,1,1,9,0.5625,0.250000,4.4000,0.9903,21.40
wmcodec,3,chinese:SSB0033,1,19,mean,1,1,1,13,0.8125,0.444444,4.3818,0.9884,20.89
