model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
audioseal,8,chinese:SSB0005,0,0,median,1,1,1,13,0.8125,4.5820,0.9991,36.95
audioseal,8,chinese:SSB0005,0,0,minimum,1,1,1,12,0.7500,4.3211,0.9956,32.09
audioseal,8,chinese:SSB0005,0,0,maximum,1,1,1,13,0.8125,4.2831,0.9954,32.03
audioseal,8,chinese:SSB0005,0,0,rand_minmax,1,1,1,13,0.8125,3.1168,0.9896,30.39
audioseal,8,chinese:SSB0005,0,0,copy_paste,1,1,1,13,0.8125,4.5500,0.9988,33.52
audioseal,8,chinese:SSB0005,1,1,median,1,1,1,12,0.7500,4.5820,0.9993,34.94
audioseal,8,chinese:SSB0005,1,1,minimum,1,1,1,13,0.8125,4.3461,0.9961,32.33
audioseal,8,chinese:SSB0005,1,1,maximum,1,1,1,12,0.7500,4.3087,0.9959,32.32
audioseal,8,chinese:SSB0005,1,1,rand_minmax,1,1,1,12,0.7500,3.1446,0.9901,30.72
audioseal,8,chinese:SSB0005,1,1,copy_paste,1,1,1,14,0.8750,4.5652,0.9989,32.86
audioseal,8,chinese:SSB0005,2,2,median,1,1,1,14,0.8750,4.5834,0.9994,36.40
audioseal,8,chinese:SSB0005,2,2,minimum,1,1,1,11,0.6875,4.2631,0.9953,32.34
audioseal,8,chinese:SSB0005,2,2,maximum,1,1,1,12,0.7500,4.2373,0.9945,32.27
audioseal,8,chinese:SSB0005,2,2,rand_minmax,1,1,1,11,0.6875,3.1303,0.9907,30.64
audioseal,8,chinese:SSB0005,2,2,copy_paste,1,1,1,11,0.6875,4.5716,0.9990,32.50
audioseal,8,chinese:SSB0009,0,3,median,1,1,1,12,0.7500,4.5943,0.9996,32.71
audioseal,8,chinese:SSB0009,0,3,minimum,1,1,1,14,0.8750,4.4775,0.9985,30.75
audioseal,8,chinese:SSB0009,0,3,maximum,1,1,1,12,0.7500,4.4690,0.9985,30.77
audioseal,8,chinese:SSB0009,0,3,rand_minmax,1,1,1,13,0.8125,3.7338,0.9977,28.90
audioseal,8,chinese:SSB0009,0,3,copy_paste,1,1,1,13,0.8125,4.5525,0.9993,30.76
audioseal,8,chinese:SSB0009,1,4,median,1,1,1,13,0.8125,4.5951,0.9997,32.90
audioseal,8,chinese:SSB0009,1,4,minimum,1,1,1,11,0.6875,4.4487,0.9988,30.81
audioseal,8,chinese:SSB0009,1,4,maximum,1,1,1,14,0.8750,4.4406,0.9987,30.77
audioseal,8,chinese:SSB0009,1,4,rand_minmax,1,1,1,13,0.8125,3.7040,0.9977,28.94
audioseal,8,chinese:SSB0009,1,4,copy_paste,1,1,1,12,0.7500,4.5586,0.9994,31.05
audioseal,8,chinese:SSB0009,2,5,median,1,1,1,14,0.8750,4.6012,0.9997,33.97
audioseal,8,chinese:SSB0009,2,5,minimum,1,1,1,12,0.7500,4.4773,0.9990,30.99
audioseal,8,chinese:SSB0009,2,5,maximum,1,1,1,14,0.8750,4.4717,0.9989,30.99
audioseal,8,chinese:SSB0009,2,5,rand_minmax,1,1,1,14,0.8750,3.6746,0.9976,28.96
audioseal,8,chinese:SSB0009,2,5,copy_paste,1,1,1,14,0.8750,4.5552,0.9994,30.75
audioseal,8,chinese:SSB0011,0,6,median,1,1,1,15,0.9375,4.5027,0.9983,30.32
audioseal,8,chinese:SSB0011,0,6,minimum,1,1,1,11,0.6875,3.6595,0.9969,29.15
audioseal,8,chinese:SSB0011,0,6,maximum,1,1,1,11,0.6875,3.6139,0.9969,29.18
audioseal,8,chinese:SSB0011,0,6,rand_minmax,1,1,1,11,0.6875,2.2524,0.9871,27.45
audioseal,8,chinese:SSB0011,0,6,copy_paste,1,1,1,13,0.8125,4.4684,0.9973,28.37
audioseal,8,chinese:SSB0011,1,7,median,1,1,1,11,0.6875,4.4944,0.9985,32.62
audioseal,8,chinese:SSB0011,1,7,minimum,1,1,1,11,0.6875,4.1652,0.9974,29.02
audioseal,8,chinese:SSB0011,1,7,maximum,1,1,1,12,0.7500,4.2140,0.9973,28.97
audioseal,8,chinese:SSB0011,1,7,rand_minmax,1,1,1,11,0.6875,2.1911,0.9867,27.19
audioseal,8,chinese:SSB0011,1,7,copy_paste,1,1,1,12,0.7500,4.4860,0.9976,29.82
audioseal,8,chinese:SSB0011,2,8,median,1,1,1,12,0.7500,4.5089,0.9984,33.56
audioseal,8,chinese:SSB0011,2,8,minimum,1,1,1,13,0.8125,4.2657,0.9977,29.84
audioseal,8,chinese:SSB0011,2,8,maximum,1,1,1,13,0.8125,4.2678,0.9975,29.73
audioseal,8,chinese:SSB0011,2,8,rand_minmax,1,1,1,13,0.8125,2.2919,0.9880,27.85
audioseal,8,chinese:SSB0011,2,8,copy_paste,1,1,1,12,0.7500,4.4629,0.9974,29.91
audioseal,8,chinese:SSB0012,0,9,median,1,1,1,12,0.7500,4.5455,0.9994,33.78
audioseal,8,chinese:SSB0012,0,9,minimum,1,1,1,12,0.7500,3.8959,0.9937,28.52
audioseal,8,chinese:SSB0012,0,9,maximum,1,1,1,12,0.7500,3.9080,0.9935,28.50
audioseal,8,chinese:SSB0012,0,9,rand_minmax,1,1,1,12,0.7500,3.2189,0.9919,27.39
audioseal,8,chinese:SSB0012,0,9,copy_paste,1,1,1,13,0.8125,4.5525,0.9990,30.70
audioseal,8,chinese:SSB0012,1,10,median,1,1,1,12,0.7500,4.5773,0.9993,34.71
audioseal,8,chinese:SSB0012,1,10,minimum,1,1,1,12,0.7500,3.9911,0.9932,29.21
audioseal,8,chinese:SSB0012,1,10,maximum,1,1,1,12,0.7500,4.0568,0.9935,29.22
audioseal,8,chinese:SSB0012,1,10,rand_minmax,1,1,1,12,0.7500,3.2087,0.9920,27.85
audioseal,8,chinese:SSB0012,1,10,copy_paste,1,1,1,12,0.7500,4.5522,0.9990,30.59
audioseal,8,chinese:SSB0012,2,11,median,1,1,1,13,0.8125,4.5636,0.9993,31.28
audioseal,8,chinese:SSB0012,2,11,minimum,1,1,1,12,0.7500,4.1324,0.9953,29.88
audioseal,8,chinese:SSB0012,2,11,maximum,1,1,1,12,0.7500,4.1609,0.9951,29.89
audioseal,8,chinese:SSB0012,2,11,rand_minmax,1,1,1,12,0.7500,3.3412,0.9940,28.64
audioseal,8,chinese:SSB0012,2,11,copy_paste,1,1,1,15,0.9375,4.5302,0.9988,29.90
audioseal,8,chinese:SSB0016,0,12,median,1,1,1,11,0.6875,4.2465,0.9976,31.64
audioseal,8,chinese:SSB0016,0,12,minimum,1,1,1,12,0.7500,3.7286,0.9966,27.95
audioseal,8,chinese:SSB0016,0,12,maximum,1,1,1,11,0.6875,3.7426,0.9964,27.99
audioseal,8,chinese:SSB0016,0,12,rand_minmax,1,1,1,13,0.8125,2.2879,0.9772,26.22
audioseal,8,chinese:SSB0016,0,12,copy_paste,1,1,1,11,0.6875,4.4345,0.9963,28.82
audioseal,8,chinese:SSB0016,1,13,median,1,1,1,12,0.7500,4.3841,0.9981,32.23
audioseal,8,chinese:SSB0016,1,13,minimum,1,1,1,12,0.7500,3.9852,0.9965,28.08
audioseal,8,chinese:SSB0016,1,13,maximum,1,1,1,12,0.7500,3.9541,0.9966,28.12
audioseal,8,chinese:SSB0016,1,13,rand_minmax,1,1,1,12,0.7500,2.3536,0.9787,26.32
audioseal,8,chinese:SSB0016,1,13,copy_paste,1,1,1,12,0.7500,4.4550,0.9971,28.68
audioseal,8,chinese:SSB0016,2,14,median,1,1,1,12,0.7500,4.3474,0.9973,31.55
audioseal,8,chinese:SSB0016,2,14,minimum,1,1,1,12,0.7500,3.8973,0.9965,28.30
audioseal,8,chinese:SSB0016,2,14,maximum,1,1,1,13,0.8125,3.8961,0.9966,28.25
audioseal,8,chinese:SSB0016,2,14,rand_minmax,1,1,1,12,0.7500,2.3917,0.9782,26.57
audioseal,8,chinese:SSB0016,2,14,copy_paste,1,1,1,13,0.8125,4.4591,0.9965,28.81
audioseal,8,chinese:SSB0018,0,15,median,1,1,1,11,0.6875,4.5305,0.9995,33.58
audioseal,8,chinese:SSB0018,0,15,minimum,1,1,1,12,0.7500,4.2801,0.9955,30.82
audioseal,8,chinese:SSB0018,0,15,maximum,1,1,1,11,0.6875,4.2637,0.9961,30.71
audioseal,8,chinese:SSB0018,0,15,rand_minmax,1,1,1,11,0.6875,2.9949,0.9918,29.18
audioseal,8,chinese:SSB0018,0,15,copy_paste,1,1,1,11,0.6875,4.5460,0.9992,31.24
audioseal,8,chinese:SSB0018,1,16,median,1,1,1,13,0.8125,4.5591,0.9996,35.78
audioseal,8,chinese:SSB0018,1,16,minimum,1,1,1,11,0.6875,4.3474,0.9960,31.00
audioseal,8,chinese:SSB0018,1,16,maximum,1,1,1,12,0.7500,4.3414,0.9964,30.88
audioseal,8,chinese:SSB0018,1,16,rand_minmax,1,1,1,11,0.6875,3.0122,0.9925,29.29
audioseal,8,chinese:SSB0018,1,16,copy_paste,1,1,1,12,0.7500,4.5373,0.9992,30.93
audioseal,8,chinese:SSB0018,2,17,median,1,1,1,12,0.7500,4.5198,0.9995,33.40
audioseal,8,chinese:SSB0018,2,17,minimum,1,1,1,13,0.8125,4.3708,0.9974,31.46
audioseal,8,chinese:SSB0018,2,17,maximum,1,1,1,12,0.7500,4.3684,0.9976,31.49
audioseal,8,chinese:SSB0018,2,17,rand_minmax,1,1,1,11,0.6875,3.0924,0.9940,29.92
audioseal,8,chinese:SSB0018,2,17,copy_paste,1,1,1,12,0.7500,4.5240,0.9992,31.30
audioseal,8,chinese:SSB0033,0,18,median,1,1,1,14,0.8750,4.5774,0.9995,38.96
audioseal,8,chinese:SSB0033,0,18,minimum,1,1,1,13,0.8125,4.4741,0.9991,35.88
audioseal,8,chinese:SSB0033,0,18,maximum,1,1,1,13,0.8125,4.4639,0.9991,35.81
audioseal,8,chinese:SSB0033,0,18,rand_minmax,1,1,1,13,0.8125,3.5470,0.9980,34.08
audioseal,8,chinese:SSB0033,0,18,copy_paste,1,1,1,13,0.8125,4.5510,0.9992,36.20
audioseal,8,chinese:SSB0033,1,19,median,1,1,1,14,0.8750,4.5869,0.9994,39.22
audioseal,8,chinese:SSB0033,1,19,minimum,1,1,1,12,0.7500,4.4295,0.9991,35.75
audioseal,8,chinese:SSB0033,1,19,maximum,1,1,1,13,0.8125,4.4505,0.9991,35.79
audioseal,8,chinese:SSB0033,1,19,rand_minmax,1,1,1,12,0.7500,3.4941,0.9979,33.95
audioseal,8,chinese:SSB0033,1,19,copy_paste,1,1,1,12,0.7500,4.5472,0.9990,36.48
audioseal,8,chinese:SSB0033,2,20,median,1,1,1,12,0.7500,4.5781,0.9994,38.60
audioseal,8,chinese:SSB0033,2,20,minimum,1,1,1,12,0.7500,4.4522,0.9992,35.28
audioseal,8,chinese:SSB0033,2,20,maximum,1,1,1,11,0.6875,4.4469,0.9992,35.58
audioseal,8,chinese:SSB0033,2,20,rand_minmax,1,1,1,12,0.7500,3.4433,0.9976,33.64
audioseal,8,chinese:SSB0033,2,20,copy_paste,1,1,1,13,0.8125,4.5503,0.9991,36.14
audioseal,8,chinese:SSB0038,0,21,median,1,1,1,11,0.6875,4.5211,0.9990,29.99
audioseal,8,chinese:SSB0038,0,21,minimum,1,1,1,10,0.6250,4.2650,0.9986,29.22
audioseal,8,chinese:SSB0038,0,21,maximum,1,1,1,12,0.7500,4.2780,0.9986,29.19
audioseal,8,chinese:SSB0038,0,21,rand_minmax,1,1,1,12,0.7500,3.1372,0.9961,28.05
audioseal,8,chinese:SSB0038,0,21,copy_paste,1,1,1,11,0.6875,4.5341,0.9985,30.17
audioseal,8,chinese:SSB0038,1,22,median,1,1,1,12,0.7500,4.5709,0.9994,33.63
audioseal,8,chinese:SSB0038,1,22,minimum,1,1,1,12,0.7500,4.3169,0.9990,30.63
audioseal,8,chinese:SSB0038,1,22,maximum,1,1,1,12,0.7500,4.3225,0.9990,30.61
