model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
timbrewm,3,chinese:SSB0005,0,0,median,1,1,1,8,0.8000,4.4119,0.9956,34.50
timbrewm,3,chinese:SSB0005,0,0,minimum,1,1,1,8,0.8000,4.3669,0.9956,32.86
timbrewm,3,chinese:SSB0005,0,0,maximum,1,1,1,8,0.8000,4.3652,0.9956,32.87
timbrewm,3,chinese:SSB0005,0,0,rand_minmax,1,1,1,8,0.8000,3.6109,0.9931,31.41
timbrewm,3,chinese:SSB0005,0,0,copy_paste,1,1,1,8,0.8000,4.3378,0.9925,32.34
timbrewm,3,chinese:SSB0005,1,1,median,1,1,1,9,0.9000,4.4235,0.9950,33.32
timbrewm,3,chinese:SSB0005,1,1,minimum,1,1,1,9,0.9000,4.4404,0.9957,32.96
timbrewm,3,chinese:SSB0005,1,1,maximum,1,1,1,9,0.9000,4.4424,0.9956,32.94
timbrewm,3,chinese:SSB0005,1,1,rand_minmax,1,1,1,9,0.9000,3.6832,0.9938,31.56
timbrewm,3,chinese:SSB0005,1,1,copy_paste,1,1,1,9,0.9000,4.4035,0.9924,32.16
timbrewm,3,chinese:SSB0005,2,2,median,1,1,1,8,0.8000,4.4682,0.9967,34.70
timbrewm,3,chinese:SSB0005,2,2,minimum,1,1,1,8,0.8000,4.4336,0.9958,33.12
timbrewm,3,chinese:SSB0005,2,2,maximum,1,1,1,8,0.8000,4.4330,0.9958,33.12
timbrewm,3,chinese:SSB0005,2,2,rand_minmax,1,1,1,8,0.8000,3.5992,0.9932,31.61
timbrewm,3,chinese:SSB0005,2,2,copy_paste,1,1,1,8,0.8000,4.4176,0.9940,32.81
timbrewm,3,chinese:SSB0009,0,3,median,1,1,0,9,0.9000,4.5191,0.9989,32.11
timbrewm,3,chinese:SSB0009,0,3,minimum,1,1,1,9,0.9000,4.4664,0.9983,29.62
timbrewm,3,chinese:SSB0009,0,3,maximum,1,1,1,9,0.9000,4.4715,0.9983,29.65
timbrewm,3,chinese:SSB0009,0,3,rand_minmax,1,1,1,9,0.9000,3.7740,0.9974,28.17
timbrewm,3,chinese:SSB0009,0,3,copy_paste,1,1,0,9,0.9000,4.4496,0.9968,28.75
timbrewm,3,chinese:SSB0009,1,4,median,1,0,0,9,0.9000,4.4638,0.9977,29.18
timbrewm,3,chinese:SSB0009,1,4,minimum,1,0,0,9,0.9000,4.4882,0.9981,29.31
timbrewm,3,chinese:SSB0009,1,4,maximum,1,1,1,9,0.9000,4.4981,0.9981,29.39
timbrewm,3,chinese:SSB0009,1,4,rand_minmax,1,0,0,9,0.9000,3.8750,0.9971,28.04
timbrewm,3,chinese:SSB0009,1,4,copy_paste,1,0,0,9,0.9000,4.3642,0.9965,28.48
timbrewm,3,chinese:SSB0009,2,5,median,1,1,1,8,0.8000,4.5107,0.9981,29.76
timbrewm,3,chinese:SSB0009,2,5,minimum,1,1,1,8,0.8000,4.4655,0.9976,28.12
timbrewm,3,chinese:SSB0009,2,5,maximum,1,1,1,8,0.8000,4.4725,0.9977,28.12
timbrewm,3,chinese:SSB0009,2,5,rand_minmax,1,1,1,8,0.8000,3.7063,0.9963,26.64
timbrewm,3,chinese:SSB0009,2,5,copy_paste,1,1,1,8,0.8000,4.4380,0.9965,27.58
timbrewm,3,chinese:SSB0011,0,6,median,1,1,1,8,0.8000,4.4329,0.9963,32.31
timbrewm,3,chinese:SSB0011,0,6,minimum,1,1,1,8,0.8000,4.4119,0.9959,30.57
timbrewm,3,chinese:SSB0011,0,6,maximum,1,1,1,8,0.8000,4.4073,0.9958,30.57
timbrewm,3,chinese:SSB0011,0,6,rand_minmax,1,1,1,8,0.8000,3.0650,0.9932,29.10
timbrewm,3,chinese:SSB0011,0,6,copy_paste,1,1,1,8,0.8000,4.4113,0.9931,29.50
timbrewm,3,chinese:SSB0011,1,7,median,1,1,0,9,0.9000,4.4472,0.9951,30.60
timbrewm,3,chinese:SSB0011,1,7,minimum,1,1,1,9,0.9000,4.4387,0.9958,29.82
timbrewm,3,chinese:SSB0011,1,7,maximum,1,1,1,9,0.9000,4.4392,0.9957,29.85
timbrewm,3,chinese:SSB0011,1,7,rand_minmax,1,1,1,9,0.9000,2.8944,0.9917,28.43
timbrewm,3,chinese:SSB0011,1,7,copy_paste,1,1,1,9,0.9000,4.3245,0.9927,28.92
timbrewm,3,chinese:SSB0011,2,8,median,1,0,0,9,0.9000,4.5053,0.9975,33.93
timbrewm,3,chinese:SSB0011,2,8,minimum,1,1,1,9,0.9000,4.3887,0.9956,30.11
timbrewm,3,chinese:SSB0011,2,8,maximum,1,1,0,9,0.9000,4.3738,0.9958,30.09
timbrewm,3,chinese:SSB0011,2,8,rand_minmax,1,1,1,9,0.9000,2.9230,0.9923,28.60
timbrewm,3,chinese:SSB0011,2,8,copy_paste,1,0,0,9,0.9000,4.3308,0.9930,29.69
timbrewm,3,chinese:SSB0012,0,9,median,1,1,1,8,0.8000,4.4016,0.9964,31.99
timbrewm,3,chinese:SSB0012,0,9,minimum,1,1,1,8,0.8000,4.2023,0.9950,29.93
timbrewm,3,chinese:SSB0012,0,9,maximum,1,1,1,8,0.8000,4.2003,0.9951,29.94
timbrewm,3,chinese:SSB0012,0,9,rand_minmax,1,1,1,8,0.8000,3.2345,0.9905,28.19
timbrewm,3,chinese:SSB0012,0,9,copy_paste,1,1,1,8,0.8000,4.2008,0.9912,28.81
timbrewm,3,chinese:SSB0012,1,10,median,0,0,0,10,1.0000,4.5112,0.9969,32.96
timbrewm,3,chinese:SSB0012,1,10,minimum,1,0,0,9,0.9000,4.3685,0.9956,30.87
timbrewm,3,chinese:SSB0012,1,10,maximum,1,0,0,9,0.9000,4.3513,0.9957,30.87
timbrewm,3,chinese:SSB0012,1,10,rand_minmax,1,0,0,9,0.9000,3.4822,0.9938,29.28
timbrewm,3,chinese:SSB0012,1,10,copy_paste,0,0,0,10,1.0000,4.4033,0.9928,30.10
timbrewm,3,chinese:SSB0012,2,11,median,1,1,0,9,0.9000,4.4605,0.9977,33.60
timbrewm,3,chinese:SSB0012,2,11,minimum,1,1,1,9,0.9000,4.3063,0.9957,30.55
timbrewm,3,chinese:SSB0012,2,11,maximum,1,1,1,9,0.9000,4.3009,0.9955,30.50
timbrewm,3,chinese:SSB0012,2,11,rand_minmax,1,1,1,9,0.9000,3.3853,0.9927,28.71
timbrewm,3,chinese:SSB0012,2,11,copy_paste,1,1,1,9,0.9000,4.2382,0.9944,30.01
timbrewm,3,chinese:SSB0016,0,12,median,0,0,0,10,1.0000,4.2424,0.9866,22.43
timbrewm,3,chinese:SSB0016,0,12,minimum,1,0,0,9,0.9000,4.1322,0.9894,23.31
timbrewm,3,chinese:SSB0016,0,12,maximum,0,0,0,10,1.0000,4.1486,0.9893,23.25
timbrewm,3,chinese:SSB0016,0,12,rand_minmax,1,0,0,9,0.9000,2.3794,0.9744,22.23
timbrewm,3,chinese:SSB0016,0,12,copy_paste,0,0,0,10,1.0000,4.0818,0.9868,22.57
timbrewm,3,chinese:SSB0016,1,13,median,0,0,0,10,1.0000,4.4490,0.9956,27.89
timbrewm,3,chinese:SSB0016,1,13,minimum,0,0,0,10,1.0000,4.4147,0.9955,27.39
timbrewm,3,chinese:SSB0016,1,13,maximum,0,0,0,10,1.0000,4.4443,0.9957,27.54
timbrewm,3,chinese:SSB0016,1,13,rand_minmax,0,0,0,10,1.0000,3.0497,0.9891,26.28
timbrewm,3,chinese:SSB0016,1,13,copy_paste,0,0,0,10,1.0000,4.3967,0.9941,26.55
timbrewm,3,chinese:SSB0016,2,14,median,1,1,0,8,0.8000,4.4215,0.9964,31.21
timbrewm,3,chinese:SSB0016,2,14,minimum,1,1,1,8,0.8000,4.1962,0.9921,25.85
timbrewm,3,chinese:SSB0016,2,14,maximum,1,1,1,8,0.8000,4.2231,0.9920,25.91
timbrewm,3,chinese:SSB0016,2,14,rand_minmax,1,1,1,8,0.8000,2.4909,0.9799,24.34
timbrewm,3,chinese:SSB0016,2,14,copy_paste,1,1,1,8,0.8000,4.2880,0.9906,25.44
