model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wavmark,3,chinese:SSB0005,0,0,median,1,1,1,14,0.8750,4.5041,0.9959,43.72
wavmark,3,chinese:SSB0005,0,0,minimum,1,1,1,14,0.8750,4.4448,0.9962,42.14
wavmark,3,chinese:SSB0005,0,0,maximum,1,1,1,13,0.8125,4.4356,0.9957,42.08
wavmark,3,chinese:SSB0005,0,0,rand_minmax,1,1,1,14,0.8750,3.9917,0.9932,40.39
wavmark,3,chinese:SSB0005,0,0,copy_paste,1,1,1,14,0.8750,4.5108,0.9948,41.44
wavmark,3,chinese:SSB0005,1,1,median,1,1,0,15,0.9375,4.3085,0.9936,40.46
wavmark,3,chinese:SSB0005,1,1,minimum,1,1,0,15,0.9375,4.3062,0.9950,41.41
wavmark,3,chinese:SSB0005,1,1,maximum,1,1,1,13,0.8125,4.2944,0.9952,41.59
wavmark,3,chinese:SSB0005,1,1,rand_minmax,1,1,0,15,0.9375,3.8165,0.9927,39.93
wavmark,3,chinese:SSB0005,1,1,copy_paste,1,1,0,15,0.9375,4.3171,0.9929,40.24
wavmark,3,chinese:SSB0005,2,2,median,1,1,1,13,0.8125,4.4900,0.9964,45.08
wavmark,3,chinese:SSB0005,2,2,minimum,1,1,1,13,0.8125,4.4618,0.9969,43.26
wavmark,3,chinese:SSB0005,2,2,maximum,1,1,1,13,0.8125,4.4562,0.9971,43.40
wavmark,3,chinese:SSB0005,2,2,rand_minmax,1,1,1,13,0.8125,3.9888,0.9948,41.51
wavmark,3,chinese:SSB0005,2,2,copy_paste,1,1,1,13,0.8125,4.4901,0.9960,42.74
wavmark,3,chinese:SSB0009,0,3,median,1,1,1,15,0.9375,4.5646,0.9999,44.36
wavmark,3,chinese:SSB0009,0,3,minimum,1,1,1,15,0.9375,4.5532,0.9999,43.84
wavmark,3,chinese:SSB0009,0,3,maximum,1,1,1,14,0.8750,4.5469,0.9999,43.82
wavmark,3,chinese:SSB0009,0,3,rand_minmax,1,1,1,15,0.9375,4.0984,0.9999,42.30
wavmark,3,chinese:SSB0009,0,3,copy_paste,1,1,1,15,0.9375,4.5556,0.9999,42.94
wavmark,3,chinese:SSB0009,1,4,median,1,1,0,15,0.9375,4.5183,0.9998,40.76
wavmark,3,chinese:SSB0009,1,4,minimum,1,1,1,14,0.8750,4.5132,0.9999,40.58
wavmark,3,chinese:SSB0009,1,4,maximum,1,1,1,14,0.8750,4.5030,0.9999,40.47
wavmark,3,chinese:SSB0009,1,4,rand_minmax,1,1,1,14,0.8750,3.9745,0.9998,39.04
wavmark,3,chinese:SSB0009,1,4,copy_paste,1,1,0,15,0.9375,4.4850,0.9998,39.61
wavmark,3,chinese:SSB0009,2,5,median,1,1,1,14,0.8750,4.5517,0.9999,40.76
wavmark,3,chinese:SSB0009,2,5,minimum,1,1,1,14,0.8750,4.4996,0.9999,40.01
wavmark,3,chinese:SSB0009,2,5,maximum,1,1,1,14,0.8750,4.5029,0.9999,39.97
wavmark,3,chinese:SSB0009,2,5,rand_minmax,1,1,1,14,0.8750,3.9667,0.9998,38.39
wavmark,3,chinese:SSB0009,2,5,copy_paste,1,1,1,14,0.8750,4.4577,0.9998,39.32
wavmark,3,chinese:SSB0011,0,6,median,1,1,1,14,0.8750,4.3076,0.9995,43.08
wavmark,3,chinese:SSB0011,0,6,minimum,1,1,1,14,0.8750,4.2636,0.9994,41.50
wavmark,3,chinese:SSB0011,0,6,maximum,1,1,1,14,0.8750,4.2669,0.9994,41.72
wavmark,3,chinese:SSB0011,0,6,rand_minmax,1,1,1,14,0.8750,3.6458,0.9991,39.90
wavmark,3,chinese:SSB0011,0,6,copy_paste,1,1,1,14,0.8750,4.2414,0.9992,40.52
wavmark,3,chinese:SSB0011,1,7,median,0,0,0,16,1.0000,4.4428,0.9995,43.34
wavmark,3,chinese:SSB0011,1,7,minimum,1,1,1,15,0.9375,4.3667,0.9993,41.26
wavmark,3,chinese:SSB0011,1,7,maximum,1,1,1,15,0.9375,4.3523,0.9994,41.38
wavmark,3,chinese:SSB0011,1,7,rand_minmax,1,1,1,15,0.9375,3.6721,0.9990,39.79
wavmark,3,chinese:SSB0011,1,7,copy_paste,0,0,0,16,1.0000,4.3325,0.9990,40.66
wavmark,3,chinese:SSB0011,2,8,median,1,1,1,14,0.8750,4.4278,0.9996,43.39
wavmark,3,chinese:SSB0011,2,8,minimum,1,1,1,13,0.8125,4.3536,0.9994,40.69
wavmark,3,chinese:SSB0011,2,8,maximum,1,1,1,13,0.8125,4.3693,0.9994,40.56
wavmark,3,chinese:SSB0011,2,8,rand_minmax,1,1,1,13,0.8125,3.6282,0.9989,38.98
wavmark,3,chinese:SSB0011,2,8,copy_paste,1,1,1,11,0.6875,4.3436,0.9991,39.43
wavmark,3,chinese:SSB0012,0,9,median,1,1,1,13,0.8125,4.4585,0.9998,43.56
wavmark,3,chinese:SSB0012,0,9,minimum,1,1,1,13,0.8125,4.4097,0.9997,41.58
wavmark,3,chinese:SSB0012,0,9,maximum,1,1,1,13,0.8125,4.4064,0.9998,41.76
wavmark,3,chinese:SSB0012,0,9,rand_minmax,1,1,1,13,0.8125,3.9269,0.9996,39.82
wavmark,3,chinese:SSB0012,0,9,copy_paste,1,1,1,13,0.8125,4.4287,0.9996,40.62
wavmark,3,chinese:SSB0012,1,10,median,1,1,1,13,0.8125,4.3511,0.9997,41.56
wavmark,3,chinese:SSB0012,1,10,minimum,1,1,1,14,0.8750,4.3191,0.9997,41.45
wavmark,3,chinese:SSB0012,1,10,maximum,1,1,1,13,0.8125,4.3178,0.9997,41.31
wavmark,3,chinese:SSB0012,1,10,rand_minmax,1,1,1,14,0.8750,3.8765,0.9995,39.66
wavmark,3,chinese:SSB0012,1,10,copy_paste,1,1,1,14,0.8750,4.3350,0.9996,39.97
wavmark,3,chinese:SSB0012,2,11,median,1,1,1,14,0.8750,4.3761,0.9997,41.87
wavmark,3,chinese:SSB0012,2,11,minimum,1,1,1,14,0.8750,4.3774,0.9997,41.60
wavmark,3,chinese:SSB0012,2,11,maximum,1,1,1,13,0.8125,4.3752,0.9997,41.40
wavmark,3,chinese:SSB0012,2,11,rand_minmax,1,1,1,14,0.8750,3.9808,0.9995,39.83
wavmark,3,chinese:SSB0012,2,11,copy_paste,1,1,1,14,0.8750,4.4185,0.9996,40.48
wavmark,3,chinese:SSB0016,0,12,median,1,1,1,14,0.8750,4.3618,0.9984,38.81
wavmark,3,chinese:SSB0016,0,12,minimum,1,1,1,14,0.8750,4.2947,0.9980,37.72
wavmark,3,chinese:SSB0016,0,12,maximum,1,1,1,14,0.8750,4.3148,0.9982,37.95
wavmark,3,chinese:SSB0016,0,12,rand_minmax,1,1,1,14,0.8750,3.4924,0.9966,36.19
wavmark,3,chinese:SSB0016,0,12,copy_paste,1,1,1,14,0.8750,4.2009,0.9972,36.73
wavmark,3,chinese:SSB0016,1,13,median,1,0,0,15,0.9375,4.3088,0.9979,37.77
wavmark,3,chinese:SSB0016,1,13,minimum,1,1,1,14,0.8750,4.2908,0.9981,37.46
wavmark,3,chinese:SSB0016,1,13,maximum,1,1,1,14,0.8750,4.2769,0.9980,37.16
wavmark,3,chinese:SSB0016,1,13,rand_minmax,1,1,1,14,0.8750,3.3917,0.9961,35.66
wavmark,3,chinese:SSB0016,1,13,copy_paste,1,1,1,14,0.8750,4.1958,0.9974,36.40
wavmark,3,chinese:SSB0016,2,14,median,1,1,1,12,0.7500,4.3009,0.9976,38.25
wavmark,3,chinese:SSB0016,2,14,minimum,1,1,1,12,0.7500,4.2258,0.9975,37.03
wavmark,3,chinese:SSB0016,2,14,maximum,1,1,1,12,0.7500,4.2254,0.9972,36.77
wavmark,3,chinese:SSB0016,2,14,rand_minmax,1,1,1,12,0.7500,3.3047,0.9955,35.17
wavmark,3,chinese:SSB0016,2,14,copy_paste,1,1,1,12,0.7500,4.1641,0.9964,36.07
wavmark,3,chinese:SSB0018,0,15,median,0,0,0,16,1.0000,4.4241,0.9993,43.03
wavmark,3,chinese:SSB0018,0,15,minimum,1,1,1,15,0.9375,4.3758,0.9993,42.35
wavmark,3,chinese:SSB0018,0,15,maximum,1,1,1,15,0.9375,4.3692,0.9993,42.33
wavmark,3,chinese:SSB0018,0,15,rand_minmax,1,1,1,15,0.9375,3.7930,0.9990,40.61
wavmark,3,chinese:SSB0018,0,15,copy_paste,1,1,1,15,0.9375,4.3818,0.9990,41.31
wavmark,3,chinese:SSB0018,1,16,median,1,1,1,14,0.8750,4.2920,0.9994,42.91
wavmark,3,chinese:SSB0018,1,16,minimum,1,1,1,13,0.8125,4.2603,0.9994,41.95
wavmark,3,chinese:SSB0018,1,16,maximum,1,1,1,13,0.8125,4.2665,0.9995,42.27
wavmark,3,chinese:SSB0018,1,16,rand_minmax,1,1,1,13,0.8125,3.6136,0.9992,40.34
wavmark,3,chinese:SSB0018,1,16,copy_paste,1,1,1,12,0.7500,4.2396,0.9992,40.93
wavmark,3,chinese:SSB0018,2,17,median,1,1,1,15,0.9375,4.4990,0.9995,43.84
wavmark,3,chinese:SSB0018,2,17,minimum,1,1,1,15,0.9375,4.4581,0.9994,42.72
wavmark,3,chinese:SSB0018,2,17,maximum,1,1,1,15,0.9375,4.4495,0.9994,42.70
wavmark,3,chinese:SSB0018,2,17,rand_minmax,1,1,1,15,0.9375,3.7995,0.9991,40.98
wavmark,3,chinese:SSB0018,2,17,copy_paste,1,1,1,15,0.9375,4.4637,0.9991,41.60
wavmark,3,chinese:SSB0033,0,18,median,1,0,0,15,0.9375,4.1377,0.9993,41.20
wavmark,3,chinese:SSB0033,0,18,minimum,1,1,1,14,0.8750,4.1478,0.9995,41.22
wavmark,3,chinese:SSB0033,0,18,maximum,1,1,1,14,0.8750,4.1342,0.9994,41.33
wavmark,3,chinese:SSB0033,0,18,rand_minmax,1,1,1,14,0.8750,3.5401,0.9993,39.75
wavmark,3,chinese:SSB0033,0,18,copy_paste,1,1,1,14,0.8750,4.1001,0.9992,40.16
wavmark,3,chinese:SSB0033,1,19,median,1,1,1,15,0.9375,4.4670,0.9998,45.68
wavmark,3,chinese:SSB0033,1,19,minimum,1,1,1,14,0.8750,4.4098,0.9997,43.05
wavmark,3,chinese:SSB0033,1,19,maximum,1,1,1,14,0.8750,4.3995,0.9997,43.22
wavmark,3,chinese:SSB0033,1,19,rand_minmax,1,1,1,14,0.8750,3.8943,0.9995,41.52
wavmark,3,chinese:SSB0033,1,19,copy_paste,1,1,1,13,0.8125,4.3781,0.9994,42.49
wavmark,3,chinese:SSB0033,2,20,median,1,1,1,14,0.8750,4.4899,0.9997,43.16
wavmark,3,chinese:SSB0033,2,20,minimum,1,1,1,13,0.8125,4.4174,0.9997,42.26
wavmark,3,chinese:SSB0033,2,20,maximum,1,1,1,13,0.8125,4.4299,0.9997,42.19
wavmark,3,chinese:SSB0033,2,20,rand_minmax,1,1,1,13,0.8125,3.8463,0.9995,40.69
wavmark,3,chinese:SSB0033,2,20,copy_paste,1,1,1,13,0.8125,4.3744,0.9995,41.41
wavmark,3,chinese:SSB0038,0,21,median,1,1,1,14,0.8750,4.5078,0.9998,42.32
wavmark,3,chinese:SSB0038,0,21,minimum,1,1,1,13,0.8125,4.4701,0.9998,41.15
