model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
audioseal,8,chinese:SSB0005,0,0,bdb,1,1,1,12,0.7500,4.5631,0.9987,33.86
audioseal,8,chinese:SSB0005,1,1,bdb,1,1,1,11,0.6875,4.5931,0.9992,33.36
audioseal,8,chinese:SSB0005,2,2,bdb,1,1,1,13,0.8125,4.6121,0.9996,36.34
audioseal,8,chinese:SSB0009,0,3,bdb,1,1,1,13,0.8125,4.6143,0.9998,37.08
audioseal,8,chinese:SSB0009,1,4,bdb,1,1,1,11,0.6875,4.6041,0.9998,36.39
audioseal,8,chinese:SSB0009,2,5,bdb,1,1,1,14,0.8750,4.5895,0.9996,32.69
audioseal,8,chinese:SSB0011,0,6,bdb,1,1,0,15,0.9375,4.5759,0.9990,33.18
audioseal,8,chinese:SSB0011,1,7,bdb,1,1,1,12,0.7500,4.5490,0.9987,33.30
audioseal,8,chinese:SSB0011,2,8,bdb,1,1,1,11,0.6875,4.5165,0.9983,31.86
audioseal,8,chinese:SSB0012,0,9,bdb,1,1,1,14,0.8750,4.5033,0.9983,26.40
audioseal,8,chinese:SSB0012,1,10,bdb,1,1,1,11,0.6875,4.5400,0.9990,30.55
audioseal,8,chinese:SSB0012,2,11,bdb,1,1,1,13,0.8125,4.6082,0.9996,34.15
audioseal,8,chinese:SSB0016,0,12,bdb,1,1,1,11,0.6875,4.5729,0.9985,32.46
audioseal,8,chinese:SSB0016,1,13,bdb,1,1,1,14,0.8750,4.5172,0.9973,30.61
audioseal,8,chinese:SSB0016,2,14,bdb,1,1,1,12,0.7500,4.5801,0.9989,34.76
audioseal,8,chinese:SSB0018,0,15,bdb,1,1,1,12,0.7500,4.5525,0.9992,32.09
audioseal,8,chinese:SSB0018,1,16,bdb,1,1,1,12,0.7500,4.5505,0.9993,32.01
audioseal,8,chinese:SSB0018,2,17,bdb,1,1,1,12,0.7500,4.5938,0.9998,37.13
audioseal,8,chinese:SSB0033,0,18,bdb,1,1,1,13,0.8125,4.6037,0.9996,40.70
audioseal,8,chinese:SSB0033,1,19,bdb,1,1,1,13,0.8125,4.5567,0.9990,36.35
audioseal,8,chinese:SSB0033,2,20,bdb,1,1,1,14,0.8750,4.5927,0.9996,38.66
audioseal,8,chinese:SSB0038,0,21,bdb,1,1,1,13,0.8125,4.5945,0.9993,33.28
audioseal,8,chinese:SSB0038,1,22,bdb,1,1,1,11,0.6875,4.5659,0.9986,32.71
audioseal,8,chinese:SSB0038,2,23,bdb,1,1,1,14,0.8750,4.6002,0.9994,36.74
